path	bytes	sha256	first_commit	first_date	last_commit	last_date	current_control	current_frontier	founding_source	frozen_manifest	historical_or_pre_july	active_regrade	hits_broad_phi_depth	hits_pointwise_or_physical_phi	hits_independent_phi_variation	hits_endpoint_difference	hits_selection_or_ownership	hits_presentation_or_factorization	hits_stationary_killing	hits_supplied_conditional	hits_placeholder_or_arbitrary
F0_SYSTEMATIC_AUDIT_results.md	17598	3293eab3af0c76c62ee2351b7554c116d1351e87c4ce5115fb9824cc959b2b7d	0c47ac8e1e2cfe870798ac1dbbb7f94e1aec53f2	2026-06-21T07:47:53-04:00	0c47ac8e1e2cfe870798ac1dbbb7f94e1aec53f2	2026-06-21T07:47:53-04:00	NO	NO	NO	NO	YES	NO	31	0	0	0	0	0	0	1	0
F2_closure_results.md	24252	976edc403b9bcb7be392dbe48ae67d3eef051ae46f0ff5e43c061a5e38b9ad35	e6e75af45a4311e4e0a975bfc2fffcf792729f4d	2026-06-21T14:37:05-04:00	e6e75af45a4311e4e0a975bfc2fffcf792729f4d	2026-06-21T14:37:05-04:00	NO	NO	NO	NO	YES	NO	22	0	1	0	2	0	0	0	0
F2_matter_action_forcedness_results.md	20979	1d1b852312615516910d489a67d9c9c8f445812678df19dbbe67e2b08cd2d1b2	b72abebffecbfdcfbb247693d124115c66aaad06	2026-06-21T10:15:59-04:00	b72abebffecbfdcfbb247693d124115c66aaad06	2026-06-21T10:15:59-04:00	NO	NO	NO	NO	YES	NO	8	0	0	0	0	0	0	0	0
F4_seal_boundary_MAP.md	21130	7ea689de0fa792b63fa9246865925240311e119106a61aa5e89b958eed93f064	2235ef450e040db86c10b83ae66164596314fcc9	2026-06-21T13:19:08-04:00	3cd2a99e402bd69cf180ca15e4b1337635dd5837	2026-07-18T11:15:44-04:00	NO	NO	NO	NO	YES	NO	13	0	0	0	0	0	0	0	0
F5_critical_universe_closure_results.md	21590	16f800d165ae5abf10af3737cb4626e69c1df62c8cfccfa124ff5793d9548599	9af19002e5de3faa9c438915505383baac11f48a	2026-06-21T14:49:21-04:00	b108d492c324750b4e3fd7084ea543b4cd54a786	2026-07-06T12:27:32-04:00	NO	NO	NO	NO	YES	NO	11	0	0	0	0	0	0	0	0
F7_scale_bridge_native_results.md	17028	52551c529dfc99af9f2f12efbc8e7575f8f49a3efdac326018b266b29ea056a7	9af19002e5de3faa9c438915505383baac11f48a	2026-06-21T14:49:21-04:00	9af19002e5de3faa9c438915505383baac11f48a	2026-06-21T14:49:21-04:00	NO	NO	NO	NO	YES	NO	31	0	0	0	0	0	0	0	0
F8_metric_choices_results.md	18907	815f90c3c8a69158d021404065f31bd8f1ce892eb0e542f259c88a9c211b62d5	e6e75af45a4311e4e0a975bfc2fffcf792729f4d	2026-06-21T14:37:05-04:00	e6e75af45a4311e4e0a975bfc2fffcf792729f4d	2026-06-21T14:37:05-04:00	NO	NO	NO	NO	YES	NO	25	0	0	0	0	0	0	3	0
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	27304	405edaf2302d5a9f8ed1cc2de48714fad0265b7eb310c8fc93c92567067cc480	ce09790674f99a1a459e91510c8f7d1765663818	2026-06-21T00:06:37-04:00	4b226472c8f7c22dfcdd2c328a109e92d1df5abd	2026-07-18T11:50:38-04:00	NO	NO	NO	NO	YES	NO	35	0	1	0	0	0	0	1	0
GR_NUMERICS_RESEARCH_2026-06-29.md	6725	8c7b5b20fbe396d1531e9371dd6678bcca7ca6591bed7d4e527170c483f34ccc	a0f381a658d5aa8fb97f0d1a411f35b9cabee30d	2026-06-29T08:29:14-04:00	a0f381a658d5aa8fb97f0d1a411f35b9cabee30d	2026-06-29T08:29:14-04:00	NO	NO	NO	NO	YES	NO	1	0	0	0	0	0	0	0	0
H3_hopfion_solve_preregistration.md	10346	82dd23caec9938816f6171bb605d63ac41875d40127eb363c3f77d45c63df1f1	2168b9a21c3b70f3761403bfe02f6b61df0a1927	2026-07-05T08:22:47-04:00	a8639459d76288cf8f3d277dc34c1774b1b3d311	2026-07-05T08:39:49-04:00	NO	NO	NO	NO	NO	YES	20	0	0	0	0	0	0	0	0
H4_GP_switch_hopfion_MAP.md	10040	6cd5d58d3665b447bef9c9c4f1dfd6d96129b5d77573a34b36657d4aa805ce8a	8634c077b23f858b504b62945fbf0780633db57f	2026-07-05T15:15:31-04:00	ab31e6674ee1a384556c5ed6a2220253f9c8c9e1	2026-07-05T16:13:18-04:00	NO	NO	NO	NO	NO	YES	44	0	0	0	0	0	0	0	0
H4_N1_offround_transverse_equation_results.md	8685	893c54c5d0da4f49f134375245d1350134601516b3e6c29dcad1412076cba474	84081134410198a30e1ecfeef496b66816038642	2026-07-05T12:22:56-04:00	ab31e6674ee1a384556c5ed6a2220253f9c8c9e1	2026-07-05T16:13:18-04:00	NO	NO	NO	NO	NO	YES	62	0	0	0	0	0	0	0	0
H4_N2_farfield_reduction_results.md	10179	c655f441d5d457e4c67af6866f251d9e1cca05df0e9497ca922b88e72931b639	9a0faa58902cf8cd04c54f50365af10cad561579	2026-07-05T12:53:53-04:00	ab31e6674ee1a384556c5ed6a2220253f9c8c9e1	2026-07-05T16:13:18-04:00	NO	NO	NO	NO	NO	YES	81	0	0	0	0	0	0	0	0
H4_N4_backreaction_solve_preregistration.md	13422	47a4cc18e6b5665138e3244085829d82471b70c25c2084d459df8459d0da4382	afa16450e8fab75dbd2cb99b5901336f95ecacfb	2026-07-05T13:00:47-04:00	ab31e6674ee1a384556c5ed6a2220253f9c8c9e1	2026-07-05T16:13:18-04:00	NO	NO	NO	NO	NO	YES	48	0	0	0	0	0	0	0	0
H4_N4_backreaction_solve_results.md	8780	80858fc246c7e2112eaa34e36cb5ee35e447966e457c767a1f53be20984c7708	3f4d13026f68bc32d8912c76e4d59e47c10fdc70	2026-07-05T13:41:26-04:00	ab31e6674ee1a384556c5ed6a2220253f9c8c9e1	2026-07-05T16:13:18-04:00	NO	NO	NO	NO	NO	YES	23	0	0	0	0	0	0	0	0
H4_N4a_source_background_audit_results.md	8953	e49a9767313c1815757df40656c1d4dbd8d1eac704d3b41a5aa2cadd72847c01	4f560810d6e3b48e9d82fd58eab57086ba54a7c3	2026-07-05T14:04:34-04:00	ab31e6674ee1a384556c5ed6a2220253f9c8c9e1	2026-07-05T16:13:18-04:00	NO	NO	NO	NO	NO	YES	73	0	0	0	1	0	0	1	0
H4_N4rev_conditional_mass_response_results.md	7211	95ce5e0ff2cd6c5aee9012451d15a319840925563dea18509689ae58fd70b82b	aca6191e93175c0ff1e59fbd8e57fd6889387d41	2026-07-05T15:56:28-04:00	ab31e6674ee1a384556c5ed6a2220253f9c8c9e1	2026-07-05T16:13:18-04:00	NO	NO	NO	NO	NO	YES	37	0	0	0	0	0	0	0	0
H4_N4rev_sign_certification_results.md	14640	f2b9cad15d3c185388e37c027fe08fbadfe3ab97a2439e89fe4bcb11ec2f0bc5	97e48919c1cc916284e0d08b49e1a6951db0c6e8	2026-07-10T10:20:49-04:00	de6ed2d9e5887ad56683ffb818366a8ea51dd35f	2026-07-10T11:37:05-04:00	NO	YES	NO	NO	NO	YES	29	0	0	0	0	0	0	0	0
H4_N5_whole_cell_criticality_MAP.md	22604	4c0e37a689b541bc0a95846cbe4ec982d61682a413e357f1a76e83ba7c10cfd8	93f2dd473afb448ef186fcf0df5043af9a1d5232	2026-07-05T17:03:57-04:00	ef48954cf91963007361c0c810f42831e64ba97e	2026-07-05T17:14:30-04:00	NO	NO	NO	NO	NO	YES	29	0	0	0	0	0	0	0	0
H4_N5a_whole_cell_criticality_rederivation_results.md	21769	7ec48597033bbbc20abe96bb49a043cf1fe573212d6e89868790b92e3b7898bc	4d2bbe289c0d99ce900534d0af9fc3ebddd7f8b6	2026-07-05T17:28:35-04:00	4d2bbe289c0d99ce900534d0af9fc3ebddd7f8b6	2026-07-05T17:28:35-04:00	NO	NO	NO	NO	NO	YES	16	0	0	0	0	0	0	0	0
H4_N5b_flux_budget_closure_results.md	25285	4834122f529845d8093f0005f74047f06274b074d24d9f1d75a8e82a84b5d4da	a16adae5f68b7dc6febcda1ac6a932d7236b2208	2026-07-05T17:50:46-04:00	a16adae5f68b7dc6febcda1ac6a932d7236b2208	2026-07-05T17:50:46-04:00	NO	NO	NO	NO	NO	YES	199	0	0	0	0	0	0	0	0
H4_backreaction_mass_MAP.md	21404	b85beb966de629438357d83deb1be9f5fb1c1049e1a01cfc58ed3f24b15358d2	71de420f3e72930508ad902b91e3fccb0617796d	2026-07-05T11:49:22-04:00	ab31e6674ee1a384556c5ed6a2220253f9c8c9e1	2026-07-05T16:13:18-04:00	NO	NO	NO	NO	NO	YES	104	0	0	0	0	0	0	1	0
H4_screening_taxonomy_MAP.md	8785	b472e1254925361063be1f0ecddda49a60e91391faeb9ec32c5950894b003679	c06f3080b66a59c672b921b0eb3c2563bb677f5c	2026-07-05T14:55:25-04:00	ab31e6674ee1a384556c5ed6a2220253f9c8c9e1	2026-07-05T16:13:18-04:00	NO	NO	NO	NO	NO	YES	63	0	0	0	0	0	0	0	0
HANDOFF.md	103502	d4ed06075690fdbea3580dd2ae3754ace80652fafbfc9393178b682145d361b9	defa4c17fc045c6b1854091894b347ac6b854330	2026-06-10T21:36:15-04:00	682adb6c9d4cc7c9834cb5ea6a7712a32206650b	2026-08-05T01:11:05-04:00	YES	YES	YES	NO	YES	YES	84	5	2	0	11	1	5	10	0
HANDOFF_ARCHIVE.md	130383	23340d081d4b52d1fbb7f019f0240d79891ca2c67ccd438698c7e29ef0cc85ec	440490b91bd97c6e23b0ca13522f9260b1aeb673	2026-06-17T22:24:53-04:00	4b226472c8f7c22dfcdd2c328a109e92d1df5abd	2026-07-18T11:50:38-04:00	NO	YES	NO	NO	YES	YES	188	0	1	0	2	0	0	2	0
INDEX.md	56190	f6cfca151feba5bcf53c12d9acb34a00aaae23ef91e8fee690e9ecaa5a60acd7	9c62dff56fe775016ef235dea63fb0ed1853a786	2026-06-10T13:03:21-04:00	682adb6c9d4cc7c9834cb5ea6a7712a32206650b	2026-08-05T01:11:05-04:00	YES	NO	NO	NO	YES	YES	47	3	1	0	17	4	4	9	0
J_of_s_light_deflection_confrontation_MAP.md	29622	10e0f00f1641b9c9f899f7ac7ee7ce59cfec887ed909df15e400033cf3cc5b0c	47daf11b98e663fc5df069d9d9585092ec503e0f	2026-07-05T18:13:24-04:00	47daf11b98e663fc5df069d9d9585092ec503e0f	2026-07-05T18:13:24-04:00	NO	NO	NO	NO	NO	YES	37	0	0	0	0	0	0	0	0
LIVE.md	108520	e878da43e319025633dea4df536ca766974652a5e9accab33b4a72703dafff8d	ad5b76097509690c438d2cec7e04b9494bd9be53	2026-06-23T20:04:44-04:00	682adb6c9d4cc7c9834cb5ea6a7712a32206650b	2026-08-05T01:11:05-04:00	YES	YES	YES	NO	YES	YES	111	6	1	0	8	3	7	7	0
MATTER_SECTOR_MAP_new_foundation.md	27447	11ed3645af15a3cb6035b1bf6619477d0a8f253f92ada35093204e31eec762b0	b72abebffecbfdcfbb247693d124115c66aaad06	2026-06-21T10:15:59-04:00	800aa5c807efc78931dff8deef71740d0717ab8b	2026-07-04T09:57:43-04:00	NO	NO	NO	NO	YES	NO	43	0	1	0	2	0	0	4	0
MEMORY.md	19342	ef6e3c06d648090f2bcf832a1c648507c2dbcb34fea5c7899417eff31ef2fa01	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	682adb6c9d4cc7c9834cb5ea6a7712a32206650b	2026-08-05T01:11:05-04:00	YES	YES	NO	NO	NO	YES	24	4	0	0	8	2	2	5	0
N5d_solver_build_plan.md	25896	ce8d8fd3733e776d1b19fc0d96cd76e52221277b6db10d5303450e6f89d156b8	90b6b385f745b3f8e7a3f4371366c1bdbc2cf7ef	2026-07-06T12:46:35-04:00	f84532079d424e27f7261093bf675027a3f6d757	2026-07-06T12:57:53-04:00	NO	NO	NO	NO	NO	YES	101	0	0	0	0	0	0	0	0
NEGATIVES_REGISTRY.md	167755	7e58d46fbb797c5dd8178506e59b1273c3b49e9825deb0286769705c4028807f	ea4967591604812e32725433ab2ad75347335983	2026-06-11T09:18:57-04:00	faccad2ba267c2a6bc87782585be05e6c3a89e0c	2026-07-31T15:00:37-04:00	YES	YES	NO	NO	YES	YES	238	0	0	0	8	3	0	9	0
P1_PURITY_HARNESS_MAP.md	9460	0219b6a21f3bd953dae4aa9613abd0acd1704b042ce5e8b63f9ca9b7defe7c32	4ef7add2262804b62c70ab6041039cdd5a806c63	2026-06-23T19:00:33-04:00	4ef7add2262804b62c70ab6041039cdd5a806c63	2026-06-23T19:00:33-04:00	NO	NO	NO	NO	YES	NO	12	0	0	0	0	0	0	0	0
P4_ARC_SUMMARY_2026-07-31.md	14889	85f5b9e7ce6619ba0b286c71291a3eaee61779fcdb81980c0241d0e24a3b2bb8	21eaf98058494aba3cf9baaab18871cc67fa7bd8	2026-07-31T10:37:37-04:00	f191181d81eef6e51b6243b965d5d7e9e30fcffb	2026-08-01T11:32:02-04:00	NO	NO	NO	NO	NO	YES	10	0	0	0	0	0	0	0	0
P5e_proper_results.md	25826	d9f0da3604c6c304d4537d940d69e49bf98b6271b8b2ac336db9ba9dbaa2b0a8	5c31207a3f5545b5195d0fcbb3e3c4fc9f827b39	2026-06-21T12:08:59-04:00	3cd2a99e402bd69cf180ca15e4b1337635dd5837	2026-07-18T11:15:44-04:00	NO	NO	NO	NO	YES	NO	7	0	1	0	0	0	0	0	0
PONDER_100KLY_VIEW_2026-07-31.md	6103	edcabb65c457d121ff11d3be4d3428ab05f51272ee9c648a65767d778f4cb57a	b8c48ec27f02777b09f03209ba4d3b38c2a88304	2026-07-31T18:48:00-04:00	b8c48ec27f02777b09f03209ba4d3b38c2a88304	2026-07-31T18:48:00-04:00	NO	NO	NO	NO	NO	YES	18	0	0	0	0	0	0	0	0
PONDER_MATH_ELEGANCE_2026-07-31.md	59093	6d510c050f9c116e4c09e82f4edf6ac942bd64f95bb1476dc2196cae8e24c6b9	58d6027d7be2e28af30aab01a04bd8cae05fcab4	2026-07-31T18:54:34-04:00	eb1b5455787f913f31d02ebae6e40363f3b03c2c	2026-07-31T21:28:42-04:00	NO	NO	NO	NO	NO	YES	27	0	0	0	0	0	0	0	0
PROBLEM_STATEMENT.md	13777	dcf2a8c91b8f0347780e4cefc206a16ea4e6bdbeb71b8bb1f034160f7d3e1b02	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	NO	NO	NO	NO	NO	YES	14	0	0	0	0	0	0	0	0
PURSUIT_CHARTER_2026-07-04.md	16134	90c4c54e58e8f7db31cd39239a8c67ffd0e84773a3a9d2003ebc8784323054da	e03922992da0f0fc7234e2961811d6e24d178fcc	2026-07-04T11:31:37-04:00	3c1aadff37f40d10ba5174723f8ef37a9ddccb71	2026-07-04T20:06:10-04:00	NO	NO	NO	NO	NO	YES	37	0	0	0	0	0	0	0	0
QUANTIZATION_MAP.md	12945	f6e53f4cdf6689bbbe861b13ba771e0539717a601313b1c4e5f1d839367568d8	0e88ddd996f94715e81ad98a03f9f597c12dd3e9	2026-06-20T23:25:23-04:00	0e88ddd996f94715e81ad98a03f9f597c12dd3e9	2026-06-20T23:25:23-04:00	NO	NO	NO	NO	YES	NO	8	0	0	0	3	2	0	0	0
README.md	15144	e47fb92e8b4465dcfe50daa372cb567ec4da32e804e909ff7a62ea5314389715	4c98e32d7b8af0dc3159706d18006d673566d721	2026-07-18T10:44:20-04:00	682adb6c9d4cc7c9834cb5ea6a7712a32206650b	2026-08-05T01:11:05-04:00	YES	NO	NO	NO	NO	YES	19	3	1	0	5	0	1	3	0
ROADMAP_LINEAR_TIME_2026-07-31.md	9883	2976abe138948e3aeeb1a8736514a94dd72bca425bb6e52c0ae0d419c6a62d76	383214cb0a6a1505ce9f6b47e674c798445ce84a	2026-07-31T14:41:50-04:00	2e93a621aeeee0a0844543068363d0ba94094357	2026-08-01T09:57:54-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
SIMPLE_METRIC_MACRO.md	4973	f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	NO	YES	NO	NO	NO	YES	49	0	2	0	0	0	0	0	0
SOLVER_INTEGRITY_UPGRADES_SPEC.md	3995	f105bdb094d361c40046c688ca2428bf6e2f620e85915ee9c68962232a3b2312	4ef7add2262804b62c70ab6041039cdd5a806c63	2026-06-23T19:00:33-04:00	4ef7add2262804b62c70ab6041039cdd5a806c63	2026-06-23T19:00:33-04:00	NO	NO	NO	NO	YES	NO	6	0	0	0	0	0	0	0	0
STATE.md	158972	acda676ebe84cbec08d5348c568ae5aa950851443c923ae0e12bf2c0eed6833f	9c62dff56fe775016ef235dea63fb0ed1853a786	2026-06-10T13:03:21-04:00	49814eb5e12928edb443fca73e69cab2af2e76dc	2026-07-18T13:10:35-04:00	NO	NO	NO	NO	YES	NO	146	0	1	0	6	1	0	3	0
STRUCTURE_HYGIENE.md	8582	b5eec1a27a3cc73eae911942e31feb522260484a5f0c477383cee2f86e0d1f5d	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	d4c6b126bdb663ebaaa6f3c564f4b9d1c9daddfe	2026-07-23T08:35:50-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
TRACTABILITY_ROUTES.md	6786	2a8c1fd0df19da5820f69f0caa29fdca34c4009c5ab92beab86febb3504f09a9	1d5da1e4ad63a6dc0bfaee3eb3c9547a9d20ef0c	2026-06-27T18:59:51-04:00	1d5da1e4ad63a6dc0bfaee3eb3c9547a9d20ef0c	2026-06-27T18:59:51-04:00	NO	NO	NO	NO	YES	NO	2	0	0	0	0	0	0	0	0
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	2886	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	NO	NO	NO	NO	NO	YES	3	0	0	0	0	0	0	0	0
UDT_DOTTED_LINE.md	7293	1821fa253a5f7596d7bdce14dca8e4296c8f4eb27d8cc26852478217df748cc8	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NO	YES	NO	NO	NO	YES	16	0	0	0	0	0	0	0	0
UDT_ELEGANCE_UNCOVER.md	6630	94c8981a168db06ce4ad05ea9ee03b99ebf941e31e71c97e8db5648ba5015896	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NO	YES	NO	NO	NO	YES	10	0	0	0	0	0	0	0	0
UDT_ELEGANT_FRAME.md	4056	4ce2f13400c0bc4e82ae3fcbc256f9c3addba259cdb79ba1892f1bc801b33f6a	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09T08:42:14-04:00	NO	YES	NO	NO	NO	YES	6	0	0	0	0	0	0	0	0
UDT_EXTERNAL_AI_REVIEW_BRIEF_2026-07-28.md	11451	21d239973008c743242dc1af4ba9b5d2d171cfe4b019b1b51447940d83ad403c	06591013ab3433bda8413e109c7bd4ce27fa633f	2026-07-28T14:51:29-04:00	06591013ab3433bda8413e109c7bd4ce27fa633f	2026-07-28T14:51:29-04:00	NO	NO	NO	NO	NO	YES	7	1	0	0	1	0	0	0	0
UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	11205	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d	bfa0b9a9371fab0266315bc2bb6845b8a7446a18	2026-07-18T09:43:50-04:00	bfa0b9a9371fab0266315bc2bb6845b8a7446a18	2026-07-18T09:43:50-04:00	NO	YES	NO	NO	NO	YES	5	0	0	0	0	0	0	0	0
UDT_METHOD_MUSIC.md	7482	7859ad264644e874b4221743a1a235eb5530ec3417961e3b4739f157f8cb12d6	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NO	YES	NO	NO	NO	YES	12	0	0	0	0	0	0	0	0
UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	8394	6e977717ca028cabaa198dd14a6a97b3b15740e45485d0ab735f3df0326df192	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17T18:55:34-04:00	c5732bedb7adb337e57cee72e1ea6fce481984e3	2026-07-17T21:46:56-04:00	NO	YES	NO	NO	NO	YES	2	0	0	0	0	0	0	0	0
UDT_NATIVE_ACTION_COLD_PACKET.md	13221	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17T18:55:34-04:00	c5732bedb7adb337e57cee72e1ea6fce481984e3	2026-07-17T21:46:56-04:00	NO	YES	NO	NO	NO	YES	18	0	0	0	0	1	0	1	0
UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	20339	9b7c172a395084bf9a7fede33a261de7a61ca7704c3650e9b7828f9ec814b668	7b90922aeb8635322697c1dccf03a6b398ca4787	2026-07-14T22:45:16-04:00	ca991f6ecc277aad6a4aed4db4a5985c2e39c49a	2026-07-18T08:49:44-04:00	NO	YES	NO	NO	NO	YES	2	0	0	0	0	0	0	0	0
UDT_NATIVE_ACTION_STAGE1_LAUNCH_RECORD_2026-07-17.md	4531	825959587e02b877c9a0aacb6f9e45d57b86b9aad8504e3a766006df52917897	c5732bedb7adb337e57cee72e1ea6fce481984e3	2026-07-17T21:46:56-04:00	b959ba6c40a4f9ba6283af37273424b0c5d6024d	2026-07-17T22:18:03-04:00	NO	NO	NO	NO	NO	YES	1	0	0	0	0	0	0	0	0
UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	9694	f1b6b03c1d3aeed59e3476d0c50e61d884408ca435af97d191ac12c1f088fb87	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17T18:55:34-04:00	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17T18:55:34-04:00	NO	YES	NO	NO	NO	YES	2	0	0	0	0	0	0	0	0
UDT_NATURE_LEAN_FRAME.md	7852	b0d3eae792bd7072a5d13efbf45fa87efb141caed719dbf935c6583d3a9aae4f	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NO	NO	NO	NO	NO	YES	4	0	0	0	0	0	0	0	0
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	11418	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17T18:12:12-04:00	NO	NO	YES	NO	NO	YES	28	0	0	0	0	1	0	0	0
