family_id	match_kind	match_value	priority	disposition	dependency_type	family_ruling	reuse_gate
F11_BOOTSTRAP_AND_REALIZATION	PREFIX_SET	udt_bootstrap_;udt_global_local_;udt_joint_realization_;udt_completion_parameterized_;udt_scientific_arc_recovery_checkpoint_2026-08-04/	87	OPEN_DEPENDENCY_ALREADY_STAMPED	GLOBAL_LOCAL_RETURN_OPEN	These families already type bootstrap as a working relation/correspondence and keep the complete return open. The latest ownership result identifies relational depth as another open return component.	Reuse only with WORKING_POSIT and OPEN return stamps; no scalar objective or density selector.
F12_COMPLETE_COFRAME_JET_CURVATURE	PREFIX_SET	udt_factorized_whole_spacetime_skeleton_2026-08-04/;udt_extension_bundle_globalization_variation_audit_2026-08-04/;udt_complete_coframe_extension_solvability_audit_2026-08-04/;udt_full_coframe_first_jet_stratified_transition_atlas_2026-08-04/;udt_second_jet_curvature_solder_atlas_2026-08-04/;udt_same_solution_phi_curvature_compatibility_audit_2026-08-04/;udt_full_coframe_response_selection_audit_2026-08-04/	87	OPEN_DEPENDENCY_ALREADY_STAMPED	SUPPLIED_FACTORIZED_ARCHITECTURE	The local extension, jet, curvature and response calculations explicitly operate on supplied configurations and do not select a physical pointwise section. Exact algebra survives.	Retain as configuration/compatibility atlases; the pointwise potential is not a physical owner.
F13_SELECTOR_PROJECTOR_HOLONOMY	REGEX	(^|/)(?:[^/]*(?:selector|projector|holonomy|ownership|nonselection|nogo|no_go)[^/]*)/	70	UNCHANGED_NEGATIVE_NOW_EXPLANATORY	GEOMETRIC_SELECTION_FAILURE	Scoped failures of ordinary geometry, transport, cocycles, projectors or symmetry to select a pointwise representative remain exact and become explanatory under relational typing.	Retain exact scoped negatives; do not promote to impossibility of a future branch law.
F14_MODERN_EXPLICIT_AUDIT	REGEX	^udt_.*_audit_2026-(?:07-(?:23|24|25|26|27|28|29|30|31)|08-(?:01|02|04|05))/	60	OPEN_DEPENDENCY_ALREADY_STAMPED	EXPLICIT_PREMISE_AUDIT	Post-correction audit families generally expose supplied profiles, charts, branches and open physical selection. Their mathematics remains within those scopes.	Reuse only with the package premise ledger and the present relational-ownership overlay.
F14A_METRIC_ATLAS_AND_CHECKPOINT	REGEX	^udt_.*(?:atlas|census|map|reference|rehearsal|review|checkpoint|derivation).*2026-(?:07|08)-	55	CONDITIONAL_REINTERPRETATION_ONLY	SUPPLIED_CONFIGURATION_ATLAS	These metric-led maps vary or catalogue supplied pointwise phi profiles, jets or coframes without deriving their physical ownership. Their exact configuration-space findings survive.	Retain as conditional atlas/checkpoint evidence; no native profile, action or source authority.
F14B_NAMED_CONDITIONAL_PACKAGES	PREFIX_SET	complete_coframe_seal_involution_2026-07-20/;c2_failed_basin_homotopy_2026-07-20/;c2_finite_cell_boundary_variation_2026-07-20/;c2_nonlinear_stationary_solution_space_2026-07-20/;c2_rigidity_three_route_zoomout_2026-07-20/;c2_time_fiber_shift_jacobi_2026-07-20/;matter_bootstrap_dimensional_inventory_2026-07-20/;null_section_hopfion_metric_audit_2026-07-19/;rung2_weld_postjuly_regrade_2026-07-19/;EXTERNAL_REVIEW_RETURN_2026-07-28_fresh_perspective.md;UDT_EXTERNAL_AI_REVIEW_BRIEF_2026-07-28.md	56	CONDITIONAL_REINTERPRETATION_ONLY	NAMED_CONDITIONAL_OR_REVIEW_FAMILY	These named result/review families either use a supplied pointwise phi branch or summarize such branches; none establishes universal physical ownership.	Retain exact scoped content and present relational overlay.
F14C_REMAINING_EXPLICIT_FAMILIES	PREFIX_SET	udt_general_screen_dependency_regrade_2026-07-28/;udt_free_global_seal_transversality_audit_2026-07-21/;udt_motif_hopf_correspondence_audit_2026-07-22/;udt_timelive_spherical_areal_polarization_audit_2026-07-22/;udt_canonical_geometry_evaluator_p01_2026-07-21/;udt_complete_connector_assembly_audit_2026-07-22/;udt_reciprocity_regime_angular_center_audit_2026-07-22/;udt_time_live_characteristic_flux_audit_2026-07-21/;udt_torus_bundle_full_screen_witness_2026-08-01/;udt_global_coframe_compatibility_p03_2026-07-27/;udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/;udt_complete_metric_realization_zoomout_2026-07-23/;udt_global_kinematic_assembly_p03g_2026-07-21/;udt_xmax_dilation_asymptote_correction_2026-07-23/;asymptotic_boundary_lineage_audit_2026-07-19/;udt_dynamics_branch_ruling_p04_2026-07-21/;udt_observer_centered_xmax_frame_correction_2026-07-23/;udt_century_adjacent_mathematics_survey_2026-07-22/;udt_full_local_jet_strata_p02_2026-07-27/;udt_global_reciprocal_closure_audit_2026-07-20/;udt_complete_coframe_metric_telescope_p01_2026-07-27/;udt_full_equation_variation_p05_2026-07-21/;udt_global_coframe_cocycle_audit_2026-07-20/;udt_gr_analog_reconnaissance_2026-07-29/;udt_mixed_readout_anchor_soldering_audit_2026-07-20/	57	CONDITIONAL_REINTERPRETATION_ONLY	EXPLICIT_SUPPLIED_BRANCH_OR_DOCUMENTARY_FAMILY	Each remaining exposed family was reviewed through its report/premise source: it varies a supplied profile/coframe, gives a conditional branch witness, or is documentary comparison. None derives a universal pointwise owner.	Retain exact scoped content; current relational overlay is mandatory.
F15_EARLY_NATIVE_ACTION_FROZEN	PREFIX_SET	native_action_stage1_2026-07-18/;native_action_stage2_2026-07-18/;native_action_arm_c_2026-07-18/;native_action_final_adjudication_2026-07-18/	98	FROZEN_EVIDENCE_IMMUTABLE	FROZEN_ACTION_EVIDENCE	Frozen action packages retain exact historical content. Their final action/source/boundary/mass status remains conditional or open; no pointwise phi owner may be imported from them.	Preserve byte-identical and use the current overlay for interpretation.
F16_ARCHIVE_OR_PREJULY	ROW_FLAG	historical_or_pre_july=YES	96	HISTORICAL_SUPERSEDED_NO_ACTION	PROVENANCE_ONLY	Historical and pre-July material may identify failures or counterexamples but cannot provide affirmative UDT physics under the provenance firewall.	Preserve unchanged; no affirmative reuse.
F17_FROZEN_MEMBER	ROW_FLAG	frozen_manifest=YES	99	FROZEN_EVIDENCE_IMMUTABLE	FROZEN_MEMBER	Manifest-bound evidence remains immutable irrespective of later semantic correction.	Preserve byte-identical; overlay only.
F18_EARLY_POSTJULY_FIELD_SOLVER	ROW_DATE	first_date<2026-07-19	50	HISTORICAL_SUPERSEDED_NO_ACTION	SUPERSEDED_POINTWISE_FIELD_OR_ACTION_BRANCH	Early post-July field-equation, action and solver branches are not current physical ownership evidence. Their calculations remain provenance or conditional ansatz evidence only.	Before any reuse as native physics, rederive the ownership/action/source premises under the current relational type.
F19_BROAD_ONLY	ROW_FLAG	focused_hits=0	80	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.
F20_POSTJULY_UNMATCHED	FALLBACK	*	0	CONDITIONAL_REINTERPRETATION_ONLY	UNMATCHED_SUPPLIED_PHI_EXPOSURE	Fail-safe classification: an exposed post-July file not covered by a more specific rule receives no native ownership authority.	Manual review required before reuse as physical phi/action/source evidence.
