path	source_sha256	first_date	current_control	current_frontier	frozen_manifest	historical_or_pre_july	focused_hit_count	dependency_flags	family_id	disposition	dependency_type	family_ruling	reuse_gate	manual_review_status
H4_N1_offround_transverse_equation_results.md	893c54c5d0da4f49f134375245d1350134601516b3e6c29dcad1412076cba474	2026-07-05T12:22:56-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_N2_farfield_reduction_results.md	c655f441d5d457e4c67af6866f251d9e1cca05df0e9497ca922b88e72931b639	2026-07-05T12:53:53-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_N4_backreaction_solve_preregistration.md	47a4cc18e6b5665138e3244085829d82471b70c25c2084d459df8459d0da4382	2026-07-05T13:00:47-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_N4_backreaction_solve_results.md	80858fc246c7e2112eaa34e36cb5ee35e447966e457c767a1f53be20984c7708	2026-07-05T13:41:26-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_N4a_source_background_audit_results.md	e49a9767313c1815757df40656c1d4dbd8d1eac704d3b41a5aa2cadd72847c01	2026-07-05T14:04:34-04:00	NO	NO	NO	NO	2	selection_or_ownership;supplied_conditional	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	SUPERSEDED_POINTWISE_FIELD_OR_ACTION_BRANCH	Early post-July field-equation, action and solver branches are not current physical ownership evidence. Their calculations remain provenance or conditional ansatz evidence only.	Before any reuse as native physics, rederive the ownership/action/source premises under the current relational type.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
H4_N4rev_conditional_mass_response_results.md	95ce5e0ff2cd6c5aee9012451d15a319840925563dea18509689ae58fd70b82b	2026-07-05T15:56:28-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_N4rev_sign_certification_results.md	f2b9cad15d3c185388e37c027fe08fbadfe3ab97a2439e89fe4bcb11ec2f0bc5	2026-07-10T10:20:49-04:00	NO	YES	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_N5_whole_cell_criticality_MAP.md	4c0e37a689b541bc0a95846cbe4ec982d61682a413e357f1a76e83ba7c10cfd8	2026-07-05T17:03:57-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_N5a_whole_cell_criticality_rederivation_results.md	7ec48597033bbbc20abe96bb49a043cf1fe573212d6e89868790b92e3b7898bc	2026-07-05T17:28:35-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_N5b_flux_budget_closure_results.md	4834122f529845d8093f0005f74047f06274b074d24d9f1d75a8e82a84b5d4da	2026-07-05T17:50:46-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
H4_backreaction_mass_MAP.md	b85beb966de629438357d83deb1be9f5fb1c1049e1a01cfc58ed3f24b15358d2	2026-07-05T11:49:22-04:00	NO	NO	NO	NO	1	supplied_conditional	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	SUPERSEDED_POINTWISE_FIELD_OR_ACTION_BRANCH	Early post-July field-equation, action and solver branches are not current physical ownership evidence. Their calculations remain provenance or conditional ansatz evidence only.	Before any reuse as native physics, rederive the ownership/action/source premises under the current relational type.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
H4_screening_taxonomy_MAP.md	b472e1254925361063be1f0ecddda49a60e91391faeb9ec32c5950894b003679	2026-07-05T14:55:25-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
HANDOFF.md	d4ed06075690fdbea3580dd2ae3754ace80652fafbfc9393178b682145d361b9	2026-06-10T21:36:15-04:00	YES	YES	NO	YES	34	pointwise_or_physical_phi;independent_phi_variation;selection_or_ownership;presentation_or_factorization;stationary_killing;supplied_conditional	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
HANDOFF_ARCHIVE.md	23340d081d4b52d1fbb7f019f0240d79891ca2c67ccd438698c7e29ef0cc85ec	2026-06-17T22:24:53-04:00	NO	YES	NO	YES	5	independent_phi_variation;selection_or_ownership;supplied_conditional	F16_ARCHIVE_OR_PREJULY	HISTORICAL_SUPERSEDED_NO_ACTION	PROVENANCE_ONLY	Historical and pre-July material may identify failures or counterexamples but cannot provide affirmative UDT physics under the provenance firewall.	Preserve unchanged; no affirmative reuse.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
INDEX.md	f6cfca151feba5bcf53c12d9acb34a00aaae23ef91e8fee690e9ecaa5a60acd7	2026-06-10T13:03:21-04:00	YES	NO	NO	YES	38	pointwise_or_physical_phi;independent_phi_variation;selection_or_ownership;presentation_or_factorization;stationary_killing;supplied_conditional	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
J_of_s_light_deflection_confrontation_MAP.md	10e0f00f1641b9c9f899f7ac7ee7ce59cfec887ed909df15e400033cf3cc5b0c	2026-07-05T18:13:24-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
LIVE.md	e878da43e319025633dea4df536ca766974652a5e9accab33b4a72703dafff8d	2026-06-23T20:04:44-04:00	YES	YES	NO	YES	32	pointwise_or_physical_phi;independent_phi_variation;selection_or_ownership;presentation_or_factorization;stationary_killing;supplied_conditional	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
MEMORY.md	ef6e3c06d648090f2bcf832a1c648507c2dbcb34fea5c7899417eff31ef2fa01	2026-07-09T08:42:14-04:00	YES	YES	NO	NO	21	pointwise_or_physical_phi;selection_or_ownership;presentation_or_factorization;stationary_killing;supplied_conditional	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
N5d_solver_build_plan.md	ce8d8fd3733e776d1b19fc0d96cd76e52221277b6db10d5303450e6f89d156b8	2026-07-06T12:46:35-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
NEGATIVES_REGISTRY.md	7e58d46fbb797c5dd8178506e59b1273c3b49e9825deb0286769705c4028807f	2026-06-11T09:18:57-04:00	YES	YES	NO	YES	20	selection_or_ownership;presentation_or_factorization;supplied_conditional	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
P4_ARC_SUMMARY_2026-07-31.md	85f5b9e7ce6619ba0b286c71291a3eaee61779fcdb81980c0241d0e24a3b2bb8	2026-07-31T10:37:37-04:00	NO	NO	NO	NO	0	NONE	F10_P4_RESPONSE_MASS_FAMILIES	CONDITIONAL_REINTERPRETATION_ONLY	SUPPLIED_CONFIGURATION_RESPONSE_AND_MASS_READING	F01/F02 response, landing, mass-reading and restricted-stability algebra survives only on its declared supplied configuration/variation/completion premises. It never supplied the missing relational depth law or native ownership.	Retain F01/F02 as distinct conditional geometry-only mass-bearing families; no stable matter or species promotion.	MECHANICAL_BROAD_ONLY
PONDER_100KLY_VIEW_2026-07-31.md	edcabb65c457d121ff11d3be4d3428ab05f51272ee9c648a65767d778f4cb57a	2026-07-31T18:48:00-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
PONDER_MATH_ELEGANCE_2026-07-31.md	6d510c050f9c116e4c09e82f4edf6ac942bd64f95bb1476dc2196cae8e24c6b9	2026-07-31T18:54:34-04:00	NO	NO	NO	NO	0	NONE	F10_P4_RESPONSE_MASS_FAMILIES	CONDITIONAL_REINTERPRETATION_ONLY	SUPPLIED_CONFIGURATION_RESPONSE_AND_MASS_READING	F01/F02 response, landing, mass-reading and restricted-stability algebra survives only on its declared supplied configuration/variation/completion premises. It never supplied the missing relational depth law or native ownership.	Retain F01/F02 as distinct conditional geometry-only mass-bearing families; no stable matter or species promotion.	MECHANICAL_BROAD_ONLY
PROBLEM_STATEMENT.md	dcf2a8c91b8f0347780e4cefc206a16ea4e6bdbeb71b8bb1f034160f7d3e1b02	2026-07-09T08:42:14-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
PURSUIT_CHARTER_2026-07-04.md	90c4c54e58e8f7db31cd39239a8c67ffd0e84773a3a9d2003ebc8784323054da	2026-07-04T11:31:37-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
README.md	e47fb92e8b4465dcfe50daa372cb567ec4da32e804e909ff7a62ea5314389715	2026-07-18T10:44:20-04:00	YES	NO	NO	NO	13	pointwise_or_physical_phi;independent_phi_variation;selection_or_ownership;stationary_killing;supplied_conditional	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
ROADMAP_LINEAR_TIME_2026-07-31.md	2976abe138948e3aeeb1a8736514a94dd72bca425bb6e52c0ae0d419c6a62d76	2026-07-31T14:41:50-04:00	NO	NO	NO	NO	0	NONE	F10_P4_RESPONSE_MASS_FAMILIES	CONDITIONAL_REINTERPRETATION_ONLY	SUPPLIED_CONFIGURATION_RESPONSE_AND_MASS_READING	F01/F02 response, landing, mass-reading and restricted-stability algebra survives only on its declared supplied configuration/variation/completion premises. It never supplied the missing relational depth law or native ownership.	Retain F01/F02 as distinct conditional geometry-only mass-bearing families; no stable matter or species promotion.	MECHANICAL_BROAD_ONLY
SIMPLE_METRIC_MACRO.md	f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	2026-07-09T08:42:14-04:00	NO	YES	NO	NO	2	independent_phi_variation	F08_SNE_WRL_MACRO_READOUT	CONDITIONAL_REINTERPRETATION_ONLY	SUPPLIED_STATIC_LAPSE_AND_OPTICAL_ASSEMBLY	The WR-L/SNe algebra and observed discriminator concern a supplied static lapse/areal/optical branch. They do not derive the general observer-pair depth owner.	Retain as conditional observational compatibility/readout evidence; no universal profile or Xmax inference.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
STRUCTURE_HYGIENE.md	b5eec1a27a3cc73eae911942e31feb522260484a5f0c477383cee2f86e0d1f5d	2026-07-09T08:42:14-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2026-07-17T18:12:12-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_DOTTED_LINE.md	1821fa253a5f7596d7bdce14dca8e4296c8f4eb27d8cc26852478217df748cc8	2026-07-09T15:33:08-04:00	NO	YES	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_ELEGANCE_UNCOVER.md	94c8981a168db06ce4ad05ea9ee03b99ebf941e31e71c97e8db5648ba5015896	2026-07-09T15:33:08-04:00	NO	YES	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_ELEGANT_FRAME.md	4ce2f13400c0bc4e82ae3fcbc256f9c3addba259cdb79ba1892f1bc801b33f6a	2026-07-09T08:42:14-04:00	NO	YES	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_EXTERNAL_AI_REVIEW_BRIEF_2026-07-28.md	21d239973008c743242dc1af4ba9b5d2d171cfe4b019b1b51447940d83ad403c	2026-07-28T14:51:29-04:00	NO	NO	NO	NO	2	pointwise_or_physical_phi;selection_or_ownership	F14B_NAMED_CONDITIONAL_PACKAGES	CONDITIONAL_REINTERPRETATION_ONLY	NAMED_CONDITIONAL_OR_REVIEW_FAMILY	These named result/review families either use a supplied pointwise phi branch or summarize such branches; none establishes universal physical ownership.	Retain exact scoped content and present relational overlay.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d	2026-07-18T09:43:50-04:00	NO	YES	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_METHOD_MUSIC.md	7859ad264644e874b4221743a1a235eb5530ec3417961e3b4739f157f8cb12d6	2026-07-09T15:33:08-04:00	NO	YES	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	6e977717ca028cabaa198dd14a6a97b3b15740e45485d0ab735f3df0326df192	2026-07-17T18:55:34-04:00	NO	YES	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_NATIVE_ACTION_COLD_PACKET.md	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	2026-07-17T18:55:34-04:00	NO	YES	NO	NO	2	presentation_or_factorization;supplied_conditional	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	SUPERSEDED_POINTWISE_FIELD_OR_ACTION_BRANCH	Early post-July field-equation, action and solver branches are not current physical ownership evidence. Their calculations remain provenance or conditional ansatz evidence only.	Before any reuse as native physics, rederive the ownership/action/source premises under the current relational type.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	9b7c172a395084bf9a7fede33a261de7a61ca7704c3650e9b7828f9ec814b668	2026-07-14T22:45:16-04:00	NO	YES	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_NATIVE_ACTION_STAGE1_LAUNCH_RECORD_2026-07-17.md	825959587e02b877c9a0aacb6f9e45d57b86b9aad8504e3a766006df52917897	2026-07-17T21:46:56-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	f1b6b03c1d3aeed59e3476d0c50e61d884408ca435af97d191ac12c1f088fb87	2026-07-17T18:55:34-04:00	NO	YES	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_NATURE_LEAN_FRAME.md	b0d3eae792bd7072a5d13efbf45fa87efb141caed719dbf935c6583d3a9aae4f	2026-07-09T15:33:08-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	2026-07-17T18:12:12-04:00	NO	NO	NO	NO	1	presentation_or_factorization	F18_EARLY_POSTJULY_FIELD_SOLVER	HISTORICAL_SUPERSEDED_NO_ACTION	SUPERSEDED_POINTWISE_FIELD_OR_ACTION_BRANCH	Early post-July field-equation, action and solver branches are not current physical ownership evidence. Their calculations remain provenance or conditional ansatz evidence only.	Before any reuse as native physics, rederive the ownership/action/source premises under the current relational type.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	c3d7cf1d0b24d83958b23ae55624259dba0a46c8bebd3308caadda873b67b5ac	2026-07-17T18:12:12-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	99357a22cb1d92bafaeca4ab844f239d911d257725b9c922951bee2b0675f928	2026-07-17T18:12:12-04:00	NO	NO	NO	NO	0	NONE	F19_BROAD_ONLY	NO_RELEVANT_SEMANTIC_DEPENDENCY	INCIDENTAL_TOKEN	The file contains broad phi/depth notation but no registered ownership-risk phrase.	No action.	MECHANICAL_BROAD_ONLY
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	77145a774da6f685434a51bd72d70d41d3e997be5d8a0acd5c0ccd113b0708bb	2026-07-19T10:36:56-04:00	YES	NO	NO	NO	43	pointwise_or_physical_phi;independent_phi_variation;selection_or_ownership;presentation_or_factorization;stationary_killing;supplied_conditional	F01_CURRENT_CONTROLS	CONTROL_UPDATE_REQUIRED	CURRENT_SEMANTIC_ROUTING	Current controls must route founded reciprocal character on supplied ordered depth and must not retain pointwise-physical-phi wording as present authority.	Edit only present navigation/premise/negative status; preserve append-only prior blocks and historical evidence.	LINE_LEVEL_OR_FAMILY_SOURCE_REVIEWED
