current_path	relationship	primary_owner	artifact_type	physics_status_source	frozen_manifest_status	migration_readiness
cell_solver_round.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:HANDOFF_ARCHIVE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;f_rtheta_free_field_MAP.md;matter_filled_background_closure_DESIGN.md;simple_metric_alpha_restoring_probe_results.md;threadB_WORKSTATION_DISPATCH.md;threadB_coupled_cell_flatness_Lselector_CHARTER.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
cosine_native_reconciliation_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:cosine_native_reconciliation_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
derive_xmax_boost.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:archive/udt_xmax_boost_derivation_results.md;simple_metric_hyperbolic_derive.md;simple_metric_near_miss_explore_results.md;simple_metric_operator_inspiration_SEARCH.md;simple_metric_xmax_POSTULATE.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
external.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:external.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
gp_switch_criterion_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:gp_switch_criterion_results.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
lorentz_light_clue_results.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:261	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
luminosity_distance_n2_optics_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:luminosity_distance_n2_optics_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_Q1_source_posture.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_Q1_source_posture.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_alpha_continuation.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_alpha_continuation_CONTRACT.md;macro_alpha_continuation_results.md;macro_no_GP_framing.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_alpha_continuation_CONTRACT.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_alpha_continuation_CONTRACT.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_alpha_continuation_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_alpha_continuation_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_alpha_jet_outward.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_alpha_jet_outward_CONTRACT.md;macro_alpha_jet_outward_results.md;macro_no_GP_framing.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_alpha_jet_outward_CONTRACT.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_alpha_jet_outward_CONTRACT.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_alpha_jet_outward_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_alpha_jet_outward_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_bulk_completion_limit_edge_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_bulk_completion_limit_edge_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_clean_core_derive_observe.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_Q1_source_posture.md;macro_clean_core_first_observe_CONTRACT.md;macro_clean_core_first_observe_results.md;macro_universe_clean_core_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_clean_core_first_observe_CONTRACT.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_clean_core_first_observe_CONTRACT.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_clean_core_first_observe_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_clean_core_first_observe_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_clean_restart_from_metric_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_clean_restart_from_metric_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_edge_closure_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_edge_closure_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_edge_phi_inf_CONTRACT.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_edge_phi_inf_CONTRACT.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_edge_phi_inf_probe.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_edge_phi_inf_CONTRACT.md;macro_edge_phi_inf_results.md;macro_xmax_limit_FRAME.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_edge_phi_inf_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_edge_phi_inf_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_hard_edge_asymptotics_HE1.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_hard_edge_asymptotics_HE1_results.md;macro_native_edge_HARD_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_hard_edge_asymptotics_HE1_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_hard_edge_asymptotics_HE1_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_matter_dilation_edge_FRAME.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_matter_dilation_edge_FRAME.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_native_edge_HARD_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_native_edge_HARD_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_native_matter_after_vacuum_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_native_matter_after_vacuum_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_native_matter_edge_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_native_matter_edge_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_no_GP_framing.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_no_GP_framing.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dilated_dust_observe.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_matter_dilation_edge_FRAME.md;macro_pathB_dilated_dust_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dilated_dust_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_dilated_dust_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_dilated_softclose.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_pathB_dilated_softclose_CONTRACT.md;macro_pathB_dilated_softclose_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dilated_softclose_CONTRACT.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_dilated_softclose_CONTRACT.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dilated_softclose_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_dilated_softclose_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_dust_EL.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_native_matter_edge_MAP.md;macro_pathB_dust_WP1_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dust_WP1_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_dust_WP1_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_dust_WP2_observe.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_native_matter_edge_MAP.md;macro_pathB_dust_WP1_results.md;macro_pathB_dust_WP2_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dust_WP2_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_dust_WP2_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_dust_closure_window.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_pathB_dust_closure_window_CONTRACT.md;macro_pathB_dust_closure_window_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dust_closure_window_CONTRACT.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_dust_closure_window_CONTRACT.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dust_closure_window_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_dust_closure_window_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_dust_vacuum_match.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_pathB_dust_vacuum_match_CONTRACT.md;macro_pathB_dust_vacuum_match_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dust_vacuum_match_CONTRACT.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_dust_vacuum_match_CONTRACT.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_dust_vacuum_match_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_dust_vacuum_match_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_phi_ceiling.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_pathB_phi_ceiling_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_phi_ceiling_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_phi_ceiling_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_vacuum_characterize.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_pathB_vacuum_characterize_results.md;macro_phase3_pathB_freeDA_EH_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_pathB_vacuum_characterize_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_vacuum_characterize_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_vacuum_continue_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_vacuum_continue_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_vacuum_edge_shoot_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_pathB_vacuum_edge_shoot_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_pathB_vacuum_integrals_edge.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_pathB_vacuum_edge_shoot_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_phase1_metric_only.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_phase1_metric_only.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_phase2_fe_from_metric.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_clean_restart_from_metric_MAP.md;macro_phase2_fe_from_metric_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_phase2_fe_from_metric_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_phase2_fe_from_metric_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_phase3_pathA_areal.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_phase3_pathA_areal_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_phase3_pathA_areal_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_phase3_pathA_areal_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_phase3_pathB_freeDA_EH.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:macro_phase3_pathB_freeDA_EH_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_phase3_pathB_freeDA_EH_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_phase3_pathB_freeDA_EH_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
macro_phi_blindness_reaudit.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_phi_blindness_reaudit.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_sector_MAP.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:163;MEMORY.md:30	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_spine_provenance_2026-07-06.md	PRIMARY	MACRO	MARKDOWN	native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:13	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
macro_universe_clean_core_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_universe_clean_core_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_universe_native_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_universe_native_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_xmax_limit_FRAME.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:macro_xmax_limit_FRAME.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
matter_carrier_provenance_audit_results.md	SECONDARY_CONSUMER	PARTICLE_MASS	MARKDOWN	LIVE.md:428;HANDOFF.md:100;INDEX.md:82;MEMORY.md:68;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:11	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
native_dilation_weight_derivation_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:100	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
native_field_equations_constrained_two_player_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:native_field_equations_constrained_two_player_results.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
p16_phi_sourcing_decision_note.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	CANON.md:417	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
pre_native_era_census.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	INDEX.md:122;NEGATIVES_REGISTRY.md:2231;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:13	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
r2_final_cas.py	SECONDARY_CONSUMER	LEGACY_FROZEN	PYTHON	DEPENDENCY_STATUS_SOURCE:J_of_s_light_deflection_confrontation_MAP.md;PURSUIT_CHARTER_2026-07-04.md;d2c_gp_composite_conditions.md;native_dilation_weight_derivation_results.md;one_body_null_deflection_results.md;one_body_shapiro_delay_results.md;r2_prereg_s_dependence.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
r2_prereg_s_dependence.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	NEGATIVES_REGISTRY.md:185	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
relativistic_metric_rederivation_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	CANON.md:226	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
round_matter_reduction_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:round_matter_reduction_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_Charles_rulings_center_dS_2026-07-09.md	PRIMARY	MACRO	MARKDOWN	HANDOFF.md:114;INDEX.md:71;CANON.md:499	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
simple_metric_DA_native_derive.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:239	NOT_FROZEN_OR_MANIFEST	IMPORT_MIGRATION_REQUIRED
simple_metric_EOS_power_window_dS_results.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:405;HANDOFF.md:96;INDEX.md:70;CANON.md:499	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
simple_metric_F1_F2_dual_explore.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:184	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_F1_complete.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:185	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_F2_completeness.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:186	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_FE_rederive.py	PRIMARY	MACRO	PYTHON	LIVE.md:162;INDEX.md:64;MEMORY.md:31	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_GR_corpus_mine_MAP.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:309	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_GR_mine_embedding_fork_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:simple_metric_GR_mine_embedding_fork_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_HL_unification.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:simple_metric_HL_unification_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_HL_unification_out.json	PRIMARY	MACRO	JSON	INDEX.md+DEPENDENCY_FAMILY_EVIDENCE	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_HL_unification_results.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:335;INDEX.md:92	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_J1_R2_characterize.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:simple_metric_J1_build_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_J1_R2_characterize_out.json	PRIMARY	MACRO	JSON	DEPENDENCY_STATUS_SOURCE:simple_metric_J1_build_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_J1_alt_sphere_ceiling_MAP.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:simple_metric_J1_alt_sphere_ceiling_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_J1_build_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:simple_metric_J1_build_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_J1_honesty_skeleton.py	PRIMARY	MACRO	PYTHON	INDEX.md+DEPENDENCY_FAMILY_EVIDENCE	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_J1_honesty_skeleton_out.json	PRIMARY	MACRO	JSON	INDEX.md+DEPENDENCY_FAMILY_EVIDENCE	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_J1_honesty_skeleton_results.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:324	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_KA_develop.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:207	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_KA_outer_and_matter.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:210	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_L_P_selection_derive.py	PRIMARY	MACRO	PYTHON	INDEX.md+DEPENDENCY_FAMILY_EVIDENCE	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_L_P_selection_derive_out.json	PRIMARY	MACRO	JSON	INDEX.md+DEPENDENCY_FAMILY_EVIDENCE	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_L_P_selection_derive_results.md	PRIMARY	MACRO	MARKDOWN	SELF_STATUS_BANNER:simple_metric_L_P_selection_derive_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_L_equivalence_principle_GAP.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:347;CANON.md:450	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
simple_metric_L_native_optical_derive.py	PRIMARY	MACRO	PYTHON	DEPENDENCY_STATUS_SOURCE:simple_metric_L_native_optical_derive_results.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_L_native_optical_derive_out.json	PRIMARY	MACRO	JSON	INDEX.md+DEPENDENCY_FAMILY_EVIDENCE	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_L_native_optical_derive_results.md	PRIMARY	MACRO	MARKDOWN	LIVE.md:354;INDEX.md:92	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
simple_metric_L_principle_closure_attack_out.json	PRIMARY	MACRO	JSON	DEPENDENCY_STATUS_SOURCE:simple_metric_L_principle_closure_attack_results.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
simple_metric_L_principle_closure_attack_results.md	PRIMARY	MACRO	MARKDOWN	CANON.md:450	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
