# P4 Route A Slice 2 — SOLUTION ATLAS LEDGER (TD6 survivors map). Contract: PREREGISTRATION.md. SCOPE STAMP (F-D3, travels with every row): REPRESENTATIVE-SUB-FAMILY atlas (prereg TD1 clause) — each row's claims are scoped to the named representative families, NOT a cell census; jet <= 2, BASE branch (constant moduli; integrated moduli rows), registered stationary presentation, enumerated pairing branches, READY bin only (RES-CNEQ0 CENSUS-REQUIRED; 4th-order EXTENSION-REQUIRED; carriers G09/F-D7 out; BR-M/BR-CE typed). NO candidate crowned (F-D1); NO elimination (F-D2 never engaged); background = free explored dimension (bootstrap-lens frame §2). Outcome class OD1.
pairing_branch	stratum	G3_cell	representative_family	fork_branch_stamps	solution_space_exact	R5_closure	self_consistent_locus	lens_class	gate1_onshell	gate2_J06_record	gate4_currents	gate5_wall_duty	slice2b_handle
P2	KMOD0	LOCALLY-EXACT	GEN-QUAD at aF=0 (free Lagrangian) + omega	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	affine atlas: u = u(0) + u'(0)x, 6-param field sector x ALL moduli retained x background (lam, c_E, ell, frak_c) | omega-shape: zero set = {k10 = 0} stratum x fields free x other moduli retained x all backgrounds (a_M-independent, proven)	V = 2 ell (weight-free); M = 2 ell E0 [same CHOSE/CONDITIONAL stamp]; rho = E0; closure on the same solution	background tie IDENTICALLY absent -> self-consistent locus = ALL backgrounds (degenerate, reported)	WORKS-GENERICALLY [rep-scoped]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE; k_mod = 0 pin; identity residual 0 on reps; L23-orbit quotient carried	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	canon-parity trace loci exact; nonempty admissible witness w = x^2/(2 ell^2) + 1/2 (E0 = c^2 = 1/(aF ell)^2); f/bh parities SUPPLIED	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
P2	KMOD0	NONVARIATIONAL	W2-fs (well tuple at aF=2lam; banked NV under P2) + W3	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	nodeless quadratic-w family [A1 sign stamp: single-minimum WELL of p0 for aF > 0 / single-maximum BUMP for aF < 0; nodeless + regular for BOTH signs; 'symmetric' = about the vertex]: e^{aF p0} = (aF^2 E0/2)x^2 + w1 x + w0 (disc = -aF^2 c^2; E0 >= 0 forced, sign-free), f/h by exact atan quadrature; 6-param field sector (rank-6 + Picard local-exhaustive) x retained moduli x background (lam, c_E, ell, frak_c); degenerates to affine atlas exactly on the blindness locus of the branch (NO lam-row: moduli slots zero -> no background tie) | W3: {p0 = const} x f, bh ARBITRARY x moduli retained (per-member DEGENERATE)	V per branch volume exists; MASS FUNCTIONAL NOT-DERIVABLE at this slice for NV members (no generated energy; adopting one = import) — reported per F-D8, typed to Slice-2b	NOT-DERIVABLE-AT-SLICE-2 (no derived mass functional for NV members; reported, not suppressed)	WORKS-GENERICALLY [rep-scoped; R5 leg UNDETERMINED for NV]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE; k_mod = 0 pin; identity residual 0 on reps; L23-orbit quotient carried	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	zero-declared R_wall: varied-fork wall eqs vacuous / held-fork trivial; solution-trace parity loci recorded	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
P3-bulkP2	GENERIC	LOCALLY-EXACT	GEN-QUAD at aF=0 (free Lagrangian) + omega	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	affine atlas: u = u(0) + u'(0)x, 6-param field sector x ALL moduli retained x background (lam, c_E, ell, frak_c) | omega-shape: zero set = {k10 = 0} stratum x fields free x other moduli retained x all backgrounds (a_M-independent, proven)	V = 2 ell (weight-free); M = 2 ell E0 [same CHOSE/CONDITIONAL stamp]; rho = E0; closure on the same solution	background tie IDENTICALLY absent -> self-consistent locus = ALL backgrounds (degenerate, reported)	WORKS-GENERICALLY [rep-scoped]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	canon-parity trace loci exact; nonempty admissible witness w = x^2/(2 ell^2) + 1/2 (E0 = c^2 = 1/(aF ell)^2); f/bh parities SUPPLIED	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
P3-bulkP2	GENERIC	NONVARIATIONAL	W2-fs (well tuple at aF=2lam; banked NV under P2) + W3	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	nodeless quadratic-w family [A1 sign stamp: single-minimum WELL of p0 for aF > 0 / single-maximum BUMP for aF < 0; nodeless + regular for BOTH signs; 'symmetric' = about the vertex]: e^{aF p0} = (aF^2 E0/2)x^2 + w1 x + w0 (disc = -aF^2 c^2; E0 >= 0 forced, sign-free), f/h by exact atan quadrature; 6-param field sector (rank-6 + Picard local-exhaustive) x retained moduli x background (lam, c_E, ell, frak_c); degenerates to affine atlas exactly on the blindness locus of the branch (NO lam-row: moduli slots zero -> no background tie) | W3: {p0 = const} x f, bh ARBITRARY x moduli retained (per-member DEGENERATE)	V per branch volume exists; MASS FUNCTIONAL NOT-DERIVABLE at this slice for NV members (no generated energy; adopting one = import) — reported per F-D8, typed to Slice-2b	NOT-DERIVABLE-AT-SLICE-2 (no derived mass functional for NV members; reported, not suppressed)	WORKS-GENERICALLY [rep-scoped; R5 leg UNDETERMINED for NV]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	zero-declared R_wall: varied-fork wall eqs vacuous / held-fork trivial; solution-trace parity loci recorded	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
P3-bulkP2	KMOD0	LOCALLY-EXACT	GEN-QUAD at aF=0 (free Lagrangian) + omega	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	affine atlas: u = u(0) + u'(0)x, 6-param field sector x ALL moduli retained x background (lam, c_E, ell, frak_c) | omega-shape: zero set = {k10 = 0} stratum x fields free x other moduli retained x all backgrounds (a_M-independent, proven)	V = 2 ell (weight-free); M = 2 ell E0 [same CHOSE/CONDITIONAL stamp]; rho = E0; closure on the same solution	background tie IDENTICALLY absent -> self-consistent locus = ALL backgrounds (degenerate, reported)	WORKS-GENERICALLY [rep-scoped]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE; k_mod = 0 pin; identity residual 0 on reps; L23-orbit quotient carried	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	canon-parity trace loci exact; nonempty admissible witness w = x^2/(2 ell^2) + 1/2 (E0 = c^2 = 1/(aF ell)^2); f/bh parities SUPPLIED	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
P3-bulkP2	KMOD0	NONVARIATIONAL	W2-fs (well tuple at aF=2lam; banked NV under P2) + W3	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	nodeless quadratic-w family [A1 sign stamp: single-minimum WELL of p0 for aF > 0 / single-maximum BUMP for aF < 0; nodeless + regular for BOTH signs; 'symmetric' = about the vertex]: e^{aF p0} = (aF^2 E0/2)x^2 + w1 x + w0 (disc = -aF^2 c^2; E0 >= 0 forced, sign-free), f/h by exact atan quadrature; 6-param field sector (rank-6 + Picard local-exhaustive) x retained moduli x background (lam, c_E, ell, frak_c); degenerates to affine atlas exactly on the blindness locus of the branch (NO lam-row: moduli slots zero -> no background tie) | W3: {p0 = const} x f, bh ARBITRARY x moduli retained (per-member DEGENERATE)	V per branch volume exists; MASS FUNCTIONAL NOT-DERIVABLE at this slice for NV members (no generated energy; adopting one = import) — reported per F-D8, typed to Slice-2b	NOT-DERIVABLE-AT-SLICE-2 (no derived mass functional for NV members; reported, not suppressed)	WORKS-GENERICALLY [rep-scoped; R5 leg UNDETERMINED for NV]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE; k_mod = 0 pin; identity residual 0 on reps; L23-orbit quotient carried	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	zero-declared R_wall: varied-fork wall eqs vacuous / held-fork trivial; solution-trace parity loci recorded	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
P3-bulkP1	GENERIC	LOCALLY-EXACT	GEN-QUAD (generated free-quadratic, bulk aF=2lam + wall blocks) + omega [where a_M lam-independent]	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	nodeless quadratic-w family [A1 sign stamp: single-minimum WELL of p0 for aF > 0 / single-maximum BUMP for aF < 0; nodeless + regular for BOTH signs; 'symmetric' = about the vertex]: e^{aF p0} = (aF^2 E0/2)x^2 + w1 x + w0 (disc = -aF^2 c^2; E0 >= 0 forced, sign-free), f/h by exact atan quadrature; 6-param field sector (rank-6 + Picard local-exhaustive) x retained moduli x background (lam, c_E, ell, frak_c); degenerates to affine atlas exactly on the blindness locus of the branch | omega-shape: zero set = {k10 = 0} stratum x fields free x other moduli retained x all backgrounds (a_M-independent, proven)	V = (2/3)A ell^3 + 2 w0 ell; M = 2 ell E0 [M-instantiation = member energy, CHOSE/CONDITIONAL — banked mass rows OPEN]; rho = M/V; closure rho V = M on the SAME solution (F-D6 clean)	{E0 = 0 (constants)} UNION {I_p = 0, I_p = [G(ell)-G(-ell)]/aF exact}; nonempty nonconstant at every aF != 0 background (exhibited legs at (aF, ell) = (1, 1) + general-(aF, ell) BOTH-signs legs [A2 checks] + Category-A continuity) | omega: no tie (row forces k10 = 0 only)	WORKS-GENERICALLY [rep-scoped]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	canon-parity trace loci exact; nonempty admissible witness w = x^2/(2 ell^2) + 1/2 (E0 = c^2 = 1/(aF ell)^2); f/bh parities SUPPLIED	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
P3-bulkP1	GENERIC	NONVARIATIONAL	W1 = (p2,f2,h2) [NV defect -2 aF p1 e^{aF p0}, off blindness] + W3	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	affine atlas: u = u(0) + u'(0)x, 6-param field sector x ALL moduli retained x background (lam, c_E, ell, frak_c) | W3: {p0 = const} x f, bh ARBITRARY x moduli retained (per-member DEGENERATE)	V per branch volume exists; MASS FUNCTIONAL NOT-DERIVABLE at this slice for NV members (no generated energy; adopting one = import) — reported per F-D8, typed to Slice-2b	NOT-DERIVABLE-AT-SLICE-2 (no derived mass functional for NV members; reported, not suppressed)	WORKS-GENERICALLY [rep-scoped; R5 leg UNDETERMINED for NV]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	zero-declared R_wall: varied-fork wall eqs vacuous / held-fork trivial; solution-trace parity loci recorded	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
P3-bulkP1	KMOD0	LOCALLY-EXACT	GEN-QUAD (generated free-quadratic, bulk aF=2lam + wall blocks) + omega [where a_M lam-independent]	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	nodeless quadratic-w family [A1 sign stamp: single-minimum WELL of p0 for aF > 0 / single-maximum BUMP for aF < 0; nodeless + regular for BOTH signs; 'symmetric' = about the vertex]: e^{aF p0} = (aF^2 E0/2)x^2 + w1 x + w0 (disc = -aF^2 c^2; E0 >= 0 forced, sign-free), f/h by exact atan quadrature; 6-param field sector (rank-6 + Picard local-exhaustive) x retained moduli x background (lam, c_E, ell, frak_c); degenerates to affine atlas exactly on the blindness locus of the branch | omega-shape: zero set = {k10 = 0} stratum x fields free x other moduli retained x all backgrounds (a_M-independent, proven)	V = (2/3)A ell^3 + 2 w0 ell; M = 2 ell E0 [M-instantiation = member energy, CHOSE/CONDITIONAL — banked mass rows OPEN]; rho = M/V; closure rho V = M on the SAME solution (F-D6 clean)	{E0 = 0 (constants)} UNION {I_p = 0, I_p = [G(ell)-G(-ell)]/aF exact}; nonempty nonconstant at every aF != 0 background (exhibited legs at (aF, ell) = (1, 1) + general-(aF, ell) BOTH-signs legs [A2 checks] + Category-A continuity) | omega: no tie (row forces k10 = 0 only)	WORKS-GENERICALLY [rep-scoped]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE; k_mod = 0 pin; identity residual 0 on reps; L23-orbit quotient carried	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	canon-parity trace loci exact; nonempty admissible witness w = x^2/(2 ell^2) + 1/2 (E0 = c^2 = 1/(aF ell)^2); f/bh parities SUPPLIED	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
P3-bulkP1	KMOD0	NONVARIATIONAL	W1 = (p2,f2,h2) [NV defect -2 aF p1 e^{aF p0}, off blindness] + W3	L4/BR-C: rep frak_c-independent (PROVEN); BR-B: role-only (banked), both roles recorded; L8/BR-A: rep alpha-independent (PROVEN); pairing supply: a_M-independent rows (PROVEN); BR-M/BR-CE: OUT (typed NOT-EXHAUSTED upstream)	affine atlas: u = u(0) + u'(0)x, 6-param field sector x ALL moduli retained x background (lam, c_E, ell, frak_c) | W3: {p0 = const} x f, bh ARBITRARY x moduli retained (per-member DEGENERATE)	V per branch volume exists; MASS FUNCTIONAL NOT-DERIVABLE at this slice for NV members (no generated energy; adopting one = import) — reported per F-D8, typed to Slice-2b	NOT-DERIVABLE-AT-SLICE-2 (no derived mass functional for NV members; reported, not suppressed)	WORKS-GENERICALLY [rep-scoped; R5 leg UNDETERMINED for NV]	EXPLICITLY-INTEGRATED determined (GEN-QUAD/W1/W2-fs); W3 per-member DEGENERATE; k_mod = 0 pin; identity residual 0 on reps; L23-orbit quotient carried	see TD5_gate2_J06_record (per-modulus branches recorded)	derived currents: e^{aF p0} f1, e^{aF p0} h1, E0dens (GEN-QUAD-class); none for omega/W3	zero-declared R_wall: varied-fork wall eqs vacuous / held-fork trivial; solution-trace parity loci recorded	full-cell generality beyond representatives; nonzero wall blocks (P3); carriers under G09; resonance post-census; 4th-order extension; time-live; restricted-EH G3 tile
