source_object	source_path	stable_branch_id	role
Q01_ROUND_S3_B19	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R13	PRIMARY_CONCRETE_BRANCH
Q02_SQUASHED_S3_OFF_SHELL	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R14	PRIMARY_CONCRETE_BRANCH
Q03_WRL_LOCAL	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R15	PRIMARY_LOCAL_CONTROL
Q04_PHYSICAL_XMAX_JOIN	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R16	PRIMARY_ABSENT_CONTROL
W01_TWISTED_RECIPROCAL_S3	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv	R17	PRIMARY_CONCRETE_BRANCH
W02_STATIC_GENERIC_LAPSE_ROUND_S3	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv	R18	PRIMARY_CONCRETE_BRANCH
W03_ULTRASTATIC_S3	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv	R19	PRIMARY_CONCRETE_CONTROL
W04_MULTIPLE_KILLING_CONTROL	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv	R20	PRIMARY_CONCRETE_CONTROL
W05_CAUSAL_SLICE_BOUNDARY	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv	R21	PRIMARY_DEGENERACY_CONTROL
W06_TWIST_FREE_NONCONSTANT_CLOCK	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv	R22	PRIMARY_CONCRETE_CONTROL
C01	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R17	PARAMETER_SAMPLE
C02	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R17	PARAMETER_SAMPLE
C03	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R17	PARAMETER_SAMPLE
C04	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R17	PARAMETER_SAMPLE
C05	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R17	PARAMETER_SAMPLE
C06	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R17	PARAMETER_SAMPLE
C07	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R22	TWIST_OFF_PARAMETER_CONTROL
C08	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_COVERAGE.tsv	R19	DEPTH_OFF_PARAMETER_CONTROL
W00_GENERAL	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	R23	GENERAL_SCREEN_MEMBER
W01_TRACE	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	R23	GENERAL_SCREEN_MEMBER
W02_SHEAR1	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	R23	GENERAL_SCREEN_MEMBER
W03_SHEAR2	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	R23	GENERAL_SCREEN_MEMBER
W04_TWO_SHEAR	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	R23	GENERAL_SCREEN_MEMBER
W05_PURE_GAUGE	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	R23	GENERAL_SCREEN_MEMBER
W06_ROTATING_AXIS	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	R23	GENERAL_SCREEN_MEMBER
W07_ORIENTATION_REVERSE	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	R23	GENERAL_SCREEN_MEMBER
W08_DEGENERATE	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	R23	DEGENERATE_BOUNDARY_NOT_CONFIGURATION
B01	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R17	INTRINSIC_RULER_PROJECTOR
B02	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R17	INTRINSIC_SCREEN_COMPLEMENT
B03	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R19	PARALLEL_ZERO_RESPONSE_CONTROL
B04	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R18	UNIQUE_CLOCK_ONLY_CONTROL
B05	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	-	LOCAL_DPHI_STRATUM_NOT_COMPLETE_BRANCH
B06	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	-	DEGENERATE_DPHI_STRATUM_NOT_COMPLETE_BRANCH
B07	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	-	LOCAL_OPERATOR_FAMILY_NOT_COMPLETE_BRANCH
B08	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R24	TORIC_SINGLETON_CHAMBERS
B09	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R24	TORIC_TIE_WALL
B10	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R08	CONDITIONAL_SEAM_INVOLUTION
B11	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	-	CELESTIAL_FIBER_NOT_SECTION_OR_BRANCH
B12	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	-	SUPPLIED_LOCAL_PLANE_NOT_COMPLETE_BRANCH
B13	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R17	FULL_HOLONOMY_CONTROL
B14	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R13	ISOTROPY_CONTROL
B15	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R20	MULTIPLE_NATURAL_PLANES
B16	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R17	DESCENDED_KV_PLANE_SUBFAMILY
B17	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	R08	CONDITIONAL_SEAM_CHARACTER
B18	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	-	ELEVEN_INCOMPLETE_COMPLETION_TYPES_ALREADY_R01_R03_R05_R12
