branch_id	stable_identity	local_observer_query_object	transition_or_path_arrow	overlap_domain_and_rank	middle_state_ownership	triangle_or_loop_return	angular_mixing_retention	degeneration_handling	scalar_reciprocal_reduction	current_premise_compatibility	primary_disposition	caveat	evidence
R11	FC11_NONINTEGRABLE_DISTRIBUTION	LOCAL_PLANE_FIELD	PATHWISE_ONLY_IF_METRIC_SUPPLIED	LOCAL_RANK_TWO	UNSUPPLIED	UNDEFINED	contact obstruction retained	anholonomy explicit	OPEN	COMPATIBLE_BUT_REALIZED_ONLY_INSIDE_R17_R23	INSUFFICIENT_TYPED_EVIDENCE	This class is realized as a property of S3 witnesses rather than as a separate complete metric branch.	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md::Global_and_completion_rulings
R12	FC12_RECIPROCAL_TORIC_DIAGONAL	CONDITIONAL_TORIC_PAIR	CONDITIONAL_PROFILE_TRANSITION	PROFILE_AND_ENDPOINT_DEPENDENT	UNSUPPLIED	UNDEFINED	diagonal screen only; complete orchestra not represented	endpoint cap or boundary class open	OPEN	REQUIRES_CURRENT_ORCHESTRA_REDERIVATION	HISTORICAL_PREMISES_CHANGED_REVIEW_REQUIRED	The ansatz predates the complete phi+orchestra ownership correction and lacks completed endpoints.	udt_complete_branch_founded_pair_pullback_audit_2026-07-26/COMPLETION_PULLBACK_ATLAS.tsv::FC12_RECIPROCAL_TORIC_DIAGONAL;CURRENT_SCIENTIFIC_PREMISES.tsv::G28
R13	Q01_ROUND_S3_B19	CONDITIONAL_CHOSEN_HOPF_PAIR	PATHWISE_LEVI_CIVITA_OR_JACOBI_ONLY_AFTER_QUERY	GLOBAL_METRIC_BUT_PAIR_ORIENTATION_UNOWNED	PATH_QUERY_AND_FLAG_UNOWNED	FULL_SPATIAL_SO3_HOLONOMY_FOR_PATHS	chosen pair is not metric-selected	isotropy produces line ambiguity	ZERO_CLOCK_CONTROL_ONLY	COMPATIBLE_AS_CONDITIONAL_CONTROL	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	The complete metric exists, but it selects neither the physical pair nor the calibrated non-isometric arrow.	udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv::Q01_ROUND_S3_B19
R14	Q02_SQUASHED_S3_OFF_SHELL	UNORIENTED_RICCI_LINE_PLUS_CONDITIONAL_SCREEN	PATHWISE_LEVI_CIVITA_OR_JACOBI_ONLY_AFTER_QUERY	GLOBAL_UNORIENTED_LINE	PATH_QUERY_OR_ORIENTATION_UNOWNED	FULL_SPATIAL_SO3_IN_REGISTERED_CONTROL	conditional screen orientation retained	orientation and operator-choice gates remain	OPEN	COMPATIBLE_AS_CONDITIONAL_CONTROL	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	A global line exists but a complete calibrated pair and its middle transitions are not owned.	udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv::Q02_SQUASHED_S3_OFF_SHELL
R15	Q03_WRL_LOCAL	LOCAL_RADIAL_PAIR	LOCAL_ONLY	LOCAL_RANK_TWO_SCREEN	NONE	NONE	SPHERICAL_SLICE_ONLY	global completion absent	CONDITIONAL_LOCAL_PROFILE_ONLY	COMPATIBLE_IN_DECLARED_LOCAL_SNE_ROLE	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	This is not a complete metric branch; its valid local or SNe role is not invalidated.	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv::Q03_WRL_LOCAL:LOCAL_RADIAL
R16	Q04_PHYSICAL_XMAX_JOIN	ABSENT	ABSENT	NONE	NONE	NONE	NONE	absent configuration	OPEN	CURRENT_XMAX_IS_ASYMPTOTIC_NOT_A_JOIN	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	No metric configuration exists, and current Xmax semantics forbid treating the asymptote as a supplied seal or join.	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv::Q04_PHYSICAL_XMAX_JOIN:NONE;CURRENT_SCIENTIFIC_PREMISES.tsv::G14
R17	W01_TWISTED_RECIPROCAL_S3	GLOBAL_INTRINSIC_CLOCK_RULER_PROJECTOR_AND_SCREEN	LEVI_CIVITA_PATH_ARROWS_WITH_PROJECTED_CONNECTION	GLOBAL_FIXED_RANK_ON_REGULAR_R_x_S3	PATH_STATE_CARRIED_BY_CONNECTION	NONIDENTITY_FULL_AMBIENT_HOLONOMY_ALLOWED	PAIR_SCREEN_MIXING_AND_GENERAL_SCREEN_RESPONSE_RETAINED	null alignment failure and causal/rank strata explicit	CONDITIONAL_STATIONARY_ENDPOINT_DEPTH;GENERAL_MIXED_SCALAR_OPEN	COMPATIBLE_WITH_G28_G36_G40	PATH_BRANCH_GROUPOID_OWNED	The metric owns a geometric path-labelled family and global projector, not the physical non-isometric pair functor or a universal scalar c_eff law.	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv::B01-B02-B13;udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv::W01
R18	W02_STATIC_GENERIC_LAPSE_ROUND_S3	GLOBAL_UNIQUE_TIMELIKE_KILLING_CALIBRATION_LINE	ENDPOINT_RATIO_FROM_ONE_SHARED_KILLING_STATE	GLOBAL_NONVANISHING_CLOCK_LINE	SHARED_K_FIELD_OWNS_MIDDLE_CLOCK_STATE	IDENTITY_FOR_ENDPOINT_CLOCK_COBOUNDARY	NO_INTRINSIC_RULER_OR_SCREEN_SELECTED	K timelike regular control; ruler absence explicit	DERIVED_CONDITIONAL_CLOCK_DEPTH;TERMINAL_PAIR_EQUALITY_REQUIRES_TL_EQUAL_1	COMPATIBLE_WITH_G36_G37	COMMON_CALIBRATED_ATLAS_OWNED	Only the clock-calibration endpoint subfamily is globally owned; the complete physical reciprocal pair relation remains open.	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/STATUS_LEDGER.tsv::S04-S05-S10;udt_calibrated_pair_map_owner_atlas_2026-08-09/AUDIT_REPORT.md
R19	W03_ULTRASTATIC_S3	GLOBAL_CLOCK_LINE_WITH_ZERO_DEPTH	ISOMETRIC_PATH_TRANSPORT	GLOBAL_BUT_SPATIAL_DIRECTION_UNSELECTED	PAIR_STATE_UNOWNED	ZERO_ENDPOINT_CLOCK_RETURN;SO3_PATH_HOLONOMY	chosen Hopf screen conditional	isotropy and zero-response control	ZERO_ONLY	COMPATIBLE_AS_ZERO_CONTROL	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	A zero clock relation is not a selected complete observer-pair family.	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv::B03;udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv::W03
R20	W04_MULTIPLE_KILLING_CONTROL	MULTIPLE_GLOBAL_CLOCK_LINES	EACH_CHOICE_HAS_CONDITIONAL_ENDPOINT_RELATION	GLOBAL_REGULAR_BUT_NONUNIQUE	NO_OWNER_SELECTS_ONE_MIDDLE_STATE	CHOICE_DEPENDENT	multiple natural planes retained	isometry-enhanced ambiguity explicit	MULTIPLE_CONDITIONAL_CANDIDATES	COMPATIBLE_AS_NONUNIQUENESS_CONTROL	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	The branch proves nonuniqueness rather than owning a single relation family.	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv::W04;udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv::B15
R21	W05_CAUSAL_SLICE_BOUNDARY	SCREEN_MAY_REMAIN_POSITIVE_WHILE_SLICE_DEGENERATES	NO_COMPLETE_PATH_ACROSS_DECLARED_STRATUM	SLICE_RANK_OR_SIGNATURE_TRANSITION	UNOWNED	UNDEFINED_ACROSS_BOUNDARY	SCREEN_NOT_AUTOMATICALLY_LOST	slice-null boundary explicit; four-metric may remain regular	OPEN	COMPATIBLE_AS_DEGENERACY_CONTROL	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	The declared object is a transition stratum, not a supplied complete relation family across it.	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv::W05:REGISTERED_CONTROL
R22	W06_TWIST_FREE_NONCONSTANT_CLOCK	SUPPLIED_GLOBAL_CLOCK_WITHOUT_INTRINSIC_RULER	CONDITIONAL_ENDPOINT_CLOCK_RATIO	GLOBAL_CLOCK_ONLY	CLOCK_PRESENTATION_SUPPLIED_NOT_METRIC_SELECTED	IDENTITY_FOR_SUPPLIED_ENDPOINT_CLOCK_RATIO	PAIR_SCREEN_OWNER_ABSENT	twist-off removes ruler-selection route	CONDITIONAL_CLOCK_ONLY	COMPATIBLE_AS_SEPARATION_CONTROL	LOCAL_RELATIONS_GLOBAL_OWNERSHIP_OPEN	A supplied clock relation does not derive the complete pair flag or physical middle carry.	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_UNIVERSE.tsv::W06
R23	GENERAL_SCREEN_S3_REGULAR_FAMILY	GLOBAL_RECIPROCAL_COFRAME_PLUS_ARBITRARY_INVERTIBLE_SCREEN	LEVI_CIVITA_PATH_ARROWS_ON_COMPLETE_COFRAME	GLOBAL_RANK_FOUR_FOR_DET_P_NONZERO	PATH_STATE_CARRIED_BY_CONNECTION	PATH_HOLONOMY_ALLOWED;NO_PARALLEL_PAIR_SCREEN_SPLIT	ALL_AREA_SHEAR_ROTATION_AND_PAIR_SCREEN_MIXING_RETAINED	detP zero boundary; slice-sign strata; polar chart degeneracy explicit	GENERAL_MIXED_SCALAR_OPEN	COMPATIBLE_WITH_PHI_ORCHESTRA_G28	PATH_BRANCH_GROUPOID_OWNED	This owns the complete-coframe geometric path family only; arbitrary screen data and the physical calibration arrow remain unselected.	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md;udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv
R24	TORIC_DUAL_SYSTOLE_SET_VALUED_FAMILY	UNORDERED_SHORTEST_LINE_SET_WITH_SINGLETON_CHAMBERS	SET_EQUIVARIANT_TRANSPORT;SINGLE_LINE_ONLY_INSIDE_TIE_FREE_CHAMBER	GLOBAL_SET_WITH_WALL_STRATA	SET_OWNED;SINGLE_MEMBER_UNOWNED_AT_TIE	EXCHANGE_OR_MONODROMY_ALLOWED	TORIC_LINE_EXCHANGE_RETAINED	tie walls explicitly change singleton to unordered pair	OPEN	COMPATIBLE_AS_PROJECTOR_STRUCTURE_ONLY	STRATIFIED_MIXTURE_OWNED	The global set-valued projector family survives, but it is not yet a complete physical calibrated observer-pair arrow or scalar depth law.	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv::B08-B09
