path	sha256	size_bytes	version_note
udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/AUDIT_REPORT.md	c7c96194a8baf3465b2d8c58ff19051ee2937b4b7f7a5d0e8859ad1a26651d84	2047	local bytes at source-first seal; reading scope recorded in requirements
udt_g180_completed_pair_smooth_family_descent_2026-08-19/AUDIT_REPORT.md	ec92df1229846fbe457f5a43f860c32228b429810b856caf7912b0143b34b36b	2628	local bytes at source-first seal; reading scope recorded in requirements
udt_g270_completed_pair_transported_screen_ownership_2026-08-26/AUDIT_REPORT.md	167dd2299513f252f67795f4cdde63e3240bc6d5f0365e783dc4e39921c64a65	2009	local bytes at source-first seal; reading scope recorded in requirements
udt_g289_native_kernel_hopfion_compatibility_history_constraint_audit_2026-08-28/AUDIT_REPORT.md	b0a660145d706efda621b8f4dd90651ee7cca4718c320f32c8da2948dc9fbe35	4292	local bytes at source-first seal; reading scope recorded in requirements
udt_g289_native_kernel_hopfion_compatibility_history_constraint_audit_2026-08-28/EXACT_DERIVATION.md	1d3a4032b04e78c47b71fff858cba967cf26b2e8a9c4ac66bed06ba818e3484a	5480	local bytes at source-first seal; reading scope recorded in requirements
udt_g300_metric_celestial_query_bundle_descent_2026-08-29/AUDIT_REPORT.md	3ad7382bc3e005dac91199bf724f941a130ac8730935af1932c2b5f417413fa5	2507	local bytes at source-first seal; reading scope recorded in requirements
udt_g305_global_completion_hopf_domain_bridge_2026-08-30/AUDIT_REPORT.md	6fb44360a2ec8b389e156d95beb69719b7ebba4c65790e21f363002a05ae5b6b	3391	local bytes at source-first seal; reading scope recorded in requirements
udt_g306_intrinsic_hopf_section_frame_descent_classification_2026-08-30/AUDIT_REPORT.md	6471bdb75d721fa9894eaa2369c0af7e5b4355f282aeb06d394a261c50af2f75	3086	local bytes at source-first seal; reading scope recorded in requirements
udt_g307_directed_relation_hopf_member_reconstruction_2026-08-30/AUDIT_REPORT.md	b9bb40aaf4e152c3f9c060d6b12a316e484433717266c450f1d1daed8f3dc6b5	2956	local bytes at source-first seal; reading scope recorded in requirements
udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	c8f9e5547c13067282d37bfb51db78d13bbdc06b48ef50f8f3f498e196abcb57	2277	local bytes at source-first seal; reading scope recorded in requirements
udt_g330_berger_hopf_eigenline_local_persistence_2026-09-02/AUDIT_REPORT.md	9e7eeb08f669a1cf27ec18f459cafddf38a833a4f20bec2548de0caffcd13250	4807	local bytes at source-first seal; reading scope recorded in requirements
udt_g330_berger_hopf_eigenline_local_persistence_2026-09-02/EXACT_DERIVATION.md	92a070f5aeeee1241da9465b379c14c75b11cc033b7560709ba8db2ef32f6afb	8385	local bytes at source-first seal; reading scope recorded in requirements
udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/AUDIT_REPORT.md	0b489b4741b5943619ac18272c48e1e23456ac0e534d78883aaf5cf6a7f1b279	5060	local bytes at source-first seal; reading scope recorded in requirements
udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/EXACT_DERIVATION.md	9182ee3ee42e346c16059fd330c00d9399b692d0f992e25e6dd29edbe3f56a1e	9682	local bytes at source-first seal; reading scope recorded in requirements
udt_g332_weighted_contact_vacuum_constraint_embedding_2026-09-03/AUDIT_REPORT.md	6a8a7d294f80dc4cc97fc8704a4032830a51a6e852c27b01bd209e5282b6be51	3394	local bytes at source-first seal; reading scope recorded in requirements
udt_g332_weighted_contact_vacuum_constraint_embedding_2026-09-03/EXACT_DERIVATION.md	1e1ce4ee663c292285adf09b52c7ac4aa437eaea84be6670123fbff843c5cef6	7999	local bytes at source-first seal; reading scope recorded in requirements
udt_g374_g375_conditional_banking_2026-09-08/prebank_356.command.txt	89dfded69eb8a133803cbecce029b79e5a7a889c5d0151bee29fa2b2860f75b6	1149	local bytes at source-first seal; reading scope recorded in requirements
udt_g374_g375_conditional_banking_2026-09-08/prebank_356.json	a96d710a6ac21600c9074d374ecf7438ad7aafbf4c045781621e0311cac87fa1	2229	local bytes at source-first seal; reading scope recorded in requirements
udt_g374_g375_conditional_banking_2026-09-08/prebank_356.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	local bytes at source-first seal; reading scope recorded in requirements
udt_g374_g375_conditional_banking_2026-09-08/prebank_356.stdout	8ec1b89b681421857f7b2144072c3f7095e0dfb9212e26a5a606796de265fd5f	1822	local bytes at source-first seal; reading scope recorded in requirements
udt_hopfion_bridge_stability_reassessment_2026-09-08/REVIEW_RUNTIME_DISPATCH.md	0c6f213d68c99136b015b649308f5b3e1cfe15958f51cbc7bc76fe907a52e4a3	2899	local bytes at source-first seal; reading scope recorded in requirements
udt_hopfion_bridge_stability_reassessment_2026-09-08/WORK_ORDER.md	d702795004ff56fac9effffa371d169e38b8638d0a3538d8175e45e36243abb1	5550	local bytes at source-first seal; reading scope recorded in requirements
udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv	1483331ab0e00bc6f800589edaaf56fff7c670a75292e49a05adc9935a063bdf	2824	local bytes at source-first seal; reading scope recorded in requirements
udt_vacuum_common_scale_campaign_2026-09-08/DECISION_BRIEF.md	3f71aed5637bb7b948015a97cc2ddb6493e101153af30fb9b56d4bfff2c329cd	3935	local bytes at source-first seal; reading scope recorded in requirements
