slot	report	report_sha256	landing_heading	landing_extract	ceiling_extracts
G175	udt_g175_relation_wide_calibration_equivalence_audit_2026-08-19/AUDIT_REPORT.md	e31209f844a84d1cb06fc0953bc8f9f421b7d4e2d6bcb0c94298143f0954d5ce	Primary landing	```text\nA_LOCAL_CALIBRATION_DOES_NOT_OWN_RELATION_WIDE_CARRY\n__ONE_SUPPLIED_CALIBRATED_PAIR_MAP_DOES\n__ALL_ENDPOINT_DEPTHS_FIX_EXACTLY_ONE_CONSTANT_UNIT_CLASS\n__POINTWISE_METRIC_UNIT_IS_A_DIFFERENT_CALIBRATION_NOT_THE_FOUNDED_CARRIED_TAPE\n```\n\nThe remaining calibration question is now sharply localized. Calibrating the ruler at A does not\ndetermine its markings at B: a smooth positive recalibration can equal one on an entire\nA-neighborhood and still alter the B endpoint depth. This preserves the primary metric, pair image,\nrank, orientation, and every A-local jet.\n\nOne fully supplied calibrated pair map remains sufficient. Its relation-wide coordinate fixes the\nG174 density and scalar. On a connected tape, two ruler densities yield identical depth for every\nendpoint pair exactly when they differ by one positive constant. The scalar network therefore\nforgets only the overall ruler unit—not a regime-dependent calibration function.	[Maximum conclusion]\nG175 classifies the calibration equivalence of one bounded connected static pair tape. It does not\nselect the physical pair map or ruler, derive cross-tape carry, or add paths, connections, dynamics,\nglobal completion, `X_max`, observations, action, source, matter, bootstrap, signalling, or canon.\n\nCurrent grade: `VERIFIED_WITH_CAVEATS` for the bounded calibration-equivalence theorem.
G176	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/AUDIT_REPORT.md	c7c96194a8baf3465b2d8c58ff19051ee2937b4b7f7a5d0e8859ad1a26651d84	Primary landing	```text\nCOMPLETED_PAIR_DUAL_RECIPROCITY_UNIQUELY_FIXES_RECIPROCAL_RULER\n__ARBITRARY_CALIBRATIONS_ARE_CONTROL_QUERIES_NOT_RIVAL_KERNELS\n__SCALAR_KERNEL_NORMALIZATION_CLOSED_ON_SUPPLIED_REGULAR_COMPLETED_PAIRS\n```\n\nCharles provisionally clarified that Dual Reciprocity applies after angular, screen, and mixing\ndata enter the physical observer-pair pullback. On the generic regular shifted pair\n\n\[\nh_\sigma=-T^2(dy^0+\beta d\sigma)^2+L_\sigma^2d\sigma^2,\n\]\n\nthe completed reciprocal condition uniquely fixes\n\n\[\n\boxed{m=T L_\sigma=\sqrt{-\det h_\sigma}}.\n\]\n\nCompact verifier form: `m=T L_sigma=sqrt(-det h_sigma)`.\n\nThe calibrated pair has determinant \(-1\), reciprocal scales \(L=1/T\), retained shift, and\nterminal scalar \(\Phi=-\log T\). In the G173 static family this becomes\n\n\[\nm^2=e^{-2\phi}H,\n\qquad \Phi=\phi,\n\]\n\nand stays regular through angular radial turns with nonzero complete spatial tangent.\n\nG173--G175 remain valid controls over arbitrary calibrated curves. Their alternatives are not\nmultiple outputs from the physical UDT reciprocal kernel after the domain clarification.	[Maximum conclusion]\nThe scalar normalization is closed for supplied regular completed physical UDT reciprocal pairs,\nconditional on the adopted working clarification. G176 does not select pair events or germs, prove\nglobal completion, derive non-scalar transport, or supply observational or dynamical physics.\n\nCurrent grade: `VERIFIED_WITH_CAVEATS__DERIVED_CONDITIONAL_ON_WORKING_FOUNDATIONAL_CLARIFICATION`.
G177	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/AUDIT_REPORT.md	1b7606e864157f4a0941b32b6d6f93528bcd4bc739ddc22db4d92d23b754fc09	Primary landing	```text\nSCAFFOLD_FREE_BOUNDED_KERNEL\n__ONLY_METRIC_GERM_PULLBACK_AND_DUAL_RECIPROCITY_LOAD_BEARING\n__PHYSICAL_EVENT_AND_GERM_REALIZATION_REMAINS_OPEN\n```\n\nThe G176 kernel reconstructs from only:\n\n1. the primary metric;\n2. a supplied regular pair germ;\n3. its complete pullback;\n4. the G176 working completed-pair Dual Reciprocity clarification.\n\nEvery registered historical scaffold can be deleted without changing the proof. Angular, screen,\nmixing, and shift information enters through the complete pair tensor before reciprocal\nnormalization. Shift remains active, spatial orchestra changes the ruler map, and clock-side\norchestra changes depth.	[Maximum conclusion]\nThe bounded local completed-pair scalar kernel is scaffold-free under the G176 working\nclarification. This does not select physical events or germs, globalize the theorem, close\nnon-scalar transport, or derive observations, radiative transfer, dynamics, action, source, matter,\nbootstrap, mass, `X_max`, or signalling.\n\nCurrent grade: `VERIFIED_WITH_CAVEATS__FRESH_ADVERSARIAL_REVIEW_PENDING`.
G178	udt_g178_completed_pair_kernel_fresh_adversarial_review_2026-08-19/AUDIT_REPORT.md	df7db9300a350d5721874175b4d0f2eff60967d7588eb0f763f63fffa32d7744	Primary landing	`G176_G177_ACCEPTED_WITH_STATED_BOUNDS`\n\nA fresh sealed external review failed to break the G176 completed-pair normalization or G177\nscaffold subtraction. The review independently recovered\n\n[\nm=T L_sigma=sqrt{-det h_sigma},\nqquad\nPhi=-log T,\n]\n\nfrom the working premise (T_sL_s=1) after the complete pullback.	[Maximum conclusion]\nThe bounded local scalar kernel is externally accepted on supplied regular completed pair\npullbacks, conditional on the adopted working clarification. Broader nonspherical/time-live\nrealizations, singular/global strata, event/germ construction, non-scalar transport, completion,\nand observations remain outside this review.
G179	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/AUDIT_REPORT.md	fe4d0aa56a734ca58972ea8123264efa6e0b979831f7f618eab8f69afa7ee2f2	Primary result	G179 reaches the preregistered landing:\n\n```text\nGENERAL_COMPLETE_COFRAME_PULLBACK_EXTENDS_COMPLETED_PAIR_KERNEL_WITHOUT_EXTRA_SCALAR\n```\n\nFor any supplied invertible Lorentz coframe (E) and supplied rank-two germ (J), form the entire\npair metric first:\n\n\[\nh=J^TE^T\eta_4EJ.\n\]\n\nOn (h_{00}<0), (det h<0), the adopted completed-pair application of Dual Reciprocity uniquely\ngives\n\n\[\nm=\sqrt{-\det h},\n\qquad\n\Phi=-\frac12\log(-h_{00}),\n\qquad\n\det h_s=-1.\n\]\n\nNo additional scalar, coefficient, path, score, or regime function occurs.	[Scientific grade]\n`DERIVED_CONDITIONAL__FRESH_EXTERNALLY_ACCEPTED_WITH_STATED_BOUNDS`\n\nThis is a general local scalar-kernel theorem on supplied regular completed pair germs, conditional\non the `WORKING_FOUNDATIONAL_CLARIFICATION`. It is not canon and does not select observer events or\ngerms, determine a global history, close singular strata, or derive non-scalar transport,\n`X_max`, observations, radiative transfer, dynamics, source, matter, or signalling.
G180	udt_g180_completed_pair_smooth_family_descent_2026-08-19/AUDIT_REPORT.md	ec92df1229846fbe457f5a43f860c32228b429810b856caf7912b0143b34b36b	Primary result	G180 reaches the preregistered landing:\n\n```text\nCOMPLETED_PAIR_SMOOTH_FAMILY_DESCENT__ORCHESTRA_ENTERS_THE_PHYSICAL_TAPE_MAP\n```\n\nOn every supplied connected smooth regular pair family, the already derived density\n\n\[\nm(\sigma)=\sqrt{-\det h_\sigma(\sigma)}\n\]\n\nis smooth and positive. Its integral defines one completed ruler coordinate up to origin and\norientation. In that coordinate, the full pair metric has determinant `-1`, reciprocal clock/ruler\nfactors, retained shift, and\n\n\[\n\Phi=-\frac12\log(-h_{00}).\n\]\n\nNo extra scalar or carry rule is required.	[Scientific grade and ceiling]\n`DERIVED_CONDITIONAL__EXTERNALLY_ACCEPTED_WITH_STATED_BOUNDS__REPAIR_ACCEPTED`\n\nThe result is conditional on the working completed-pair clarification and on a supplied smooth\nregular family. It does not select events or families, prove a positive metric-space distance,\nglobalize across singularities or branches, close non-scalar transport, derive `X_max`, or validate\nobservations or dynamics.
G181	udt_g181_completed_pair_singular_endpoint_classification_2026-08-19/AUDIT_REPORT.md	2b53e7fcb85729444245f2a931d1a4ae740f816038498e73dcd6f20ab5a03d8d	Result	G181 reaches the preregistered bounded landing:\n\n```text\nCOMPLETED_PAIR_ENDPOINT_CLASSIFICATION__REMOVABLE_STALLS_SEPARATED_FROM_INTRINSIC_BOUNDARIES\n```\n\nFor a supplied smooth pair family regular on its open interior, the completed coordinate remains\nvalid there. The approached endpoint is at finite completed tape exactly when\n`m=sqrt(-det h)` is integrable. A finite endpoint has a regular completed metric in the retained\nclock calibration exactly when `T` tends to a finite positive limit and `beta/m` tends to a finite\nlimit.\n\nThe main clarification is that `m -> 0` is not automatically an intrinsic singularity. A\none-sided auxiliary parameter stall can be removed exactly by the completed coordinate. Conversely,\nthe same `m -> 0` behavior can accompany a nonextendible completed coefficient limit. Two-sided\nbranch or immersion carry is not decided by the pair metric alone.	[Grade and ceiling]\n`DERIVED_CONDITIONAL__PREREGISTERED_AT_A4DACEA9__EXTERNAL_REPAIR_ACCEPTED__BOUNDED_GEOMETRY_RETAINED`\n\nThis is a one-sided supplied-family endpoint classification. Physical family selection,\ntwo-sided branches, null/cut/focal/topology-changing strata, non-scalar transport, global\ncompletion, metric-space distance, numerical `X_max`, dynamics, and observations remain open.
G182	udt_g182_completed_pair_two_sided_carry_classification_2026-08-19/AUDIT_REPORT.md	8a7b1e61373bcbc38620cd311deb5a56a3bd4b2c4800b5f0b5c9af823d150edf	Bounded landing	```text\nTWO_SIDED_PAIR_METRIC_CARRY_CLASSIFIED__FULL_GERM_JETS_REQUIRED_FOR_IMMERSION_CARRY\n```\n\nFor two supplied G181-regular finite one-sided endpoints, first supply the endpoint clock and ruler\norientation identification. In that carried completed chart, the intrinsic pair metric joins `C^k`\nif and only if the clock factor `T` and normalized shift `B` have matching one-sided jets through\norder `k`. Equivalently, in outward one-sided rulers,\n\n```text\nT_plus^(j) = (-1)^j T_minus^(j)\nB_plus^(j) = (-1)^(j+1) B_minus^(j).\n```\n\nThe reciprocal scalar `Phi=-log T` tests only the first condition. It cannot certify shift or full\nmetric carry.\n\nEven a smooth completed pair metric does not certify a smooth ambient pair realization. The Gram\nmap `V -> V^T eta V` forgets full tangent direction and higher extrinsic jets. A supplied immersion\njoins `C^k` only when its common endpoint and complete coframe-valued tangent jets through order\n`k-1` match. This uses data already present in the complete supplied pair germ; no extra scalar is\nintroduced.	NONE
G183	udt_g183_pair_degenerate_multibranch_strata_classification_2026-08-19/AUDIT_REPORT.md	4100ffdaa074e60e0f002ecab58b780dd668b529a7c5dd2ebd5639e2b35147f5	Bounded landing	```text\nPAIR_STRATA_SEPARATED__REGULAR_MULTIBRANCH_KERNEL_REMAINS_BRANCH_LABELLED\n```\n\nWithin the preregistered strata, the accepted kernel remains valid on every regular calibrated\nLorentzian branch. A null curve inside that plane does not break it. A null chosen clock with\nnegative determinant is a chart failure, not plane degeneracy. A rank-two null plane can instead\nhave a rank-one induced metric, while a rank-two spacelike plane has no observer clock. Only with a\nvalid timelike clock is determinant zero exactly tangent rank loss.\n\nCut, crossing, and winding multiplicity can instead leave every branch regular. The metric then\nevaluates a branch-indexed family. Equal endpoints, scalar depth, or even completed pair metric do\nnot select or identify the branches. Focal/caustic failure occurs only when the differential of the\nparticular query realization loses rank in the sampled variation.	[Grade and ceiling]\n`DERIVED_CONDITIONAL__PREREGISTERED_AT_65645E65__INDEPENDENT_EXACT_REPLAY_PASS__EXTERNAL_REPAIR_FOLLOWUP_ACCEPTED`\n\nThe metric, query, calibration, and branch family remain supplied. G183 classifies their local\ndomain and output type; it does not select a physical branch, define a positive metric-space\ndistance, identify a singularity or global completion, derive nontrivial holonomy, or import\n`X_max`, observations, radiative transfer, dynamics, action, source, matter, bootstrap, or signalling.\n\nFresh external review isolated one packaging defect. The exact repair-only follow-up returned\n`G183_REPAIR_ACCEPTED`; the bounded classification is bankable with the unchanged ceiling above.
G184	udt_g184_regular_branch_equivalence_classification_2026-08-19/AUDIT_REPORT.md	fd1d0ed0d4b704a301ca752ac91d22d22ef4ff77c574cb05dba4d926e0160b84	Primary result	G184 reaches the corrected preregistered landing:\n\n```text\nTYPED_REALIZATION_ISOMORPHISM_CLASSIFIES_REGULAR_BRANCH_EQUIVALENCE__KERNEL_IS_NOT_A_COMPLETE_REALIZATION_INVARIANT\n```\n\nTwo supplied regular branches are the same realization in different coordinates exactly when a\nquery-preserving pair-domain diffeomorphism makes their immersion diagram commute. If the fully\ntyped query explicitly admits ambient isometries, the quotient can be enlarged by those symmetries.\nThe two quotients must not be silently conflated.\n\nThe metric-native completed kernel descends through either lawful quotient. The converse fails:\nequal endpoints, depth, tape, pair metric, or image do not generally establish realization\nequivalence.	[Scientific grade and ceiling]\n`VERIFIED_WITH_CAVEATS__FRESH_EXTERNAL_REPAIR_FOLLOWUP_ACCEPTED`\n\nThis is one bounded quotient tile on the G183 regular branch arena. It does not define the physical\nquery symmetry group, select a branch or observer population, infer holonomy, extend through a\ndegenerate stratum, or derive any global completion, `X_max`, observation, dynamics, action, source,\nmatter, bootstrap, radiative-transfer, or signalling result.
G185	udt_g185_completed_pair_sne_channel_necessity_replay_2026-08-20/AUDIT_REPORT.md	8dc2c69f09ac01b241832e4c21c1bce44bd25b371d9071130ff5bc0e4355b29b	Landing	```text\nCENTRAL_SPHERICAL_SNE_QUERY_RETAINS_THE_FULL_RELEVANT_METRIC_RESPONSE\n__RADIAL_PAIR_ANGULAR_TANGENT_ZERO_IS_QUERY_DERIVED\n__AREAL_SKY_RESPONSE_R2_REMAINS_ACTIVE\n__FROZEN_DUAL_SNE_REPLAY_IS_CONDITIONALLY_PRESERVED\n```\n\nFinal grade: `EXTERNALLY_REVIEWED_VERIFIED_WITH_CAVEATS`.	[What remains open]\n- native UDT radiative transfer;\n- derivation of the physical `R(Z)` or `phi(r)` history;\n- displaced, nonspherical, nonradial, mixed, caustic, and multiple-image queries;\n- physical branch population and aggregation;\n- global completion and `X_max`;\n- BAO, CMB, dynamics, matter, bootstrap, and signalling.\n\nThe SNe result is a non-regression and channel-ownership result. It is not a new fit or a complete\ncosmological validation.
G186	udt_g186_nonradial_completed_pair_channel_resolution_2026-08-20/AUDIT_REPORT.md	ec46a6ca3f3a5ae2e9f609a70ed44bbbdc3a3bac7f3a471e3393c4eb97370fb9	Primary landing	NONRADIAL_COMPLETED_PAIR_CHANNELS_RESOLVE_WITHOUT_EXTRA_SCALAR\n__CLOCK_ANGULAR_NORM_CONTROLS_DEPTH\n__FULL_ANGULAR_GRAM_CONTROLS_TAPE_SHIFT_AND_LOCAL_SCREEN\n\nCurrent grade: EXTERNALLY_REVIEWED_VERIFIED_WITH_CAVEATS.	[Caveats]\nThe pair germ is supplied, and the clock/ruler component restrictions define one bounded local\nquery class. The local screen projector is not a finite Jacobi map or luminosity response. G186\ndoes not derive physical observer population, finite propagation, transfer, R(Z), a nonspherical\nambient metric, global completion, or downstream physics.
