slot	directory	primary_report	exact_derivation	registry_row	registry_term	current_controlling_source	historical_report_is_current_controller
G175	udt_g175_relation_wide_calibration_equivalence_audit_2026-08-19	udt_g175_relation_wide_calibration_equivalence_audit_2026-08-19/AUDIT_REPORT.md	udt_g175_relation_wide_calibration_equivalence_audit_2026-08-19/EXACT_DERIVATION.md	PRESENT	relation_wide_calibration_equivalence	udt_g175_relation_wide_calibration_equivalence_audit_2026-08-19/AUDIT_REPORT.md	true
G176	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/AUDIT_REPORT.md	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EXACT_DERIVATION.md	PRESENT	completed_pair_dual_reciprocity_consolidation	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/AUDIT_REPORT.md	true
G177	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/AUDIT_REPORT.md		PRESENT	completed_pair_kernel_scaffolding_regression	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/AUDIT_REPORT.md	true
G178	udt_g178_completed_pair_kernel_fresh_adversarial_review_2026-08-19	udt_g178_completed_pair_kernel_fresh_adversarial_review_2026-08-19/AUDIT_REPORT.md		PRESENT	completed_pair_kernel_fresh_external_adversarial_review	udt_g178_completed_pair_kernel_fresh_adversarial_review_2026-08-19/AUDIT_REPORT.md	true
G179	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/AUDIT_REPORT.md	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/EXACT_DERIVATION.md	PRESENT	complete_coframe_completed_pair_kernel_extension	udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/AUDIT_REPORT.md	true
G180	udt_g180_completed_pair_smooth_family_descent_2026-08-19	udt_g180_completed_pair_smooth_family_descent_2026-08-19/AUDIT_REPORT.md	udt_g180_completed_pair_smooth_family_descent_2026-08-19/EXACT_DERIVATION.md	PRESENT	completed_pair_smooth_family_descent	udt_g180_completed_pair_smooth_family_descent_2026-08-19/AUDIT_REPORT.md	true
G181	udt_g181_completed_pair_singular_endpoint_classification_2026-08-19	udt_g181_completed_pair_singular_endpoint_classification_2026-08-19/AUDIT_REPORT.md	udt_g181_completed_pair_singular_endpoint_classification_2026-08-19/EXACT_DERIVATION.md	PRESENT	completed_pair_singular_endpoint_classification	udt_g181_completed_pair_singular_endpoint_classification_2026-08-19/AUDIT_REPORT.md	true
G182	udt_g182_completed_pair_two_sided_carry_classification_2026-08-19	udt_g182_completed_pair_two_sided_carry_classification_2026-08-19/AUDIT_REPORT.md	udt_g182_completed_pair_two_sided_carry_classification_2026-08-19/EXACT_DERIVATION.md	PRESENT	completed_pair_two_sided_carry_classification	udt_g182_completed_pair_two_sided_carry_classification_2026-08-19/AUDIT_REPORT.md	true
G183	udt_g183_pair_degenerate_multibranch_strata_classification_2026-08-19	udt_g183_pair_degenerate_multibranch_strata_classification_2026-08-19/AUDIT_REPORT.md	udt_g183_pair_degenerate_multibranch_strata_classification_2026-08-19/EXACT_DERIVATION.md	PRESENT	pair_degenerate_multibranch_strata_classification	udt_g183_pair_degenerate_multibranch_strata_classification_2026-08-19/AUDIT_REPORT.md	true
G184	udt_g184_regular_branch_equivalence_classification_2026-08-19	udt_g184_regular_branch_equivalence_classification_2026-08-19/AUDIT_REPORT.md	udt_g184_regular_branch_equivalence_classification_2026-08-19/EXACT_DERIVATION.md	PRESENT	regular_branch_realization_equivalence_classification	udt_g184_regular_branch_equivalence_classification_2026-08-19/AUDIT_REPORT.md	true
G185	udt_g185_completed_pair_sne_channel_necessity_replay_2026-08-20	udt_g185_completed_pair_sne_channel_necessity_replay_2026-08-20/AUDIT_REPORT.md	udt_g185_completed_pair_sne_channel_necessity_replay_2026-08-20/EXACT_DERIVATION.md	ABSENT_META_OR_CONTROL			false
G186	udt_g186_nonradial_completed_pair_channel_resolution_2026-08-20	udt_g186_nonradial_completed_pair_channel_resolution_2026-08-20/AUDIT_REPORT.md	udt_g186_nonradial_completed_pair_channel_resolution_2026-08-20/EXACT_DERIVATION.md	PRESENT	nonradial_completed_pair_channel_resolution	udt_g186_nonradial_completed_pair_channel_resolution_2026-08-20/AUDIT_REPORT.md	true
G187	udt_g187_nonradial_finite_jacobi_screen_propagation_2026-08-20	udt_g187_nonradial_finite_jacobi_screen_propagation_2026-08-20/AUDIT_REPORT.md	udt_g187_nonradial_finite_jacobi_screen_propagation_2026-08-20/EXACT_DERIVATION.md	PRESENT	finite_nonradial_jacobi_screen_propagation	udt_g187_nonradial_finite_jacobi_screen_propagation_2026-08-20/AUDIT_REPORT.md	true
G188	udt_g188_complete_coframe_null_jacobi_extension_2026-08-20	udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/AUDIT_REPORT.md	udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/EXACT_DERIVATION.md	PRESENT	complete_coframe_null_jacobi_extension	udt_g188_complete_coframe_null_jacobi_extension_2026-08-20/AUDIT_REPORT.md	true
G189	udt_g189_p1_free_metric_flux_interface_2026-08-20	udt_g189_p1_free_metric_flux_interface_2026-08-20/AUDIT_REPORT.md	udt_g189_p1_free_metric_flux_interface_2026-08-20/EXACT_DERIVATION.md	PRESENT	p1_free_metric_flux_interface	udt_g189_p1_free_metric_flux_interface_2026-08-20/AUDIT_REPORT.md	true
G190	udt_g190_completed_pair_timelive_frequency_screen_join_2026-08-20	udt_g190_completed_pair_timelive_frequency_screen_join_2026-08-20/AUDIT_REPORT.md	udt_g190_completed_pair_timelive_frequency_screen_join_2026-08-20/EXACT_DERIVATION.md	PRESENT	completed_pair_timelive_frequency_screen_join	udt_g190_completed_pair_timelive_frequency_screen_join_2026-08-20/AUDIT_REPORT.md	true
G191	udt_g191_nonconformal_timelive_mixing_join_2026-08-20	udt_g191_nonconformal_timelive_mixing_join_2026-08-20/AUDIT_REPORT.md	udt_g191_nonconformal_timelive_mixing_join_2026-08-20/EXACT_DERIVATION.md	PRESENT	nonconformal_timelive_mixing_join	udt_g191_nonconformal_timelive_mixing_join_2026-08-20/AUDIT_REPORT.md	true
G192	udt_g192_smooth_timelive_mixing_family_classification_2026-08-20	udt_g192_smooth_timelive_mixing_family_classification_2026-08-20/AUDIT_REPORT.md	udt_g192_smooth_timelive_mixing_family_classification_2026-08-20/EXACT_DERIVATION.md	PRESENT	smooth_timelive_mixing_family_classification	udt_g192_smooth_timelive_mixing_family_classification_2026-08-20/AUDIT_REPORT.md	true
G193	udt_g193_noncommuting_transverse_mixing_extension_2026-08-20	udt_g193_noncommuting_transverse_mixing_extension_2026-08-20/AUDIT_REPORT.md	udt_g193_noncommuting_transverse_mixing_extension_2026-08-20/EXACT_DERIVATION.md	PRESENT	noncommuting_transverse_mixing_extension	udt_g193_noncommuting_transverse_mixing_extension_2026-08-20/AUDIT_REPORT.md	true
G194	udt_g194_general_symmetric_screen_mixing_closure_2026-08-20	udt_g194_general_symmetric_screen_mixing_closure_2026-08-20/AUDIT_REPORT.md	udt_g194_general_symmetric_screen_mixing_closure_2026-08-20/EXACT_DERIVATION.md	PRESENT	general_symmetric_screen_mixing_closure	udt_g194_general_symmetric_screen_mixing_closure_2026-08-20/AUDIT_REPORT.md	true
G195	udt_g195_antisymmetric_screen_rotation_boundary_2026-08-20	udt_g195_antisymmetric_screen_rotation_boundary_2026-08-20/AUDIT_REPORT.md	udt_g195_antisymmetric_screen_rotation_boundary_2026-08-20/EXACT_DERIVATION.md	PRESENT	antisymmetric_screen_rotation_boundary	udt_g195_antisymmetric_screen_rotation_boundary_2026-08-20/AUDIT_REPORT.md	true
G196	udt_g196_longitudinal_screen_mixing_descent_2026-08-20	udt_g196_longitudinal_screen_mixing_descent_2026-08-20/AUDIT_REPORT.md	udt_g196_longitudinal_screen_mixing_descent_2026-08-20/EXACT_DERIVATION.md	PRESENT	longitudinal_screen_mixing_descent	udt_g196_longitudinal_screen_mixing_descent_2026-08-20/AUDIT_REPORT.md	true
G197	udt_g197_native_kernel_provenance_and_startup_integrity_audit_2026-08-21	udt_g197_native_kernel_provenance_and_startup_integrity_audit_2026-08-21/AUDIT_REPORT.md		ABSENT_META_OR_CONTROL			false
G198	udt_g198_bidirectional_null_germ_map_2026-08-21	udt_g198_bidirectional_null_germ_map_2026-08-21/AUDIT_REPORT.md	udt_g198_bidirectional_null_germ_map_2026-08-21/EXACT_DERIVATION.md	PRESENT	bidirectional_null_germ_map	udt_g198_bidirectional_null_germ_map_2026-08-21/AUDIT_REPORT.md	true
G199	udt_g199_primary_metric_bidirectional_radial_null_2026-08-21	udt_g199_primary_metric_bidirectional_radial_null_2026-08-21/AUDIT_REPORT.md	udt_g199_primary_metric_bidirectional_radial_null_2026-08-21/EXACT_DERIVATION.md	PRESENT	primary_metric_bidirectional_radial_null	udt_g199_primary_metric_bidirectional_radial_null_2026-08-21/AUDIT_REPORT.md	true
G200	udt_g200_primary_metric_bidirectional_nonradial_null_2026-08-21	udt_g200_primary_metric_bidirectional_nonradial_null_2026-08-21/AUDIT_REPORT.md	udt_g200_primary_metric_bidirectional_nonradial_null_2026-08-21/EXACT_DERIVATION.md	PRESENT	primary_metric_bidirectional_nonradial_null	udt_g200_primary_metric_bidirectional_nonradial_null_2026-08-21/AUDIT_REPORT.md	true
G201	udt_g201_primary_metric_phi_jet_regime_amplitude_2026-08-21	udt_g201_primary_metric_phi_jet_regime_amplitude_2026-08-21/AUDIT_REPORT.md	udt_g201_primary_metric_phi_jet_regime_amplitude_2026-08-21/EXACT_DERIVATION.md	PRESENT	primary_metric_phi_jet_regime_amplitude	udt_g201_primary_metric_phi_jet_regime_amplitude_2026-08-21/AUDIT_REPORT.md	true
G202	udt_g202_quiet_overlap_profile_anchor_classification_2026-08-21	udt_g202_quiet_overlap_profile_anchor_classification_2026-08-21/AUDIT_REPORT.md	udt_g202_quiet_overlap_profile_anchor_classification_2026-08-21/EXACT_DERIVATION.md	PRESENT	quiet_overlap_profile_anchor_classification	udt_g202_quiet_overlap_profile_anchor_classification_2026-08-21/AUDIT_REPORT.md	true
G203	udt_g203_quiet_overlap_parameter_ownership_classification_2026-08-21	udt_g203_quiet_overlap_parameter_ownership_classification_2026-08-21/AUDIT_REPORT.md	udt_g203_quiet_overlap_parameter_ownership_classification_2026-08-21/EXACT_DERIVATION.md	PRESENT	quiet_overlap_parameter_ownership_classification	udt_g203_quiet_overlap_parameter_ownership_classification_2026-08-21/AUDIT_REPORT.md	true
G204	udt_g204_primary_metric_global_regularity_asymptotic_profile_2026-08-21	udt_g204_primary_metric_global_regularity_asymptotic_profile_2026-08-21/AUDIT_REPORT.md	udt_g204_primary_metric_global_regularity_asymptotic_profile_2026-08-21/EXACT_DERIVATION.md	PRESENT	primary_metric_global_regularity_asymptotic_profile	udt_g204_primary_metric_global_regularity_asymptotic_profile_2026-08-21/AUDIT_REPORT.md	true
G205	udt_g205_primary_metric_geodesic_causal_completion_2026-08-21	udt_g205_primary_metric_geodesic_causal_completion_2026-08-21/AUDIT_REPORT.md	udt_g205_primary_metric_geodesic_causal_completion_2026-08-21/EXACT_DERIVATION.md	PRESENT	primary_metric_geodesic_causal_completion	udt_g205_primary_metric_geodesic_causal_completion_2026-08-21/AUDIT_REPORT.md	true
G206	udt_g206_g205_conformal_timelive_nonspherical_robustness_2026-08-21	udt_g206_g205_conformal_timelive_nonspherical_robustness_2026-08-21/AUDIT_REPORT.md	udt_g206_g205_conformal_timelive_nonspherical_robustness_2026-08-21/EXACT_DERIVATION.md	PRESENT	g205_conformal_timelive_nonspherical_robustness	udt_g206_g205_conformal_timelive_nonspherical_robustness_2026-08-21/AUDIT_REPORT.md	true
G207	udt_g207_g205_tracefree_screen_timelive_robustness_2026-08-21	udt_g207_g205_tracefree_screen_timelive_robustness_2026-08-21/AUDIT_REPORT.md	udt_g207_g205_tracefree_screen_timelive_robustness_2026-08-21/EXACT_DERIVATION.md	PRESENT	g205_tracefree_screen_timelive_robustness	udt_g207_g205_tracefree_screen_timelive_robustness_2026-08-21/AUDIT_REPORT.md	true
G208	udt_g208_g205_radial_screen_mixing_robustness_2026-08-21	udt_g208_g205_radial_screen_mixing_robustness_2026-08-21/AUDIT_REPORT.md	udt_g208_g205_radial_screen_mixing_robustness_2026-08-21/EXACT_DERIVATION.md	PRESENT	g205_radial_screen_mixing_robustness	udt_g208_g205_radial_screen_mixing_robustness_2026-08-21/AUDIT_REPORT.md	true
G209	udt_g209_g205_timespace_shift_robustness_2026-08-21	udt_g209_g205_timespace_shift_robustness_2026-08-21/AUDIT_REPORT.md	udt_g209_g205_timespace_shift_robustness_2026-08-21/EXACT_DERIVATION.md	PRESENT	g205_timespace_shift_robustness	udt_g209_g205_timespace_shift_robustness_2026-08-21/AUDIT_REPORT.md	true
G210	udt_g210_g205_spatial_volume_robustness_2026-08-21	udt_g210_g205_spatial_volume_robustness_2026-08-21/AUDIT_REPORT.md	udt_g210_g205_spatial_volume_robustness_2026-08-21/EXACT_DERIVATION.md	PRESENT	g205_spatial_volume_robustness	udt_g210_g205_spatial_volume_robustness_2026-08-21/AUDIT_REPORT.md	true
G211	udt_g211_complete_diagonal_scalar_basis_closure_2026-08-22	udt_g211_complete_diagonal_scalar_basis_closure_2026-08-22/AUDIT_REPORT.md	udt_g211_complete_diagonal_scalar_basis_closure_2026-08-22/EXACT_DERIVATION.md	PRESENT	complete_diagonal_scalar_basis_closure	udt_g211_complete_diagonal_scalar_basis_closure_2026-08-22/AUDIT_REPORT.md	true
G212	udt_g212_observer_equivalence_history_bridge_whiteboard_2026-08-22	udt_g212_observer_equivalence_history_bridge_whiteboard_2026-08-22/AUDIT_REPORT.md	udt_g212_observer_equivalence_history_bridge_whiteboard_2026-08-22/EXACT_DERIVATION.md	PRESENT	observer_equivalence_history_bridge_whiteboard	udt_g212_observer_equivalence_history_bridge_whiteboard_2026-08-22/AUDIT_REPORT.md	true
G213	udt_g213_determinant_one_spatial_remainder_and_completed_rank_closure_2026-08-22	udt_g213_determinant_one_spatial_remainder_and_completed_rank_closure_2026-08-22/AUDIT_REPORT.md	udt_g213_determinant_one_spatial_remainder_and_completed_rank_closure_2026-08-22/EXACT_DERIVATION.md	PRESENT	determinant_one_spatial_remainder_and_completed_rank_closure	udt_g213_determinant_one_spatial_remainder_and_completed_rank_closure_2026-08-22/AUDIT_REPORT.md	true
G214	udt_g214_completed_tuple_overlap_and_three_observer_carry_2026-08-22	udt_g214_completed_tuple_overlap_and_three_observer_carry_2026-08-22/AUDIT_REPORT.md	udt_g214_completed_tuple_overlap_and_three_observer_carry_2026-08-22/EXACT_DERIVATION.md	PRESENT	completed_tuple_overlap_and_three_observer_carry	udt_g214_completed_tuple_overlap_and_three_observer_carry_2026-08-22/AUDIT_REPORT.md	true
G215	udt_g215_completed_scalar_shared_clock_incidence_descent_2026-08-22	udt_g215_completed_scalar_shared_clock_incidence_descent_2026-08-22/AUDIT_REPORT.md	udt_g215_completed_scalar_shared_clock_incidence_descent_2026-08-22/EXACT_DERIVATION.md	PRESENT	completed_scalar_shared_clock_incidence_descent	udt_g215_completed_scalar_shared_clock_incidence_descent_2026-08-22/AUDIT_REPORT.md	true
G216	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/AUDIT_REPORT.md	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/EXACT_DERIVATION.md	PRESENT	observer_event_comparison_clock_rate_ownership	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/AUDIT_REPORT.md	true
G217	udt_g217_founded_depth_event_pair_first_jet_ownership_2026-08-22	udt_g217_founded_depth_event_pair_first_jet_ownership_2026-08-22/AUDIT_REPORT.md	udt_g217_founded_depth_event_pair_first_jet_ownership_2026-08-22/EXACT_DERIVATION.md	PRESENT	founded_depth_event_pair_first_jet_ownership	udt_g217_founded_depth_event_pair_first_jet_ownership_2026-08-22/AUDIT_REPORT.md	true
G218	udt_g218_query_indexed_clock_correspondence_whiteboard_2026-08-22	udt_g218_query_indexed_clock_correspondence_whiteboard_2026-08-22/WHITEBOARD_REPORT.md		PRESENT	query_indexed_clock_correspondence_whiteboard	udt_g218_query_indexed_clock_correspondence_whiteboard_2026-08-22/WHITEBOARD_REPORT.md	true
G219	udt_g219_clock_arrow_dynamic_protocol_discrimination_2026-08-22	udt_g219_clock_arrow_dynamic_protocol_discrimination_2026-08-22/AUDIT_REPORT.md	udt_g219_clock_arrow_dynamic_protocol_discrimination_2026-08-22/EXACT_DERIVATION.md	PRESENT	clock_arrow_dynamic_protocol_discrimination	udt_g219_clock_arrow_dynamic_protocol_discrimination_2026-08-22/AUDIT_REPORT.md	true
G220	udt_g220_covariant_null_clock_arrow_timelive_lift_2026-08-22	udt_g220_covariant_null_clock_arrow_timelive_lift_2026-08-22/AUDIT_REPORT.md	udt_g220_covariant_null_clock_arrow_timelive_lift_2026-08-22/EXACT_DERIVATION.md	PRESENT	covariant_null_clock_arrow_timelive_lift	udt_g220_covariant_null_clock_arrow_timelive_lift_2026-08-22/AUDIT_REPORT.md	true
G221	udt_g221_complete_coframe_null_clock_chord_2026-08-22	udt_g221_complete_coframe_null_clock_chord_2026-08-22/AUDIT_REPORT.md	udt_g221_complete_coframe_null_clock_chord_2026-08-22/EXACT_DERIVATION.md	PRESENT	complete_coframe_null_clock_chord	udt_g221_complete_coframe_null_clock_chord_2026-08-22/AUDIT_REPORT.md	true
G222	udt_g222_null_incidence_pair_plane_screen_join_2026-08-22	udt_g222_null_incidence_pair_plane_screen_join_2026-08-22/AUDIT_REPORT.md	udt_g222_null_incidence_pair_plane_screen_join_2026-08-22/EXACT_DERIVATION.md	PRESENT	null_incidence_pair_plane_screen_join	udt_g222_null_incidence_pair_plane_screen_join_2026-08-22/AUDIT_REPORT.md	true
G223	udt_g223_null_ribbon_density_overlap_carry_2026-08-22	udt_g223_null_ribbon_density_overlap_carry_2026-08-22/AUDIT_REPORT.md	udt_g223_null_ribbon_density_overlap_carry_2026-08-22/EXACT_DERIVATION.md	PRESENT	null_ribbon_density_overlap_carry	udt_g223_null_ribbon_density_overlap_carry_2026-08-22/AUDIT_REPORT.md	true
G224	udt_g224_shared_event_vertical_carry_2026-08-22	udt_g224_shared_event_vertical_carry_2026-08-22/AUDIT_REPORT.md	udt_g224_shared_event_vertical_carry_2026-08-22/EXACT_DERIVATION.md	PRESENT	shared_event_vertical_carry	udt_g224_shared_event_vertical_carry_2026-08-22/AUDIT_REPORT.md	true
G225	udt_g225_shared_event_normal_screen_carry_2026-08-22	udt_g225_shared_event_normal_screen_carry_2026-08-22/AUDIT_REPORT.md	udt_g225_shared_event_normal_screen_carry_2026-08-22/EXACT_DERIVATION.md	PRESENT	shared_event_normal_screen_carry	udt_g225_shared_event_normal_screen_carry_2026-08-22/AUDIT_REPORT.md	true
G226	udt_g226_null_chain_conformal_symplectic_assembly_2026-08-22	udt_g226_null_chain_conformal_symplectic_assembly_2026-08-22/AUDIT_REPORT.md	udt_g226_null_chain_conformal_symplectic_assembly_2026-08-22/EXACT_DERIVATION.md	PRESENT	null_chain_conformal_symplectic_assembly	udt_g226_null_chain_conformal_symplectic_assembly_2026-08-22/AUDIT_REPORT.md	true
G227	udt_g227_same_event_curvature_tomography_2026-08-22	udt_g227_same_event_curvature_tomography_2026-08-22/AUDIT_REPORT.md		PRESENT	same_event_null_tidal_curvature_tomography	udt_g227_same_event_curvature_tomography_2026-08-22/AUDIT_REPORT.md	true
G228	udt_g228_neighboring_event_curvature_first_variation_2026-08-23	udt_g228_neighboring_event_curvature_first_variation_2026-08-23/AUDIT_REPORT.md	udt_g228_neighboring_event_curvature_first_variation_2026-08-23/EXACT_DERIVATION.md	PRESENT	neighboring_event_curvature_first_variation	udt_g228_neighboring_event_curvature_first_variation_2026-08-23/AUDIT_REPORT.md	true
G229	udt_g229_local_lorentz_metric_3jet_realization_2026-08-23	udt_g229_local_lorentz_metric_3jet_realization_2026-08-23/AUDIT_REPORT.md	udt_g229_local_lorentz_metric_3jet_realization_2026-08-23/EXACT_DERIVATION.md	PRESENT	local_lorentz_metric_3jet_realization	udt_g229_local_lorentz_metric_3jet_realization_2026-08-23/AUDIT_REPORT.md	true
G230	udt_g230_first_nonlinear_overlap_obstruction_2026-08-23	udt_g230_first_nonlinear_overlap_obstruction_2026-08-23/AUDIT_REPORT.md	udt_g230_first_nonlinear_overlap_obstruction_2026-08-23/EXACT_DERIVATION.md	PRESENT	first_nonlinear_overlap_obstruction_and_metric_4jet_realization	udt_g230_first_nonlinear_overlap_obstruction_2026-08-23/AUDIT_REPORT.md	true
G231	udt_g231_cartan_regional_realization_bridge_2026-08-23	udt_g231_cartan_regional_realization_bridge_2026-08-23/AUDIT_REPORT.md	udt_g231_cartan_regional_realization_bridge_2026-08-23/EXACT_DERIVATION.md	PRESENT	cartan_regional_realization_bridge	udt_g231_cartan_regional_realization_bridge_2026-08-23/AUDIT_REPORT.md	true
G232	udt_g232_primary_metric_cartan_closure_whiteboard_2026-08-23	udt_g232_primary_metric_cartan_closure_whiteboard_2026-08-23/AUDIT_REPORT.md		ABSENT_META_OR_CONTROL			false
G233	udt_g233_primary_profile_cartan_closure_discriminator_2026-08-23	udt_g233_primary_profile_cartan_closure_discriminator_2026-08-23/AUDIT_REPORT.md	udt_g233_primary_profile_cartan_closure_discriminator_2026-08-23/EXACT_DERIVATION.md	PRESENT	primary_profile_cartan_closure_discriminator	udt_g233_primary_profile_cartan_closure_discriminator_2026-08-23/AUDIT_REPORT.md	true
G234	udt_g234_post_g233_native_closure_route_map_2026-08-23	udt_g234_post_g233_native_closure_route_map_2026-08-23/AUDIT_REPORT.md		PRESENT	post_g233_native_closure_route_map	udt_g234_post_g233_native_closure_route_map_2026-08-23/AUDIT_REPORT.md	true
G235	udt_g235_rank_complete_matched_network_nonselection_2026-08-23	udt_g235_rank_complete_matched_network_nonselection_2026-08-23/AUDIT_REPORT.md	udt_g235_rank_complete_matched_network_nonselection_2026-08-23/EXACT_DERIVATION.md	PRESENT	rank_complete_matched_network_nonselection	udt_g235_rank_complete_matched_network_nonselection_2026-08-23/AUDIT_REPORT.md	true
G236	udt_g236_dual_sne_relational_state_reconstruction_2026-08-23	udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/AUDIT_REPORT.md	udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/EXACT_DERIVATION.md	PRESENT	dual_sne_relational_state_reconstruction	udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/AUDIT_REPORT.md	true
G237	udt_g237_dual_sne_joint_relational_state_freeze_2026-08-23	udt_g237_dual_sne_joint_relational_state_freeze_2026-08-23/AUDIT_REPORT.md	udt_g237_dual_sne_joint_relational_state_freeze_2026-08-23/EXACT_DERIVATION.md	PRESENT	dual_sne_joint_relational_state_freeze	udt_g237_dual_sne_joint_relational_state_freeze_2026-08-23/AUDIT_REPORT.md	true
G238	udt_g238_bao_heldout_query_typing_2026-08-23	udt_g238_bao_heldout_query_typing_2026-08-23/AUDIT_REPORT.md	udt_g238_bao_heldout_query_typing_2026-08-23/EXACT_DERIVATION.md	PRESENT	bao_heldout_query_typing	udt_g238_bao_heldout_query_typing_2026-08-23/AUDIT_REPORT.md	true
