slot	primary_class	load_bearing_role	history_verdict	passes_owned_history_gate	g254_counterhistory_gate	decisive_report	decisive_report_sha256
G189	C10	conditional radiative-transfer/flux interface	imports transfer and supplied profile	false	NOT_REJECTED	udt_g189_p1_free_metric_flux_interface_2026-08-20/AUDIT_REPORT.md	667f9e892ca9f63ba6c89ef5aaec69c54afbd44bc289706a0536afa1c192814b
G190	C05	time-live frequency/screen evaluator	evaluates supplied metric and monotone branch	false	NOT_REJECTED	udt_g190_completed_pair_timelive_frequency_screen_join_2026-08-20/AUDIT_REPORT.md	08eaf82739d4491fd46e4348465ee1590ddb90e90d88e346a7a9c61566183971
G191	C08	one chosen time-live mixing witness	existence witness does not select functions	false	NOT_REJECTED	udt_g191_nonconformal_timelive_mixing_join_2026-08-20/AUDIT_REPORT.md	f5f83f953ee028d18817d84567071271472c07af7102aab695748edbef2a1742
G192	C08	chosen two-function coframe family	classifies supplied family only	false	NOT_REJECTED	udt_g192_smooth_timelive_mixing_family_classification_2026-08-20/AUDIT_REPORT.md	89493fb924b378abadc8eee969d76ade7b8c0c19d931cf0bdd4d4f3cbfb89cef
G193	C08	chosen symmetric mixing family	arbitrary functions remain free within ansatz	false	NOT_REJECTED	udt_g193_noncommuting_transverse_mixing_extension_2026-08-20/AUDIT_REPORT.md	ac0b00effd82ab69cd773e49c071d4ab67864ae1f443919af35f6617ff70411b
G194	C08	chosen arbitrary symmetric screen-mixing arena	factorization theorem does not select functions	false	NOT_REJECTED	udt_g194_general_symmetric_screen_mixing_closure_2026-08-20/AUDIT_REPORT.md	39dfa47632544a81e360e96d405f295e144194c2957c293963511c9b6cfb2fb7
G195	C08	chosen real screen-mixing arena	rotation/factorization theorem does not select history	false	NOT_REJECTED	udt_g195_antisymmetric_screen_rotation_boundary_2026-08-20/AUDIT_REPORT.md	d55070b9ec0942d462ce89f1386937af61879a82ba132abd020867138705d82d
G196	C08	chosen longitudinal mixing family	directional theorem does not generate history	false	NOT_REJECTED	udt_g196_longitudinal_screen_mixing_descent_2026-08-20/AUDIT_REPORT.md	eef267492792dcea871b30e6fe7589804118b88373cc52835e0b061a9eb0a62d
G197	C11	native-provenance audit	explicitly finds supplied history/germ boundary	false	NOT_REJECTED	udt_g197_native_kernel_provenance_and_startup_integrity_audit_2026-08-21/AUDIT_REPORT.md	4be1212f37075b3ce984bfb908239650c9f5b51917534ebd8421c93f90c77df2
G198	C08	opposite-germ chosen-coframe control	metric-encoded response in supplied family	false	NOT_REJECTED	udt_g198_bidirectional_null_germ_map_2026-08-21/AUDIT_REPORT.md	660ea95a1a50fe3628cd9e2c509e833755c50448570d23cc4b09869890d3d1a5
G199	C05	primary-metric radial null evaluator	reversal symmetry leaves phi profile free	false	NOT_REJECTED	udt_g199_primary_metric_bidirectional_radial_null_2026-08-21/AUDIT_REPORT.md	ff254beea9a275f1f4f9772ed9883a63f75ac757f7ed773074daa99af341b49c
G200	C05	primary-metric nonradial null evaluator	different sampling of same supplied profile	false	NOT_REJECTED	udt_g200_primary_metric_bidirectional_nonradial_null_2026-08-21/AUDIT_REPORT.md	7ccb4cc62d9cbbe3ffb3c458b8373a8ab2c3a2bd6b7ed10d3d25b2881541de7b
G201	C05	phi-jet regime-amplitude evaluator	relates instrument volumes without selecting phi	false	NOT_REJECTED	udt_g201_primary_metric_phi_jet_regime_amplitude_2026-08-21/AUDIT_REPORT.md	02a072c80b0a9010080da8a6b1330ab8bc5d366aac7271c393e7a98921c6fa2d
G202	C08	quiet-overlap jet control	quiet premise yields a local jet restriction but infinite profiles survive	false	NOT_REJECTED	udt_g202_quiet_overlap_profile_anchor_classification_2026-08-21/AUDIT_REPORT.md	18a3cee945d30137923119fd6311c08c280663d92b618f5f9ddeb342b6bb8bad
G203	C11	quiet-parameter ownership audit	founding does not own order/location/steepness	false	NOT_REJECTED	udt_g203_quiet_overlap_parameter_ownership_classification_2026-08-21/AUDIT_REPORT.md	30b9155fbc6b045a6cf0fbee4b3843d70d8e79607f75cf4da7c4e9fccba2094d
G204	C08	chosen center-regular profile family	center regularity restricts but does not own family or parameters	false	NOT_REJECTED	udt_g204_primary_metric_global_regularity_asymptotic_profile_2026-08-21/AUDIT_REPORT.md	736409ea7906a988c821f2c08686262625de54ba58380bf5c09a7bac38fd47cd
G205	C07	geodesic/causal completion classification	derived property of chosen family; no UDT selection premise	false	NOT_REJECTED	udt_g205_primary_metric_geodesic_causal_completion_2026-08-21/AUDIT_REPORT.md	168e95427c24bf5a59a6eac78ad6d7e77a8b16c23bf9b27b4676608c99e065b9
G206	C08	common-scale extension controls	arbitrary omega history survives	false	NOT_REJECTED	udt_g206_g205_conformal_timelive_nonspherical_robustness_2026-08-21/AUDIT_REPORT.md	e97df96a68f5af8d8b12ad5f575a0f220e5a5a55b3b973b910ce40f5e42b7bc6
G207	C08	tracefree-screen extension controls	arbitrary shear history survives	false	NOT_REJECTED	udt_g207_g205_tracefree_screen_timelive_robustness_2026-08-21/AUDIT_REPORT.md	f1c8b702be925397f82951b6a9d8b700fc53932404b3365b3e24d6821f3f874f
G208	C08	radial-screen-mixing extension controls	arbitrary mixer history survives	false	NOT_REJECTED	udt_g208_g205_radial_screen_mixing_robustness_2026-08-21/AUDIT_REPORT.md	e5f0cb3c8a49bf86ae36b4cc7f4557cfa2c8776b2649f2184b5b6e823a099175
G209	C08	time-space-shift extension controls	arbitrary shift history survives	false	NOT_REJECTED	udt_g209_g205_timespace_shift_robustness_2026-08-21/AUDIT_REPORT.md	addd1ea005d0d59160fcb1b9cd6d3dd0720ffdabc34f95d7cbc55e54e3587d34
G210	C08	spatial-volume extension controls	arbitrary volume history survives	false	NOT_REJECTED	udt_g210_g205_spatial_volume_robustness_2026-08-21/AUDIT_REPORT.md	0cac479fb054cd7f36fb5a0bfab8d5f8fc8394f7590de5de23f8246f0ff46fba
G211	C03	diagonal scalar-basis decomposition	basis identifies degrees of freedom but supplies no values	false	NOT_REJECTED	udt_g211_complete_diagonal_scalar_basis_closure_2026-08-22/AUDIT_REPORT.md	20b79167b617f7e2f19b91b9e4932aec0d0e644aa9b19acbc5cda420888beb7a
G212	C06	valued-network metric reconstruction	all-germ isotropy would cut history but is not UDT-owned	false	NOT_REJECTED	udt_g212_observer_equivalence_history_bridge_whiteboard_2026-08-22/AUDIT_REPORT.md	4d2176828922f0036bb65c106f6de3207f187e66e60d26669cdc1acaf24f93b1
G213	C06	rank-complete completed-network reconstruction	network must already be valued and populated	false	NOT_REJECTED	udt_g213_determinant_one_spatial_remainder_and_completed_rank_closure_2026-08-22/AUDIT_REPORT.md	b46d70a9b915d9d477b872cd8ba0d8fd8f96dc81c5b5dcd8bf4cc9d72c6ffc53
G214	C06	overlap/descent reconstruction	glues supplied values; creates none	false	NOT_REJECTED	udt_g214_completed_tuple_overlap_and_three_observer_carry_2026-08-22/AUDIT_REPORT.md	9736f98f78ffe7e64c5940984831e06364f1b2b20fd0fcbf0f3e877a49d88af5
G215	C04	shared-clock scalar cocycle	cycle identity does not determine endpoint state	false	NOT_REJECTED	udt_g215_completed_scalar_shared_clock_incidence_descent_2026-08-22/AUDIT_REPORT.md	c8446a6a9a8c19b60f53d2869b48e75807197d957dc043f8078f17814edefc7c
G216	C03	proper-clock rate readout	derived on supplied event-pair germ	false	NOT_REJECTED	udt_g216_observer_event_comparison_clock_rate_ownership_2026-08-22/AUDIT_REPORT.md	a30cc5ec78093ca4e1f2efb2c4156bb2b5b83143a2d41c33ab447ec2a18feed2
G217	C03	positive first-jet readout	event incidence and smooth germ remain supplied	false	NOT_REJECTED	udt_g217_founded_depth_event_pair_first_jet_ownership_2026-08-22/AUDIT_REPORT.md	511d1278d25622c7a446db90e121c9a6b2acdeff23bcf1f1970d53cf0d4385aa
G218	C09	query-indexed clock correspondence	depth field/event anchor must be supplied or separately owned	false	NOT_REJECTED	udt_g218_query_indexed_clock_correspondence_whiteboard_2026-08-22/WHITEBOARD_REPORT.md	8afe2c960d46ace2b63dc9e97d489c30eb81226655f7b25818b185a6ccc9c34f
G219	C09	clock-arrow protocol discrimination	multiple lawful correspondences survive	false	NOT_REJECTED	udt_g219_clock_arrow_dynamic_protocol_discrimination_2026-08-22/AUDIT_REPORT.md	0ae3858eb2999d6c008db5421ddff1c8537cd041b5aca724cf250bf4b38d1032
G220	C05	covariant null clock-arrow evaluator	null remains a query type, not universal owner	false	NOT_REJECTED	udt_g220_covariant_null_clock_arrow_timelive_lift_2026-08-22/AUDIT_REPORT.md	9806ac14f5d0bc419501878627dc79770ba4dd7c50f4f14dee0db216c3d9598f
G221	C05	complete-coframe null clock evaluator	full dynamic orchestra is supplied through metric	false	NOT_REJECTED	udt_g221_complete_coframe_null_clock_chord_2026-08-22/AUDIT_REPORT.md	f2bec21b49fd90460b319fa694a94f10d6ac23caebc8b553cc955956430f8c98
G222	C05	null-incidence pair-plane/ribbon evaluator	null family and global ruler remain supplied	false	NOT_REJECTED	udt_g222_null_incidence_pair_plane_screen_join_2026-08-22/AUDIT_REPORT.md	60aff0b3c255d19bfa703270a1a609c4266c30d4627f80e31fc86a2c3107456c
G223	C06	null-ribbon overlap descent	descent glues supplied ribbon values	false	NOT_REJECTED	udt_g223_null_ribbon_density_overlap_carry_2026-08-22/AUDIT_REPORT.md	4c6047a6a8a84e1c9ae71bdeab01c9b6bb829792ca73c6b82e44a97baddd5501
G224	C04	shared-event vertical carry identity	no independent direct relation or screen map generated	false	NOT_REJECTED	udt_g224_shared_event_vertical_carry_2026-08-22/AUDIT_REPORT.md	3bd7d7977c2442e55f4ebed4332e6ee042a9d036d6ff9cfba11c862aa615d62d
G225	C05	normal-screen carry/holonomy evaluator	path-labelled holonomy does not select history	false	NOT_REJECTED	udt_g225_shared_event_normal_screen_carry_2026-08-22/AUDIT_REPORT.md	2fbbe377624b7fbaf0befd315586d9aba48b3a854a6102e5b3eb37b8c1cad762
G226	C05	conformal-symplectic null-chain transport	compatibility of supplied edges, not value generation	false	NOT_REJECTED	udt_g226_null_chain_conformal_symplectic_assembly_2026-08-22/AUDIT_REPORT.md	1b57ff55688a8e5f1b17827a56c1a66df90e356a6f9d1352099d8fa09fbafc97
G227	C06	same-event curvature tomography	reconstructs supplied curvature values	false	NOT_REJECTED	udt_g227_same_event_curvature_tomography_2026-08-22/AUDIT_REPORT.md	6124a04f7fa79dcb43456bd2b17288b15f68ef3c872547f37adcdfebccf57ba4
G228	C04	differential Bianchi compatibility	identity for metric curvature jets	false	NOT_REJECTED	udt_g228_neighboring_event_curvature_first_variation_2026-08-23/AUDIT_REPORT.md	f6e61d0c09eeba6579f2b3761fd9a67ac5be0037354f267b4598366d1587f1b0
G229	C06	local Lorentz metric jet realization	realizes supplied jets; generates no values	false	NOT_REJECTED	udt_g229_local_lorentz_metric_3jet_realization_2026-08-23/AUDIT_REPORT.md	b7b9e44669c5b485e3a3c0e6e1c81df7403c5994cb799ae583ef7c1539e59cd1
G230	C04	Ricci-commutator/Bianchi overlap compatibility	standard identity on every metric history	false	NOT_REJECTED	udt_g230_first_nonlinear_overlap_obstruction_2026-08-23/AUDIT_REPORT.md	55a8f5d35b383a185bca76df978e4d2cfcc45a53b56de928fe8006f523bcac60
G231	C06	Cartan regional realization bridge	integrates compatible supplied data; no physical valuation	false	NOT_REJECTED	udt_g231_cartan_regional_realization_bridge_2026-08-23/AUDIT_REPORT.md	afcfa68aedc330d220b61b542d3e829106dd0f5ecfdcc335a69acc8cd5c15424
G232	C11	Cartan-closure whiteboard map	fixed member evaluative; family closure conditional	false	NOT_REJECTED	udt_g232_primary_metric_cartan_closure_whiteboard_2026-08-23/AUDIT_REPORT.md	66b1cd304ae503cb1d8aae1611a298268e949019243b5d8e78e13998f7579024
G233	C11	finite-order autonomous-closure obstruction	rules out one route; supplies no alternative law	false	NOT_REJECTED	udt_g233_primary_profile_cartan_closure_discriminator_2026-08-23/AUDIT_REPORT.md	aa171e03c291f31d7d6df78ad68ae8abbcac30fce784e48c579154442907142d
G234	C11	closure-architecture ownership map	names local/global routes but finds no active owner	false	NOT_REJECTED	udt_g234_post_g233_native_closure_route_map_2026-08-23/AUDIT_REPORT.md	b64dedc886db41afb354d496ff71f49a9f239f83445363281ea69bb018838378
G235	C06	matched rank-complete network reconstruction	tested global network condition accepts invariant twins	false	NOT_REJECTED	udt_g235_rank_complete_matched_network_nonselection_2026-08-23/AUDIT_REPORT.md	17498596165aa9b5678d937aed37fd1f28be438a8c1745814abd60d0d78ebe16
G236	C10	dual-SNe relative-state reconstruction	observational lead; no profile law	false	NOT_REJECTED	udt_g236_dual_sne_relational_state_reconstruction_2026-08-23/AUDIT_REPORT.md	fb6135a330a3242ed09a47625dc382f7991f2f138f734d37adc9544cc6b62613
G237	C10	joint SNe state freeze	chosen covariance and no prediction	false	NOT_REJECTED	udt_g237_dual_sne_joint_relational_state_freeze_2026-08-23/AUDIT_REPORT.md	806b10aa1747ef38e9b1b66318bfe3ee0a71468d947b061e0fe0fd24cda6a0de
G238	C09	BAO query typing	source/history/forward map incomplete; outcomes unopened	false	NOT_REJECTED	udt_g238_bao_heldout_query_typing_2026-08-23/AUDIT_REPORT.md	b80a199eedc6aff41484dbaa1aac07fe328fb44dfa5d58638267c3e3bb808318
G239	C10	reference-projected point-process evaluator	conditional operator with supplied source/history	false	NOT_REJECTED	udt_g239_metric_reference_projected_point_process_operator_2026-08-23/AUDIT_REPORT.md	4c21366cf9f82a32124c25459ae50112b3e8ea47d316863b3f0a4c4451d3abfd
G240	C09	all-regular-null-image query rule	removes branch weights only after supplied history/source	false	NOT_REJECTED	udt_g240_metric_null_image_cluster_census_2026-08-23/AUDIT_REPORT.md	4a68541029156aa7bffb3c6c868ea0b1d1c62305e5ba563a50a66deb0f18314d
G241	C10	SNe-to-tidal anchor adequacy test	no adequate smooth anchor found	false	NOT_REJECTED	udt_g241_sne_anchored_native_tidal_bridge_2026-08-23/AUDIT_REPORT.md	38490215c1b16bd775f020005a10c98fb4cc5c41c967bb011c504e7b61430d87
G242	C10	exact quiet observational control	incompatible control; small response remains open	false	NOT_REJECTED	udt_g242_sne_exact_quiet_subfamily_anchor_2026-08-24/AUDIT_REPORT.md	9d8002c78154f549dae24fae8bb5bc1793596d51d8e431bed274b5e2e5eedf8b
G243	C10	reciprocal SNe spline freeze attempt	failed covariance/route gate; no history frozen	false	NOT_REJECTED	udt_g243_reciprocal_sne_radial_spline_freeze_2026-08-24/AUDIT_REPORT.md	97da5c5d092932508a81b54c44fbd4c5b54c9ade72f809462a484e99e9ebf562
G244	C05	observer-sky area/shape query evaluator	catalog identification and history remain supplied	false	NOT_REJECTED	udt_g244_metric_native_observer_sky_response_query_2026-08-24/AUDIT_REPORT.md	07f3d9a0b4a8d5d0428a345283a3d56da9a363ee129452aece6175eca5c6feb7
G245	C05	metric-owned local null-cone field	local causal field does not populate sources/branches	false	NOT_REJECTED	udt_g245_metric_owned_observer_null_cone_field_2026-08-24/AUDIT_REPORT.md	bd3489768b13f62d87350763ce2f3ad3e50946b8ce6b808ab869f61df4a667a7
G246	C05	two-observer null-incidence evaluator	local branches derived conditionally; global population open	false	NOT_REJECTED	udt_g246_two_observer_null_incidence_descent_2026-08-24/AUDIT_REPORT.md	72a434a7c58e72085fc67956ce2c7b6ec1cf2049bf32a4c3af28e21ea1aee308
G247	C06	global route-labelled branch-atlas descent	assembles branch quiver; does not aggregate/select branches	false	NOT_REJECTED	udt_g247_global_null_branch_network_descent_2026-08-24/AUDIT_REPORT.md	ca4a0cfa4137d0ee62000819868e58f5398fe4403e4535fa850a82050ba2f77b
G248	C09	regular-incidence measure typing	character/source/physical branch measure remain open	false	NOT_REJECTED	udt_g248_metric_regular_branch_measure_ownership_2026-08-24/AUDIT_REPORT.md	b429d1f3fe20322f03326515df2590d4f595405a0c7c729259fe2c36342347f6
G249	C11	homothety/absolute-scale nonownership theorem	dimensionless history leaves one scale orbit	false	NOT_REJECTED	udt_g249_reciprocal_angular_absolute_scale_ownership_2026-08-24/AUDIT_REPORT.md	1bf802924dff09f176ab5d7a6b7c9ff34ed97e5a693d08110a44d1882d3557d8
G250	C10	absolute-anchor type classification	one attached datum calibrates scale; no history value selected	false	NOT_REJECTED	udt_g250_absolute_scale_anchor_type_ownership_2026-08-24/AUDIT_REPORT.md	246a22c8b41d1d32466d775dccfc25ba4bd59e07b96f740d5ba1747cd6e5b7c4
G251	C11	same-object attachment ownership audit	no registered native absolute datum owner	false	NOT_REJECTED	udt_g251_same_object_metric_attachment_ownership_2026-08-24/AUDIT_REPORT.md	40b9bf957f3c004fdbe6989f5ea999e01a07c72d12056e0028841bd0c198613c
G252	C10	proper-clock attachment contract	downstream scale calibration, not kernel/history modification	false	NOT_REJECTED	udt_g252_local_proper_clock_same_object_attachment_contract_2026-08-24/AUDIT_REPORT.md	6a22311cf8ab3c40943c34e9069e06c282e04b112bbd2821283ab4b9752e43b8
G253	C11	minimal dependency/provenance compression	confirms mixed-status evaluator chain and open history	false	NOT_REJECTED	udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/AUDIT_REPORT.md	713a63d52c8f91d0da00c9bf04171135abae356ad0bdf24acac583dd6f8f4735
G254	C11	time-live residual ownership audit	owned ambient evolution-equation count is zero	false	NOT_REJECTED	udt_g254_complete_timelive_solver_closure_audit_2026-08-24/AUDIT_REPORT.md	15cb6d872e3dd71a97bd5bd5bade8d842dc012c35140058f9a9743266a57a3ea
