target	source	line	column	source_immutability	operational_scope	reference_role	corrected_scanner	literal_git_grep	agreement
AUDIT.md	archive/udt_active_results.md	927	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	938	226	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	943	83	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	943	132	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	953	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	962	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	962	323	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	970	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	981	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	981	264	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	997	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1007	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1008	1872	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1009	4712	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1010	7796	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1011	1522	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1013	1770	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1014	3152	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1016	6027	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1018	5273	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1020	3472	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1022	2188	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1024	2054	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1025	2522	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1027	5612	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1027	7223	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1028	3568	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1030	2525	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1037	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1038	870	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1042	531	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1046	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1054	45	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1054	86	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1054	180	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1054	315	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1054	356	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1056	2707	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1058	4454	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1058	4584	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1062	3883	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1062	3913	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1062	3975	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1064	4177	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1066	3457	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1066	3493	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1068	2370	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1068	2462	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1258	8756	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1258	8786	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1258	8816	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1258	8872	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1260	8370	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1262	7192	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1262	7381	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1264	5734	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1266	3995	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1266	4025	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1266	4055	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1268	6565	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1274	11081	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1274	11111	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1274	11141	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1274	11212	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1274	11242	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1274	11278	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1274	11308	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1274	11338	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1274	11394	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1285	1418	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1300	1065	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	archive/udt_active_results.md	1300	1103	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	QUALIFIED_PATH_SUFFIX	MATCH	MATCH	YES
AUDIT.md	grok/quarantine_free_DA/macro_sector_fork_resolution.md	12	20	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	grok/quarantine_free_DA/macro_sector_fork_resolution.md	114	5	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py	4	36	RUNTIME_OR_MANIFEST_IMMUTABLE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py	68	21	RUNTIME_OR_MANIFEST_IMMUTABLE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py	231	5	RUNTIME_OR_MANIFEST_IMMUTABLE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py	501	8	RUNTIME_OR_MANIFEST_IMMUTABLE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py	536	42	RUNTIME_OR_MANIFEST_IMMUTABLE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	legacy/root_oneoffs_2026-07-01/native_weld_status_derivation.py	1010	12	RUNTIME_OR_MANIFEST_IMMUTABLE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	macro_spine_provenance_2026-07-06.md	38	5	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	macro_spine_provenance_2026-07-06.md	52	6	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
AUDIT.md	macro_spine_provenance_2026-07-06.md	72	3	SOFT_EVIDENCE_PATH_ONLY_SOURCE	YES	ROOT_BASENAME_REFERENCE	MATCH	MATCH	YES
