source	immutability_class	forensic_occurrences	operational_occurrences	candidate_targets	root_basename_occurrences	qualified_suffix_occurrences	source_sha256_at_base
UDT_NATIVE_ACTION_STAGE2_LAUNCH_RECORD_2026-07-18.md	HARD_FROZEN_SOURCE	2	2	CANON.md;udt_field_equations_derivation_results.md	2	0	3f1102e48c399f74858f717dc5da75b4be0ec7208b437833406466106dd54681
UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md	HARD_FROZEN_SOURCE	2	2	CANON.md;udt_field_equations_derivation_results.md	2	0	6bed5c57649d9a38f0f3644b9e44de966b0a08be21aab33df4b26386dd42a32d
UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	HARD_FROZEN_SOURCE	2	2	CANON.md	2	0	f1b6b03c1d3aeed59e3476d0c50e61d884408ca435af97d191ac12c1f088fb87
UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	HARD_FROZEN_SOURCE	9	9	CANON.md;HANDOFF.md;INDEX.md;LIVE.md	9	0	53859e31068721a27098bea865bc8b29a86ac7686e14d8ee1f0dfb4571b84056
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	c3d7cf1d0b24d83958b23ae55624259dba0a46c8bebd3308caadda873b67b5ac
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;LIVE.md	2	0	99357a22cb1d92bafaeca4ab844f239d911d257725b9c922951bee2b0675f928
angular_lagrangian_results.md	HARD_FROZEN_SOURCE	2	2	angular_lagrangian_verifier_results.md;exterior_cavity_results.md	2	0	3f7e5d060aabeee3edb867d9e677c6ea8c5fe460b5e80c62b53e227a13356247
angular_lagrangian_verifier_results.md	HARD_FROZEN_SOURCE	1	1	angular_lagrangian_results.md	1	0	01a2e0e13a105992de2f99c2042d1098e7c206c400d87e6ecf81196c2e101112
archive/B1_nativeness_verifier_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	5	5	NEGATIVES_REGISTRY.md;mass_emergence_canonical_geometry.md;n_derivation_results.md;native_stabilizer_results.md;negative_phi_native_geometry.md	5	0	4a5c4738a8554416dd1ef50398d4500077fde0a2b19ab697c4cfe3ac634b3134
archive/CATALOG_FRAME.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	w6_results.md	1	0	6a9cf235213a3252d796dc4285d4626990656afa74cbe36c279003feb37dd0a1
archive/COMPLETION_PROGRAM.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	8	8	F2_closure_results.md;F5_critical_universe_closure_results.md;F6_postulate_A_ledger_results.md;F7_scale_bridge_native_results.md;F8_metric_choices_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF.md;LIVE.md	8	0	3b175890cb656060d1bc2f14901eaef65f024d88b370194a35e6c81ef0ac1d58
archive/DYNAMIC_SCALE_SYNTHESIS.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	udt_canonical_geometry.md	1	0	26de3da64f89482cd31496b1fe2724067013c902f301efaa25397374d9cdd504
archive/EVERYTHING_ON_SOLVER_P2_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	p1_VERIFIER.md	1	0	abca1150a655b801c6ec92ff0001eb08093ef0d5ebf1c2f7f08e04721fcbdcf1
archive/EVERYTHING_ON_SOLVER_P5e_REMAP_derived_operator.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	native_dilation_weight_derivation_results.md	1	0	b17496446f73d989606d7cd0f7d905dc53336879d7105edd8b35c74e86945f92
archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	37	37	AUDIT.md;CANON.md;CLAUDE.md;CROSS_MODEL_VERIFY.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;LIVE.md;NEGATIVES_REGISTRY.md;P1_PURITY_HARNESS_MAP.md;PROVENANCE.md;SOLVER_INTEGRITY_UPGRADES_SPEC.md;STATE.md;branchP_solver_floor_xcontinuation_results.md;cognitive_corral_triggers_results.md;kap8_characterization_complete_solver_results.md;mass_emergence_canonical_geometry.md;negative_phi_native_geometry.md;particle_spectrum_native_geometry.md	36	1	84ee762d48e340c019876a9e6a78db5ef3a67d4629299c4967bc43aebf7a01c7
archive/LIVE_2026-07-05_evening_arc.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	1	1	LIVE.md	1	0	95ae9db1f9401a4ace95899c6505cecf21c91d9a7855b2e20aa3a2ebbba27ca4
archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	4	4	AUDIT.md;LIVE.md	4	0	553ac6543648f5b93c9431351b84ec9886d08cf0b191f9c305d1d43b290b14cb
archive/LIVE_H3_H4_arc_2026-07-05.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	HANDOFF.md;LIVE.md	3	0	9e099b45fa7a59eac1c18691410433b78865ffff6e1eb1ec1ed244d254705bed
archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	12	12	CLAUDE.md;D1_FIX_DESIGN.md;GR_NUMERICS_RESEARCH_2026-06-29.md;HANDOFF.md;INDEX.md;LIVE.md;matter_amplitude_native_MAP_2026-06-29.md;winding_amplitude_gauge_derivation_results.md	12	0	d37f9a85651b972deb096c7d3eea9bc96428223cc2578d85fb69c9a053e0c9c9
archive/LIVE_h3_stability_layers_2026-07-11_12.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	HANDOFF.md;LIVE.md	3	0	4ad455f43048c89dfabd5ac89b63c065204c3169a9bcd7d99f2d9346de0bec83
archive/LIVE_historical_frontier_through_2026-07-08.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	AUDIT.md;HANDOFF.md;LIVE.md;udt_canonical_geometry.md	6	0	a8af477d8538f9c246149b0e71562cb863315445cc4cc3b88e5ae066a0236454
archive/LIVE_hopfion_H3_arc_2026-07-05.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	LIVE.md	2	0	c43973af2fcd4a3e6631d60dbcdfc371e1b6713678cd3102555e2fe95cc26912
archive/LIVE_native_frame_round_static_2026-07-01.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	LIVE.md	3	0	f7b682be2b652aa1da00c2256fe6b1ca51c43249535fb4e0e35866809717c852
archive/LIVE_route_fork_E2_arc_2026-07-04.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	LIVE.md	3	0	0e5de1452b7ca36fc0f9aa1658dc1d037027b4d82acb129cb5796eff56a17061
archive/LIVE_stability_stageD_microphysics_arc_2026-07-03_04.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	CANON.md;LIVE.md	3	0	876fd3cea7aaff6dd80e0322390c925ce0cf6b7909b139a5ca904aaad7ba159e
archive/LIVE_stage2_static_arc_2026-07-06.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	6	6	CANON.md;CLAUDE.md;LIVE.md;NEGATIVES_REGISTRY.md	6	0	c22c4621d33c193aeab16e7c4231ccbb16d1ad64b08649813c4f420f0d03adef
archive/LIVE_universe_cell_ladder_arc_2026-07-02.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	4	4	CANON.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;LIVE.md	4	0	fd033e79a5a808d8e227f69eefabc8bb2f0cb3e7d8a0193be82e16c8a334126f
archive/LIVE_xmax_homogeneity_detour_2026-07-07.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	LIVE.md;udt_canonical_geometry.md	2	0	c29712c89e468d433acbe52bd6d3ebf3ed660feab3e6880af2081db99a565513
archive/M10_M11_object_identity_closure_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	9	9	CANON.md;F0_SYSTEMATIC_AUDIT_results.md;F2_matter_action_forcedness_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md	9	0	551ddbac0e17c0516ef5bd7f2ff5184cb921528e001791a8d98f2faa5a4923d4
archive/M12_winding_bc_closure_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	8	8	F0_SYSTEMATIC_AUDIT_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;NEGATIVES_REGISTRY.md;P5e_proper_results.md;native_dilation_weight_derivation_results.md;native_stabilizer_results.md	8	0	957097c9726317cb5807ba0fd2537aa4a619fcf8e6cb87de55822faab813b526
archive/MIGRATION.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	HANDOFF.md;LIVE.md	2	0	43c571cf8164a001e973452a91de09d98d9f4c1dfecc80679aaba850a5272522
archive/P5c_regrade_derived_operator_results.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	matter_regrade_derived_operator_results.md;native_dilation_weight_derivation_results.md	2	0	709aecb8cf7a1013cfb87481f445cf76cd7c825513afe03f57c1b43a42fecef9
archive/POST_POSTULATE_PROGRAM.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	HANDOFF.md;LIVE.md	2	0	44c65c69c6bd67a489fc15b9bd3290801120b876adb695747e5e56c14b3d7a29
archive/RECON_A_cosmology.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	AUDIT.md;udt_canonical_geometry.md	3	0	504a4de6edba4c471e0fdfb16aaab6ee60d995cfac5fe0e8d69475eece4ef8cf
archive/RECON_B_microphysics.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	10	10	CANON.md;angular_lagrangian_results.md;mass_emergence_canonical_geometry.md;native_stabilizer_results.md;negative_phi_native_geometry.md;particle_spectrum_native_geometry.md	10	0	fd4b2d939bc8fc6d3ad583b8e2ab37dc4559eebb062c641146e34a332a75c798
archive/RECON_C_session.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	CLAUDE.md;HANDOFF.md;STATE.md	3	0	b22563b1eba8b71613074795223a21362c56aff8e389ddee05e1eedeed17775b
archive/RECON_D_canon_negatives_weaknesses.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	11	11	CANON.md;CLAUDE.md;INDEX.md;NEGATIVES_REGISTRY.md;mass_emergence_canonical_geometry.md	11	0	5a0901c6cceedb4f387718db74b14423c92cc1ff2b9cf2dfe0a05a7a3b2c301e
archive/REORG_PLAN.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	10	10	CANON.md;CLAUDE.md;HANDOFF.md;INDEX.md;LIVE.md;NEGATIVES_REGISTRY.md;STATE.md	10	0	03339de9c7ce8400eaeaec5f38d059811d8404ab549ffedb692067285ed09078
archive/SOLVER_COMPLETENESS_MAP.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	HANDOFF.md;LIVE.md	2	0	843ac393fb079f4a511ff22c76fc960a881517a41898d52535e4b1ed138f9b22
archive/UDT_REBUILD.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	3	3	mass_emergence_canonical_geometry.md;negative_phi_native_geometry.md;udt_canonical_geometry.md	3	0	d2cbbe1b760e1c2ea518db53c68376bc08c15fe8ef62b172984e810705084a93
archive/VISION_POST_POSTULATE.md	SOFT_EVIDENCE_PATH_ONLY_SOURCE	2	2	CANON.md;STATE.md	2	0	ff933111a7167698969d6a0a90d6c5c79d55e0864d1cd914a9e689c6a2b4ffa2
