case_id	p	m	n	gram_rank	det_h	signature	a_calibrated_terminal	T2	L2	delta_beta
P0093	1	2	5	2	-46	LORENTZIAN	true	3	46/3	-2/3
P0094	1	2	8	2	-55	LORENTZIAN	true	3	55/3	-2/3
P0095	5/4	-3	8	2	-223/4	LORENTZIAN	true	11/4	223/11	12/11
P0096	5/4	-5/2	5	1	-179/4	LORENTZIAN	true	11/4	179/11	10/11
P0097	5/4	-9/4	17/4	2	-83/2	LORENTZIAN	true	11/4	166/11	9/11
P0098	5/4	-2	4	2	-159/4	LORENTZIAN	true	11/4	159/11	8/11
P0099	5/4	-2	5	2	-85/2	LORENTZIAN	true	11/4	170/11	8/11
P0100	5/4	-7/4	17/4	2	-79/2	LORENTZIAN	true	11/4	158/11	7/11
P0101	5/4	-3/2	2	2	-65/2	LORENTZIAN	true	11/4	130/11	6/11
P0102	5/4	-3/2	17/4	2	-619/16	LORENTZIAN	true	11/4	619/44	6/11
P0103	5/4	-3/2	5	2	-163/4	LORENTZIAN	true	11/4	163/11	6/11
P0104	5/4	-5/4	5/4	1	-119/4	LORENTZIAN	true	11/4	119/11	5/11
P0105	5/4	-1	1	2	-57/2	LORENTZIAN	true	11/4	114/11	4/11
P0106	5/4	-1	5/4	2	-467/16	LORENTZIAN	true	11/4	467/44	4/11
P0107	5/4	-1	4	2	-147/4	LORENTZIAN	true	11/4	147/11	4/11
P0108	5/4	-1	8	2	-191/4	LORENTZIAN	true	11/4	191/11	4/11
P0109	5/4	-3/4	1/2	2	-427/16	LORENTZIAN	true	11/4	427/44	3/11
P0110	5/4	-3/4	5/4	2	-115/4	LORENTZIAN	true	11/4	115/11	3/11
P0111	5/4	-1/2	1/4	2	-411/16	LORENTZIAN	true	11/4	411/44	2/11
P0112	5/4	-1/2	1	2	-111/4	LORENTZIAN	true	11/4	111/11	2/11
P0113	5/4	-1/2	2	2	-61/2	LORENTZIAN	true	11/4	122/11	2/11
P0114	5/4	-1/2	17/4	2	-587/16	LORENTZIAN	true	11/4	587/44	2/11
P0115	5/4	-1/4	1/4	2	-51/2	LORENTZIAN	true	11/4	102/11	1/11
P0116	5/4	-1/4	1/2	2	-419/16	LORENTZIAN	true	11/4	419/44	1/11
P0117	5/4	0	0	1	-99/4	LORENTZIAN	true	11/4	9	0
P0118	5/4	0	5/4	2	-451/16	LORENTZIAN	true	11/4	41/4	0
P0119	5/4	0	5	2	-77/2	LORENTZIAN	true	11/4	14	0
P0120	5/4	1/4	1/4	2	-51/2	LORENTZIAN	true	11/4	102/11	-1/11
P0121	5/4	1/4	1/2	2	-419/16	LORENTZIAN	true	11/4	419/44	-1/11
P0122	5/4	1/2	1/4	2	-411/16	LORENTZIAN	true	11/4	411/44	-2/11
P0123	5/4	1/2	1	2	-111/4	LORENTZIAN	true	11/4	111/11	-2/11
P0124	5/4	1/2	2	2	-61/2	LORENTZIAN	true	11/4	122/11	-2/11
P0125	5/4	1/2	17/4	2	-587/16	LORENTZIAN	true	11/4	587/44	-2/11
P0126	5/4	3/4	1/2	2	-427/16	LORENTZIAN	true	11/4	427/44	-3/11
P0127	5/4	3/4	5/4	2	-115/4	LORENTZIAN	true	11/4	115/11	-3/11
P0128	5/4	1	1	2	-57/2	LORENTZIAN	true	11/4	114/11	-4/11
P0129	5/4	1	5/4	2	-467/16	LORENTZIAN	true	11/4	467/44	-4/11
P0130	5/4	1	4	2	-147/4	LORENTZIAN	true	11/4	147/11	-4/11
P0131	5/4	1	8	2	-191/4	LORENTZIAN	true	11/4	191/11	-4/11
P0132	5/4	5/4	5/4	1	-119/4	LORENTZIAN	true	11/4	119/11	-5/11
P0133	5/4	3/2	2	2	-65/2	LORENTZIAN	true	11/4	130/11	-6/11
P0134	5/4	3/2	17/4	2	-619/16	LORENTZIAN	true	11/4	619/44	-6/11
P0135	5/4	3/2	5	2	-163/4	LORENTZIAN	true	11/4	163/11	-6/11
P0136	5/4	7/4	17/4	2	-79/2	LORENTZIAN	true	11/4	158/11	-7/11
P0137	5/4	2	4	2	-159/4	LORENTZIAN	true	11/4	159/11	-8/11
P0138	5/4	2	5	2	-85/2	LORENTZIAN	true	11/4	170/11	-8/11
P0139	5/4	9/4	17/4	2	-83/2	LORENTZIAN	true	11/4	166/11	-9/11
P0140	5/4	5/2	5	1	-179/4	LORENTZIAN	true	11/4	179/11	-10/11
P0141	5/4	3	8	2	-223/4	LORENTZIAN	true	11/4	223/11	-12/11
P0142	2	-4	8	1	-50	LORENTZIAN	true	2	25	2
P0143	2	-3	5	2	-37	LORENTZIAN	true	2	37/2	3/2
P0144	2	-5/2	17/4	2	-131/4	LORENTZIAN	true	2	131/8	5/4
P0145	2	-2	2	1	-26	LORENTZIAN	true	2	13	1
P0146	2	-2	4	2	-30	LORENTZIAN	true	2	15	1
P0147	2	-3/2	5/4	2	-91/4	LORENTZIAN	true	2	91/8	3/4
P0148	2	-3/2	17/4	2	-115/4	LORENTZIAN	true	2	115/8	3/4
P0149	2	-1	1/2	1	-20	LORENTZIAN	true	2	10	1/2
P0150	2	-1	1	2	-21	LORENTZIAN	true	2	21/2	1/2
P0151	2	-1	5	2	-29	LORENTZIAN	true	2	29/2	1/2
P0152	2	-1/2	1/4	2	-75/4	LORENTZIAN	true	2	75/8	1/4
P0153	2	-1/2	5/4	2	-83/4	LORENTZIAN	true	2	83/8	1/4
P0154	2	0	0	1	-18	LORENTZIAN	true	2	9	0
P0155	2	0	1/2	2	-19	LORENTZIAN	true	2	19/2	0
P0156	2	0	2	2	-22	LORENTZIAN	true	2	11	0
P0157	2	0	8	2	-34	LORENTZIAN	true	2	17	0
P0158	2	1/2	1/4	2	-75/4	LORENTZIAN	true	2	75/8	-1/4
P0159	2	1/2	5/4	2	-83/4	LORENTZIAN	true	2	83/8	-1/4
P0160	2	1	1/2	1	-20	LORENTZIAN	true	2	10	-1/2
P0161	2	1	1	2	-21	LORENTZIAN	true	2	21/2	-1/2
P0162	2	1	5	2	-29	LORENTZIAN	true	2	29/2	-1/2
P0163	2	3/2	5/4	2	-91/4	LORENTZIAN	true	2	91/8	-3/4
P0164	2	3/2	17/4	2	-115/4	LORENTZIAN	true	2	115/8	-3/4
P0165	2	2	2	1	-26	LORENTZIAN	true	2	13	-1
P0166	2	2	4	2	-30	LORENTZIAN	true	2	15	-1
P0167	2	5/2	17/4	2	-131/4	LORENTZIAN	true	2	131/8	-5/4
P0168	2	3	5	2	-37	LORENTZIAN	true	2	37/2	-3/2
P0169	2	4	8	1	-50	LORENTZIAN	true	2	25	-2
P0170	4	-4	4	1	-16	LORENTZIAN	false			
P0171	4	-4	17/4	2	-16	LORENTZIAN	false			
P0172	4	-4	5	2	-16	LORENTZIAN	false			
P0173	4	-4	8	2	-16	LORENTZIAN	false			
P0174	4	-2	1	1	-4	LORENTZIAN	false			
P0175	4	-2	5/4	2	-4	LORENTZIAN	false			
P0176	4	-2	2	2	-4	LORENTZIAN	false			
P0177	4	-2	5	2	-4	LORENTZIAN	false			
P0178	4	-1	1/4	1	-1	LORENTZIAN	false			
P0179	4	-1	1/2	2	-1	LORENTZIAN	false			
P0180	4	-1	5/4	2	-1	LORENTZIAN	false			
P0181	4	-1	17/4	2	-1	LORENTZIAN	false			
P0182	4	0	0	1	0	DEGENERATE	false			
P0183	4	0	1/4	2	0	DEGENERATE	false			
P0184	4	0	1	2	0	DEGENERATE	false			
P0185	4	0	4	2	0	DEGENERATE	false			
P0186	4	1	1/4	1	-1	LORENTZIAN	false			
P0187	4	1	1/2	2	-1	LORENTZIAN	false			
P0188	4	1	5/4	2	-1	LORENTZIAN	false			
P0189	4	1	17/4	2	-1	LORENTZIAN	false			
P0190	4	2	1	1	-4	LORENTZIAN	false			
P0191	4	2	5/4	2	-4	LORENTZIAN	false			
P0192	4	2	2	2	-4	LORENTZIAN	false			
P0193	4	2	4	2	-4	LORENTZIAN	false			
P0194	4	2	5	2	-4	LORENTZIAN	false			
P0195	4	4	4	1	-16	LORENTZIAN	false			
P0196	4	4	17/4	2	-16	LORENTZIAN	false			
P0197	4	4	5	2	-16	LORENTZIAN	false			
P0198	4	4	8	2	-16	LORENTZIAN	false			
P0199	17/4	-5	8	2	-83/4	LORENTZIAN	false			
P0200	17/4	-9/2	5	2	-67/4	LORENTZIAN	false			
P0201	17/4	-17/4	17/4	1	-59/4	LORENTZIAN	false			
P0202	17/4	-4	4	2	-51/4	LORENTZIAN	false			
P0203	17/4	-15/4	17/4	2	-43/4	LORENTZIAN	false			
P0204	17/4	-7/2	5	2	-35/4	LORENTZIAN	false			
P0205	17/4	-3	5	2	-11/2	LORENTZIAN	false			
P0206	17/4	-3	8	2	-19/4	LORENTZIAN	false			
P0207	17/4	-5/2	2	2	-7/2	LORENTZIAN	false			
P0208	17/4	-9/4	5/4	2	-5/2	LORENTZIAN	false			
P0209	17/4	-2	1	2	-3/2	LORENTZIAN	false			
P0210	17/4	-2	17/4	2	-11/16	LORENTZIAN	false			
P0211	17/4	-7/4	5/4	2	-1/2	LORENTZIAN	false			
P0212	17/4	-3/2	5/4	2	5/16	POSITIVE_DEFINITE	false			
P0213	17/4	-3/2	2	2	1/2	POSITIVE_DEFINITE	false			
P0214	17/4	-5/4	1/2	2	13/16	POSITIVE_DEFINITE	false			
P0215	17/4	-1	1/4	2	21/16	POSITIVE_DEFINITE	false			
P0216	17/4	-1	4	2	9/4	POSITIVE_DEFINITE	false			
P0217	17/4	-1	5	2	5/2	POSITIVE_DEFINITE	false			
P0218	17/4	-3/4	1/2	2	29/16	POSITIVE_DEFINITE	false			
P0219	17/4	-1/2	1	2	9/4	POSITIVE_DEFINITE	false			
P0220	17/4	-1/2	5/4	2	37/16	POSITIVE_DEFINITE	false			
P0221	17/4	-1/4	1/4	2	9/4	POSITIVE_DEFINITE	false			
P0222	17/4	0	0	1	9/4	POSITIVE_DEFINITE	false			
P0223	17/4	0	17/4	2	53/16	POSITIVE_DEFINITE	false			
P0224	17/4	1/4	1/4	2	9/4	POSITIVE_DEFINITE	false			
P0225	17/4	1/2	1	2	9/4	POSITIVE_DEFINITE	false			
P0226	17/4	1/2	5/4	2	37/16	POSITIVE_DEFINITE	false			
P0227	17/4	3/4	1/2	2	29/16	POSITIVE_DEFINITE	false			
P0228	17/4	1	1/4	2	21/16	POSITIVE_DEFINITE	false			
P0229	17/4	1	4	2	9/4	POSITIVE_DEFINITE	false			
P0230	17/4	1	5	2	5/2	POSITIVE_DEFINITE	false			
P0231	17/4	5/4	1/2	2	13/16	POSITIVE_DEFINITE	false			
P0232	17/4	3/2	5/4	2	5/16	POSITIVE_DEFINITE	false			
P0233	17/4	3/2	2	2	1/2	POSITIVE_DEFINITE	false			
P0234	17/4	7/4	5/4	2	-1/2	LORENTZIAN	false			
P0235	17/4	2	1	2	-3/2	LORENTZIAN	false			
P0236	17/4	2	17/4	2	-11/16	LORENTZIAN	false			
P0237	17/4	9/4	5/4	2	-5/2	LORENTZIAN	false			
P0238	17/4	5/2	2	2	-7/2	LORENTZIAN	false			
P0239	17/4	3	5	2	-11/2	LORENTZIAN	false			
P0240	17/4	3	8	2	-19/4	LORENTZIAN	false			
P0241	17/4	7/2	5	2	-35/4	LORENTZIAN	false			
P0242	17/4	15/4	17/4	2	-43/4	LORENTZIAN	false			
P0243	17/4	4	4	2	-51/4	LORENTZIAN	false			
P0244	17/4	17/4	17/4	1	-59/4	LORENTZIAN	false			
P0245	17/4	9/2	5	2	-67/4	LORENTZIAN	false			
P0246	17/4	5	8	2	-83/4	LORENTZIAN	false			
P0247	5	-6	8	2	-19	LORENTZIAN	false			
P0248	5	-5	5	1	-11	LORENTZIAN	false			
P0249	5	-9/2	17/4	2	-7	LORENTZIAN	false			
P0250	5	-4	4	2	-3	LORENTZIAN	false			
P0251	5	-4	5	2	-2	LORENTZIAN	false			
P0252	5	-7/2	17/4	2	1	POSITIVE_DEFINITE	false			
P0253	5	-3	2	2	2	POSITIVE_DEFINITE	false			
P0254	5	-3	17/4	2	17/4	POSITIVE_DEFINITE	false			
P0255	5	-3	5	2	5	POSITIVE_DEFINITE	false			
P0256	5	-5/2	5/4	1	4	POSITIVE_DEFINITE	false			
P0257	5	-2	1	2	6	POSITIVE_DEFINITE	false			
P0258	5	-2	5/4	2	25/4	POSITIVE_DEFINITE	false			
P0259	5	-2	4	2	9	POSITIVE_DEFINITE	false			
P0260	5	-2	8	2	13	POSITIVE_DEFINITE	false			
P0261	5	-3/2	1/2	2	29/4	POSITIVE_DEFINITE	false			
P0262	5	-3/2	5/4	2	8	POSITIVE_DEFINITE	false			
P0263	5	-1	1/4	2	33/4	POSITIVE_DEFINITE	false			
P0264	5	-1	1	2	9	POSITIVE_DEFINITE	false			
P0265	5	-1	2	2	10	POSITIVE_DEFINITE	false			
P0266	5	-1	17/4	2	49/4	POSITIVE_DEFINITE	false			
P0267	5	-1/2	1/4	2	9	POSITIVE_DEFINITE	false			
P0268	5	-1/2	1/2	2	37/4	POSITIVE_DEFINITE	false			
P0269	5	0	0	1	9	POSITIVE_DEFINITE	false			
P0270	5	0	5/4	2	41/4	POSITIVE_DEFINITE	false			
P0271	5	0	5	2	14	POSITIVE_DEFINITE	false			
P0272	5	0	7	2	16	POSITIVE_DEFINITE	false			
P0273	5	1/2	1/4	2	9	POSITIVE_DEFINITE	false			
P0274	5	1/2	1/2	2	37/4	POSITIVE_DEFINITE	false			
P0275	5	1	1/4	2	33/4	POSITIVE_DEFINITE	false			
P0276	5	1	1	2	9	POSITIVE_DEFINITE	false			
P0277	5	1	2	2	10	POSITIVE_DEFINITE	false			
P0278	5	1	17/4	2	49/4	POSITIVE_DEFINITE	false			
P0279	5	3/2	1/2	2	29/4	POSITIVE_DEFINITE	false			
P0280	5	3/2	5/4	2	8	POSITIVE_DEFINITE	false			
P0281	5	2	1	2	6	POSITIVE_DEFINITE	false			
P0282	5	2	5/4	2	25/4	POSITIVE_DEFINITE	false			
P0283	5	2	4	2	9	POSITIVE_DEFINITE	false			
P0284	5	2	8	2	13	POSITIVE_DEFINITE	false			
P0285	5	5/2	5/4	1	4	POSITIVE_DEFINITE	false			
P0286	5	3	2	2	2	POSITIVE_DEFINITE	false			
P0287	5	3	17/4	2	17/4	POSITIVE_DEFINITE	false			
P0288	5	3	5	2	5	POSITIVE_DEFINITE	false			
P0289	5	7/2	17/4	2	1	POSITIVE_DEFINITE	false			
P0290	5	4	4	2	-3	LORENTZIAN	false			
P0291	5	4	5	2	-2	LORENTZIAN	false			
P0292	5	4	7	2	0	DEGENERATE	false			
P0293	5	9/2	17/4	2	-7	LORENTZIAN	false			
P0294	5	5	5	1	-11	LORENTZIAN	false			
P0295	5	5	7	2	-9	LORENTZIAN	false			
P0296	5	6	8	2	-19	LORENTZIAN	false			
P0297	8	-8	8	1	4	POSITIVE_DEFINITE	false			
P0298	8	-6	5	2	20	POSITIVE_DEFINITE	false			
P0299	8	-5	17/4	2	28	POSITIVE_DEFINITE	false			
P0300	8	-4	2	1	28	POSITIVE_DEFINITE	false			
P0301	8	-4	4	2	36	POSITIVE_DEFINITE	false			
P0302	8	-3	5/4	2	32	POSITIVE_DEFINITE	false			
P0303	8	-3	17/4	2	44	POSITIVE_DEFINITE	false			
P0304	8	-2	1/2	1	34	POSITIVE_DEFINITE	false			
P0305	8	-2	1	2	36	POSITIVE_DEFINITE	false			
P0306	8	-2	5	2	52	POSITIVE_DEFINITE	false			
P0307	8	-1	1/4	2	36	POSITIVE_DEFINITE	false			
P0308	8	-1	5/4	2	40	POSITIVE_DEFINITE	false			
P0309	8	0	0	1	36	POSITIVE_DEFINITE	false			
P0310	8	0	1/2	2	38	POSITIVE_DEFINITE	false			
P0311	8	0	2	2	44	POSITIVE_DEFINITE	false			
P0312	8	0	8	2	68	POSITIVE_DEFINITE	false			
P0313	8	1	1/4	2	36	POSITIVE_DEFINITE	false			
P0314	8	1	5/4	2	40	POSITIVE_DEFINITE	false			
P0315	8	2	1/2	1	34	POSITIVE_DEFINITE	false			
P0316	8	2	1	2	36	POSITIVE_DEFINITE	false			
P0317	8	2	5	2	52	POSITIVE_DEFINITE	false			
P0318	8	3	5/4	2	32	POSITIVE_DEFINITE	false			
P0319	8	3	17/4	2	44	POSITIVE_DEFINITE	false			
P0320	8	4	2	1	28	POSITIVE_DEFINITE	false			
P0321	8	4	4	2	36	POSITIVE_DEFINITE	false			
P0322	8	5	17/4	2	28	POSITIVE_DEFINITE	false			
P0323	8	6	5	2	20	POSITIVE_DEFINITE	false			
P0324	8	8	8	1	4	POSITIVE_DEFINITE	false			
