source	sha256	bytes
udt_g337_double_silent_third_normal_ownership_2026-09-03/EXACT_DERIVATION.md	bdd8916b4a4bb1566115e61b26046940281bd38221720aeea41920ac55946826	4982
udt_g315_conditional_cauchy_characteristic_data_interface_2026-09-01/EXACT_DERIVATION.md	8653bb2162b54965c9fe0a74a17aa5cb1da9114b6289b15fb8f46cc4b30b2a63	8331
udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/EXACT_DERIVATION.md	27ed748fd4d944746d88b6227eb0f4f186628770f4b1a6a9fc9d84563ccc84f4	7098
.claude/skills/completeness-map/SKILL.md	a8cf9e5f4a6d35a0d0ebfe4bc48dbf328ca74e318f020a6a22cb683666a611c0	2490
.claude/skills/no-shortcuts/SKILL.md	fd3a1f3218481134f2af829d3ae4175ac53518f75bf9673287efbfb7d7708fc1	2966
.claude/skills/solution-space-not-imposition/SKILL.md	095561e8f307928b286f7935d1d6f161b33ac56fe227d702c708f81a329bd47c	5060
.claude/skills/verifier-before-record/SKILL.md	9b3a4aacd4b4006b2b7f01edada73b7c87b99bea6e754583558713bfc145e5ac	3545
.claude/skills/solver-first/SKILL.md	b80b1ca9fe5ebccb7170c39b97ca26f32c950650328d9a2f380c3793cb9cd61b	2310
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	10290
native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	4226
udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv	1483331ab0e00bc6f800589edaaf56fff7c670a75292e49a05adc9935a063bdf	2824
udt_g374_g375_conditional_banking_2026-09-08/prebank_356.json	a96d710a6ac21600c9074d374ecf7438ad7aafbf4c045781621e0311cac87fa1	2229
udt_g374_g375_conditional_banking_2026-09-08/prebank_356.stdout	8ec1b89b681421857f7b2144072c3f7095e0dfb9212e26a5a606796de265fd5f	1822
udt_g374_g375_conditional_banking_2026-09-08/prebank_356.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
udt_g374_g375_conditional_banking_2026-09-08/postbank_358.json	7d8bf16645aba5bcafb9894dec8de0979f0eeea270ec199f8d1f4a95cc590691	2397
udt_g374_g375_conditional_banking_2026-09-08/postbank_358.stdout	8dd15c719eaa6fc179cfa517a9ac96b0baac2b2d6c2681a275eaebe8d1e1861c	1990
udt_g374_g375_conditional_banking_2026-09-08/postbank_358.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
udt_g374_g375_conditional_banking_2026-09-08/EXECUTION_RECORD.md	5cfe1e0b3f9876d092cea350f2ea56abbac294b769f00dfb1fe9c9db26906b73	5448
