axis	value	target_label	candidates	constructed_repeated_tidal	response_rank_distribution	solved_Hessian_rank_distribution	curvature_operator_rank_distribution	pair_screen_zero	Hessian_norm_minimum	Hessian_norm_median	Hessian_norm_maximum	max_reevaluated_residual
phi_gradient	NULL	NEGATIVE	802	802	3:802	3:82;4:720	5:12;6:790	0	0.03235357656007042	0.5656262031765574	36.453154398766166	4.860112312599085e-12
phi_gradient	NULL	ZERO	802	802	3:802	3:82;4:720	4:12;6:790	0	0.003127615736499264	0.3234905584747813	35.31245469299151	8.469669410260394e-12
phi_gradient	NULL	POSITIVE	802	802	3:802	3:82;4:720	5:12;6:790	0	0.017302420952989218	0.39436295775209695	34.17806402335933	3.90087961932295e-12
phi_gradient	SPACELIKE	NEGATIVE	1296	1296	3:1296	1:192;3:384;4:720	5:24;6:1272	12	0.01711512254946281	0.33156827065870276	243.51154159475027	1.5750567516903402e-11
phi_gradient	SPACELIKE	ZERO	1296	1296	3:1296	0:2;1:190;3:384;4:720	1:2;2:10;4:22;5:26;6:1236	12	0.0	0.20600041589904963	232.1537527743066	2.9892080683903836e-11
phi_gradient	SPACELIKE	POSITIVE	1296	1296	3:1296	1:192;3:384;4:720	5:24;6:1272	12	0.017144390702643345	0.3091977289420279	220.7964250853612	1.429234508520949e-11
angular_shape	ISOTROPIC	NEGATIVE	1386	1386	3:1386	1:128;3:298;4:960	4:8;5:40;6:1338	12	0.007756724299666553	0.3479890338713418	662.467262503194	4.198952296974312e-11
angular_shape	ISOTROPIC	ZERO	1386	1386	3:1386	0:38;1:110;3:290;4:948	0:24;1:2;2:2;3:12;4:18;5:10;6:1318	28	0.0	0.1854654019586487	661.3571481330049	8.37303559819702e-11
angular_shape	ISOTROPIC	POSITIVE	1386	1386	3:1386	1:128;3:298;4:960	4:8;5:40;6:1338	12	0.017144390702643345	0.3806968317103961	660.2493503238561	4.1655567883935873e-11
angular_shape	DIAGONAL_ANISOTROPIC	NEGATIVE	1406	1406	3:1406	1:128;3:318;4:960	4:8;5:40;6:1358	12	0.022790186354053363	0.36531704387448205	100.08587237712044	3.645972412869014e-13
angular_shape	DIAGONAL_ANISOTROPIC	ZERO	1406	1406	3:1406	0:36;1:112;3:310;4:948	0:24;2:4;3:12;4:15;5:13;6:1338	28	0.0	0.18567823907246284	88.28329520152816	8.184564137536654e-13
angular_shape	DIAGONAL_ANISOTROPIC	POSITIVE	1406	1406	3:1406	1:128;3:318;4:960	4:8;5:40;6:1358	12	0.02747433854378908	0.3476945860305901	76.49781702514368	3.7214675785435247e-13
angular_shape	SHEARED	NEGATIVE	1406	1406	3:1406	1:128;3:318;4:960	4:8;5:40;6:1358	12	0.021200850226101593	0.3864749180482252	243.51154159475027	1.5750567516903402e-11
angular_shape	SHEARED	ZERO	1406	1406	3:1406	0:36;1:112;3:310;4:948	0:24;2:4;3:12;4:13;5:15;6:1338	28	0.0	0.19667611747744684	232.1537527743066	2.9892080683903836e-11
angular_shape	SHEARED	POSITIVE	1406	1406	3:1406	1:128;3:318;4:960	4:8;5:40;6:1358	12	0.017302420952989218	0.33696405928467993	220.7964250853612	1.429234508520949e-11
shift_value_rank	0	NEGATIVE	1344	1344	3:1344	1:384;4:960	4:24;5:96;6:1224	36	0.007756724299666553	0.3189659832562468	243.51154159475027	1.5750567516903402e-11
shift_value_rank	0	ZERO	1344	1344	3:1344	0:62;1:334;4:948	0:24;1:2;2:10;3:36;4:46;5:38;6:1188	36	0.0	0.16923656660273123	232.1537527743066	2.9892080683903836e-11
shift_value_rank	0	POSITIVE	1344	1344	3:1344	1:384;4:960	4:24;5:96;6:1224	36	0.028195786904247386	0.3340265381289923	220.7964250853612	1.429234508520949e-11
shift_value_rank	1	NEGATIVE	1378	1378	3:1378	3:418;4:960	5:12;6:1366	0	0.015852005956935856	0.32958040996160276	58.31176727889208	6.711964317673846e-12
shift_value_rank	1	ZERO	1378	1378	3:1378	0:24;3:406;4:948	0:24;6:1354	24	0.0	0.1797468969882651	50.90654897928158	1.1963763313360687e-11
shift_value_rank	1	POSITIVE	1378	1378	3:1378	3:418;4:960	5:12;6:1366	0	0.017302420952989218	0.3422921412592907	43.5171435461163	4.8903103788688895e-12
shift_value_rank	2	NEGATIVE	1476	1476	3:1476	3:516;4:960	5:12;6:1464	0	0.013190352630525664	0.4119482626755986	662.467262503194	4.198952296974312e-11
shift_value_rank	2	ZERO	1476	1476	3:1476	0:24;3:504;4:948	0:24;6:1452	24	0.0	0.22613924706944102	661.3571481330049	8.37303559819702e-11
shift_value_rank	2	POSITIVE	1476	1476	3:1476	3:516;4:960	5:12;6:1464	0	0.017144390702643345	0.37920340418446197	660.2493503238561	4.1655567883935873e-11
angular_first_rank	0	NEGATIVE	1052	1052	3:1052	1:96;3:236;4:720	4:24;5:72;6:956	36	0.015852005956935856	0.32965546659141265	662.467262503194	4.198952296974312e-11
angular_first_rank	0	ZERO	1052	1052	3:1052	0:74;1:82;3:212;4:684	0:72;1:2;2:10;4:36;6:932	84	0.0	0.09458590418518012	661.3571481330049	8.37303559819702e-11
angular_first_rank	0	POSITIVE	1052	1052	3:1052	1:96;3:236;4:720	4:24;5:72;6:956	36	0.030626337882278303	0.25730795469257917	660.2493503238561	4.1655567883935873e-11
angular_first_rank	1	NEGATIVE	1048	1048	3:1048	1:96;3:232;4:720	5:24;6:1024	0	0.007756724299666553	0.36759196067455546	100.08587237712044	4.860112312599085e-12
angular_first_rank	1	ZERO	1048	1048	3:1048	0:12;1:84;3:232;4:720	3:12;4:5;5:19;6:1012	0	0.0	0.17118455787248849	88.28329520152816	8.469669410260394e-12
angular_first_rank	1	POSITIVE	1048	1048	3:1048	1:96;3:232;4:720	5:24;6:1024	0	0.017302420952989218	0.35403737059973234	76.49781702514368	3.90087961932295e-12
angular_first_rank	2	NEGATIVE	1048	1048	3:1048	1:96;3:232;4:720	5:12;6:1036	0	0.02865264034423427	0.3530681624081624	100.85214927716083	2.4300561562995426e-12
angular_first_rank	2	ZERO	1048	1048	3:1048	0:12;1:84;3:232;4:720	3:12;4:2;5:10;6:1024	0	0.0	0.23887749396228086	81.49445491524533	4.277467269275803e-12
angular_first_rank	2	POSITIVE	1048	1048	3:1048	1:96;3:232;4:720	5:12;6:1036	0	0.021147125324960787	0.4033002375741539	62.1405651821536	2.1955770534987096e-12
angular_first_rank	3	NEGATIVE	1050	1050	3:1050	1:96;3:234;4:720	5:12;6:1038	0	0.013190352630525664	0.4402327560504582	243.51154159475027	1.5750567516903402e-11
angular_first_rank	3	ZERO	1050	1050	3:1050	0:12;1:84;3:234;4:720	3:12;4:3;5:9;6:1026	0	0.0	0.3051036627951523	232.1537527743066	2.9892080683903836e-11
angular_first_rank	3	POSITIVE	1050	1050	3:1050	1:96;3:234;4:720	5:12;6:1038	0	0.017144390702643345	0.5225922881810188	220.7964250853612	1.429234508520949e-11
shift_first_rank	0	NEGATIVE	905	905	3:905	1:96;3:233;4:576	4:24;5:120;6:761	36	0.03784473235488576	0.2913991110282714	30.63021799866152	4.742872761198669e-13
shift_first_rank	0	ZERO	905	905	3:905	0:110;1:46;3:209;4:540	0:72;1:2;2:10;3:36;4:46;5:38;6:701	84	0.0	0.09516626578029284	29.290695955499856	8.526512829121202e-13
shift_first_rank	0	POSITIVE	905	905	3:905	1:96;3:233;4:576	4:24;5:120;6:761	36	0.017302420952989218	0.2676106518940816	29.743322546775996	3.943512183468556e-13
shift_first_rank	1	NEGATIVE	905	905	3:905	1:96;3:233;4:576	6:905	0	0.007756724299666553	0.41097870144390164	35.653692557344684	2.419398015263141e-12
shift_first_rank	1	ZERO	905	905	3:905	1:96;3:233;4:576	6:905	0	0.0003783883621245519	0.1785227298640469	18.71652711851784	3.997691067070264e-12
shift_first_rank	1	POSITIVE	905	905	3:905	1:96;3:233;4:576	6:905	0	0.02747433854378908	0.3657632250705242	18.19329382210351	1.950439809661475e-12
shift_first_rank	2	NEGATIVE	906	906	3:906	1:96;3:234;4:576	6:906	0	0.02157197483251688	0.42084318812471133	243.51154159475027	1.5750567516903402e-11
shift_first_rank	2	ZERO	906	906	3:906	1:96;3:234;4:576	6:906	0	0.002771724297548837	0.21503559794608926	232.1537527743066	2.9892080683903836e-11
shift_first_rank	2	POSITIVE	906	906	3:906	1:96;3:234;4:576	6:906	0	0.03290435584384493	0.39304044999346144	220.7964250853612	1.429234508520949e-11
shift_first_rank	3	NEGATIVE	906	906	3:906	1:96;3:234;4:576	6:906	0	0.013190352630525664	0.43879855199661066	662.467262503194	4.198952296974312e-11
shift_first_rank	3	ZERO	906	906	3:906	1:96;3:234;4:576	6:906	0	0.0032226458692816602	0.32203201955933053	661.3571481330049	8.37303559819702e-11
shift_first_rank	3	POSITIVE	906	906	3:906	1:96;3:234;4:576	6:906	0	0.017144390702643345	0.521007879128969	660.2493503238561	4.1655567883935873e-11
shift_first_rank	4	NEGATIVE	576	576	3:576	4:576	6:576	0	0.015852005956935856	0.294637356495376	17.262148378704293	2.4300561562995426e-12
shift_first_rank	4	ZERO	576	576	3:576	4:576	6:576	0	0.011538451971467833	0.2679886272880709	15.999771403744734	4.277467269275803e-12
shift_first_rank	4	POSITIVE	576	576	3:576	4:576	6:576	0	0.030626337882278303	0.3419869570425742	14.78009729229535	2.1955770534987096e-12
collective_Hessian_rank	0	NEGATIVE	4198	4198	3:4198	1:384;3:934;4:2880	4:24;5:120;6:4054	36	0.007756724299666553	0.36919567886918714	662.467262503194	4.198952296974312e-11
collective_Hessian_rank	0	ZERO	4198	4198	3:4198	0:110;1:334;3:910;4:2844	0:72;1:2;2:10;3:36;4:46;5:38;6:3994	84	0.0	0.1890957504277818	661.3571481330049	8.37303559819702e-11
collective_Hessian_rank	0	POSITIVE	4198	4198	3:4198	1:384;3:934;4:2880	4:24;5:120;6:4054	36	0.017144390702643345	0.3568543837400971	660.2493503238561	4.1655567883935873e-11
collective_Hessian_rank	1	NEGATIVE	0	0				0	NA	NA	NA	NA
collective_Hessian_rank	1	ZERO	0	0				0	NA	NA	NA	NA
collective_Hessian_rank	1	POSITIVE	0	0				0	NA	NA	NA	NA
collective_Hessian_rank	4	NEGATIVE	0	0				0	NA	NA	NA	NA
collective_Hessian_rank	4	ZERO	0	0				0	NA	NA	NA	NA
collective_Hessian_rank	4	POSITIVE	0	0				0	NA	NA	NA	NA
collective_Hessian_rank	8	NEGATIVE	0	0				0	NA	NA	NA	NA
collective_Hessian_rank	8	ZERO	0	0				0	NA	NA	NA	NA
collective_Hessian_rank	8	POSITIVE	0	0				0	NA	NA	NA	NA
