stratum_id	shell	coordinate_time	phi_gradient	angular_shape	shift_value_rank	angular_first_rank	shift_first_rank	collective_Hessian_rank	constructive_attempts	classification	status_replicate_0	status_replicate_1	flat_attempts	pair_screen_zero_attempts	tidal_repeated_attempts	tidal_repeated_nonzero_attempts	curvature_operator_ranks
P02S00014	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	3	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00015	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	3	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00016	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	4	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00017	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	4	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00018	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	4	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00019	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	0	4	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00020	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	0	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	3
P02S00021	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	0	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00022	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	0	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00023	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	0	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00024	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	1	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00025	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	1	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00026	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	1	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00027	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	1	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00028	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	2	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00029	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	2	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00030	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	2	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00031	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	2	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00032	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	3	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00033	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	3	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00034	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	3	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00035	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	3	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00036	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	4	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00037	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	4	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00038	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	4	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00039	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	1	4	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00040	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	0	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00041	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	0	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00042	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	0	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00043	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	0	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00044	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	1	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00045	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	1	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00046	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	1	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00047	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	1	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00048	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	2	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00049	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	2	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00050	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	2	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00051	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	2	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00052	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	3	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00053	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	3	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00054	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	3	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00055	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	3	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00056	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	4	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00057	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	4	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00058	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	4	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00059	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	2	4	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00060	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	0	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00061	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	0	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00062	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	0	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00063	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	0	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00064	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	1	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00065	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	1	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00066	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	1	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00067	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	1	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00068	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	2	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00069	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	2	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00070	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	2	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00071	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	2	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00072	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	3	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00073	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	3	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00074	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	3	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00075	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	3	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00076	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	4	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00077	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	4	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00078	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	4	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00079	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	0	3	4	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00080	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	0	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	2	2	2	0	0
P02S00081	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	0	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00082	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	0	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00083	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	0	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00084	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	1	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00085	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	1	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00086	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	1	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00087	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	1	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00088	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	2	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00089	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	2	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00090	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	2	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00091	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	2	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00092	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	3	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00093	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	3	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00094	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	3	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00095	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	3	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00096	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	4	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00097	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	4	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00098	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	4	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00099	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	0	4	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00100	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	0	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	3
P02S00101	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	0	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00102	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	0	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00103	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	0	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00104	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	1	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00105	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	1	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00106	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	1	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00107	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	1	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00108	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	2	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00109	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	2	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00110	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	2	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00111	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	2	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00112	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	3	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00113	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	3	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00114	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	3	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00115	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	3	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00116	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	4	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00117	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	4	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00118	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	4	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00119	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	1	4	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00120	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	0	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00121	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	0	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00122	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	0	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00123	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	0	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00124	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	1	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00125	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	1	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00126	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	1	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00127	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	1	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00128	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	2	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00129	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	2	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00130	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	2	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00131	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	2	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00132	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	3	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00133	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	3	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00134	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	3	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00135	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	3	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00136	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	4	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00137	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	4	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00138	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	4	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00139	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	2	4	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00140	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	3	0	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00141	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	3	0	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00142	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	3	0	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00143	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	3	0	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00144	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	3	1	0	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00145	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	3	1	1	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00146	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	3	1	4	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
P02S00147	0.3	DYNAMIC_4D	ZERO	ISOTROPIC	1	3	1	8	2	CONSTRUCTIVE_BOTH	CONSTRUCTED	CONSTRUCTED	0	0	0	0	6
