id	object	status	premises	est_result	not_established	next_falsifier
S19	H5A atemporal global closure	CONCEPTUALLY_COMPATIBLE_NOT_DERIVED	Post-prereg owner clarification; no primitive substrate time/distance	Reciprocity may remain at emergent geometric layer while underlying closure is atemporal	No bootstrap map; universal coupling; intervention-level no-signalling theorem; or finite slowness selection	Complete layered model and dimensionless discriminator
S20	H5B timed instantaneous substrate	OPEN_REPLACEMENT_THEORY	Substrate time; distance; genuine instantaneous propagation	Requires simultaneity/preferred causal structure and separate emergent geometry	No current UDT substrate or no-signalling construction	Complete replacement theory with controlled observational limit
S21	Observable c as geometric anchor	OBSERVATIONAL_ROLE_COMPATIBLE	Finite emergent Lorentz geometry; operational rods/clocks	Travel time may be geometric path/slowness while underlying closure has no propagation parameter	No proof every delay is curvature; baseline observational geometry already gives travel time	Native optical/metric derivation and empirical recovery
S22	H6 metric coordinate null slope	DERIVED_CONDITIONAL_READOUT	Chosen reciprocal time/parallel block; finite c_0; adapted coordinates	c_coord(phi)=sqrt(-g_tt/g_parallel)=c_0 exp(-2phi)	Not a diffeomorphism scalar; full 4D cone; universal operational/matter realization; or line realization	Native full metric and observer/chart specification
S23	H6 reciprocal causal endpoint relation	DERIVED_CONDITIONAL_READOUT	S22 and depth reversal	c_coord(phi)c_coord(-phi)=c_0^2; limits are infinity and zero	Endpoints are singular boundaries; no physical distance/CMB map	Native profile and boundary/projective completion
S24	Local orthonormal c_0 in H6	DERIVED_CONDITIONAL_READOUT	Static metric proper time/length from chosen block	dell/dtau=c_0 along radial null ray	No universal matter coupling or completed 4D equivalence theorem	Native clock/ruler coupling and full geometry
S25	Distance-zero and CMB endpoint identifications	OPEN	Owner post-prereg hypothesis	No current map distance to phi; CMB is not silently the canonical seal	No topology; profile; observational matching; or boundary law	Derive phi(distance) and distinguish CMB; wall; mirror seal
S26	Historical electron-transition picture	HISTORICAL_OWNER_INTUITION_QUESTION_ONLY	Post-July current disclosure of 35-year-old intuition	Motivates layered audit only	No native electron; energy-level; carrier; source; or instantaneous transition theorem	Future matter theory and empirical no-signalling audit
S27	Owner action on Reciprocity	NO_CHANGE_AUTHORIZED	Bounded adjudication only	Neither abandonment nor new infinite-c foundation follows	No canonization or C1 edit	Explicit owner ruling after new conceptual axiom
S28	Top-level adjudication	LAYERED_COMPATIBILITY_METRIC_NONDISCRIMINATING	T1-T10; exact countermodels; post-prereg H5/H6 clarifications	Literal same-layer infinity conflicts; regulated/layered/metric-endpoint forms compatible; local 1+1 block cannot decide internal pairing	No recommendation that either foundation is uniquely true	Independent internal/global observable or complete layered/replacement theory
