path	artifact_class	primary_alias_occurrences	alias_occurrences	ownership_term_occurrences	explicit_nonowner_occurrences	disposition	blob	sha256
boundary_bootstrap_representative_selector_audit_2026-07-19/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	1	5	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	c144f4c65888c3d75495613e4100a2b261138899	a642badbb769d1104061eb9bc5a5ecf1b33496e401e54f4bdc9c69f596b093c4
c2_angular_reduction_selector_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	2	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	660a4cca5bd67a99f1c064280594b705b0021803	603a53e1722501f89f2177ca290e89f29de78dd58071ed61309c306c384a77a3
c2_finite_cell_boundary_variation_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	1	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	02bd0b7d81c1c8b98d2ff7c2f9619fd30f38a8d9	b4635cf38de9219f7bdc808311f06e55cdd5b1508caadab9e312354976490ee0
c2_rigidity_three_route_zoomout_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	1	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	d62b8da7535caf1a253eaf7e376991654a88cd93	ffa8132152d87da39e73d127a6187b8643a8ff57ee23203b30777c8932605b05
c2_time_fiber_shift_jacobi_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	1	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	f56ab8c6db2c339d40bfb0fa085343b6415c0a95	117de8acde87688164f867733da41eb11eaecde7d0bbdb2195b2295c5c56bf90
c2_variable_lapse_selector_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	1	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	3f628f74a05ed38bbfa4c05120ffc29381a26cbd	e46088d1e46226ad5a728752f2059ed610181a7d7917e57a3312d65ed5fdea41
complete_coframe_seal_involution_2026-07-20/COMPLETE_EXTENSION_WITNESSES.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	cc9d730e071ad358aa191ba246efca88335a789b	a3f5a51f31b498f619ecc0f60ba9daf726389e230f12bca245a5c11d60c456c6
complete_coframe_seal_involution_2026-07-20/DERIVATION_RESULT.json	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	718597b96e19952e8bac5d67c7b2393bbbb38849	a0579b3785ff1bccef888a3ace186af8668a189aa802a238e9017adc8d72a3d0
complete_coframe_seal_involution_2026-07-20/REQUIREMENT_MATRIX.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	bb893a032e712b58d0d27e4fd5090fc0dc06b953	b00793a9aeb8e4a16997057942e7690a7e9a425546661ce8bec1345f675d3b36
complete_coframe_seal_involution_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	3	1	2	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	aee99b9853d4d15ff259124f79f2ad17e9a52d8d	0bec4b1b78f92f6510be471c3bed51192fe9174b12be1f41a9912fb3aeff9d27
complete_coframe_seal_involution_2026-07-20/derive_complete_coframe_involution.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	5bdabc89458908ffb57c1cca5bdcfffc857f29cf	79a9a5e19fcfed84ce02ea31644c1a4393b3f26302c7d41535379968fb231232
complete_coframe_seal_involution_2026-07-20/verify_complete_coframe_involution.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	2	2	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	5e402cc9b6bc89e7a8e919c6d811f29def0e5217	1fed30cd6d1070992e4fbd8d3a6894df9abc2381c03f30cd5079a3e165c4fb8b
copresence_gr_constraint_regrade_2026-07-19/RECLASSIFICATION_TABLE.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	2	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	a00edc77eef547ad824b8f6605ff799a6ca5846d	41aef4cf47fc228c83bb77313a6d9c6d44cb297a1cd0360cca17c490d1027cdc
copresence_gr_constraint_regrade_2026-07-19/verify_copresence_gr_constraint_regrade.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	2	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	66e589acb7faaa4028d72818b2babf5ac6a8e719	a51010b92b2e49cf21ce31b32da9c305f1613761d7e8467ae3a001526d9deafc
finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	RESEARCH_OR_EVIDENCE_PROSE	1	1	0	2	REFERENCE_ONLY_NO_OWNERSHIP_TERM	bd8afdb4394e1adc570455763f5700103e38be98	783f8d369d73ab6faa2bd97b0e38654173173f886197cac38b688b6a459b7051
finite_cell_seal_boundary_phase_join_2026-07-20/COMPLETENESS_SCOPE.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	1	REFERENCE_ONLY_NO_OWNERSHIP_TERM	5199720637576e5b968cfd2953e29030ca2af24e	1418dea2fd156a678333aa8e3d872c6fcfa2a7e2310dcd6884449454b446e213
finite_cell_seal_boundary_phase_join_2026-07-20/DERIVATION_RESULT.json	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	1	REFERENCE_ONLY_NO_OWNERSHIP_TERM	0ea8c243c705755072155b8b8e71c0a52351903a	aa8139f6fe65bd7681786f17ad9d19bd166267d22b0dcfe7af0cbe5747e4e9ee
finite_cell_seal_boundary_phase_join_2026-07-20/OUTCOME_BRANCH_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	1	REFERENCE_ONLY_NO_OWNERSHIP_TERM	14ec7dff1d995ce670aa0b9af104c90979c02229	5e6e911f7f22fde269adaab46de6dce03f72c6747c79774328d7d01d5a98d323
finite_cell_seal_boundary_phase_join_2026-07-20/POLARIZATION_WITNESSES.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	c5145aa61c94468fbf4fbf04c2b6cf0ec867c552	5d8f30f8e6bc8e7beab4111d58bdf2abb2e6e68a4bd2463e75dbae2cf4af4b0a
finite_cell_seal_boundary_phase_join_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	3	1	2	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	7d9c5e76b325898cf7a3c11dc5222ff8aa50254a	7b62c0ab899c522269b1851db0fda959e1633a4ac4e20993a1baead0d33b3438
finite_cell_seal_boundary_phase_join_2026-07-20/STATUS_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	1	REFERENCE_ONLY_NO_OWNERSHIP_TERM	2daf5c3876842993e22a1785f75a6efc81625538	41faee26d3722d2b429c4a68b79b6affb3a55b98938b8b7edcd09f371c982dce
finite_cell_seal_boundary_phase_join_2026-07-20/STRONGEST_JOIN_CHALLENGES.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	1	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	adc8ae0a1ad960026d731ac153796d6b531d8c3c	093f8cef94ef8f25cc8bf32e82316574032404d723ab9125c77f4c9452468399
finite_cell_seal_boundary_phase_join_2026-07-20/derive_seal_boundary_join.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	1	REFERENCE_ONLY_NO_OWNERSHIP_TERM	7ea51d9a5863d3bba558d42ca1079eb14bbaa46c	bbd15424889305ef1d7aa3e38800c6b8b09aa6c91bcf8e8d11e7ec213cfbbe53
finite_cell_seal_boundary_phase_join_2026-07-20/verify_seal_boundary_join.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	2	REFERENCE_ONLY_NO_OWNERSHIP_TERM	8014f477ade731f43c8badc3d07358c9f9ee9c79	d756d6a6d715d4cfa0687b6c84527f231ac42a94130b22b414beb95306fa8eac
matter_bootstrap_dimensional_inventory_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	74bc5aaabd0a19cc6f3ec88b1ab0dc8cebdd7ea6	cec8c237a56829ed5fd8c45d52aa4848ac39ea4f8672eec3c404825c5dd11c4b
projective_transport_section_selector_2026-07-19/STATUS_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	1	2	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	0a77a24b7a24d8a07376de4792faece8b3cef232	788f1ccfbaf4fc6fdd76903fc0cd1b2961d2d64d68bfb9f15d81d95f175d9c2b
projective_transport_section_selector_2026-07-19/verify_projective_transport_selector.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	3	3	0	2	REFERENCE_ONLY_NO_OWNERSHIP_TERM	5d7161bed5e19a42616c15aa5b4809c5dd5b249b	b328af190fc425d4f3e94e82600abeb742ea6a9f0f7c27e6d03ad2837d9d5a74
reciprocal_metric_null_line_selector_2026-07-19/STATUS_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	4	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	39cc58133307d4f0d66f178f2b28485c041275aa	bef78f1fc7957dc34fe11924aab77992fc6a8e4e559d8c9cdbc96c751e7661e0
reciprocal_metric_null_line_selector_2026-07-19/verify_reciprocal_null_line_selector.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	2	0	TERM_HIT_REQUIRES_CONTEXT__NOT_CURRENT_R17_AUTHORITY	fcbcfe5aa639c371325d62a3f9573b7276a1ff7a	17465cf2070cc3a61ffe677552752c73a101d7e350e8451a4ae980ac6ec385a7
reciprocity_offshell_constraint_selector_2026-07-18/PREMISE_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	4	REFERENCE_ONLY_NO_OWNERSHIP_TERM	ada4949260bcb107de390f8213f5a125210d4eca	6c0df7c0d66a1c30667744a5f1c1b5b1342356cdc2c2d6c76c89e29809e0b549
research/README.md	RESEARCH_OR_EVIDENCE_PROSE	3	5	1	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	072f563602e65bdb4112b4f1c75799a98032d5ef	e354729fa5c5375aa5de64a20ff201b6a32b7917cfe25dbb886d8666706c2d7d
research/_registry/README.md	RESEARCH_OR_EVIDENCE_PROSE	2	2	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	c2fc5e03b5ffab2e2f3558ffb9336036a3ac9053	114ef363e752f3bf6e0686a158e7a046d4a0bb90315dfa62c66fe8a36809d89a
rung2_weld_postjuly_regrade_2026-07-19/STATUS_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	2	0	TERM_HIT_REQUIRES_CONTEXT__NOT_CURRENT_R17_AUTHORITY	35d03f8b5caf046612a654d7163abf8e5662f06d	5f801ac404276c19ea77431cccf6f3402a05da096334a072a8f826d1b50dc8f9
rung2_weld_postjuly_regrade_2026-07-19/WELD_OBJECT_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	2	2	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	d340a92748043cb69d5dfbd025ecfbd898547d16	dd55955e387c4d1fe199329cd3ab4f6ba63c16e77819036154000791586a34e2
scale_breaking_closure_census_2026-07-20/SCALE_WEIGHT_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	1	REFERENCE_ONLY_NO_OWNERSHIP_TERM	6e7f1511e37ad92ce8ba3824cb555b94bcd13f34	e6faf94c0a6b7cbf4490aed050962a99d0f805134216c3815acc971cdecccfa6
scale_breaking_closure_census_2026-07-20/SOURCE_ADJUDICATION.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	2	3	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	919cf77ae787e9b551e79bba4a4fbe487712f997	3909eb10377439fcf09ca6f50e9752212c3db51650838be2122dec63495a06c1
scale_breaking_closure_census_2026-07-20/verify_scale_breaking_closure.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	4	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	9f05dd1cc2d0dde81dfdd65fa5625cf3f516cd29	7e4b1a7da2887b3b4350069513e8bbaacf880fd355e5671ef4cddf9100416161
transverse_reciprocal_realization_selector_2026-07-19/STATUS_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	1	REFERENCE_ONLY_NO_OWNERSHIP_TERM	a7725b33d03034730e7dcf3a0ff43311c9eb8104	e3460c54543dbaac2dfb4d6b33e4f23318a8abe00a25645c285214e04138cada
transverse_reciprocal_realization_selector_2026-07-19/verify_transverse_reciprocal_selector.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	2	2	1	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	c15ad7af20050c999c3e090b4b0aa962ac311610	c4aeba68a4913de1bb7fe1c6d540bb457389f313be5d6ee7f47f195daf199551
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/AUDIT_REPORT.md	RESEARCH_OR_EVIDENCE_PROSE	3	9	1	5	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	1e28aa9a83d594e899df637e6f954811b4577593	231cc65aa1570fafcae2049c2b5b6fc1e254afda69ec5c0188861272ef5b0ee8
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/COLD_REVIEW_DISPATCH.md	RESEARCH_OR_EVIDENCE_PROSE	2	6	1	3	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	d5c4f65bc48e9c9a0a0e78726ff2d590d3c930b9	b9d20b4d0d6e3bf717a4c2d8a2c2c0687d67f516e408c7d760b56f1ae60907ac
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXACT_DERIVATION.md	RESEARCH_OR_EVIDENCE_PROSE	1	5	1	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	4a52ada768c25257641e01cfdc3c67b436e8ed82	30b563b30e4ab6ac2af11c77cf28d627fa8dd400f854617cb55be1177e2f723b
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXTERNAL_REVIEW.md	RESEARCH_OR_EVIDENCE_PROSE	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	e8087eacafa2db717443ae0aa5c7b1b352a09a4b	e2c5c9c1ab98226909c303015ff01e5b3d1de47194e408cf8bae27620a84435a
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/EXTERNAL_REVIEW_RAW.md	RESEARCH_OR_EVIDENCE_PROSE	2	4	0	2	REFERENCE_ONLY_NO_OWNERSHIP_TERM	cca99de8ede07465aee9091fe334ad6dbf909a8a	a1aa3f6c1e813a33b9e4595f2f84866b30907f7601ecbdcb5d127294aa33202b
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/POST_REVIEW_CORRECTION.md	RESEARCH_OR_EVIDENCE_PROSE	4	4	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	443c61183acfa59fed1878aa908e23aceaebe571	c7d17313c3aa9b79caa7d31b4690dcbfda64806179fffe0b88e0ab59a127b6c2
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/SOURCE_MANIFEST.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	4078e85a88d1890294c0cbc09c515f633137b37f	0f1f7d01d80112a33cfe61495aca3bd988e6708ff799fe63597ed742ea99966e
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/SOURCE_MANIFEST_CONSOLIDATED.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	2	2	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	ab18125b6908c4924948e79f58f915d7ac8678b8	3e98273ae74c698b225c36f271f41efcb3d0c30e1ac93e23ab3c230ee4419892
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/SOURCE_MANIFEST_REFINEMENT.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	ff073ff161216226f50eed30ec0bda176b2d88a0	984e7d34fb61c817f7037ec5e19eb137be273e159da7bb16856e01706284704d
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/SOURCE_SCOPE.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	240b675c147dd071ec39f9d4353cd95884750259	bf3100459637513a15e40e61b2c91e230cecbb685a34e00a9c9ccd6be2207a6c
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/SOURCE_SCOPE_REFINEMENT.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	25292404282356d901224de7ee8478c1110b9a8a	08f32e14cd4bf373dea6c69ed80dcc60f35dba1f7bc31e9c7b67f77f9f7b4cd9
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/STATUS_LEDGER.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	6	8	1	1	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	b7f2834f624e10d93b1d20f107edeb399db9b131	6a1c0f256c1c365f924ae7f60d8404ee7654c27588ba5a6a2758648969e69951
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/TRANSITION_OWNERSHIP_ATLAS.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	2	4	0	3	REFERENCE_ONLY_NO_OWNERSHIP_TERM	9a430e98e0674d1fc2db61ab5c285f922c10d0a4	070206c8a6a9eaf87f5bc8c29199323400831ff6ac5471944090b9429872cc36
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/derive_transition_ownership.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	11	13	0	3	REFERENCE_ONLY_NO_OWNERSHIP_TERM	58ad498cbd7ad5d074bc670d3d62633b9e441f3b	d517138a60961090dfe2a69f9eecacb8c0af7d3167d044214e0495121ce90c19
udt_branch_nonisometric_calibration_transition_audit_2026-08-10/verify_transition_ownership_independent.py	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	486efcaaf027704f3d44ac771f00ff7838a40c2c	17d920c58215cf1e03093d04a6d42cfbeec4682adf843725209451a7c639b2a4
udt_branchwise_projector_holonomy_census_2026-08-01/DISCOVERY_HITS.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	2	70	36	48	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	1531afc3d3a5967571b40e6ef73d6fce5bf4a4a8	4bc6008140855e3281ea8a8ce2aaaee33806b391c987197ebb42c82b6fb7c6b2
udt_branchwise_projector_holonomy_census_2026-08-01/DISCOVERY_HIT_DISPOSITIONS.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	2	70	154	48	MENTIONS_EQUATION_OR_SELECTION_BUT_EXPLICITLY_OPEN_NEGATIVE_OR_OTHER_SCOPE	980eb160163305c5da91957abcf49c084e59c5de	98bdb08124e7b8b8d68bc6dfd4c6d18a47e270250e0ef1d0e2c6b6fa1b3ec1d9
udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/COLD_REVIEW_DISPATCH.md	RESEARCH_OR_EVIDENCE_PROSE	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	d25ad8afd6c7338a63b8c22d657be8b365ebdbd8	d5b0ddac0f5c5355ca2ce8bd3c5e1714cc4903cc11918c5970a544de1f46d098
udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	RESEARCH_OR_EVIDENCE_PROSE	1	5	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	688656b59fd2d2883a8c5edd30ef4f2c9d895259	925ca9fce8872392240fe390f2c10ec81685fea7e289d2286b1b8d3fa49dba87
udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXTERNAL_REVIEW.md	RESEARCH_OR_EVIDENCE_PROSE	1	1	0	1	REFERENCE_ONLY_NO_OWNERSHIP_TERM	16f7adadf7d17fa743a506ab88e608897891ec96	9346f21f053bc580b15a2a6d385569daba54b906a8780df88cac270dd844858d
udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXTERNAL_REVIEW_RAW.md	RESEARCH_OR_EVIDENCE_PROSE	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	ff69a90f359c0ae27438d956ed35d8227b9334fa	36d9a47b334a1614996503abe9b5142099b72dc1d6c38b5684b46dcd32ab4061
udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/NEXT_STEP.md	RESEARCH_OR_EVIDENCE_PROSE	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	b800bfd705c61ccc7c65ee608a097bcfba60ac8b	1b10a0fbc1d044a22631dc2b3e9b09391615c7e9b33068d24f784821c2808108
udt_complete_branch_founded_pair_pullback_audit_2026-07-26/HOMOGENEOUS_MOTIF_PULLBACK.tsv	MACHINE_EVIDENCE_OR_IMPLEMENTATION	1	1	0	0	REFERENCE_ONLY_NO_OWNERSHIP_TERM	34a7097b5b4486d5ff59b8b5d530800aec27e3b0	446d9cacf2a3c29a98fe65edbe51dd4e9949647374ca3d161ab7f487d368d50c
