path	first_commit_date	first_commit	last_commit_date_at_base	last_commit_at_base	last_commit_subject_at_base	git_blob_oid_at_base	sha256_at_base	size_bytes_at_base	selection_reason	r0_classification	current_frontier_target	forensic_occurrences	operational_occurrences	operational_root_references	hard_frozen_root_sources	runtime_or_unknown_root_sources	editable_root_sources	prohibited_dependency_edges	prohibited_dependency_categories	unresolved_dynamic_touches	destination	destination_collision_at_base	supersession_excerpt	classification	family	rationale	affirmative_evidence	move_authorized
F5_critical_universe_closure_results.md	2026-06-21	9af19002e5de3faa9c438915505383baac11f48a	2026-07-06	b108d492c324750b4e3fd7084ea543b4cd54a786	Live macro-spine provenance pass (3 classifiers + adversarial): no quarantine, N5d unaffected.	ae4b09f3be492805557dcba3d15b159565e5107b	16f800d165ae5abf10af3737cb4626e69c1df62c8cfccfa124ff5793d9548599	21590	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	80	3	3	-	-	archive/COMPLETION_PROGRAM.md;macro_universe_native_MAP.md	0	-	0	archive/pre_2026-07-01/F5_critical_universe_closure_results.md	NO	> **CONDITIONS-CHANGED (2026-07-06 macro-spine pass) — premise-scoped citation.**	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
F6_postulate_A_ledger_results.md	2026-06-21	8b80c594140f113f4a646429ae974bed68f824d0	2026-06-21	a642fa0fed81c20feabeca8ac908e56e101c947c	F6 framework DECISION (Charles): HOLD quantization, finish the solver to 100% first; emergence not a target	defb9adf416dba6a1240e22be9846375b39144f5	268bc7434dc2634785bb07c13b02ed43c34ac646ce9e955a9e40d298a13e64b8	20776	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	71	1	1	-	-	archive/COMPLETION_PROGRAM.md	0	-	0	archive/pre_2026-07-01/F6_postulate_A_ledger_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
F7_scale_bridge_native_results.md	2026-06-21	9af19002e5de3faa9c438915505383baac11f48a	2026-06-21	9af19002e5de3faa9c438915505383baac11f48a	Completion Phase A: F5 + F7 closed (verified CLEAN)	fefebe75d06c783d63e2aabd61b3c9d5544addfa	52551c529dfc99af9f2f12efbc8e7575f8f49a3efdac326018b266b29ea056a7	17028	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	75	6	6	H4_N5a_whole_cell_criticality_rederivation_results.md	-	H4_N5_whole_cell_criticality_MAP.md;H4_backreaction_mass_MAP.md;archive/COMPLETION_PROGRAM.md	0	-	0	archive/pre_2026-07-01/F7_scale_bridge_native_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
F8_metric_choices_results.md	2026-06-21	e6e75af45a4311e4e0a975bfc2fffcf792729f4d	2026-06-21	e6e75af45a4311e4e0a975bfc2fffcf792729f4d	Completion Phase A batch 1: F1, F2, F3, F8 closures (verified CLEAN)	a149b70b473f875d5a3274b2775700ec613f2583	815f90c3c8a69158d021404065f31bd8f1ce892eb0e542f259c88a9c211b62d5	18907	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	FROZEN_EVIDENCE	NO	82	1	1	-	-	archive/COMPLETION_PROGRAM.md	0	-	0	archive/pre_2026-07-01/F8_metric_choices_results.md	NO	-	HARD_FROZEN	FORMAL_FROZEN_EVIDENCE	Formally frozen evidence at the fixed base; neither bytes nor path move in R1B.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	2026-06-21	ce09790674f99a1a459e91510c8f7d1765663818	2026-07-18	4b226472c8f7c22dfcdd2c328a109e92d1df5abd	Complete R1A inbound-reference correction	31d8e7366a4a074a7fab9bac47ef65f439955c25	405edaf2302d5a9f8ed1cc2de48714fad0265b7eb310c8fc93c92567067cc480	27304	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	NO	282	22	22	F2_closure_results.md;F5_critical_universe_closure_results.md;F6_postulate_A_ledger_results.md;F7_scale_bridge_native_results.md;F8_metric_choices_results.md	-	CLAUDE.md;HANDOFF_ARCHIVE.md;MATTER_SECTOR_MAP_new_foundation.md;STATE.md;archive/COMPLETION_PROGRAM.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;archive/M10_M11_object_identity_closure_results.md;archive/M12_winding_bc_closure_results.md;archive/pre_2026-07-01/F1F3_closure_results.md;matter_regrade_derived_operator_results.md;scale_symmetry_bootstrap_analysis_results.md	1	STARTUP	0	archive/pre_2026-07-01/FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	NO	> **[FRONTIER STALE as of 2026-06-27 — the top-of-file frontier here is superseded; LIVE.md is the current frontier. Body kept as record.]**	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
GR_NUMERICS_RESEARCH_2026-06-29.md	2026-06-29	a0f381a658d5aa8fb97f0d1a411f35b9cabee30d	2026-06-29	a0f381a658d5aa8fb97f0d1a411f35b9cabee30d	GR-numerics research for the D1 fix (deep-research, 25 claims verified, primary sources)	ec2049f68a3f369b6911d9c013d5f3fb10400303	8c7b5b20fbe396d1531e9371dd6678bcca7ca6591bed7d4e527170c483f34ccc	6725	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	45	7	6	native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt	-	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/pre_native_coupled/D1_FIX_DESIGN.md;pre_native_era_census.md	0	-	0	archive/pre_2026-07-01/GR_NUMERICS_RESEARCH_2026-06-29.md	NO	-	SOFT_EVIDENCE_PATH_ONLY	SOFT_CLEAN_TECHNIQUE	Clean category-A numerical research, not affirmatively superseded as a whole; retain without prose edits.	pre_native_era_census.md:90	NO
HANDOFF.md	2026-06-10	defa4c17fc045c6b1854091894b347ac6b854330	2026-07-18	bfa0b9a9371fab0266315bc2bb6845b8a7446a18	Add GR to UDT selector audit and external verifier	62bf21e8371cc1acfbdbc650960af0f1130778be	ce81416f91c506427ac4470c15bdb332aae140353e727e228cc9c8acab5d3c9e	8643	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	YES	567	121	118	UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md;UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;codex_rehearsal_transcript.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;p5_live_state_shrink_results.md	legacy/root_oneoffs_2026-07-01/ns_scan_core.py;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_004_retire.py;rescued_workspaces/2026-06-11/tmp_loose_scripts/s74_wind_down_handoff_startup.py	AGENTS.md;CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF_ARCHIVE.md;INDEX.md;LIVE.md;PURSUIT_CHARTER_2026-07-04.md;README.md;REORGANIZATION_R0_PREREG_2026-07-18.md;SOLVER_INTEGRITY_UPGRADES_SPEC.md;STATE.md;UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md;UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md;UDT_H3_CORRECTED_G_THEN_F_SEQUENCING_DISPATCH.md;archive/COMPLETION_PROGRAM.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_H3_H4_arc_2026-07-05.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/LIVE_h3_stability_layers_2026-07-11_12.md;archive/LIVE_historical_frontier_through_2026-07-08.md;archive/MIGRATION.md;archive/POST_POSTULATE_PROGRAM.md;archive/RECON_C_session.md;archive/REORG_PLAN.md;archive/SOLVER_COMPLETENESS_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_MAP.md;archive/udt_active_results.md;archive/udt_validated_results.md;udt_canonical_geometry.md	50	STARTUP	0	archive/pre_2026-07-01/HANDOFF.md	NO	-	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
HANDOFF_ARCHIVE.md	2026-06-17	440490b91bd97c6e23b0ca13522f9260b1aeb673	2026-07-18	4b226472c8f7c22dfcdd2c328a109e92d1df5abd	Complete R1A inbound-reference correction	b257b2563729d016a430a7378baaeb21c8b75905	23340d081d4b52d1fbb7f019f0240d79891ca2c67ccd438698c7e29ef0cc85ec	130383	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	ACTIVE	YES	933	30	30	codex_rehearsal_transcript.txt	-	HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;LIVE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;udt_canonical_geometry.md	5	STARTUP	0	archive/pre_2026-07-01/HANDOFF_ARCHIVE.md	NO	## [SUPERSEDED layer] (2026-07-12 — H3 particle-mass, corrected-operator stability arc)	ACTIVE_CROSS_ERA	R0_ACTIVE_CROSS_ERA	Base inventory and current repository navigation retain this pre-cutoff record as active cross-era evidence.	reorganization_r1b/base_forensic_census/ROOT_FILE_INVENTORY.tsv	NO
INDEX.md	2026-06-10	9c62dff56fe775016ef235dea63fb0ed1853a786	2026-07-18	bfa0b9a9371fab0266315bc2bb6845b8a7446a18	Add GR to UDT selector audit and external verifier	83a6b385d90dba877a101a0f0885146cc16da17b	42e334e9c046ca9aa4e568914ccb61d15d97744f40d15ea11e4ac53199d91a06	8333	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	NO	751	35	34	UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md;UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;codex_rehearsal_transcript.txt;p5_live_state_shrink_results.md	native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt	AGENTS.md;CLAUDE.md;HANDOFF_ARCHIVE.md;README.md;REORGANIZATION_R0_PREREG_2026-07-18.md;STATE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/RECON_D_canon_negatives_weaknesses.md;archive/REORG_PLAN.md;branch_operator_contamination_ledger.md	117	STARTUP	0	archive/pre_2026-07-01/INDEX.md	NO	-	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
LIVE.md	2026-06-23	ad5b76097509690c438d2cec7e04b9494bd9be53	2026-07-18	bfa0b9a9371fab0266315bc2bb6845b8a7446a18	Add GR to UDT selector audit and external verifier	91708da8d00683f09d9995c890c011103001597b	f0d2d89c29111d145e756a8c486d0c58f9b114e473920b3ba81ea7c6851d49e9	42922	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	YES	1891	433	424	UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md;UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md;UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md;branchP_solver_floor_xcontinuation_results.md;codex_rehearsal_final.md;codex_rehearsal_transcript.txt;cognitive_corral_triggers_results.md;cosine_native_reconciliation_results.md;n5d_pilot_stage1_results.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_B/OUTER_TRANSCRIPT.txt;p2_operator_from_action_results.md;p3_discipline_skills_results.md;p4_cross_model_verify_results.md;p5_live_state_shrink_results.md;universe_cell_fold_jc_sigma_results.md;universe_cell_vacuum_impossibility_results.md	.claude/hooks/corral_trigger.py;export_for_local_llm.py;galerkin_basis.py;native_action_sync_audit_2026-07-17/round1_transcript.txt;native_action_sync_audit_2026-07-17/round2_transcript.txt;native_action_sync_audit_2026-07-17/round3_transcript.txt;native_action_sync_audit_2026-07-17/round4_transcript.txt;native_action_sync_audit_2026-07-17/round5_transcript.txt;native_action_sync_audit_2026-07-17/round6_transcript.txt;native_action_sync_audit_2026-07-17/round7_transcript.txt;native_action_sync_audit_2026-07-17/round8_transcript.txt;native_action_sync_audit_2026-07-17/round9_banked_transcript.txt;noNull_hess_h2fit_log.txt	AGENTS.md;CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;H4_N5_whole_cell_criticality_MAP.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;J_of_s_light_deflection_confrontation_MAP.md;LIVE.md;MEMORY.md;NEGATIVES_REGISTRY.md;P1_PURITY_HARNESS_MAP.md;PURSUIT_CHARTER_2026-07-04.md;README.md;REORGANIZATION_R0_PREREG_2026-07-18.md;SOLVER_INTEGRITY_UPGRADES_SPEC.md;STATE.md;UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md;UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md;UDT_H3_CORRECTED_G_THEN_F_SEQUENCING_DISPATCH.md;UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md;UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md;archive/COMPLETION_PROGRAM.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_2026-07-05_evening_arc.md;archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md;archive/LIVE_H3_H4_arc_2026-07-05.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/LIVE_h3_stability_layers_2026-07-11_12.md;archive/LIVE_historical_frontier_through_2026-07-08.md;archive/LIVE_hopfion_H3_arc_2026-07-05.md;archive/LIVE_native_frame_round_static_2026-07-01.md;archive/LIVE_route_fork_E2_arc_2026-07-04.md;archive/LIVE_stability_stageD_microphysics_arc_2026-07-03_04.md;archive/LIVE_stage2_static_arc_2026-07-06.md;archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;archive/LIVE_xmax_homogeneity_detour_2026-07-07.md;archive/MIGRATION.md;archive/POST_POSTULATE_PROGRAM.md;archive/REORG_PLAN.md;archive/SOLVER_COMPLETENESS_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_GLOBAL_SCALE_SELECTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_CSN_ONE_MASS_GLOBAL_CALIBRATION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_DEEP_POSITIONAL_RELATIVITY_POSTULATE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_DILATION_SUBSTRATE_ACTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_ELECTRON_CALIBRATION_BRIDGE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_MACRO_MICRO_MATCHING_CLOSURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_NATIVE_ACTION_NONCOLD_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_QUADRATIC_DILATION_COST_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_FUNCTIONAL_STRUCTURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_AXIS_METRIC_CURVATURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_LOOP_CLOSURE_MATTER_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_SMOOTH_BOOTSTRAP_SUBSTRATE_CLOSURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_DERIVATION_RESULTS.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_CONFORMAL_CARRIER_SCALE_CLOSURE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_OFFSHELL_PROVENANCE_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_MAP.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_SCAFFOLD_NATIVE_ACTION_SEPARATION_VERIFY_DISPATCH.md;archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_VERIFY_DISPATCH.md;archive/pre_native_coupled/D1_FIX_DESIGN.md;archive/pre_native_coupled/EXTERNAL_AUDIT_2026-06-30.md;archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md;archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md;grok/README.md;macro_Q1_source_posture.md;macro_clean_core_first_observe_CONTRACT.md;macro_phi_blindness_reaudit.md;macro_universe_clean_core_MAP.md;matter_filled_background_closure_DESIGN.md;p16_phi_sourcing_decision_note.md;ponder_emergence_directions_2026-07-04.md;regrade_S2_defect_2026-07-04.md;simple_metric_L_equivalence_principle_GAP.md;threadB_WORKSTATION_DISPATCH.md;w_alg_verifier_scripts/UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	174	STARTUP	3	archive/pre_2026-07-01/LIVE.md	NO	-	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
MATTER_SECTOR_MAP_new_foundation.md	2026-06-21	b72abebffecbfdcfbb247693d124115c66aaad06	2026-07-04	800aa5c807efc78931dff8deef71740d0717ab8b	D1 BANKED, blind-verified (a8e6f8faa37a495d0, 8/8 HOLD): N=3 NATIVE-REDERIVED and STRENGTHENED (no invariant 2-form at any other rank; any closed 2-surface); q=1/3 IMPORT-DEPENDENT (s=1/9 backsolve; 4-route steel-man failed); eta=1/18 import + natively homeless; QCD/QED precision layer = pre-classifier scaffolding confirmed; photon re-grade owed; PROMOTION ERROR corrected in 3 banked locations (h1_types hard-codes q=1/3)	7189e4e8756379c903240a3fa7a381439be843fe	11ed3645af15a3cb6035b1bf6619477d0a8f253f92ada35093204e31eec762b0	27447	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	73	4	4	F2_closure_results.md	-	d1_angular_constants_native_rederivation.md;matter_regrade_derived_operator_results.md	0	-	0	archive/pre_2026-07-01/MATTER_SECTOR_MAP_new_foundation.md	NO	-	ACTIVE_CROSS_ERA	CURRENT_FOUNDATION_CROSS_ERA	Cross-era matter provenance map remains cited by formal frozen foundation evidence.	F2_closure_results.md:14-17	NO
NEGATIVES_REGISTRY.md	2026-06-11	ea4967591604812e32725433ab2ad75347335983	2026-07-18	4b226472c8f7c22dfcdd2c328a109e92d1df5abd	Complete R1A inbound-reference correction	71c7cae1f659c40636537db211311f8bdb972025	981786b260b2671fdd66638b4b64d9c40a0994c1a1e09bb33f461751593d7cdc	164174	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	CONTROL	NO	647	39	39	H4_N5a_whole_cell_criticality_rederivation_results.md;H4_N5b_flux_budget_closure_results.md;codex_rehearsal_transcript.txt;n5d_stage2_Lselection_audit_results.md;w6_results.md;w8_results.md;w_stiffness_results.md	-	CLAUDE.md;H4_N5_whole_cell_criticality_MAP.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;README.md;STATE.md;archive/B1_nativeness_verifier_results.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_stage2_static_arc_2026-07-06.md;archive/M12_winding_bc_closure_results.md;archive/RECON_D_canon_negatives_weaknesses.md;archive/REORG_PLAN.md;archive/pre_native_coupled/coupled_timelive_solve_CONTRACT.md;archive/solution_space_baseline.md;archive/udt_field_equation_vacuum_structure_results.md;archive/w6_flux_results.md;negatives_premise_sweep_2026-07-03.md;regrade_S2_defect_2026-07-04.md	5	STARTUP	0	archive/pre_2026-07-01/NEGATIVES_REGISTRY.md	NO	refuted, the negative is flagged CONDITIONS-CHANGED and loses blocking	PERMANENT_ROOT	PERMANENT_CONTROL	Registered permanent control/navigation ledger; R1B never moves it.	PERMANENT_ROOT_REGISTRY.tsv	NO
P1_PURITY_HARNESS_MAP.md	2026-06-23	4ef7add2262804b62c70ab6041039cdd5a806c63	2026-06-23	4ef7add2262804b62c70ab6041039cdd5a806c63	P1 purity harness: machine-enforced solver integrity (SOLVER_INTEGRITY_UPGRADES_SPEC P1)	fae05082ac4cbb40cdb31b8875f61104195823ef	0219b6a21f3bd953dae4aa9613abd0acd1704b042ce5e8b63f9ca9b7defe7c32	9460	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	MOVE_CANDIDATE	NO	66	4	4	p1_purity_harness_results.md	tests/test_solver_integrity.py	HANDOFF_ARCHIVE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md	0	-	0	archive/pre_2026-07-01/P1_PURITY_HARNESS_MAP.md	NO	-	ACTIVE_CROSS_ERA	LIVE_GOVERNANCE_AND_TEST_INFRA	Design remains coupled to the live solver-integrity test and frozen P1 result.	P1_PURITY_HARNESS_MAP.md:122-129;tests/test_solver_integrity.py	NO
P5e_proper_results.md	2026-06-21	5c31207a3f5545b5195d0fcbb3e3c4fc9f827b39	2026-07-18	3cd2a99e402bd69cf180ca15e4b1337635dd5837	Archive first provably safe R1A batch	e1a01d1a5be99cbe11be92b09d97d1970b86c7d5	d9f0da3604c6c304d4537d940d69e49bf98b6271b8b2ac336db9ba9dbaa2b0a8	25826	TRACKED_ROOT_MARKDOWN_FIRST_COMMITTED_BEFORE_2026-07-01	ARCHIVE_CANDIDATE	NO	262	11	11	F8_metric_choices_results.md	-	F4_seal_boundary_MAP.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF_ARCHIVE.md;STATE.md;archive/M12_winding_bc_closure_results.md;archive/pre_2026-07-01/P1P5_reaudit_vs_derived_operator_results.md;branch_operator_contamination_ledger.md	0	-	0	archive/pre_2026-07-01/P5e_proper_results.md	NO	> **SUPERSEDED / CONDITIONS-CHANGED (2026-07-06 supersession sweep) — NOT a native-micro UDT result; mine for history.**	BLOCKED	SUPERSEDED_BUT_PATH_BLOCKED	Explicitly superseded, but formal frozen evidence requires the root path.	P5e_proper_results.md:1-4;F8_metric_choices_results.md	NO
