path	sha256	read_depth
udt_g352_clock_rate_carried_measure_readout_2026-09-05/AUDIT_REPORT.md	4f1925a1d11d00d55bea6bf3858cbedf2878e63c8e4e14e5a22211b4e03d9f8f	full controlling audit report; earlier full derivation/reviews not reopened
udt_native_response_discrimination_2026-09-09/step_01/CANDIDATE.md	5b20cb544d5a1630201be50eb3ee3ce513cf1a4801a278bd5e6f2101fd9bf838	full argument/source prose
udt_native_response_discrimination_2026-09-09/step_01/review/DIRECT_REVIEW.md	a9f5842dc43fbe4bc9b872e6a22f467a11d127545468aacec117730513c0f3ee	full controlling substantive review
udt_native_response_discrimination_2026-09-09/step_02/CANDIDATE.md	e926e2f5c96652f0709a1a00f954db15adddc07523e512a318f58e0f1738c73a	full argument/source prose
udt_native_response_discrimination_2026-09-09/step_02/review/DIRECT_REVIEW.md	f15a41ee535f56d49ee7b58da373824a218d326e2637b71a80e866e5e3702642	full controlling substantive review
udt_gr_limit_campaign_2026-09-10/step_01/CANDIDATE.md	9a390933b76167cbe13741ef0523cd69b06544c66f3e574d2355b27883e7bff1	full argument/source prose
udt_gr_limit_campaign_2026-09-10/step_01/review/DIRECT_REVIEW.md	33ab045609dce22c1cc57aa9b739215d4b6a93ef07c5939dc6a82ccc89aa9bde	full controlling substantive review
udt_gr_limit_campaign_2026-09-10/step_02/CANDIDATE.md	c4d75564b41918b3b833558626adb23bb2a02278a5aaad2c85c865c806934723	full argument/source prose
udt_gr_limit_campaign_2026-09-10/step_02/review/DIRECT_REVIEW.md	1493eaac5d7331e21bd1e81d33713491814baca9f79b12fe3cb252e4ff1f65d8	full controlling substantive review
udt_response_foundations_campaign_2026-09-10/CANDIDATE.md	bf3d4eac664ec9d08f5b68c88062025ee1070e558b9974e6c27dd9f341992be2	full argument/source prose
udt_response_foundations_campaign_2026-09-10/review/DIRECT_REVIEW.md	9ae07cced7db0854a3e0f6fa4fd93c997168c549332f21a621d721ae09b06f1f	full controlling substantive review
udt_two_shape_nonlinear_interaction_2026-09-11/INITIAL_CANDIDATE.md	d2e4bd56154091e46cc89c9dc3dec227ff3662d11b045309e004b358bb45c85f	full argument/source prose
udt_two_shape_nonlinear_interaction_2026-09-11/review/REVIEW.md	2adef657ea5f7bb06b9d096d8546933ee50b67ed9554b4a076eca89d296f52f2	controlling substantive review; TI2 opening155 lines reread after aggregate truncation; TI1 final omitted-check tail partially truncated
udt_two_shape_evolution_2026-09-11/INITIAL_CANDIDATE.md	1d9b24c359636dd212f684b45793f2f02cfa8959df0e8a8dc0c19bcb5c8ae0a9	full argument/source prose
udt_two_shape_evolution_2026-09-11/review/REVIEW.md	2d4df848a6c5eebcdbe73f4dcc735b8ad8839b8d59a2da6250caae07c7d47e9b	controlling substantive review; TI2 opening155 lines reread after aggregate truncation; TI1 final omitted-check tail partially truncated
udt_exact_metric_kernel_expansion_2026-09-10/INITIAL_CANDIDATE.md	439bbf545bc11901005bfa96ad154ddab68d3d6a383c358dc787b9eb38584f73	full argument/source prose
udt_exact_metric_kernel_expansion_2026-09-10/review/REVIEW.md	5359bd687245ab0f5d085b430987bf5b2c08321dd9d6f40b4ee1f753a9e586f7	controlling substantive review; TI2 opening155 lines reread after aggregate truncation; TI1 final omitted-check tail partially truncated
udt_ti1_banking_2026-09-11/BANKING_RECORD.md	08216184fd508d84e6e6fd263a0499595ed1926dc9b550007a3f0328e970b89e	full exact acceptance overlay
udt_ti2_banking_2026-09-11/BANKING_RECORD.md	47e89ed7551c7a842fc58504a0e10c1708f70915d1a69eef7fc4a914c062d093	full exact acceptance overlay
udt_null_clock_depth_integrability_assessment_2026-09-10/INITIAL_CANDIDATE.md	a2769dd02500970475225939f0606ba212bdde6b6a54a3bebdd5023ced1385e1	full argument/source prose
udt_null_clock_depth_integrability_assessment_2026-09-10/REPAIR.md	38f0bf9512a426e23e76acba8bca71dcef36b0d1e126ce5f45eabbe269b98dc4	full argument/source prose
udt_null_clock_depth_integrability_assessment_2026-09-10/DIRECT_REVIEW.md	85896a11c6d7a40acf798e05c6ef6cacdd46baad366a33a4335ae594ac6786cd	full argument/source prose
udt_reviewed_backlog_banking_2026-09-10/BANKING_RECORD.md	654b0b2d734685c42d6a1b31740d545ab9299d17a5d5cc32c57e407b800191f1	acceptance/dependency/limits prose; aggregate read partly truncated
udt_reviewed_backlog_banking_2026-09-10/BANKED_CLAIMS.json	4b98b1dea6ce9dc0d62f9fa6183c1379aed534989159b45a208dad93fce12c2e	targeted ND1/ND2/GL1/GL2/RF1/NCI1/ER1 acceptance and source pins; no all-claim read
