family_id	component_id	component	status
F06	G10	BOOTSTRAP_SELECTION	ABSENT
F07	G01	DECLARED_CONFIGURATION_FAMILY	PARTIAL_FORMAL
F07	G02	DISCRETE_TAXON_OR_BRANCH_LABEL	PRESENT_MODULE
F07	G03	CONTINUOUS_PARAMETERS_OR_MODULI	PRESENT_FORMAL
F07	G04	NONEMPTY_STATIONARY_BACKGROUND	OPEN_JOINT
F07	G05	SUPPLIED_RESPONSE_OR_FUNCTIONAL	ABSENT_COMPLETE
F07	G06	BOUNDARY_OR_COMPLETION_DOMAIN	OPEN
F07	G07	EXACT_PRUNING_RESULT	BLOCKED
F07	G08	ISOLATED_STABLE_BASIN_IN_STATED_SCOPE	BLOCKED
F07	G09	TIME_LIVE_PERSISTENCE	OPEN
F07	G10	BOOTSTRAP_SELECTION	ABSENT
