transform_id	quantity	max_relative_residual	tolerance	pass
F04_LOCAL_CROSS_BOOST	cartan_covariance_residual	1.1102230246251565e-16	1e-10	YES
F04_LOCAL_CROSS_BOOST	determinant_weight_residual	0.0	1e-10	YES
F04_LOCAL_CROSS_BOOST	inverse_roundtrip_residual	0.0	1e-10	YES
F04_LOCAL_CROSS_BOOST	metric_twojet_residual	5.409087010152417e-16	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_cartan_curvature	1.474514954580286e-16	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_metric_twojet	0.0	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_phi_twojet	0.0	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_ricci	0.0	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_riemann	0.0	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_scalar	0.0	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_split_shear	8.326672684688674e-17	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_split_slot_twojet	2.220446049250313e-16	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_split_twist	8.326672684688674e-17	1e-10	YES
F04_LOCAL_CROSS_BOOST	mobius_weyl	0.0	1e-10	YES
F04_LOCAL_CROSS_BOOST	ricci_contraction_residual	1.249000902703301e-16	1e-10	YES
F04_LOCAL_CROSS_BOOST	scalar_contraction_residual	0.0	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	cartan_covariance_residual	8.326672684688674e-17	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	determinant_weight_residual	0.0	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	inverse_roundtrip_residual	0.0	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	metric_twojet_residual	5.225241930129934e-16	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_cartan_curvature	1.3292318634672284e-16	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_metric_twojet	0.0	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_phi_twojet	0.0	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_ricci	0.0	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_riemann	0.0	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_scalar	0.0	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_split_shear	8.326672684688674e-17	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_split_slot_twojet	2.220446049250313e-16	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_split_twist	8.326672684688674e-17	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	mobius_weyl	0.0	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	ricci_contraction_residual	1.249000902703301e-16	1e-10	YES
F05_LOCAL_SCREEN_ROTATION	scalar_contraction_residual	0.0	1e-10	YES
