path	blob	sha256	size_bytes	first_commit	first_date	last_commit	last_date	provenance_era	matched_tokens	initial_disposition	reason
MATTER_SECTOR_MAP_new_foundation.md	7189e4e8756379c903240a3fa7a381439be843fe	11ed3645af15a3cb6035b1bf6619477d0a8f253f92ada35093204e31eec762b0	27447	b72abebffecbfdcfbb247693d124115c66aaad06	2026-06-21	800aa5c807efc78931dff8deef71740d0717ab8b	2026-07-04	PRE_JULY1	bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
MEMORY.md	059788b84f2ad32e717942ca8542b767cf6551f2	39eaa4b75e70503b4859bea9717a1721ab4c9f9ca44e5fc2754c3b6067c74528	7690	b5622bd847a3f37f134125a0bf734eeb57133159	2026-07-09	e0e7da54a420a6929d8fcb466c2ae7b48b4b3a13	2026-07-19	JULY1_OR_LATER	normalized charge;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
NEGATIVES_REGISTRY.md	71c7cae1f659c40636537db211311f8bdb972025	981786b260b2671fdd66638b4b64d9c40a0994c1a1e09bb33f461751593d7cdc	164174	ea4967591604812e32725433ab2ad75347335983	2026-06-11	4b226472c8f7c22dfcdd2c328a109e92d1df5abd	2026-07-18	PRE_JULY1	Komar;bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
README.md	63a84e7c59d666d3033dd0c03ec957d4126f0c73	5b1105189c8d881c32ec376976d85d332f25c679fa62230ee09042daaf5e9aac	5329	4c98e32d7b8af0dc3159706d18006d673566d721	2026-07-18	ea5b4bfc6f526e989e5733db1067e8bafdee6f17	2026-07-19	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
STATE.md	75004d6971e0454f42d1182d30cbb34408f2e798	acda676ebe84cbec08d5348c568ae5aa950851443c923ae0e12bf2c0eed6833f	158972	9c62dff56fe775016ef235dea63fb0ed1853a786	2026-06-10	49814eb5e12928edb443fca73e69cab2af2e76dc	2026-07-18	PRE_JULY1	Noether;Komar;bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	db2959c45beb48f7417b211039dd8e8c71d2f1ef	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality	LOAD_BEARING	explicit controlling or algebraic source
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	5e2a9692a18dac25f4c8f5ace643fd11e7427e65	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	2693	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	bootstrap	LOAD_BEARING	explicit controlling or algebraic source
UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	7c59d775e473df5ea0b59ec0c20312ac7fccfbee	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d	11205	bfa0b9a9371fab0266315bc2bb6845b8a7446a18	2026-07-18	bfa0b9a9371fab0266315bc2bb6845b8a7446a18	2026-07-18	JULY1_OR_LATER	normalized charge;Common-Scale Neutrality;bootstrap	LOAD_BEARING	explicit controlling or algebraic source
UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md	a7b93765e970a3390f749e6fbbeffa45607b8dbb	6a835388e8f7a82a4bb4b9496f99c4a5e4181f5e5ccb2637641a1b4346922cc6	6466	6cb41dc4a02d42602def84eb0143a26fae51ced4	2026-07-18	6cb41dc4a02d42602def84eb0143a26fae51ced4	2026-07-18	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md	3236b926b6d2aa344e3ba306093d708bfdde981c	ab974da9b841eae9b9c7d2c2684765820afedddb095d320ff696961c7f70526e	12006	837d633aaa70f77d526eb59816c83d6b27102e47	2026-07-16	837d633aaa70f77d526eb59816c83d6b27102e47	2026-07-16	JULY1_OR_LATER	Noether	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2026-07-18.txt	0d2364852e141fe1704d8e2d7c8e1790975dffae	010e7922423ab724467d94f6408425905fb872c5ccaebc5fa5941fc66080f2dc	30050	9608efee55680f732b0b37b0be3d1c760c341b99	2026-07-18	9608efee55680f732b0b37b0be3d1c760c341b99	2026-07-18	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_ARM_C_LAUNCH_RECORD_2026-07-18.md	49204d407815016567354d40136b68164cbf0390	34aa15eef432be448bd261d2cc9c8c1e697c948851649e584a1b09330b1e5ca6	6426	9608efee55680f732b0b37b0be3d1c760c341b99	2026-07-18	9608efee55680f732b0b37b0be3d1c760c341b99	2026-07-18	JULY1_OR_LATER	boundary charge	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	6d2d5bacf86cc068d2b3f7eae6f3ff705151c038	6e977717ca028cabaa198dd14a6a97b3b15740e45485d0ab735f3df0326df192	8394	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17	c5732bedb7adb337e57cee72e1ea6fce481984e3	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17	c5732bedb7adb337e57cee72e1ea6fce481984e3	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	beaf9c20e607b9160ee466a31c43a329a2b13db5	9b7c172a395084bf9a7fede33a261de7a61ca7704c3650e9b7828f9ec814b668	20339	7b90922aeb8635322697c1dccf03a6b398ca4787	2026-07-14	ca991f6ecc277aad6a4aed4db4a5985c2e39c49a	2026-07-18	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_FINAL_ADJUDICATION_PREREG_2026-07-18.md	a2c155ce63a9f8b572987269c046cebf6e4cd1ce	b8d4bd4bb48cfcfb51bc85fb82d6fdd816b6e6585dd1600fdea3093e39dba457	5913	177e93118d05ce664f51c67f151d1f409d993df0	2026-07-18	177e93118d05ce664f51c67f151d1f409d993df0	2026-07-18	JULY1_OR_LATER	boundary charge	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_FINAL_ADJUDICATION_RETURN_2026-07-18.md	a2b8475c90dd72b35e7c298eddbcb4db6d6ab685	71909c0d8591aea14836685c9f7dcbd9b5b9b4c5bb27878c30829dffcef13c4d	3837	ded310a8e997c0220d35b0620ae1ac4d45b1e106	2026-07-18	ded310a8e997c0220d35b0620ae1ac4d45b1e106	2026-07-18	JULY1_OR_LATER	boundary charge	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt	53786e0a4f20907953613c71f36164c08146c27b	85776969410e6dc8bee6b1aa901331dcc139e718dbdfd28c593df3f2054408b7	20264	36fe909e3165eb8240eaa07df1d7a8f27281132b	2026-07-18	36fe909e3165eb8240eaa07df1d7a8f27281132b	2026-07-18	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	69d7febeaf61e6a64c0fa350f361543f347efffd	f1b6b03c1d3aeed59e3476d0c50e61d884408ca435af97d191ac12c1f088fb87	9694	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	33b54d3472f6759523a237a7e18258069fcfa36c	53859e31068721a27098bea865bc8b29a86ac7686e14d8ee1f0dfb4571b84056	6071	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_SCIENTIFIC_CHECKPOINT_INTEGRATION_PREREG_2026-07-19.md	62c4bccb064c364a6ba93480dfbf6ea859a849a0	b1ab9b11695eb59949f28c9d7577824e61ed9d4b8403cf655ca50aebff758987	3923	10de517b31f81a70eed92148d7a217877150bf9f	2026-07-19	28628be883dd37b0982dfb8ceeb41e46f1aa0d9b	2026-07-19	JULY1_OR_LATER	normalized charge;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	6a6f57012b25548650df7d18435aa36ab0da4610	b98f654bea50458bd2e28c4ba82f1ec49410cf22ed6744b4c0e09e2cc4ec8fe5	18944	7983748c0c9a9fe15d15a36d3940602c31418498	2026-07-19	ad9e9bd5c27e4bfe40defcc225f81f2806a1c9f9	2026-07-19	JULY1_OR_LATER	lapse flux;normalized charge;homothety;Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	6b01ad9424a26c549a970fbcac9cd6f011cabe09	bd82e07c252fa3aa055e9e4029b964f8a4e415fd50097dd5cec8a6ba928850a1	4134	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	X_{\max}=\alpha	LOAD_BEARING	explicit controlling or algebraic source
angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	4104ed440be3efa52456bad89baef710e99ffa67	4e1178a7993a6f3f3e94713df27d0ab8c140b96ef613c5fa09099af72941cb8b	16110	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
angular_toric_closure_selector_2026-07-19/EXTERNAL_ADVERSARIAL_REVIEW.md	e6f7a9b92df3cbc80269c82a71efc3792c1ba6c9	08c9925a15a8c990716c0abad135bfebe057d6bde5983dd0ba768abbe202c8fe	2512	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
angular_toric_closure_selector_2026-07-19/PREREGISTRATION.md	d77ef091efa6c2f991106854fbe176b2e2cebe63	6628c38cc85f3873e52de12fb0578493f340fc9a86c35f416a95869900f5c264	9471	d8b964d7e383b9e68c76a060e3ed98e4336cc994	2026-07-19	d8b964d7e383b9e68c76a060e3ed98e4336cc994	2026-07-19	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
angular_toric_closure_selector_2026-07-19/SOURCE_INVENTORY.tsv	94276c2aec3443c357aab7e0fff801cb47464731	f60052445e668785d34bc75fc1751ed98d5a68a399c03d53dfc1962d3c04e9a0	3245	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	80b0ce7857cd2936b7f32f55aeee9dac5a0a5e83	d39b40f919c4f1b23b7785c2d5ce0b3cb325620eea7463eff4182082d2211f90	6049	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
angular_toric_closure_selector_2026-07-19/VERIFICATION_RESULT.json	9327534e9659c2f07d90e80acfe769152ce66377	f086a8cbc53996eb07e0c3642d47ee43a9cdaba5ba5e21c500d31aa38755f8b9	5561	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
angular_toric_closure_selector_2026-07-19/build_source_inventory.py	43bf001b3d723ac0eb37039870ac57eee1429600	6da40a4fe9772f2f871d7a46fdc205f1e2f6ea68acdcc4109f0473d19a69a379	3159	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
angular_toric_closure_selector_2026-07-19/verify_angular_toric_selector.py	3c9985a4fc74eddca8052053c984540f4712efce	1229ee452297bbb2ce50f49c7c192cc4a8960d2b465b16bbc49a202dc02e847c	25004	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
archive/COMPLETION_PROGRAM.md	03ad0992c4d5b13b677d486f0885c1fae2e55e49	3b175890cb656060d1bc2f14901eaef65f024d88b370194a35e6c81ef0ac1d58	13047	40c15d3014998eb351e38e385c708c4ca68ac106	2026-06-21	3cd2a99e402bd69cf180ca15e4b1337635dd5837	2026-07-18	PRE_JULY1	bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md	36725f94d79814e871e0800f64401c3ab7248f1b	84ee762d48e340c019876a9e6a78db5ef3a67d4629299c4967bc43aebf7a01c7	23970	9c62dff56fe775016ef235dea63fb0ed1853a786	2026-06-10	4eb48dc8f400efa52a562a90adecbdabe28d978c	2026-07-09	PRE_JULY1	bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md	cac9e36ba8def97af8778c21367f4da4168250eb	553ac6543648f5b93c9431351b84ec9886d08cf0b191f9c305d1d43b290b14cb	8254	b6e83a2541b8f601c82062ac6d865faf51d7b9d0	2026-07-06	b6e83a2541b8f601c82062ac6d865faf51d7b9d0	2026-07-06	JULY1_OR_LATER	bootstrap	EXCLUDED_WITH_REASON	token occurrence outside bounded charge/scale lineage
archive/LIVE_universe_cell_ladder_arc_2026-07-02.md	29c3c558b35613309523fd5f04283b13ee1133d9	fd033e79a5a808d8e227f69eefabc8bb2f0cb3e7d8a0193be82e16c8a334126f	23533	ad5b76097509690c438d2cec7e04b9494bd9be53	2026-06-23	2c93b8d0695427859adaf3c136768ac9f11e29fe	2026-07-03	PRE_JULY1	homothety	NEGATIVE_CONTROL	pre-July-1 provenance firewall
archive/M12_winding_bc_closure_results.md	1aab0756338f824c7094645861dddb7ca444c8ac	957097c9726317cb5807ba0fd2537aa4a619fcf8e6cb87de55822faab813b526	17710	6cd557afe9bab16727d15bf51bd9cb753fed725c	2026-06-21	3cd2a99e402bd69cf180ca15e4b1337635dd5837	2026-07-18	PRE_JULY1	boundary charge	NEGATIVE_CONTROL	pre-July-1 provenance firewall
archive/REORG_PLAN.md	ef75edc8cd8d33e0766b0015e88fcf2454c72fbf	03339de9c7ce8400eaeaec5f38d059811d8404ab549ffedb692067285ed09078	7481	078eb7649daeff6c7ac5a37f56bd28ccce3ef7be	2026-06-25	2f1744eefb245cb7c91563cc58ad6a6881bab7ea	2026-06-27	PRE_JULY1	bootstrap	NEGATIVE_CONTROL	pre-July-1 provenance firewall
archive/dpf_verifier_results.md	747f38e67e56b490e5a0a1c808d4c740a92ba13d	69dd740e0b56b42a6e57fbed4a563e886a45129f6521d12a9c3577fcaadd7939	9896	1106cf2eff541fc7a7152021d6f3d00bc3e29c68	2026-06-14	8a472f65a45bf558ad531df7d407d7f74e8ceb9c	2026-06-25	PRE_JULY1	boundary charge	NEGATIVE_CONTROL	pre-July-1 provenance firewall
archive/native_action_chat_2026-07-14_15/README.md	9244f8b205e140c9cd3b89ca1a9c8a0108018886	fd8a82af291f52383d0bf545d3b362b070f14ba26c8b038dfe4bb65af2095d94	2197	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	50c02104ffe5d70f8c97aa1077f625b4a76a4f51	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_DERIVATION_RESULTS.md	66e89199b50426d422e6748f8b6049f72f5f24e0	337ff3cb44e0f44e8fe435d873ee38974c995d6626a3c47cb61c032d9bf074c1	8271	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	boundary charge;bootstrap	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_MAP.md	04410dbc72b3a28753ca2974c975bd9045534c21	e83cd1f13b5058ccb91be1951eca3675d13be1d309328d9e6961a845fa861975	4237	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	bootstrap	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_VERIFY_DISPATCH.md	5042367b98e3e62f32ca066d0c73db6f0ac7925f	94cc7fc02c3ab7e807b62e066d77d2027b1ed1da0fe0a81dd3cde5b565994942	3020	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	bootstrap	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_DERIVATION_RESULTS.md	de7c1ff9f58836881983e742ea2eeb8982b36c98	a7e9b2a73b0f12e561e8dde5df73c8ee2c6f3dd3ee85a5f75311e955ff9d7aef	9035	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality;bootstrap	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_MAP.md	2b8cf1848133c15fce1c7fbf75d3b7ecd051d6ef	ad9fdf4d669579f11989c144a571ac83f2fda896d3cc1ef1deb3b339a74ad76b	3899	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_COMMON_SCALE_MATTER_EMERGENCE_VERIFY_DISPATCH.md	e213efc0dc40c34f98c5ba75e6e5b556e0321437	66dc5f62b9b8ce083cca52fbe567f3c0e89cb1fd5e86055a6db3757522333704	3988	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_DERIVATION_RESULTS.md	930e92e465d623c3eb56616e4fc72c6ece642f38	2acb71701c1003e9d97ffb145388d4f2856e55a411fca40b740ae515fd779d9b	10236	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	boundary charge	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_MAP.md	52eea523cf57894551e24edec28e196d0d831c8d	97f40ed9d67c830b4f9a9771a94cd088d7ee37e749e60e4f7f5d64cf90ad50f9	4410	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	boundary charge;Common-Scale Neutrality	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_CSN_BOUNDARY_CHARGE_SELECTION_VERIFY_DISPATCH.md	5fcf56cb20310089ad897f6d86bef0896c947276	50ff497ffae49ac4419de1d699c94009d43b88a522acc7123d1e2a08daa5f35e	4083	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	boundary charge	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_DERIVATION_RESULTS.md	972512e039bc401ae919df6f3138dab0983f4c68	91617d4b4f2003050ae604ecaa681794265a8e55ebd2b290135fceb285a01e68	10928	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	boundary charge;normalized charge;bootstrap	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
archive/native_action_chat_2026-07-14_15/UDT_CSN_DIMENSIONLESS_ACTION_REFERENCE_BRANCH_MAP.md	d6445a9b22f558c2bba0bac75cb882327c659152	83f713e3751b26ce4f5377b0e95a4921a8b8856016964c24c2db26fc31dfac65	4582	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	2026-07-17	JULY1_OR_LATER	Common-Scale Neutrality	CONTEXT_ONLY	post-July archived conditional source; not selected load-bearing subset
