source_id	path	source_ref	git_blob	sha256	size
S11	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/CANDIDATE_OWNERSHIP_ATLAS.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/CANDIDATE_OWNERSHIP_ATLAS.tsv	b05264a1487a939636c2e344581713f5a7f5c17d	fb61e0b9198ad50f0b0400cc6f6f5198ade5e8ee75a1faf1bccf7ad7b8c830ec	1984
S12	udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_carried_intrinsic_middle_morphism_ownership_audit_2026-08-10/EXACT_DERIVATION.md	688656b59fd2d2883a8c5edd30ef4f2c9d895259	925ca9fce8872392240fe390f2c10ec81685fea7e289d2286b1b8d3fa49dba87	11131
S13	udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/SURFACE_CLASSIFICATION.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/SURFACE_CLASSIFICATION.tsv	06b1c7d3657a9732a00dd0db0d7b9e1bfd6cda4f	146cb497a9bef9b9275464dc0322dd9eebf91b800dc0a343d3a649fd45b8c5ba	1695
S14	udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_r17_intrinsic_pair_foliation_integrability_audit_2026-08-10/EXACT_DERIVATION.md	a83304a2e34f1b11603677ad78163f0b10932b77	c041ccf8a718d44728abe2f617767b8553e3d2795aa9988945d93035ff0b7ec2	7677
S15	udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/AUDIT_REPORT.md	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_r17_path_labelled_connection_decomposition_audit_2026-08-10/AUDIT_REPORT.md	851d14e4d5dfdbd3176cc8ed1dcbeff7033a8a86	c87561e10fe90b1a4df173e95175ddceb78681314e72c0838f9a15cfa0814fe0	3339
S16	udt_r17_stationary_connection_sublocus_ownership_audit_2026-08-10/AUDIT_REPORT.md	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_r17_stationary_connection_sublocus_ownership_audit_2026-08-10/AUDIT_REPORT.md	453af11a8ec908e5a88b16044e07217a53bd6a65	8d9768fcf9483177774a89b82db81e485c9386b1c0188831f1d29c935cc0747a	3389
S17	udt_r17_stationary_local_one_form_selection_audit_2026-08-10/SELECTION_OWNER_CENSUS.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_r17_stationary_local_one_form_selection_audit_2026-08-10/SELECTION_OWNER_CENSUS.tsv	88dbca1b8f09fb5acdad05d95e7b5b6ac999b78a	53d4461d550c7b37141e3b37a9f9446bc222918c73e8c12d896e1248065dec47	512
S18	udt_ordered_observer_query_projection_ownership_audit_2026-08-10/MEASUREMENT_OWNERSHIP_ATLAS.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_ordered_observer_query_projection_ownership_audit_2026-08-10/MEASUREMENT_OWNERSHIP_ATLAS.tsv	e7697603cdb14a56d587702701bb3321270520ec	a60715eca1b02de8ed671e303b488e7d9d5deab5c5004079edc551e08b8c8c05	798
S19	CURRENT_SCIENTIFIC_PREMISES.tsv	eca93e1395c2f690f8357f015ea5901fec9f8310:CURRENT_SCIENTIFIC_PREMISES.tsv	aab6ef410e94ceb9d30a7002176f222f576ad6e6	4803c926dd93c8039d00de0e531e249c1f3a1cf43e6c843e0b290c1006923318	45343
S20	udt_multiregime_pair_relation_admissibility_audit_2026-08-10/NEXT_STEP.md	eca93e1395c2f690f8357f015ea5901fec9f8310:udt_multiregime_pair_relation_admissibility_audit_2026-08-10/NEXT_STEP.md	49e27b4f85f5e19f1fe80fed056cf27ea016afd3	fd4bf712aa8a58aeb00a1c3e9310e7d647f697dd87033da1de36f62835fa77c1	1172
