crosswalk_id	source_artifact	source_record	source_object	exact_source_status	operator_provenance	audit_disposition	co_presence_effect	remaining_scope
S16	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B02	Current bootstrap semantic role	ON_SHELL_CLOSURE_OR_ADMISSIBILITY	POST_JULY_BOOTSTRAP_AUDIT	PRESERVED_EXACT_WORDING	whole_solution_admissibility_not_off_shell_functional	off_shell_bootstrap_law_open
S17	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B03	Bootstrap selection of variation domain	OPEN_NOT_SELECTED	POST_JULY_BOOTSTRAP_AUDIT	PRESERVED	copresence_does_not_choose_pre_or_post_variation	off_shell_placement_theorem_open
S18	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B06	Representative-selection map Sigma:[g]_CSN->g_star	OPEN	POST_JULY_BOOTSTRAP_AUDIT	PRESERVED	selection_map_is_not_after_solution_predicate	existence_uniqueness_differentiability_open
S19	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B07	Two-stage bridge	OPEN_NOT_DERIVED	POST_JULY_BOOTSTRAP_AUDIT	PRESERVED	copresence_does_not_supply_dynamical_matching	complete_bridge_open
S20	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B08	Variation/restriction equivalence	CONDITIONAL	POST_JULY_CATEGORY_A	PRESERVED	normal_equation_requirement_unchanged	equivalence_theorem_case_dependent
S21	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B09	Principal-order conversion by scale selection	REFUTED_AS_SUFFICIENT	POST_JULY_CATEGORY_A	PRESERVED	global_semantics_does_not_change_polynomial_order	controlled_matching_open
S22	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B10	Strongest available bridge	CONDITIONAL_CONTRACT_ONLY	POST_JULY_BOOTSTRAP_AUDIT	PRESERVED	checklist_not_physical_bridge	all_bridge_gates_open
S23	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B13	Top-level selector result	UNDERDETERMINED	POST_JULY_BOOTSTRAP_AUDIT	PRESERVED	copresence_adds_no_variation_or_action_selector	off_shell_role_and_matching_open
S24	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C03	positive_common_scale_rescaling_preserves_causal_vector_types	DERIVED	POST_JULY_COPRESENCE_AUDIT	PRESERVED	kinematic_scaling_result_not_foliation_projection	degenerate_or_signature_change_outside_scope
S25	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C04	event_relative_causal_reachability_depends_on_conformal_class_not_scale_representative	DERIVED	POST_JULY_COPRESENCE_AUDIT	PRESERVED	causal_geometry_not_physical_clock_calibration	global_causality_conditions_open
S26	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C05	geometric_proper_intervals_need_a_representative_and_physical_calibration_needs_material_rules	DERIVED	POST_JULY_COPRESENCE_AUDIT	PRESERVED	separates_geometry_from_open_operational_scale	representative_and_material_rules_open
S27	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C09	global_solution_membership_does_not_imply_causal_comparability	DERIVED	POST_JULY_COPRESENCE_AUDIT	PRESERVED	whole_solution_membership_not_local_constraint law	none_within_registered_class
S28	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C10	global_boundary_retuning_is_not_by_itself_a_local_retarded_signal	DERIVED	POST_JULY_COPRESENCE_AUDIT	PRESERVED	counterfactual_global_filter_not_response law	localized_intervention_definition_open
S29	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C11	metric_cone_alone_is_insufficient_to_prove_material_no_signalling	DERIVED	POST_JULY_COPRESENCE_AUDIT	PRESERVED	causal_geometry_does_not_supply_material_propagation	complete_action_source_and_data_open
S30	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C12	controllable_influence_is_restricted_to_metric_causal_future	POSIT	POST_JULY_COPRESENCE_AUDIT	PRESERVED	consistency_obligation_not_derived_propagation theorem	native_dynamical_derivation_open
S31	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C16	causal_cone_does_not_select_second_versus_fourth_derivative_order	DERIVED	POST_JULY_CATEGORY_A	PRESERVED	shared_cone_is_nondiscriminating	complete_variational_selector_open
S32	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C17	causal_cone_does_not_select_lower_order_action_or_coupling_terms	DERIVED	POST_JULY_CATEGORY_A	PRESERVED	shared_cone_is_nondiscriminating	complete_variational_selector_open
S33	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C18	pre_scale_conformal_then_post_scale_representative_is_compatible	CONDITIONAL	POST_JULY_COPRESENCE_AUDIT	PRESERVED	compatibility_not_unique_bridge	bootstrap_map_open
S34	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C19	two_stage_bridge_is_uniquely_derived	REJECTED_AS_INFERENCE	POST_JULY_COPRESENCE_AUDIT	PRESERVED	co_presence_does_not_select_matching	bridge_existence_and_form_open
S35	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C23	complete_action_native_source_boundary_charge_and_mass	OPEN	POST_JULY_COPRESENCE_AUDIT	PRESERVED	constraint_regrade_does_not_close_physics	complete_native_dynamics_open
S36	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	new_selector_Common_Scale_Neutrality	Common-Scale Neutrality	FOUNDING	POST_JULY_SELECTOR_AUDIT	PRESERVED_EXACT_STATUS	kinematic_scaling_selector_not_calibration_rule	representative_action_and_material_scale_open
S37	gr_constraint_paired_trial_2026-07-18/DERIVATION_RESULT.json	tests.T5_covariance_field_census.illustrative_4D_bulk_witness	Illustrative four-dimensional bulk existence witness	CATEGORY_A_EXISTENCE_WITNESS_NOT_NATIVE_ACTION	POST_JULY_CATEGORY_A	PRESERVED_EXACT_SCOPE	logical_compatibility_witness_not_native_universe	complete_nontrivial_native_realization_absent
