item_id	prior_item	source_artifact	source_record	scientific_status	operator_provenance	role_under_copresence	prerequisites	co_presence_effect	overlay_disposition	remaining_scope	future_gate
R11	momentum_like_projections	copresence_gr_constraint_regrade_2026-07-19/PREREGISTRATION.md	R4_foliation_projected_constraints	PREREGISTERED_TEST_NOT_ADOPTED	GR_COMPARISON_READOUT_ONLY	FOLIATION_PROJECTED_EQUATION	parent_tensor_equation_normal_and_foliation	co_presence_does_not_make_projections_native_or_initial_data	RECLASSIFIED_CONDITIONAL	physical_normalization_may_be_post_scale; principal_part_and_propagation_absent	derive_parent_E_munu_foliation_and_propagation
R12	lapse_like_multiplier	copresence_gr_constraint_regrade_2026-07-19/DERIVATION_RESULT.json	lapse_variation_checks	DERIVED_CATEGORY_A	POST_JULY_CATEGORY_A	VARIED_MULTIPLIER_CONSTRAINT	generic_canonical_toy	formal_multiplier_math_does_not_assign_UDT_ontology	RECLASSIFIED_CONDITIONAL	no_native_field_gauge_or_time_ontology	derive_canonical_decomposition_from_parent_law
R13	shift_variable	copresence_gr_constraint_regrade_2026-07-19/DERIVATION_REPORT.md	section_6	NOT_DERIVED	GR_COMPARISON_NAME_ONLY	FIELD_CENSUS_OR_ONTOLOGY	no_shift_like_anchor_in_this_audit	co_presence_supplies_no_shift_role	OPEN	no_detailed_multiplier_gauge_or_physical_role	derive_canonical_decomposition_from_parent_law
R14	positive_CSN_rescaling_and_causal_reachability	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C03_C04	DERIVED	POST_JULY_COPRESENCE_AUDIT	KINEMATIC_OR_SCALING_SELECTOR	smooth_positive_rescaling_fixed_signature_and_time_orientation	causal_reachability_is_preserved_without_fixing_operational_scale	RETAINED	physical_calibration_separate_and_open	preserve_scope_and_derive_material_transformation
R15	parent_covariant_UDT_equation	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	complete_action_selector	OPEN	POST_JULY_SELECTOR_AUDIT	PARENT_DYNAMICAL_LAW_OR_ACTION_BRIDGE	explicit_field_census_variation_and_boundary_completion	co_presence_is_compatible_but_nondiscriminating	OPEN	complete_action_equation_and_source_missing	derive_parent_whole_solution_law
R16	off_shell_field_census	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G04_G05_G16	OPEN_NOT_SELECTED	POST_JULY_TRIAL	FIELD_CENSUS_OR_ONTOLOGY	native_configuration_space_authority	co_presence_permits_metric_only_and_auxiliary_witnesses	OPEN	metric_only_vs_auxiliary_unselected	derive_configuration_space_authority
R17	constraint_propagation	copresence_gr_constraint_regrade_2026-07-19/DERIVATION_RESULT.json	paired_unpaired_checks	OPEN	POST_JULY_CATEGORY_A	INITIAL_DATA_CONSTRAINT	parent_evolution_principal_part_data_and_propagation_theorem	co_presence_does_not_supply_local_propagation	OPEN	well_posed_dynamics_and_data_missing	derive_propagation_theorem
R18	bootstrap_selection_map	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	B06	OPEN	POST_JULY_BOOTSTRAP_AUDIT	WHOLE_SOLUTION_SELECTION_MAP	existence_uniqueness_covariance_differentiability_boundary_compatibility	global_closure_can_filter_without_supplying_Sigma	OPEN	no_Sigma_or_varied_B_functional	derive_role_and_map
R19	material_no_signalling	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C11_C12	DERIVED_INSUFFICIENCY;POSIT_RESTRICTION	POST_JULY_COPRESENCE_AUDIT	MATERIAL_CAUSAL_RESPONSE_CONDITION	material_operator_hyperbolicity_coupling_data_and_retarded_map	whole_solution_membership_is_not_response_dynamics	OPEN	positive_support_theorem_missing	derive_material_response_theorem
R20	co_presence_as_constraint_propagation	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C09_C10	NOT_PREVIOUSLY_CLAIMED	POST_JULY_COPRESENCE_AUDIT	INITIAL_DATA_CONSTRAINT	local_evolution_or_response_law	whole_history_membership_is_not_local_dynamics	REJECTED_AS_INFERENCE	no_propagation_without_equations	keep_layers_separate
R21	standalone_ADM_constraints_as_native	copresence_gr_constraint_regrade_2026-07-19/PREREGISTRATION.md	R4_and_required_catch_proof	PREREGISTERED_NOT_ADOPTED	GR_COMPARISON_READOUT_ONLY	FOLIATION_PROJECTED_EQUATION	parent_native_equation_and_foliation	projections_are_conditional_readouts	REJECTED_AS_INFERENCE	UDT_parent_law_absent	derive_before_projecting
R22	lapse_shift_as_native_physical_fields	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G04_G05	UNRESOLVED_TRIAL	GR_COMPARISON_READOUT_ONLY	FIELD_CENSUS_OR_ONTOLOGY	native_configuration_space_authority	formalism_does_not_assign_ontology	REJECTED_AS_INFERENCE	native_field_census_absent	derive_ontology_from_UDT
R23	projected_constraint_as_foliation_independent	copresence_gr_constraint_regrade_2026-07-19/DERIVATION_RESULT.json	boosted_projection_checks	REFUTED_BY_COUNTEREXAMPLE	POST_JULY_CATEGORY_A	FOLIATION_PROJECTED_EQUATION	complete_parent_tensor_equation	projection_can_vanish_in_one_frame_and_not_another	REJECTED_AS_INFERENCE	complete_tensor_equation_is_invariant_parent	retain_foliation_disclosure
R24	co_presence_selects_C2_EH_or_unique_bridge	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C16_C17_C19	NOT_DERIVED;REJECTED_AS_INFERENCE	POST_JULY_COPRESENCE_AUDIT	PARENT_DYNAMICAL_LAW_OR_ACTION_BRIDGE	independent_action_selector_and_matching_theorem	causal_and_global_semantics_are_nondiscriminating	REJECTED_AS_INFERENCE	complete_action_and_matching_open	derive_independent_action_selector
R25	Common_Scale_Neutrality	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	new_selector_Common_Scale_Neutrality	FOUNDING	POST_JULY_SELECTOR_AUDIT	KINEMATIC_OR_SCALING_SELECTOR	positive_common_scale_equivalence_class	co_presence_does_not_alter_foundational_status	RETAINED	no_representative_action_or_calibration_selected	preserve_foundational_status
R26	physical_clock_ruler_calibration	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	C05	OPEN	POST_JULY_COPRESENCE_AUDIT	REPRESENTATIVE_CALIBRATION_RULE	representative_selection_and_material_transformation	causal_reachability_survives_without_operational_scale	OPEN	physical_rods_clocks_and_calibration_unselected	derive_selection_and_material_transformation
R27	hard_substitution_as_unrestricted_parent_variation	gr_constraint_paired_trial_2026-07-18/STATUS_LEDGER.tsv	G11	REFUTED_GENERICALLY	POST_JULY_CATEGORY_A	RESTRICTED_VARIATION_DOMAIN	normal_equation_or_equivalence_theorem	hard_substitution_is_tangent_restricted_variation	RETAINED	not_equivalent_without_missing_normal_information	prove_equivalence_if_used
