interaction_id	carrier_id	design_kind	direction_id	radius	halton_index	bank	point_id	target_mask	target_integer	ensemble_order	target_ensembles	subsets_used	subset_count	physical_interaction_claimed	slot_twojet_l2	slot_twojet_max_abs	slot_twojet_active	slot_twojet_status	metric_twojet_l2	metric_twojet_max_abs	metric_twojet_active	metric_twojet_status	riemann_l2	riemann_max_abs	riemann_active	riemann_status	weyl_l2	weyl_max_abs	weyl_active	weyl_status	ricci_l2	ricci_max_abs	ricci_active	ricci_status	scalar_l2	scalar_max_abs	scalar_active	scalar_status	shear_l2	shear_max_abs	shear_active	shear_status	twist_l2	twist_max_abs	twist_active	twist_status	phi_twojet_l2	phi_twojet_max_abs	phi_twojet_active	phi_twojet_status
R00_1_TF_B0_P0	R00_1	RADIAL	D00	0.25	-	B0	P0	MF	15	4	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	M0;M1;M2;M3;M4;M5;M6;M7;M8;M9;MA;MB;MC;MD;ME;MF	16	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	3.496446946337351e-18	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	2.1509871605466464e-17	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	1.3633384273613801e-17	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	8.319441530320186e-18	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	1.734723475976807e-18	1.734723475976807e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_T1_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	M1	1	1	BASE_BLOCK	M0;M1	2	NO	0.23179290857783097	0.08801331532438578	YES	NUMERIC_CLASSIFIED	0.24414405864374134	0.08801331532438578	YES	NUMERIC_CLASSIFIED	0.12947036536215295	0.02267160320445577	YES	NUMERIC_CLASSIFIED	0.10295240924852503	0.02518389974861105	YES	NUMERIC_CLASSIFIED	0.06020052510606423	0.03336385648970441	YES	NUMERIC_CLASSIFIED	0.014230980346890366	0.014230980346890366	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_T2_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	M2	2	1	ANGULAR_SCREEN_BLOCK	M0;M2	2	NO	0.2423102803381916	0.08138781885567359	YES	NUMERIC_CLASSIFIED	0.2574628328915498	0.08138781885567359	YES	NUMERIC_CLASSIFIED	0.14165230635727422	0.041172346370387226	YES	NUMERIC_CLASSIFIED	0.08644504200047466	0.013052161468799737	YES	NUMERIC_CLASSIFIED	0.06891242513453008	0.049535444151997066	YES	NUMERIC_CLASSIFIED	0.0643498314128994	0.0643498314128994	YES	NUMERIC_CLASSIFIED	0.05819040136992138	0.04041512923730133	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_T3_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	M3	3	2	BASE_BLOCK;ANGULAR_SCREEN_BLOCK	M0;M1;M2;M3	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.010395655643335519	0.002330514856349858	YES	NUMERIC_CLASSIFIED	0.005521741017679486	0.0010213327340117002	YES	NUMERIC_CLASSIFIED	0.0063119741610001235	0.0034485625348141292	YES	NUMERIC_CLASSIFIED	0.0015301757834651347	0.0015301757834651347	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_T4_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	M4	4	1	SHIFT_CONNECTION_BLOCK	M0;M4	2	NO	0.13407634410805924	0.0375	YES	NUMERIC_CLASSIFIED	0.22958003589614992	0.048517465775737206	YES	NUMERIC_CLASSIFIED	0.14346655651044113	0.02621831160450756	YES	NUMERIC_CLASSIFIED	0.0750256254057574	0.012244675838756538	YES	NUMERIC_CLASSIFIED	0.08694020900573833	0.03160639426472545	YES	NUMERIC_CLASSIFIED	0.010261918788286079	0.010261918788286079	YES	NUMERIC_CLASSIFIED	0.02352961693550357	0.015232371744660238	YES	NUMERIC_CLASSIFIED	0.04558655153173528	0.04558333333333334	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_T5_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	M5	5	2	BASE_BLOCK;SHIFT_CONNECTION_BLOCK	M0;M1;M4;M5	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.01458525430309888	0.004105907867112322	YES	NUMERIC_CLASSIFIED	0.005990650202315143	0.0009268992796873762	YES	NUMERIC_CLASSIFIED	0.012557695134105346	0.007963616886531364	YES	NUMERIC_CLASSIFIED	0.021445902439407995	0.021445902439407995	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_T6_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	M6	6	2	ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK	M0;M2;M4;M6	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.02822051321354063	0.005924236589795906	YES	NUMERIC_CLASSIFIED	0.017892660727105113	0.003926530497639944	YES	NUMERIC_CLASSIFIED	0.016712465024513352	0.0035725721153939023	YES	NUMERIC_CLASSIFIED	0.004001186672814139	0.001613194530387968	YES	NUMERIC_CLASSIFIED	0.0027257805385784498	0.0027257805385784498	YES	NUMERIC_CLASSIFIED	7.757919228897728e-18	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_T7_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	M7	7	3	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK	M0;M1;M2;M3;M4;M5;M6;M7	8	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	5.485677294651096e-18	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	9.595710066588597e-17	2.7755575615628914e-17	NO	NUMERIC_CLASSIFIED	1.0743994132655485e-16	2.7755575615628914e-17	NO	NUMERIC_CLASSIFIED	4.9127161340080374e-17	2.7755575615628914e-17	NO	NUMERIC_CLASSIFIED	2.0816681711721685e-17	2.0816681711721685e-17	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_T8_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	M8	8	1	PHI_FIELD	M0;M8	2	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.06843713885974956	0.029166666666666667	YES	NUMERIC_CLASSIFIED
R01_1_T9_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	M9	9	2	BASE_BLOCK;PHI_FIELD	M0;M1;M8;M9	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_TA_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	MA	10	2	ANGULAR_SCREEN_BLOCK;PHI_FIELD	M0;M2;M8;MA	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_TB_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	MB	11	3	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;PHI_FIELD	M0;M1;M2;M3;M8;M9;MA;MB	8	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	7.864787351368973e-18	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	1.0627393717511616e-17	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_TC_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	MC	12	2	SHIFT_CONNECTION_BLOCK;PHI_FIELD	M0;M4;M8;MC	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_TD_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	MD	13	3	BASE_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	M0;M1;M4;M5;M8;M9;MC;MD	8	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	1.451171295711891e-17	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	6.476236440814929e-18	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	1.734723475976807e-18	1.734723475976807e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_TE_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	ME	14	3	ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	M0;M2;M4;M6;M8;MA;MC;ME	8	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	1.3814114264493767e-17	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	1.12697066126228e-17	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	4.829265774454144e-18	1.734723475976807e-18	NO	NUMERIC_CLASSIFIED	7.757919228897728e-18	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R01_1_TF_B0_P0	R01_1	RADIAL	D01	0.25	-	B0	P0	MF	15	4	BASE_BLOCK;ANGULAR_SCREEN_BLOCK;SHIFT_CONNECTION_BLOCK;PHI_FIELD	M0;M1;M2;M3;M4;M5;M6;M7;M8;M9;MA;MB;MC;MD;ME;MF	16	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	5.485677294651096e-18	3.469446951953614e-18	NO	NUMERIC_CLASSIFIED	1.9581933885854694e-17	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	1.6731877796345393e-17	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	1.0265053025080282e-17	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	6.938893903907228e-18	6.938893903907228e-18	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R02_1_T1_B0_P0	R02_1	RADIAL	D02	0.25	-	B0	P0	M1	1	1	BASE_BLOCK	M0;M1	2	NO	0.21525129213426153	0.08801331532438578	YES	NUMERIC_CLASSIFIED	0.22873094469376995	0.08801331532438578	YES	NUMERIC_CLASSIFIED	0.15711343714678158	0.04034174427683047	YES	NUMERIC_CLASSIFIED	0.12035273372956319	0.019745323325122757	YES	NUMERIC_CLASSIFIED	0.08242913707132861	0.04436034434899699	YES	NUMERIC_CLASSIFIED	0.04510968445502358	0.04510968445502358	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R02_1_T2_B0_P0	R02_1	RADIAL	D02	0.25	-	B0	P0	M2	2	1	ANGULAR_SCREEN_BLOCK	M0;M2	2	NO	0.2423102803381916	0.08138781885567359	YES	NUMERIC_CLASSIFIED	0.2574628328915498	0.08138781885567359	YES	NUMERIC_CLASSIFIED	0.14165230635727422	0.041172346370387226	YES	NUMERIC_CLASSIFIED	0.08644504200047466	0.013052161468799737	YES	NUMERIC_CLASSIFIED	0.06891242513453008	0.049535444151997066	YES	NUMERIC_CLASSIFIED	0.0643498314128994	0.0643498314128994	YES	NUMERIC_CLASSIFIED	0.05819040136992138	0.04041512923730133	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R02_1_T3_B0_P0	R02_1	RADIAL	D02	0.25	-	B0	P0	M3	3	2	BASE_BLOCK;ANGULAR_SCREEN_BLOCK	M0;M1;M2;M3	4	NO	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.009749432917561586	0.0021558671421588425	YES	NUMERIC_CLASSIFIED	0.0073165232636259545	0.001070567858455055	YES	NUMERIC_CLASSIFIED	0.004502773865216518	0.0017681882861748377	YES	NUMERIC_CLASSIFIED	0.004013736116465567	0.004013736116465567	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
R02_1_T4_B0_P0	R02_1	RADIAL	D02	0.25	-	B0	P0	M4	4	1	SHIFT_CONNECTION_BLOCK	M0;M4	2	NO	0.13407634410805924	0.0375	YES	NUMERIC_CLASSIFIED	0.21925085669675853	0.04682622049836814	YES	NUMERIC_CLASSIFIED	0.10714619590197473	0.018349740302785418	YES	NUMERIC_CLASSIFIED	0.06084617608451347	0.014225487394733104	YES	NUMERIC_CLASSIFIED	0.05720286449462011	0.021820619919487035	YES	NUMERIC_CLASSIFIED	0.0574227224393183	0.0574227224393183	YES	NUMERIC_CLASSIFIED	0.04470290754223743	0.03358404184918684	YES	NUMERIC_CLASSIFIED	0.010014659393997271	0.01	YES	NUMERIC_CLASSIFIED	0.0	0.0	NO	NUMERIC_CLASSIFIED
