carrier_order	carrier_id	design_kind	direction_id	radius	halton_index	parent_row_sha256	alpha_0	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	beta
10	R10_1	RADIAL	D10	0.25	-	e75166bda5dba842998ffa5856130d4f5ca30fe431710b20b20240dc8daf6e35	0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25	-0.25	-0.25	-0.25	0.25
11	R11_1	RADIAL	D11	0.25	-	8310f8be6f9ac775a53043400ec41e7e3187f4d8024f3539a761bc117c9c5b4d	-0.25	-0.25	0.25	-0.25	0.25	0.25	-0.25	-0.25	0.25	0.25	0.25
12	R12_1	RADIAL	D12	0.25	-	da70ea1b7a8a60080220e6f09bc8820551b580d70984536c55ba8879ea434b0e	0.25	0.25	-0.25	-0.25	0.25	0.25	-0.25	-0.25	-0.25	-0.25	-0.25
13	R13_1	RADIAL	D13	0.25	-	f858fe7f03e339978f31e60d2ec486879b734d5f801fbc1e757dca41be9d760b	-0.25	0.25	-0.25	-0.25	0.25	-0.25	0.25	-0.25	0.25	0.25	-0.25
14	R14_1	RADIAL	D14	0.25	-	6a7034903909870813ef3af9045ad92cea3e2b961eda55c3c308411d7dff87d6	0.25	-0.25	-0.25	-0.25	0.25	-0.25	-0.25	0.25	0.25	-0.25	0.25
15	R15_1	RADIAL	D15	0.25	-	c27d8c2942efc2b75fb0cc5c6d7617fa08ba576f21691758351e7ada6b65ebf9	-0.25	-0.25	-0.25	-0.25	0.25	0.25	0.25	0.25	-0.25	0.25	0.25
16	R00_3	RADIAL	D00	0.75	-	a831139b371e0be1bbcb5bed44638bca67d5f9adfdc11c5d2f93fc697c394408	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
17	R01_3	RADIAL	D01	0.75	-	542fcfe24c06637241ac26770c5eb331c5dfb60eacbc64c2f9b08ca5f7e7884e	-0.75	0.75	0.75	0.75	0.75	-0.75	-0.75	0.75	-0.75	-0.75	0.75
18	R02_3	RADIAL	D02	0.75	-	561accc2eecae86fb81cb95abb296bf7b985e2511d015197d0506bbb4d435f4d	0.75	-0.75	0.75	0.75	0.75	-0.75	0.75	-0.75	-0.75	0.75	-0.75
19	R03_3	RADIAL	D03	0.75	-	2820a97a904ca6265f0de39dce27579e8513a9f6f50be7aac0282d27b2564dec	-0.75	-0.75	0.75	0.75	0.75	0.75	-0.75	-0.75	0.75	-0.75	-0.75
20	R04_3	RADIAL	D04	0.75	-	efaac82603704cb50048799b00c87b503cc8e887bdc79ba35526c2ffd8b69d2c	0.75	0.75	-0.75	0.75	0.75	0.75	-0.75	-0.75	-0.75	0.75	0.75
21	R05_3	RADIAL	D05	0.75	-	004dc25a32d55d2116385523f9021eb5b654a9979c8724d5c2f9a904fa1e9234	-0.75	0.75	-0.75	0.75	0.75	-0.75	0.75	-0.75	0.75	-0.75	0.75
22	R06_3	RADIAL	D06	0.75	-	d3fe7635642f23d02d9983ded8276307646483e882b1dfb547295c2d34927fcc	0.75	-0.75	-0.75	0.75	0.75	-0.75	-0.75	0.75	0.75	0.75	-0.75
23	R07_3	RADIAL	D07	0.75	-	de2bdcd4f7043fabafc2942983bd8b8b53daf4b6705fb3b96ddbaa84ed797abe	-0.75	-0.75	-0.75	0.75	0.75	0.75	0.75	0.75	-0.75	-0.75	-0.75
24	R08_3	RADIAL	D08	0.75	-	ecc84303e305fb50396ef1480c647e473b88cd31cd883a12a800ad49fd7c9618	0.75	0.75	0.75	-0.75	0.75	0.75	0.75	0.75	0.75	-0.75	-0.75
25	R09_3	RADIAL	D09	0.75	-	c186ed3f9ad9f987dc1304cdec6bcf1bf246a8142014379f91a0322c26d9f753	-0.75	0.75	0.75	-0.75	0.75	-0.75	-0.75	0.75	-0.75	0.75	-0.75
26	R10_3	RADIAL	D10	0.75	-	b46451c4eebdd3d4dc7b0f773fb35c533118688b5ac326e14081265623341d6a	0.75	-0.75	0.75	-0.75	0.75	-0.75	0.75	-0.75	-0.75	-0.75	0.75
27	R11_3	RADIAL	D11	0.75	-	ba7469172b6128359cf16f7265ac7f9020782072cf161858b09ff1bd2fba7948	-0.75	-0.75	0.75	-0.75	0.75	0.75	-0.75	-0.75	0.75	0.75	0.75
28	R12_3	RADIAL	D12	0.75	-	3ae7dfb2641d5f1c73e447f35948913bd52cc05a3b7400c06dacaa41eb4b68ac	0.75	0.75	-0.75	-0.75	0.75	0.75	-0.75	-0.75	-0.75	-0.75	-0.75
29	R13_3	RADIAL	D13	0.75	-	55c4104e08d918840cdd1b8dab013a911302c24d672c71cd7774703005b79fae	-0.75	0.75	-0.75	-0.75	0.75	-0.75	0.75	-0.75	0.75	0.75	-0.75
30	R14_3	RADIAL	D14	0.75	-	f421598d5e60be7627bdda164f10ab74978cc9a1675468dcdf18e1d2e1e88483	0.75	-0.75	-0.75	-0.75	0.75	-0.75	-0.75	0.75	0.75	-0.75	0.75
31	R15_3	RADIAL	D15	0.75	-	af021fef6e02f5086d640da3c4354fd8df02f61395ec9d3144de31d6c99fe498	-0.75	-0.75	-0.75	-0.75	0.75	0.75	0.75	0.75	-0.75	0.75	0.75
32	V001	INTERIOR	-	-	1	32fea3ee926b5fbe0868138643a72d1d790f9fb566efb20bb8d184ffd9c41313	0.0	-0.33333333333333337	-0.6	-0.7142857142857143	-0.8181818181818181	-0.8461538461538461	-0.8823529411764706	-0.8947368421052632	-0.9130434782608696	-0.9310344827586207	-0.935483870967742
33	V002	INTERIOR	-	-	2	7908b94be7c4bd854a2a6bfdbeedef23f22ceca0e1df36e33b8eb16c11517f77	-0.5	0.33333333333333326	-0.19999999999999996	-0.4285714285714286	-0.6363636363636364	-0.6923076923076923	-0.7647058823529411	-0.7894736842105263	-0.8260869565217391	-0.8620689655172413	-0.8709677419354839
34	V003	INTERIOR	-	-	3	529aa259559ef40297643638ab8e8cdd61ed07f69b1a494927901f1778a55295	0.5	-0.7777777777777778	0.20000000000000018	-0.1428571428571429	-0.4545454545454546	-0.5384615384615384	-0.6470588235294118	-0.6842105263157895	-0.7391304347826086	-0.7931034482758621	-0.8064516129032258
35	V004	INTERIOR	-	-	4	adde612c2853e40a3836af977e528531b79d79085923d10e26149b5cc1072e30	-0.75	-0.11111111111111116	0.6000000000000001	0.1428571428571428	-0.2727272727272727	-0.3846153846153846	-0.5294117647058824	-0.5789473684210527	-0.6521739130434783	-0.7241379310344828	-0.7419354838709677
36	V005	INTERIOR	-	-	5	fcfa7cd94a62c5e65a4f71260f4d8b28d55f968507d41a931d57f1664df65b26	0.25	0.5555555555555554	-0.92	0.4285714285714284	-0.09090909090909083	-0.23076923076923073	-0.4117647058823529	-0.4736842105263158	-0.5652173913043479	-0.6551724137931034	-0.6774193548387097
37	V006	INTERIOR	-	-	6	5d6c8efb4de774a2ce1ec517640271c8dbfafcfd4a89fe4941b8583649dd6819	-0.25	-0.5555555555555556	-0.52	0.7142857142857142	0.09090909090909083	-0.07692307692307687	-0.2941176470588236	-0.368421052631579	-0.4782608695652174	-0.5862068965517242	-0.6129032258064516
38	V007	INTERIOR	-	-	7	daf57fdae0c0fe5a71b68ec314415f6fa0783cda2c05849a9a16a68ea7a13e6e	0.75	0.11111111111111116	-0.12	-0.9591836734693877	0.2727272727272727	0.0769230769230771	-0.17647058823529416	-0.26315789473684215	-0.3913043478260869	-0.5172413793103449	-0.5483870967741935
39	V008	INTERIOR	-	-	8	123b5aed5a185a7286d9543360fdacb304051559364b7fac20f510e1a32737ef	-0.875	0.7777777777777777	0.28000000000000025	-0.6734693877551021	0.4545454545454546	0.23076923076923084	-0.05882352941176472	-0.1578947368421053	-0.30434782608695654	-0.4482758620689655	-0.4838709677419355
40	V009	INTERIOR	-	-	9	e482fe167b4f6b61bc2280d500af2a791c5b37e21aaccf3d850f2bbe01bd4171	0.125	-0.9259259259259259	0.6800000000000002	-0.3877551020408163	0.6363636363636365	0.3846153846153846	0.05882352941176472	-0.052631578947368474	-0.21739130434782616	-0.3793103448275862	-0.4193548387096775
41	V010	INTERIOR	-	-	10	89d999c8a59bb5a3157c903a732aa4aca6c2a0add038079fba7f7a41e744e5ad	-0.375	-0.2592592592592593	-0.84	-0.10204081632653061	0.8181818181818183	0.5384615384615385	0.17647058823529416	0.05263157894736836	-0.13043478260869568	-0.31034482758620685	-0.3548387096774194
42	V011	INTERIOR	-	-	11	7ddfddc9475ff85337e48e3060230d188c2baf1afe0d89871ec3396e3c4e65bd	0.625	0.40740740740740744	-0.43999999999999995	0.18367346938775508	-0.9834710743801653	0.6923076923076925	0.2941176470588236	0.1578947368421053	-0.04347826086956519	-0.24137931034482762	-0.29032258064516125
43	V012	INTERIOR	-	-	12	7e50dbd0a1dd309f6129b546e00db6312cf015a1109c35138a4377cd6fcd9ac1	-0.625	-0.7037037037037037	-0.039999999999999925	0.46938775510204067	-0.8016528925619835	0.8461538461538463	0.4117647058823528	0.26315789473684204	0.04347826086956519	-0.1724137931034483	-0.22580645161290325
44	V013	INTERIOR	-	-	13	fc94fa02b1668c4027cb07d70fd2c44f44b6fd1f6179fdcfac164f73ce11d242	0.375	-0.03703703703703709	0.3600000000000001	0.7551020408163265	-0.6198347107438016	-0.9881656804733728	0.5294117647058822	0.36842105263157876	0.13043478260869557	-0.10344827586206895	-0.16129032258064524
45	V014	INTERIOR	-	-	14	988f53f6e5febcd3ab49f07be5608c7bd2abb0d1274cf01627b98cbf858207ea	-0.125	0.6296296296296293	0.76	-0.9183673469387755	-0.43801652892561993	-0.834319526627219	0.6470588235294117	0.4736842105263157	0.21739130434782616	-0.034482758620689724	-0.09677419354838712
46	V015	INTERIOR	-	-	15	5368730d492b5522f0d95124881b246c9f0ae95c6519adf11bca5824b3b971cb	0.875	-0.4814814814814815	-0.76	-0.6326530612244898	-0.25619834710743805	-0.680473372781065	0.7647058823529411	0.5789473684210527	0.30434782608695654	0.034482758620689724	-0.032258064516129004
47	V016	INTERIOR	-	-	16	81ac3d997b13f685083131220cbcde949c532083eaf304f267273279eb0c94b6	-0.9375	0.18518518518518512	-0.36	-0.34693877551020413	-0.07438016528925617	-0.5266272189349113	0.8823529411764706	0.6842105263157894	0.3913043478260869	0.10344827586206895	0.032258064516129004
