path	sha256	parent_read_depth	reviewer_read_depth	role
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	direct stage: full controlling audit or ledger; originals and scientific implementations not replayed	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	direct stage: full controlling audit or ledger; originals and scientific implementations not replayed	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	4eb7d0a1130dcff997bc5180f420b633e2dcbbb5072d098997ba3672b38d8ab5	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full current authority/adoption	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_complementary_wave_observable_campaign_2026-09-07/DECISION_BRIEF.md	8f1667413daeb3f052892d3fc1c61386b305704c46e4c953f25a308853354818	full decision brief; later acceptance overlay used; underlying full implementation not reopened	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_exact_metric_kernel_expansion_2026-09-10/DECISION_BRIEF.md	c8eadb6ff788e32bb09964b1331a155e682c1b63235a0a6e06f3cc1d4c3b9b42	full decision brief; later acceptance overlay used; underlying full implementation not reopened	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_exact_metric_kernel_expansion_2026-09-10/INITIAL_CANDIDATE.md	439bbf545bc11901005bfa96ad154ddab68d3d6a383c358dc787b9eb38584f73	not directly reopened by parent; separately attributed reviewer inspection	full argument/source prose	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_exact_metric_kernel_expansion_2026-09-10/review/REVIEW.md	5359bd687245ab0f5d085b430987bf5b2c08321dd9d6f40b4ee1f753a9e586f7	not directly reopened by parent; separately attributed reviewer inspection	controlling substantive review; TI2 opening155 lines reread after aggregate truncation; TI1 final omitted-check tail partially truncated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md	65905b6b2718fd9c1057143a7148104bb14d7e65eeee3bdc7a7010af8cbe90eb	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g134_full_metric_area_history_reframe_audit_2026-08-17/AUDIT_REPORT.md	1e78843aaf45eeaaf7702e7b0e60cf012b72febe6a21f52b615a16ebe1062687	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g163_xmax_dependency_reversal_audit_2026-08-18/AUDIT_REPORT.md	e7eda779c8496f269a0e94060a5824dd79b2b147af8186277236982ec2708670	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	3b7bef3e8027eb95dd9070cf8844bfbbba602d4a7ce30c1772bbc540f9e97bd7	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full controlling audit report; earlier full derivation/reviews not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/AUDIT_REPORT.md	c7c96194a8baf3465b2d8c58ff19051ee2937b4b7f7a5d0e8859ad1a26651d84	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full controlling audit report; earlier full derivation/reviews not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g178_completed_pair_kernel_fresh_adversarial_review_2026-08-19/AUDIT_REPORT.md	df7db9300a350d5721874175b4d0f2eff60967d7588eb0f763f63fffa32d7744	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full controlling certification audit; original external payloads not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g179_complete_coframe_pair_pullback_extension_2026-08-19/AUDIT_REPORT.md	fe4d0aa56a734ca58972ea8123264efa6e0b979831f7f618eab8f69afa7ee2f2	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g180_completed_pair_smooth_family_descent_2026-08-19/AUDIT_REPORT.md	ec92df1229846fbe457f5a43f860c32228b429810b856caf7912b0143b34b36b	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g182_completed_pair_two_sided_carry_classification_2026-08-19/AUDIT_REPORT.md	8a7b1e61373bcbc38620cd311deb5a56a3bd4b2c4800b5f0b5c9af823d150edf	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g213_determinant_one_spatial_remainder_and_completed_rank_closure_2026-08-22/AUDIT_REPORT.md	b46d70a9b915d9d477b872cd8ba0d8fd8f96dc81c5b5dcd8bf4cc9d72c6ffc53	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g231_cartan_regional_realization_bridge_2026-08-23/AUDIT_REPORT.md	afcfa68aedc330d220b61b542d3e829106dd0f5ecfdcc335a69acc8cd5c15424	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g253_native_kernel_minimal_dependency_compression_audit_2026-08-24/AUDIT_REPORT.md	713a63d52c8f91d0da00c9bf04171135abae356ad0bdf24acac583dd6f8f4735	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g255_g165_g254_lost_closure_recovery_audit_2026-08-24/AUDIT_REPORT.md	89fe41c4698c64b28362b93cacf9fa64654f58e43158d10497deb9eefe0a1c0f	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g275_projective_position_scale_attachment_xmax_separation_2026-08-26/AUDIT_REPORT.md	553548452bb917d8e1e658598977fc6bf731fe54e5922e20b2c01a4e672c187e	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	direct stage: full controlling audit or ledger; originals and scientific implementations not replayed	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g276_proper_clock_ce_scale_anchor_reconciliation_2026-08-26/AUDIT_REPORT.md	cc66be850523fac561b411b32d7532069d838a6d6e6800568afd72f5560b862d	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	direct stage: full controlling audit or ledger; originals and scientific implementations not replayed	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g279_native_kernel_observational_interface_provenance_audit_2026-08-27/AUDIT_REPORT.md	2c284cffa091b97f49c638fb729224084c29ac2b7509bcd640de2ca7b226e1ab	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g280_projective_position_optical_area_bridge_audit_2026-08-27/AUDIT_REPORT.md	b0fc18e0e2c81cb770f38bf17686f04d3903e844e382f0751df2d8a3330bd6c2	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g281_sne_validation_provenance_reconstruction_audit_2026-08-27/AUDIT_REPORT.md	e09a832d0e1da2b90d744c39f2842bd679bc718cd3e92d9d86657459b21a8055	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g299_complete_relation_kernel_domain_ownership_2026-08-29/AUDIT_REPORT.md	2ed70f891d4bebe9091abe4c9528fff01dd0bc07012132f74cf2b25329f1af8c	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/AUDIT_REPORT.md	f2197ee7a23a88017a9ac970f9a187a13113cf0bbcc1dcbd493588e9c53a1c5f	not directly reopened by parent; separately attributed reviewer inspection	full audit report; original executable suites not repeated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/EXACT_DERIVATION.md	633b907b5384aa63d61d49db067dd4e608e6abd3bf3571e4267f91e5c74da8fb	not directly reopened by parent; separately attributed reviewer inspection	full argument/source prose	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	e4adabc1e862423cc68297305ed51903107feac135497d33f26f230f6a192fe6	not directly reopened by parent; separately attributed reviewer inspection	full audit report; original executable suites not repeated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/EXACT_DERIVATION.md	a417b3cfa1cc6136429a14d3b330c1b8c25c73c9e946d6b6454d6ffae72c25a0	not directly reopened by parent; separately attributed reviewer inspection	full argument/source prose	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/AUDIT_REPORT.md	a411de5e2e40982c4f9c8107bd6d3a598dd55056924d4bc3d39d93f8db89e578	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full audit report; original executable suites not repeated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/EXACT_DERIVATION.md	4fd4ca84d353018c02e32d49cf261de3472b3fafd74b0f268b0960653bdfd307	not directly reopened by parent; separately attributed reviewer inspection	full argument/source prose	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	c8f9e5547c13067282d37bfb51db78d13bbdc06b48ef50f8f3f498e196abcb57	not directly reopened by parent; separately attributed reviewer inspection	full audit report; original executable suites not repeated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/EXACT_DERIVATION.md	90ae2841153754087e64ba14d0a61c408d0b5767b5c8ed9f558da0b49ab30ea4	not directly reopened by parent; separately attributed reviewer inspection	full argument/source prose	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md	b7df75cee891ed23dcf4796aba0a3d25e101ee89e4c1add95c8ef842987e418e	not directly reopened by parent; separately attributed reviewer inspection	full audit report; original executable suites not repeated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md	7bf8dd3b081ff0d37ee23c8ea462abc451f9f4a3510283ea5e9ef87dd042b6bf	not directly reopened by parent; separately attributed reviewer inspection	full argument/source prose	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g314_global_admissibility_actualization_type_classification_2026-09-01/AUDIT_REPORT.md	46984bf5b339332e4799c0069951a97211c1e33cf94d0061fcbbd1419231c53a	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	full audit report; original executable suites not repeated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g314_global_admissibility_actualization_type_classification_2026-09-01/EXACT_DERIVATION.md	95b57a31b56434aeb892039ba41f4fd7121c20d21b1565633e485138664dbe0c	not directly reopened by parent; separately attributed reviewer inspection	full argument/source prose	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g315_conditional_cauchy_characteristic_data_interface_2026-09-01/AUDIT_REPORT.md	ab440d575124654f3707eb04a7c2e4877e7ad3bf830eb1ed25c19d999149f9db	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g316_lawful_constraint_data_construction_2026-09-01/AUDIT_REPORT.md	a914f91752c52c74b7050d4d2c755af615f74b143336c7d2061513203eb63985	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g317_exact_noncmc_coupled_data_family_2026-09-01/AUDIT_REPORT.md	b17b98894e2350e7f92cf76f873e83077681f1224c8580febdb4f7b96e03644f	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g318_nonconstant_psi_noncmc_branch_classification_2026-09-01/AUDIT_REPORT.md	515302faa85531dc0f4aa2081fb17feb30c41adea4cf4d133adf4bdfc193488d	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g319_ratio_free_noncmc_constraint_descent_2026-09-01/AUDIT_REPORT.md	363074f6009e5c0be420d109c8b2e20328d4f55885027138c2ed5f658e2a9da9	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g320_g319_physical_initial_geometry_quotient_audit_2026-09-01/AUDIT_REPORT.md	43e4080780db31c6a9eaf8cff358c5811594d9e1fc6cae80586ccc6d0b90b2c0	controlling scientific audit report inspected; original derivation/suite not reopened; aggregate-read execution tails may be omitted	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/AUDIT_REPORT.md	975fb68b053c2a11c373677544374e448f2ce84b265d860bb2c1e723d2595d6c	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/EXACT_DERIVATION.md	27ed748fd4d944746d88b6227eb0f4f186628770f4b1a6a9fc9d84563ccc84f4	not directly reopened by parent; separately attributed reviewer inspection	full source argument prose; implementations not rerun	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/EXTERNAL_REPAIR_FOLLOWUP_RESPONSE.md	1c37a3bd4ef2674bf356b92c3511e01f1d6432836286121483c1a02ece74af58	not directly reopened by parent; separately attributed reviewer inspection	full theorem interface/repair response; external PDFs not reauthenticated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/AUDIT_REPORT.md	d97eb46e3275501537ab961535ad6c867190eab6be528decb72a43211de80514	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/EXACT_DERIVATION.md	7bf6a0c7b86a2c74cf63c0945640daed261c28e787254b323dcd51f1dafb6d98	not directly reopened by parent; separately attributed reviewer inspection	full source argument prose; implementations not rerun	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/EXTERNAL_REPAIR_FOLLOWUP_RESPONSE.md	7d35769b5544627e0595d639027681751d97a734dc54e93ddbcd2b8ce9ee09b3	not directly reopened by parent; separately attributed reviewer inspection	full theorem interface/repair response; external PDFs not reauthenticated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/REPAIR_LEDGER.tsv	df494a75929e91529620ef5bcbcd2061fdffa90b60c70e03e7bfcc2909b64d07	not directly reopened by parent; separately attributed reviewer inspection	full theorem interface/repair response; external PDFs not reauthenticated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/THEOREM_INTERFACE.tsv	7d439ada36c686410912f169dc11ae259e4172a0e40d985ce29746fc6c0e5fac	not directly reopened by parent; separately attributed reviewer inspection	full theorem interface/repair response; external PDFs not reauthenticated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g323_g320_unmarked_taub_quotient_classification_2026-09-01/AUDIT_REPORT.md	ca444e8281942b6711eb3de2baced750d422c636df15dc00726276bea194627d	not directly reopened by parent; separately attributed reviewer inspection	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g323_g320_unmarked_taub_quotient_classification_2026-09-01/EXACT_DERIVATION.md	186f60e198783e0bed197e20b59c9cca8516e4f51e53caadd1d491057e96b37b	not directly reopened by parent; separately attributed reviewer inspection	full source argument prose; implementations not rerun	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g324_g323_taub_quotient_mghd_identification_2026-09-02/AUDIT_REPORT.md	7e0c9988e4af291bfbda89bf662a3c10e0205e29620cc00a599bc59a110dc873	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full controlling audit; G315--G320 full original derivations not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g324_g323_taub_quotient_mghd_identification_2026-09-02/EXACT_DERIVATION.md	5563c949b952fd0ddd0365f58e24eb14894d8bdaae7cab8a6bc5fad983bee776	not directly reopened by parent; separately attributed reviewer inspection	full source argument prose; implementations not rerun	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g324_g323_taub_quotient_mghd_identification_2026-09-02/EXTERNAL_REPAIR_FOLLOWUP_FINAL_RESPONSE.md	a2e8aa94acd6126537ce9d7ea0a3eba0a9c3e296dd07ffef2566f9d8fb06a0b7	not directly reopened by parent; separately attributed reviewer inspection	full theorem interface/repair response; external PDFs not reauthenticated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g324_g323_taub_quotient_mghd_identification_2026-09-02/EXTERNAL_REPAIR_FOLLOWUP_RESPONSE.md	8445873159a37c36534e9a578cb86f22629956b47555e3ffd0a03ffe16c5752d	not directly reopened by parent; separately attributed reviewer inspection	full theorem interface/repair response; external PDFs not reauthenticated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g324_g323_taub_quotient_mghd_identification_2026-09-02/REPAIR_LEDGER.tsv	0c93895e0e8857770ef5a7acf5c7d19cc0a19a669fe280d153b174b627300820	not directly reopened by parent; separately attributed reviewer inspection	full theorem interface/repair response; external PDFs not reauthenticated	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g333_metric_native_initial_pair_response_2026-09-03/AUDIT_REPORT.md	b9e75533f59a48892efe60faec46b44d64c6f360f21b1abef7817574b93f03b3	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	direct stage: full controlling brief/audit after parent editorial proposal; original proof/suite not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g337_double_silent_third_normal_ownership_2026-09-03/AUDIT_REPORT.md	2994b28b0436a56c99e748920c41859bd7dfee3f7703733bd77c786132a51175	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	direct stage: full controlling brief/audit after parent editorial proposal; original proof/suite not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g348_generic_lorentzian_null_screen_area_theorem_2026-09-04/AUDIT_REPORT.md	b264f4a8959a557884f3e6a668aab68d2831b477caf693f95db7b524c01bd279	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	direct stage: full controlling audit or ledger; originals and scientific implementations not replayed	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g349_finite_null_wavefront_patch_area_2026-09-04/AUDIT_REPORT.md	5daf07ed87fd96953d7f989e269aafe3654a6876230725fd7b3bcc1f3188467e	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	direct stage: full controlling audit or ledger; originals and scientific implementations not replayed	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g350_frequency_area_carried_content_ownership_2026-09-05/AUDIT_REPORT.md	70acd17b86812a4dc1da42467dc81fe4c0af817152fd635d090ccbd851af88aa	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g351_source_free_labelwise_carried_measure_conservation_2026-09-05/AUDIT_REPORT.md	9fe05975201708714983e03ca592f75bd40ccb16ea4079b7e4a33c9dfe4b48c1	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full controlling audit report; earlier full derivation/reviews not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g352_clock_rate_carried_measure_readout_2026-09-05/AUDIT_REPORT.md	4f1925a1d11d00d55bea6bf3858cbedf2878e63c8e4e14e5a22211b4e03d9f8f	controlling scientific report or authority/ledger inspected; source argument summary, not new proof/suite replay	full controlling audit report; earlier full derivation/reviews not reopened	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g353_g356_conditional_banking_2026-09-06/BANKING_RECORD.md	750fd4758e87c7c99f58786d5ed4e1ea4b2e1d1386032a7d1f9a106b1d3ad8ff	controlling accepted scientific claims, dependency and limit sections; original full proofs/suites not reopened for every row	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g357_g360_conditional_banking_2026-09-07/BANKING_RECORD.md	34588fee0d20bbfb2de12dc2dc31d743e36f300af94bfe5ccb58595c2ac73a1a	controlling accepted scientific claims, dependency and limit sections; original full proofs/suites not reopened for every row	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g361_g363_conditional_banking_2026-09-07/BANKING_RECORD.md	9b6486a5180e3937aaf4827ddaa489c107a026293c4c0b55b22b8ea512b23582	controlling accepted scientific claims, dependency and limit sections; original full proofs/suites not reopened for every row	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g364_g366_conditional_banking_2026-09-07/BANKING_RECORD.md	43eb154ac1fe3b778941616da9785391c3114b027be66eb22a6b61633e18a9d3	controlling accepted scientific claims, dependency and limit sections; original full proofs/suites not reopened for every row	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g367_g369_conditional_banking_2026-09-08/BANKING_RECORD.md	08b7033ac53bd910f718fd827bfb457e5bcc4bd198feb443335b6845a6f583a3	controlling accepted scientific claims, dependency and limit sections; original full proofs/suites not reopened for every row	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g370_g371_conditional_banking_2026-09-08/BANKING_RECORD.md	f62c31c414a3b12d22a329a8c3c26ff5e9c4b9f4274b47faa815692578e940b8	controlling accepted scientific claims, dependency and limit sections; original full proofs/suites not reopened for every row	not recorded in imported reviewer source-pin/read tables; no inference of non-exposure	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
udt_g372_g373_conditional_banking_2026-09-08/BANKING_RECORD.md	45f774b2393f81c2d84754be57cd35db88301b9c281ea53be1a07e82a7bfacbe	controlling accepted scientific claims, dependency and limit sections; original full proofs/suites not reopened for every row	full current acceptance overlay	SCIENTIFIC_SOURCE_OR_ACCEPTANCE
