class_id	gate_id	status	reason
E08	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E08	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E08	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E08	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E08	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E09	G01	CLASSIFIED_FAMILY	complete_pointwise_family_exists_with_residual_parameters
E09	G02	CLASSIFIED_FAMILY	residual_member_parameters_are_not_selected
E09	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E09	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E09	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E09	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E09	G07	AVAILABLE_CONDITIONAL	any_supplied_constant_extension_generator_and_additive_depth_compose_on_typed_path_arrows
E09	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E09	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E09	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E09	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E09	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E10	G01	CLASSIFIED_FAMILY	complete_pointwise_family_exists_with_residual_parameters
E10	G02	CLASSIFIED_FAMILY	residual_member_parameters_are_not_selected
E10	G03	INACTIVE_PREMISE	strong_local_CSN_is_inactive_and_would_not_remove_all_ambiguity
E10	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E10	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E10	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E10	G07	AVAILABLE_CONDITIONAL	any_supplied_constant_extension_generator_and_additive_depth_compose_on_typed_path_arrows
E10	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E10	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E10	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E10	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E10	G12	INACTIVE_PREMISE	counterfactual_strong_CSN_branch_is_not_active_authority
E11	G01	NOT_APPLICABLE	reading_or_global_layer_not_a_pointwise_member
E11	G02	OPEN	no_unique_physical_member_supplied
E11	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E11	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E11	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E11	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E11	G07	AVAILABLE_CONDITIONAL	typed_associated_bundle_composition_survives_but_requires_a_supplied_extension_member_and_depth
E11	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E11	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E11	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E11	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E11	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
E12	G01	NOT_APPLICABLE	reading_or_global_layer_not_a_pointwise_member
E12	G02	OPEN	no_unique_physical_member_supplied
E12	G03	OPEN	chart_level_extension_has_no_selected_local_Lorentz_independent_physical_operation
E12	G04	OPEN	no_extension_class_supplies_one_intrinsic_same_branch_clock_and_founded_ruler
E12	G05	OPEN	physical_observer_objects_and_event_pairing_are_not_selected
E12	G06	OPEN	extension_class_does_not_assign_metric_native_signed_depth_to_physical_arrows
E12	G07	AVAILABLE_CONDITIONAL	typed_associated_bundle_composition_survives_but_requires_a_supplied_extension_member_and_depth
E12	G08	OPEN	path_retention_endpoint_collapse_or_quotient_is_not_selected
E12	G09	OPEN	finite_cell_boundary_and_global_descent_are_not_supplied
E12	G10	OPEN	no_extension_class_supplies_the_operational_pair_functional_or_asymptotic_Xmax_join
E12	G11	OPEN	all_pairs_clock_map_has_rank_but_no_native_target_or_compatibility_equality
E12	G12	NOT_SELECTED	at_least_one_prior_gate_is_open_and_no_active_premise_selects_this_class
