key	tensor	eigenvalue_error	spectral_block_projector_defect	candidate_2plane_projector_defect	production_structure	independent_structure	discrete_diagnostics_agree	pass
G63|R17_0_P|p	k_riem	4.2003310776235927e-06	5.7570474677466769e-06	3.2040680236293913e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_P|p	k_ric	7.1888458156647679e-06	7.1913717714592787e-06	5.0944976025180679e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_P|p	k_weyl	1.6735679556455807e-05	7.6336637661315402e-05	5.409948061981713e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_P|q	k_riem	2.2389393004997047e-06	2.3022608317811392e-06	1.2687718044842644e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_P|q	k_ric	2.7167111054384604e-06	5.6752452173849988e-06	4.1145168990242943e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_P|q	k_weyl	1.0182635492313149e-05	4.4224063234746887e-06	3.1470570147449037e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_P|r	k_riem	3.0332739764882292e-06	2.7037177383431231e-06	1.71989215285416e-06	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|R17_0_P|r	k_ric	7.5891509127440455e-06	1.3649959264247685e-05	9.4290590496354603e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_0_P|r	k_weyl	1.8148253126404335e-06	1.9590390961949616e-05	1.3906740766988964e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_N|p	k_riem	1.2521912097440691e-05	7.354908678955814e-06	5.4462891540231809e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_N|p	k_ric	8.7183718782413155e-06	2.8360413853434405e-05	1.9455274754563071e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_N|p	k_weyl	2.8067046247137739e-06	3.5452746334794034e-05	2.4414040855095694e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_N|q	k_riem	6.9724672759896578e-06	1.97757530108271e-05	1.3882566508833169e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_N|q	k_ric	5.0287632377132852e-06	3.0294760806765927e-05	2.4243494310082366e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_N|q	k_weyl	6.1485404961314494e-06	1.8168392100953512e-05	1.4950567728913774e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_N|r	k_riem	3.0187432665708383e-05	2.8939993263944267e-05	2.0525938822253009e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_N|r	k_ric	2.5595557897106769e-05	4.4204994329282626e-05	3.256361280259621e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_N|r	k_weyl	9.8636024860043747e-06	0.00013624735492949561	9.6822472436759746e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_Z|p	k_riem	1.6746755752472531e-05	2.4420660320353141e-05	1.7426390919716921e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_Z|p	k_ric	1.9851128118947292e-05	3.8057532492145421e-05	2.737330604066425e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_Z|p	k_weyl	1.2622270756157405e-05	7.3596639604441952e-05	5.32672305691666e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_Z|q	k_riem	8.1576070298794434e-06	2.177236729780903e-05	1.5671728708692891e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_Z|q	k_ric	5.7821198607144186e-06	3.7321390862270993e-05	2.7173531591256503e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_Z|q	k_weyl	1.6334122600991652e-05	3.1806205812049315e-05	2.3997333084760098e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_Z|r	k_riem	1.7475450079851296e-05	1.2260179031155535e-05	9.3362796479314358e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_Z|r	k_ric	1.2708018219231842e-05	2.5922148529408919e-05	1.8301644056541487e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_Z|r	k_weyl	1.4863275958398869e-05	0.00022057617760694133	0.00015676963264553957	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_P|p	k_riem	7.6678494955739751e-06	1.9261044992868854e-05	1.4351915287407856e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_P|p	k_ric	7.9848156601391995e-06	3.3758814773549523e-05	2.3744013263743438e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_P|p	k_weyl	1.3746166792588665e-05	6.0148943518269022e-05	4.3318179491048985e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_P|q	k_riem	1.7535639624276044e-05	9.6929556418120841e-06	7.1469668555057618e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_P|q	k_ric	6.7838516727702913e-06	1.7031233676467285e-05	1.2074165380729722e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_P|q	k_weyl	1.0570774592322252e-05	5.9771728596860105e-05	4.2840150159983124e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_P|r	k_riem	4.4516464081742652e-05	4.3657459508156635e-05	3.1146836040335611e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_P|r	k_ric	8.1465647642220418e-06	3.9765311168016012e-05	2.8084371288805511e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|R17_P1_P|r	k_weyl	1.8987985096530213e-05	0.00024407956064207526	0.00017339278958239076	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N2|p	k_riem	2.2793101569634766e-06	4.6008614035856948e-05	3.1898018950762433e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N2|p	k_ric	3.2651792418111891e-07	0.00013784660137420142	9.6617152089000655e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N2|p	k_weyl	1.0879039366779689e-06	4.7145994455869672e-05	3.3085887176854698e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_N2|q	k_riem	8.6648320572757509e-07	1.9634253769755039e-05	1.2841380680769652e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N2|q	k_ric	9.0456829093116253e-07	0.00013477707132786274	9.5014639319300267e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N2|q	k_weyl	4.2620691551291422e-07	1.2890450637019484e-05	1.1225825121460083e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_N2|r	k_riem	4.1018787905189313e-07	8.5320915859101275e-05	6.0386247787559013e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N2|r	k_ric	3.0050960400543163e-07	2.1312794657574612e-05	1.5041538575520804e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N2|r	k_weyl	8.5132633034277498e-07	4.6145840369021563e-05	3.3895354414831264e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_N1|p	k_riem	7.8057983593504687e-07	3.6125350551603415e-05	3.1735446662706361e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N1|p	k_ric	4.2661821107042863e-07	0.00034096230317810219	0.00024305041402851194	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N1|p	k_weyl	1.1912704034749977e-06	9.7436339052952238e-05	6.7957225213900833e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_N1|q	k_riem	7.9230556770948368e-07	2.0858687948105708e-05	1.7573550412508624e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N1|q	k_ric	3.7196870483757749e-07	0.00013058875511312931	8.9671395255777912e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N1|q	k_weyl	9.7233942103480686e-07	3.5615568549385831e-05	2.4531271027407002e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_N1|r	k_riem	1.4192468652252099e-06	6.7484554778592511e-05	4.6157074632461891e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N1|r	k_ric	4.6617051417674471e-07	0.00025647228606302542	0.00018018572888686969	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_N1|r	k_weyl	8.1881626430579946e-07	4.4929799085573904e-05	3.1779581412750039e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_Z|p	k_riem	1.2444076506329393e-06	3.3706904767321566e-06	2.6549631057193295e-06	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_Z|p	k_ric	1.0442492857642982e-06	0.00032644557667617157	0.0002308363990386672	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_Z|p	k_weyl	2.8310643536422209e-07	4.2372109305806641e-05	2.5839996316516394e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_Z|q	k_riem	1.7235860883813015e-06	3.0874166029152445e-05	2.1846236857658277e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_Z|q	k_ric	8.4261226349080509e-07	2.6788870429698874e-05	1.9363027586397079e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_Z|q	k_weyl	5.71921475699122e-07	2.5152056404632205e-05	1.8352185142303649e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_Z|r	k_riem	7.3977954562209902e-07	2.9440470709676206e-05	2.3147400102154624e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_Z|r	k_ric	2.8462105151243547e-07	9.7299881661621699e-05	6.7947301056441134e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_Z|r	k_weyl	1.0470231332146418e-06	5.3128721092347695e-05	3.2300880282230734e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_P1|p	k_riem	2.7366283565505301e-06	4.5085341928435584e-05	3.0633447597581784e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P1|p	k_ric	4.9067499409069515e-07	0.00010369696962717596	7.3015744083141366e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P1|p	k_weyl	1.301291942937266e-06	8.0374470599696771e-05	5.6359456781015112e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_P1|q	k_riem	1.4011341250841358e-06	4.6012489978114762e-05	2.5833718013077358e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P1|q	k_ric	2.957283102094331e-07	0.00021713469778093306	0.0001545070515047893	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P1|q	k_weyl	1.3638561895748524e-06	7.1994257905603424e-05	4.7451596244074713e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_P1|r	k_riem	1.2769345936192167e-06	3.6935293745913645e-05	2.5214485301879025e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P1|r	k_ric	4.4330740361919752e-07	0.00018678862364221495	0.0001309239531788935	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P1|r	k_weyl	1.0231777076369213e-06	8.7515615975829945e-05	6.1141885612425831e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_P2|p	k_riem	9.3866657054075819e-07	1.5200942669542613e-05	1.1324783813453013e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P2|p	k_ric	1.5124135304481201e-06	0.00033691894621577437	0.00023575917380574179	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P2|p	k_weyl	6.7304161331463306e-07	6.5493204274751172e-05	4.6370285720769376e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_P2|q	k_riem	8.8148229197143602e-07	1.8427265871724388e-05	1.5771734646092842e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P2|q	k_ric	3.2562504186789409e-07	7.3315597784555877e-05	5.1793606840605459e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P2|q	k_weyl	6.1700660120782684e-07	8.7171064967097168e-05	6.1559324422161591e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G63|TL_P2|r	k_riem	5.9042305010359453e-07	4.0432686246687177e-05	2.9958237014230325e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P2|r	k_ric	3.3311173963830598e-07	3.2696017412217379e-05	2.25301648842815e-05	FOUR_REAL_SIMPLE_LINES	FOUR_REAL_SIMPLE_LINES	TRUE	TRUE
G63|TL_P2|r	k_weyl	7.4350830440300664e-07	3.7595055567602022e-05	2.4281132287227739e-05	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|C0	k_riem	1.3370803408907506e-08	4.7371903436652381e-08	1.401151318004777e-08	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|C0	k_ric	2.8745940655605651e-08	1.1201127936911635e-07	2.8656908852954445e-09	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|C0	k_weyl	1.4557802588410773e-08	1.5407312396090483e-07	1.164778456351763e-07	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|CMINUS	k_riem	1.3937184850654205e-08	5.4862788345553475e-08	4.0550639453390238e-08	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|CMINUS	k_ric	2.8189502149222889e-08	3.6465953689776151e-08	2.5690047074540682e-08	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|CMINUS	k_weyl	1.4943049714277734e-08	6.3892620737419591e-08	4.594557622935981e-08	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
G85|G75_AM_S01_E05:A03_RADIAL_SHIFT_TIMELIVE|CPLUS	k_riem	1.3617527827580744e-08	1.1047536287712726e-07	7.7756795418418192e-08	SPECTRALLY_UNRESOLVED	SPECTRALLY_UNRESOLVED	TRUE	TRUE
