id	path	role	authority	affirmative_use	prohibition	audit_ruling
R65	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	dimensional ledger	CURRENT_EVIDENCE	scale statuses	no scale promotion	STATUS_SCOPE
R66	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	whole-metric Cartan audit	CURRENT_EVIDENCE	full coframe census	Cartan identities are not EOM	METRIC_COMPLETENESS_WARNING
R67	metric_cartan_holonomy_audit_2026-07-19/STATUS_LEDGER.tsv	Cartan status ledger	CURRENT_EVIDENCE	derived/open distinctions	no action promotion	STATUS_SCOPE
R68	native_action_final_adjudication_2026-07-18/COUNTERMODEL_COMPLETENESS_FINAL.tsv	completeness correction	HARD_FROZEN_POST_FIREWALL	countermodel limits	no complete-universe claim	FROZEN_SCOPE
R69	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	final action ruling	HARD_FROZEN_POST_FIREWALL	C2/EH/action distinctions	immutable; no strengthening	FROZEN_ACTION_STATUS
R70	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	final status ledger	HARD_FROZEN_POST_FIREWALL	UNIQUE-CONDITIONAL and OPEN labels	immutable	FROZEN_ACTION_STATUS
R71	native_action_final_adjudication_2026-07-18/MECHANICAL_AGREEMENT_DISAGREEMENT.tsv	frozen final adjudication	HARD_FROZEN_POST_FIREWALL	M06 parity and M19 boundary ruling	immutable; no strengthening	FROZEN_BOUNDARY_STATUS
R72	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	topology audit	CURRENT_EVIDENCE	Hopf capability caveat	topology does not set action	TOPOLOGY_SCOPE
R73	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	topology ledger	CURRENT_EVIDENCE	topology/carrier labels	no carrier promotion	STATUS_SCOPE
R74	null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	conditional Hopf audit	CURRENT_EVIDENCE	orbit/connection witness	no carrier/action derivation	CONDITIONAL_HOPF_ROUTE
R75	null_section_hopfion_metric_audit_2026-07-19/DERIVATION_RESULT.json	Hopf exact algebra	CURRENT_EVIDENCE	conditional identities	inherits premises	CONDITIONAL_ALGEBRA
R76	null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	Hopf status ledger	CURRENT_EVIDENCE	compatibility/open distinctions	no carrier promotion	STATUS_SCOPE
R77	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	scale census	CURRENT_EVIDENCE	homothety rank	no absolute equation	SCALE_SCOPE
R78	scale_breaking_closure_census_2026-07-20/STATUS_LEDGER.tsv	scale ledger	CURRENT_EVIDENCE	open scale objects	no Xmax value	STATUS_SCOPE
R79	transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	transverse realization audit	CURRENT_EVIDENCE	direct extension and conditional spin/Hopf witnesses	no physical transverse topology or carrier	TRANSVERSE_SCOPE
R80	transverse_reciprocal_realization_selector_2026-07-19/CANDIDATE_FAMILY.tsv	transverse candidate census	CURRENT_EVIDENCE	inequivalent realization families	none selected by current foundation	EXTENSION_FORK
R81	transverse_reciprocal_realization_selector_2026-07-19/DERIVATION_RESULT.json	transverse exact output	CURRENT_EVIDENCE	block extension and equivariance algebra	inherits conditional realization premises	CONDITIONAL_ALGEBRA
R82	transverse_reciprocal_realization_selector_2026-07-19/STATUS_LEDGER.tsv	transverse status ledger	CURRENT_EVIDENCE	exact conditional/open distinctions	no extension selector promotion	STATUS_SCOPE
R83	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	premise-reset control	CURRENT_EVIDENCE	correct c phi distance Xmax boundary meanings	no new boundary equation	SEMANTIC_CONTROL
R84	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	owner meanings	OWNER_LOCKED_FOR_AUDIT	O03 O06-O12 O15	boundary join and scale open	SEMANTIC_CONTROL
