equation_id	source_id	scope	statement	role	kappa_dependency	physical_history_principal_rank	active_status	rationale
E24	S24	G138 position network descent	Endpoint position and reciprocal addition descend on compatible supplied observer networks.	NETWORK_ADMISSIBILITY	conformal_weight_zero	0	ACTIVE_DERIVED_CONDITIONAL	Descent tests edge coherence and is kappa-blind.
E25	S25	G139 endpoint/path join	Endpoint reciprocal position and path-labelled transport occupy different compositional channels.	QUERY_EVOLUTION	supplied_connection	0	ACTIVE_DERIVED_CONDITIONAL	Transport evolves a state on a supplied history, not the metric common scale.
E26	S26	G140 positional congruence	A rank-complete pullback atlas can reconstruct a metric while positional congruence restricts a supplied relation family.	NETWORK_ADMISSIBILITY	supplied_value	0	ACTIVE_CONDITIONAL	The congruence condition is not an equation selecting among all smooth metrics.
E27	S27	G141 endpoint transition	Triangular endpoint calibration transitions compose and invert on supplied calibrated pair states.	NETWORK_ADMISSIBILITY	supplied_value	0	ACTIVE_DERIVED_CONDITIONAL	Transition closure carries scale but does not set it.
E28	S28	G142 carrier carry	Abstract reciprocal carriers require physical calibration carry across complete pair comparisons.	NETWORK_ADMISSIBILITY	supplied_value	0	ACTIVE_CONDITIONAL	The carry problem types comparison data; it does not propagate kappa.
E29	S29	G143 single-domain carry	A supplied pair domain carries terminal densities consistently within that domain.	NETWORK_ADMISSIBILITY	supplied_value	0	ACTIVE_DERIVED_CONDITIONAL	Local carry is a descent identity.
E30	S30	G144 cross-query carry	Overlap maps must carry calibration and screen data consistently across supplied queries.	NETWORK_ADMISSIBILITY	supplied_value	0	ACTIVE_DERIVED_CONDITIONAL	Cross-query consistency does not select the common-scale field.
E31	S31	G145 network-history equivalence	A sufficiently complete coherent relation network is equivalent to a supplied metric history, while arbitrary smooth fields survive.	DEFINITION_OR_EVALUATOR	arbitrary_finite_jets	0	ACTIVE_DERIVED_CONDITIONAL	Equivalence is reconstructive and explicitly leaves physical history open.
E32	S32	G146 multidirectional position	The metric supports multiple directional relational-position projections without a unique noncollinear extension.	DEFINITION_OR_EVALUATOR	supplied_value	0	ACTIVE_NONSELECTION	No evolution law or unique composition is generated.
E33	S33	G147 directional screen identity	A conditional screen-solder identity relates supplied pair direction and metric screen data.	DEFINITION_OR_EVALUATOR	supplied_value	0	ACTIVE_DERIVED_CONDITIONAL	The relation is an identity once the query and split are supplied.
E34	S34	G148 pair first-jet decomposition	The differential of relational position decomposes exactly into first-jet chord channels.	DEFINITION_OR_EVALUATOR	supplied_first_jets	0	ACTIVE_DERIVED_CONDITIONAL	It reads first jets and does not prescribe their amplitudes.
E35	S35	G149 spacetime witness	A genuine complete spacetime witness realizes the pair first-jet channels coherently.	DEFINITION_OR_EVALUATOR	supplied_first_jets	0	ACTIVE_EXISTENCE_WITNESS	Existence of a witness is not selection of its history.
E36	S36	G150 first-order freedom ceiling	The declared first-order chord readouts are locally surjective on the regular supplied arena.	DEFINITION_OR_EVALUATOR	arbitrary_first_jets	0	ACTIVE_NONSELECTION_THEOREM	Surjectivity rules out an algebraic first-order selector in the bounded arena.
E37	S37	G151 deviation join	The curvature commutator identity and Jacobi equation propagate a variation field on a supplied congruence.	QUERY_EVOLUTION	supplied_second_jets	0	ACTIVE_DERIVED_CONDITIONAL	Jacobi principal rank belongs to the query field, not to kappa or g.
E38	S38	G152 variational chord ownership	Ruler-equality and variational conditions are conditional restrictions on a supplied pair immersion/query.	NETWORK_ADMISSIBILITY	supplied_first_and_second_jets	0	ACTIVE_CONDITIONAL	They do not universally restrict the ambient metric history.
E39	S39	G153 ruler differential	The metric-normalized ruler derivative of relational position is an exact supplied-history evaluator.	DEFINITION_OR_EVALUATOR	supplied_first_jets	0	ACTIVE_DERIVED_CONDITIONAL	Its value changes under common rescaling but no value is imposed.
E40	S40	G154 asymptotic response	For supplied Xmax and metric history the approach response is classified; arbitrary common-scale profiles realize different classes.	DEFINITION_OR_EVALUATOR	arbitrary_value_and_first_jets	0	ACTIVE_VERIFIED_WITH_CAVEATS	The counterfamily passes current identities and leaves the response class open.
E41	S41	G154 external adjudication	External review confirms conformal-network nonselection and distinguishes Xstar from metric common scale.	DEFINITION_OR_EVALUATOR	arbitrary_finite_jets	0	ACTIVE_EXTERNAL_VERIFICATION	Network reconstruction remains compatible with every regular conformal twin.
