# STAMP: Stage A1 angular-live ledger. Contract = PREREGISTRATION.md (frozen first). EVERYTHING-ON within the cleared layer: fields phi, f, bh, N (+ the new angular mixed row m) depending on (x, t, y, z); time-live-LINE composition (A-L4); T^2 stratum layer (A-L1, full-S^3 TYPED); angular jets <= 2 (A-L2, higher TYPED); theta ABSENT (A-L5); N=2 wall layer; both lock-reading branches carried; the NEW spatial-reading fork carried (A1j2); no response law selected, nothing solved, no angular cycle census (Stage A3's contract; F-A1 honored).
# STAMP: y_independent_restriction column = the C-1 calibration identity: restricting every row to the y-independent stratum (angular-independence, m=0, angular directions reduced to scaffolding) must recover the banked Stage-T1 posing EXACTLY (TIMELIVE_T1_LEDGER.tsv: 18 O-rows, 15 R-rows, 15 J-rows). static_restriction_transitive column = the C-2 transitive identity down to the banked static Stage-1 census (VARIATION_DOMAIN_CENSUS.tsv, 16 rows). Both checked mechanically in derive_angular_A1.py C1a/C1b/C2a/C2b.
# STAMP: verdict vocabulary (objects): EXTENDS-ANGULAR-DEP = banked object, gains angular dependence; NEW = new census row with provenance chain. (requirements/J-rows): transfers-unchanged / extends-with-derived-modification / gains-angular-component / breaks(how). Tags: DERIVED / CHOSE / THEORY(cite) / FREE-AND-EXPLORED / OPEN-FORK.
# STAMP (RESTATED — AMENDMENT 2026-07-31, verifier round 1, AM-A): residual chart symmetry (TA-1, derived): K4 (survives verbatim, (t,y,z) spectators, A1m) x T1 (t -> sigma t + t0, banked) x [T^2 translations (A1d) + the two derived angular mirrors (A1e2/A1f; bridge floor only, G18)] TIMES the ENLARGED slack layers: chi-slack (two-branch under the coordinate spatial pin, A1h/A1i; additive J07 cocycle A1k), zeta-slack = FIBER TRANSLATIONS z -> z + zeta (LAWFUL RESIDUAL on the registered family with f~ = f + zeta', A1s — the layer the original census MISSED; generates m_z from the diagonal stratum A1s2; moves N_z when t-dependent A1s3; additive cocycle A1s4), y-reparametrization slack (field-absorbed, chain-rule law, A1p/A1p2), psi-slack (banked T1) — composition DERIVED: each slack layer is abelian-additive within itself; psi acts on chi's t-argument (A1l) and chi/psi act on zeta's y/t-arguments (A1s5): the slack group CONTAINS the semidirect tower (zeta normal under chi normal under psi); the y-reparametrization layer h joins ABOVE it, NOT as a direct factor (AM-D, verifier closure): h normalizes the zeta-layer by argument action (conjugate = zeta o h) but does NOT normalize the chi-layer for general h (witness h = e^y); only the field-fixing subclass h' = 1 commutes in as a direct factor (still acting on zeta's argument); the full slack group = the group GENERATED by {psi, chi, zeta, h} under these derived relations. Under the coordinate spatial pin the JOINT (chi',zeta') slack orbit of m = (g_xy,g_xz) is the LEVEL SET of m^T B^-1 m (AM-B, A1i2), with full projected-reading removal s = -B^-1 m (A1j3). Fiber-leg reparametrization RIGIDIFIED by the lock WITHIN THE z-ONLY MAP CLASS (k'^2=1, A1e, verifier-confirmed): no free angular lapse on the locked leg.
row_id	kind	name	angularlive_verdict	tag	y_independent_restriction	static_restriction_transitive	basis_checks	citation
O11	OBJECT	E02_stratum_label	EXTENDS-ANGULAR-DEP (trivially): strata remain LOCI in the moduli; L1 MODULUS-CARRIED unchanged; nothing eliminated; angular content enters only through the moduli's angular-reading sub-fork	DERIVED (Route B T6)	T1:O11 E02_stratum_label	banked:E02_stratum_label	-	Route B AUDIT_REPORT
O12	OBJECT	boundary_data_walls	EXTENDS-ANGULAR-DEP: wall strata (x-loci) become {x_w} x R_t x T^2 — walls remain TIMELIKE (A2b: the induced (t,y,z) block is Lorentzian, det = -c_E^2 bh W < 0); wall traces/germ data gain (t,y,z)-dependence: ANGULAR-VARYING GERMS TYPED at the N=2 wall layer (deeper TYPED); HONEST SPLIT (AMENDMENT NOTE-2): T^2-closedness DERIVES the absence of angular BOUNDARY/completion strata (A2b); the absence of interior angular JUNCTION loci is INHERITED-PREMISE (banked wall census: walls = x-loci, CANON), not derived; the two derived angular mirrors (A1e2/A1f) give the angular wall-seat parity floor — BRIDGE ONLY, no closure status (G18); varied-vs-held fork transfers	CANON (C-2026-06-10-2; C-2026-07-04-1) + OPEN-FORK (varied/held)	T1:O12 boundary_data_walls (timelike W x R_t; temporal-mirror seat)	banked:boundary_data	A2b_walls_timelike_no_angular_walls; A1e2; A1f	CANON; wall bank f859d62 TW1; boundary gate 07-30
O13	OBJECT	corner_data	EXTENDS-ANGULAR-DEP: banked codim-2 corners extend by x T^2; corner traces gain angular arguments (typed); NO new corner TYPE from the angular directions (T^2 has no boundary; the branch-(c)-only time-corner type travels from T1 unchanged)	THEORY (requirement 6); branch-(c) content TYPED-ONLY	T1:O13 corner_data	banked:corner_data	A2b	MAP sec.2 req 6; T1 TT-3
O14	OBJECT	completion_class	EXTENDS-ANGULAR-DEP (unchanged content): the 12 FC families remain the SPATIAL (x-direction) completion census; the angular directions need NO completion data (T^2 compact without boundary — derived, A2b); the completion label c stays spatial, joined by the T1 time label O18 and the angular period data O20; the exotic non-Hopf-preserving boundary stays the named open seat (A-L7)	OPEN (L4) + A-L7 census-bounded	T1:O14 completion_class	banked:completion_class	A2b	CANON C-2026-06-10-2; A-L7
O15	OBJECT	local_lorentz_gauge	EXTENDS-ANGULAR-DEP: equivariance quotient transfers pointwise ((t,y,z) spectators, A1m); SO+ registration stays load-bearing (T1's coframe-layer time-reflection obstruction travels; the ANGULAR mirrors A1e2/A1f act at the metric-presentation layer — their coframe-layer status inherits the same SO+ question, TYPED)	THEORY (E11; Route B T1); SO+ registration load-bearing	T1:O15 local_lorentz_gauge	banked:local_lorentz_gauge	A1m	E11; Route B T1; T1 T1g/T1i
O16	OBJECT	chart_registration	EXTENDS-ANGULAR-DEP (RESTATED — AMENDMENT AM-A/AM-B): registered toric chart x angular unfreezing (A-L1 CHOSE travels); residual chart symmetry DERIVED = K4 x T1 x [T^2 translations (A1d) + derived mirrors (A1e2/A1f)] TIMES the ENLARGED slack layers: chi-slack (two-branch under the coordinate spatial pin, A1h/A1i; additive cocycle A1k) + zeta fiber-translation slack (lawful residual with f~ = f + zeta', A1s — the layer the original census missed; generates m_z A1s2; moves N_z A1s3; additive cocycle A1s4) + y-reparametrization slack (field-absorbed, A1p/A1p2) + psi-slack (banked); composition = the SEMIDIRECT TOWER zeta-under-chi-under-psi with the y-reparam layer ABOVE it, not a direct factor (A1l/A1s5; AM-D); under the coordinate pin the JOINT (chi',zeta') orbit of m is the LEVEL SET of m^T B^-1 m (A1i2, not {m,-m}), with FULL removal under the projected spatial reading (s = -B^-1 m, A1j3) — the NEW SPATIAL-READING FORK (LOAD-BEARING, carried both ways, decided by NOTHING here; irreducibility = NON-REMOVABILITY of the invariant datum); fiber leg RIGIDIFIED by the lock within the z-only map class (k'^2=1, A1e: no free angular lapse); lock-reading fork travels with angular content a SPECTATOR (A1b)	THEORY (07-25 registration) + A-L1 CHOSE; spatial-reading fork LOAD-BEARING OPEN-FORK (carried both ways); lock-reading fork travels (T1)	T1:O16 chart_registration (K4 x T1 x psi-branch; lock-reading fork)	banked:chart_registration	A1b; A1d; A1e; A1e2; A1f; A1g; A1h; A1i; A1i2; A1j; A1j2; A1j3; A1k; A1l; A1p; A1p2; A1q; A1s; A1s2; A1s3; A1s4; A1s5	Route B T1; CANON C-2026-06-18-1; T1 O16
O17	OBJECT	shift_row_N (g_ti; N_x,N_y,N_z)	EXTENDS-ANGULAR-DEP: N_i(x,t,y,z) VARIED-FIELD; T1's native covariant-row status travels (anti-ADM discriminator banked); NEW derived structure: the t-dependent chi-slack MOVES the shift row (N_y' = N_y + g_yy chi_t, A1g2) AND the t-dependent zeta-slack moves its z-component (N_z' = N_z + g_zz zeta_t, A1s3 — AMENDMENT AM-A) — the shift row, the angular mixed row and the fiber leg are slack-COUPLED sectors, not disjoint; N_y ODD-composed under the y-mirror (A1f); irreducibility still rides the T1 lock-reading fork (angular content a spectator of that fork, A1b)	DERIVED-FREE-BY-CANON + T-L2 RESOLVED (travels from T1); irreducibility rides the lock-reading OPEN-FORK	T1:O17 shift_row_N (NEW at T1)	banked-premise:diagonal N=0 (the canonized DIAGONAL choice, recovered as control)	A1g2_chi_xt_slack_moves_shift_row; A1s3; A1f; A1b	CANON C-2026-06-18-1; T1 O17
O18	OBJECT	time_topology_label	EXTENDS-ANGULAR-DEP (spectator): the time-live-LINE composition binds (A-L4: t on, no time-cycles per the owner focus ruling — scope note, not an adoption); the label and its three branches travel from T1 verbatim; no angular leg touches it	FREE-AND-EXPLORED (T-L3) + A-L4 CHOSE-BY-OWNER-RULING	T1:O18 time_topology_label (NEW at T1)	ABSENT-static (t-direction factorizes out of the static posing)	-	T1 O18; A-L4
O19	OBJECT	angular_mixed_row_m (g_xa; m_y = g_xy, m_z = g_xz)	NEW (RESTATED — AMENDMENT AM-A/AM-B): VARIED-FIELD, 2 components m_a(x,t,y,z); native form = the COVARIANT x-angular row entered directly (NOT a fiber-adapted/Kaluza-Klein split: 1/g^{xx} = g_xx - g_xy^2/g_yy certifies inequivalence — the F-A2 discriminator, A1q; branch-scope: 1/g^xx = gamma_xx IS the projected reading, the hazard attaches to imported parametrization, not to the derived functional); NOT FORCED nonzero, NOT EXCLUDED (excluding = re-freezing the y-isometry, F-A4): the diagonal-in-x stratum is NOT chart-invariant — BOTH components now DERIVED: chi-slack generates m_y (A1g), zeta-slack generates m_z (A1s2; the m_z structure was analogy pre-amendment, now derivation); irreducibility CONDITIONAL ON THE NEW SPATIAL-READING FORK: coordinate reading => NON-REMOVABLE with the joint (chi',zeta') orbit = the LEVEL SET of m^T B^-1 m (A1i2; the {m,-m} of A1i is the y-leg slice; the invariant m^T B^-1 m is the irreducible datum); projected reading => fully removable chart-slack (s = -B^-1 m, A1j2/A1j3) — fork LOAD-BEARING, undecided, both branches travel; m_y ODD under the y-mirror (A1f); K4-trivial (metric rows are frame invariants, banked TU2b); response gains slots R_m (2)	DERIVED-FREE-BY-CANON (off-diagonal listed FREE, C-2026-06-18-1) + EVERYTHING-ON (owner ruling; A-L1 layer); irreducibility rides the O16 spatial-reading OPEN-FORK	ABSENT-from-T1 (angular dependence frozen by the T1 presentation; restriction m=0 recovers the banked block-diagonal x-angular structure)	ABSENT-static (block-diagonal premise)	A1g; A1s2; A1h; A1i; A1i2; A1j; A1j2; A1j3; A1q	CANON C-2026-06-18-1; ANGULAR_MAP A-L1; T1 O17 (structural template)
O20	OBJECT	angular_domain_structure (T^2 periods P_y, P_z; registered toric data)	NEW: the angular-live domain necessarily carries its registered period data (the T^2 stratum's toric structure, descended from the banked S^3 arena: fiber period 4 pi, Hopf connection A = sigma_3); fields are P-PERIODIC functions on the domain (DERIVED domain fact, A2a — not an imposition); the periods enter the anchor-overlap law (the fiber period rescales under A1r as an overlap datum); NO period fork is opened here (the arena is banked; the full-S^3 layer = A-L1's typed next layer; the exotic completion boundary = A-L7's named seat); NO cycle-census content rides this row (Stage A3; F-A1)	THEORY (banked arena registration; doorway/routeC) + A-L1 layer CHOSE	ABSENT-from-T1 (the T1 posing carried the angles as scaffolding only; the period data sat in the arena registration, not the census)	ABSENT-static (same: arena scaffolding)	A2a_periodicity_is_a_domain_fact; A1n; A1r	routeC EXACT_DERIVATION :29; doorway C1; ANGULAR_MAP sec.2
R01	REQUIREMENT	R1_native_provenance	transfers-unchanged: definition-level provenance audit; index set extends to the 20-object census (incl. R_m slots, angular-reading forks, period data); content unchanged	DERIVED (definition-level)	T1:R01 (PW)	banked R1 (PW)	-	POSED_INVERSE_PROBLEM R1
R02	REQUIREMENT	R2_explicit_field_census	extends-with-derived-modification: component list indexed by the ANGULAR-LIVE census (20 rows); a missing R_m component = a silent freeze (the y-isometry era's presentation-freeze, now visible) UNDER THE COORDINATE SPATIAL READING (where the invariant m^T B^-1 m is the irreducible datum, A1i2 — AM-B restate); under the projected spatial reading R_m pairs chart-slack (full removal A1j2/A1j3) — what the R_m slots carry rides the NEW spatial-reading fork (LOAD-BEARING, carried); extra components = unregistered DOF	DERIVED	T1:R02 (PW)	banked R2 (PW)	A1j2	POSED_INVERSE_PROBLEM R2; TA-1
R03	REQUIREMENT	R3_global_completion_feedback	extends-with-derived-modification: completion arguments gain the angular period data O20; DERIVED SIMPLIFICATION: the angular directions need NO completion data (T^2 closed, A2b) — the completion census stays the banked spatial 12 FC families + the T1 time label; explicitness clause unchanged	DERIVED	T1:R03 (GC)	banked R3 (GC)	A2b	POSED_INVERSE_PROBLEM R3
R04	REQUIREMENT	R4_tracefree_screen_response	transfers-unchanged: exact conditions pointwise-algebraic; (t,y,z) ALL spectators (A2c); slot theorem untouched	DERIVED	T1:R04 (PW)	banked R4 (PW)	A2c_R4_blindness_angular_spectator	POSED_INVERSE_PROBLEM R4; Route B T4
R05	REQUIREMENT	R5_same_solution_mass_volume_density	extends-with-derived-modification: one solution = one ANGULAR-LIVE solution; the closure relation's integrals now carry genuinely angular-varying integrands over the compact T^2 factor (canonical angular domain, A3a); the T1 per-slice-vs-whole-history sub-fork travels unchanged; NO new fork; class stays WS	DERIVE (fork typed, not decided)	T1:R05 (WS)	banked R5 (WS)	A3a	POSED_INVERSE_PROBLEM R5; T1 R05
R06	REQUIREMENT	R6_boundary_corner_differentiability	gains-angular-component: (i) walls stay timelike x-loci, now {x_w} x R_t x T^2 with ANGULAR-VARYING germ/trace data (A2b; N=2 wall layer, deeper TYPED); (ii) ANGULAR MIRRORS DERIVED: y->-y forces f ODD / (phi,alpha,bh) EVEN + flips (N_y,m_y,g_yz) (A1f); z->-z forces (alpha,f) ODD (A1e2); parity jet-kill at mirror-fixed loci typed; (iii) BRIDGE ONLY: no closure status inherited (G18); coframe-layer status inherits T1's SO+ question (TYPED); (iv) the angular directions add NO BOUNDARY/corner strata (T^2 closed, A2b — DERIVED); absence of interior angular JUNCTION loci = INHERITED-PREMISE (banked wall census walls = x-loci, CANON; AMENDMENT NOTE-2 split)	DERIVED (bridge floor) + typed germs + INHERITED-PREMISE (junction leg)	T1:R06 (GC)	banked R6 (GC + PW subchecks)	A1e2; A1f; A2b	CANON C-2026-07-04-1; seam bank 0d0d575; G18
R07	REQUIREMENT	R7_gauge_noether_on_quotient	gains-angular-component: (a) equivariance transfers pointwise (t,y,z)-spectator (A1m); (b) Noether identity leg transfers; (c) conservation row: continuity statements gain angular flux components (d_t density + div_x flux + angular-divergence terms), posed not solved (WS); the compact angular domain makes angular-flux statements close without boundary terms (typing, integration-layer — not imposed pointwise)	DERIVED (a,b); posed (c)	T1:R07 (PW)	banked R7 (PW a,b + WS currents)	A1m	POSED_INVERSE_PROBLEM R7; E11
R08	REQUIREMENT	R8_helmholtz_testability	extends-with-derived-modification: D-R self-adjointness w.r.t. the declared pairing now runs on TRI-graded jets (angular jets <= 2, A-L2 layer); the pairing's ANGULAR domain datum is FORCED-CANONICAL (T^2 compact, exact orthogonality A3a — no supplied class), in derived contrast with the branch-dependent time-domain datum; gate-property (never a filter) unchanged	DERIVED (typing)	T1:R08 (PW)	banked R8 (PW jet-level)	A3a	POSED_INVERSE_PROBLEM R8
R09	REQUIREMENT	R9_global_periods	extends-with-derived-modification: the domain's cycle set gains angular content — SCOPE-EXCLUSION: the angular cycle/winding census is Stage A3's contract, NOT run here (F-A1 honored); on the y-independent restriction the R9 content reduces to T1's (branch-conditional time content; K4-torsion vacuity note transfers)	DERIVED (deferred by contract)	T1:R09 (GC)	banked R9 (GC)	-	POSED_INVERSE_PROBLEM R9; F-A1
R10	REQUIREMENT	R10_extension_gate_precedence	transfers-unchanged: honored by construction (domain built on the Route B / T1 / T2 bank; angular extension does not change footing)	DERIVED (by construction)	T1:R10 (PW)	banked R10 (PW)	-	POSED_INVERSE_PROBLEM R10
R11	REQUIREMENT	R11_J_obligations	per-row: see J01-J15 below	per-row	T1:R11 (per-row)	banked R11 (per-row)	-	JOINT_OPERATION_OBLIGATIONS
R12	REQUIREMENT	R12_restrict_then_vary_forbidden	extends-with-derived-modification: the T1 TIME-LIVE bank is re-read as a PULLBACK of the angular-live object to the y-independent stratum (and the static bank as the double pullback, C-2 transitive); defining on the y-independent stratum and varying is now itself the named violation; exact witness transfers	DERIVED	T1:R12 (PW)	banked R12 (PW)	C1a; C2a (recovery = pullback consistency)	POSED_INVERSE_PROBLEM R12
R13	REQUIREMENT	R13_no_fitted_global_average	extends-with-derived-modification: fitted ANGULAR averages join the excluded class (same clause, new instance); HONEST distinction derived: a mode PROJECTION (A3a orthogonality — analysis technique, Category-A) is not a fitted average; what is excluded is a fitted averaged input to the response	DERIVED	T1:R13 (PW)	banked R13 (PW + GC cross-check)	A3a	POSED_INVERSE_PROBLEM R13
R14	REQUIREMENT	R14_bootstrap_on_shell_admissibility	transfers-unchanged (WS discipline statement; untouched by the extension)	DERIVED	T1:R14 (WS)	banked R14 (WS)	-	POSED_INVERSE_PROBLEM R14
R15	REQUIREMENT	R15_topology_alone_not_matter	extends-with-derived-modification: clause extends verbatim to the angular sector — an angular topology/completion/period label alone must not convert into a source/matter term absent field support (the guard as a requirement instance; any label-to-source content would in any case sit in Stage A3's scope, F-A1)	DERIVED	T1:R15 (GC)	banked R15 (GC)	-	POSED_INVERSE_PROBLEM R15; matter-carrier bedrock
J01	JROW	J01_coherent_coframe	extends: one coherent nondegenerate 4D coframe/metric per D-point — now genuinely (x,t,y,z)-dependent; piecewise configs still excluded	DERIVED	T1:J01	banked J01 (PW)	-	POSED_INVERSE_PROBLEM 3.1
J02	JROW	J02_founded_reciprocal_pair	transfers-unchanged (H fixed; observer typing via readout; the lock's angular behavior derived in A1b/A1c/A1e)	DERIVED	T1:J02	banked J02 (PW)	A1b; A1c; A1e	POSED_INVERSE_PROBLEM 3.1
J03	JROW	J03_pairing_domain	extends: declared pairing structure gains the ANGULAR domain datum — FORCED-CANONICAL (T^2 compact, registered periods, exact orthogonality A3a); the time-domain datum stays branch-dependent supplied structure (T1)	DERIVED (typing)	T1:J03	banked J03 (PW typing)	A3a	T1 TT-4
J04	JROW	J04_additive_log_depth	extends: shift-equivariance angular-extended (A1r: c_E + alpha + field absorptions + (x,z) unit rescale, t,y untouched); bare zero-point still excluded; bare ANGLES also excluded (A1n)	DERIVED	T1:J04	banked J04 (PW)	A1r; A1n	D3; TA-1
J05	JROW	J05_full_tangent_pairing	extends: the full tangent gains delta-m slots (2) and angular-jet components; pair-only rules remain incomplete by typing	DERIVED	T1:J05	banked J05 (PW)	-	POSED_INVERSE_PROBLEM 3.1
J06	JROW	J06_moduli_determination	extends: slot structure transfers (trace-free slot forced as banked, A2c); moduli gain the four-way angular-reading sub-fork; undetermined moduli still retained-and-reported	DERIVED	T1:J06	banked J06 (PW slot + WS determination)	A2c; A1m	Route B T4
J07	JROW	J07_chart_overlap_transition	gains-angular-component (RESTATED — AMENDMENT AM-A): THREE new derived overlap laws — the ABELIAN additive chi-slack cocycle (A1k, the T2i analog), the ABELIAN additive zeta-slack cocycle (A1s4, the fiber-leg analog — the layer the original census missed) and the y-reparametrization CHAIN-RULE cocycle (A1p/A1p2) — ALONGSIDE the banked twisted E08 law and the T1 time-slack law; composition across layers is SEMIDIRECT (psi acts on chi's t-argument A1l; chi/psi act on zeta's y/t-arguments A1s5) and the slacks MOVE the shift row (A1g2 chi; A1s3 zeta): overlap data are now owed as a coupled layered system	DERIVED	T1:J07	banked J07 (GC)	A1k; A1l; A1g2; A1p; A1p2; A1s4; A1s5; A1s3	Route B T3; T1 J07
J08	JROW	J08_completion_descent_data	extends: descent data gain the angular period data O20; spatial completion label c unchanged; the angular directions contribute no completion data (A2b); full-S^3 layer + exotic boundary stay typed seats (A-L1/A-L7)	DERIVED	T1:J08	banked J08 (GC)	A2b	T1 TT-3; A-L7
J09	JROW	J09_null_type_changing_strata	extends: type-changing loci can now be ANGULAR-dependent (angular-varying causal type); the explicit continuation-or-exclusion declaration obligation is unchanged	DERIVED	T1:J09	banked J09 (GC)	-	POSED_INVERSE_PROBLEM 3.1
