p4_item	corpus_result (precise)	machinery	transforms_cleanly	disanalogy	import_risk	attribution_status	notes
gate 5 + gate 4 WS-currents leg	covariant phase space: theta (presymplectic potential) read from the boundary term of delta-L; omega = delta-theta; Lee-Wald 1990 Local symmetries and constraints (JMP 31, 725): constraints correspond to local symmetries; Crnkovic-Witten 1987 (in Three Hundred Years of Gravitation): covariant symplectic construction	symplectic current on jet space; theta -> theta + dY ambiguity; integration over Cauchy surfaces	PARTIAL: the discipline that the boundary term of a variation is STRUCTURED DATA transforms; the symplectic construction itself exists only on the gate-3 LOCALLY-EXACT branch	corpus assumes an action L exists and continuous diffeo covariance; the UDT response may be NONVARIATIONAL (L6 branch fully in scope - then theta does not exist); and constraints-from-symmetries fails where there is no continuous symmetry (Stage-2 vacuity - PROVISIONAL-pending-Stage-2-bank)	AMBER	VERIFIED (Lee-Wald JMP 31, 725 (1990) via AIP; Crnkovic-Witten chapter via nLab/CUP records; checked 2026-07-29)	
R6 wall-data typing vs corner symmetries	corner-charge / corner-symmetry program: codim-2 corner symmetry groups (diffeo-induced) organize gravitational charges (corner proposal literature)	corner symmetry groups; moment maps on corner phase space	MOSTLY NO	the corner symmetry content is generated by diffeomorphisms; on the UDT registered chart the continuous stabilizer is trivial and the residual gauge is discrete K4 - the corner group largely evaporates; what survives is only the jet-pairing census already covered by the GHY row	AMBER	VERIFIED-existence (arXiv:2212.13644 From Asymptotic Symmetries to the Corner Proposal; specific attributions MODEL-KNOWLEDGE)	contrast row
R9 / gate 4 - what charge machinery survives (PROVISIONAL-pending-Stage-2-bank)	Wald-Iyer 1994 Some Properties of Noether Charge and a Proposal for Dynamical Black Hole Entropy (PRD 50, 846-864; gr-qc/9403028): for a diffeo-invariant Lagrangian, J[xi] = theta(delta_xi phi) - i_xi L is closed on shell, J = dQ; entropy = Noether charge at the bifurcation surface; first law from the symplectic identity	Noether's second theorem for local symmetries with arbitrary-function parameters; on-shell dQ decomposition	NO for the charge construction; YES only for the identity-bookkeeping style	the entire machine is anchored on a CONTINUOUS parameter xi; on the UDT registered chart the continuous stabilizer is trivial on GENERIC strata and K4 carries no parameter - per the Stage-2 verifier refinement the pointwise Noether identity set is GENERICALLY EMPTY (exact identities survive on resonance strata; PROVISIONAL-pending-Stage-2-bank; flagged per contract) - generically no xi means no J[xi], no Q; what survives is the WS current-conservation leg (statements ON solutions, gate 4/Stage 3) and the bookkeeping discipline	RED (charge formulas / entropy-as-charge) / AMBER (bookkeeping)	VERIFIED (arXiv gr-qc/9403028; PRD 50, 846 (1994); checked 2026-07-29)	Stage-2 refinement (verifier, 2026-07-29): vacuity is GENERIC-STRATUM-ONLY - on resonance strata (k_mod=0; also C=0 with lambda-/+k_mod in {+-1}) a continuous class-tangent gauge direction survives and imposes exact pointwise identities, e.g. on k_mod=0: -2*k10*r_tf + m00*c10 + m01*c11 - m10*c00 - m11*c01 = 0; the surviving content is stratum-local + discrete-character-graded, not an arbitrary-function Noether-II parameter, so the no-seat reasoning holds GENERICALLY; still PROVISIONAL - re-read after the Stage-2 bank
gate 6 periods; R9	Barnich-Brandt(-Compere): covariant theory of asymptotic symmetries, conservation laws and central charges - asymptotic conserved charges as (n-2)-form/characteristic cohomology classes of the linearized theory at infinity with declared fall-offs	local BRST/characteristic cohomology; asymptotic expansions and fall-off classes	NO for the asymptotic anchor; the cohomological TYPING (charge = pairing of a cohomology class with a cycle) transforms	no infinity exists (finite mirrored cells - CANON); the UDT cycles are INTERNAL to the configuration space (completion-class cycles, K4-orbifold strata, J07 cocycle loops), not spatial asymptotic spheres	RED (asymptotic charge values/fall-offs) / GREEN (cohomological typing)	VERIFIED-existence (paper title via ResearchGate record; journal/year not individually confirmed)	
gate 6 quantized periods	Chern-Simons level quantization: invariance of exp(iS) under large gauge transformations (nontrivial winding) forces the level k into integers (Deser-Jackiw-Templeton, Topologically Massive Gauge Theories; Witten 1989 QFT and the Jones Polynomial)	winding number of large gauge maps; cocycle shift of the action; group-cohomology integrality	the MATHEMATICS transforms (holonomy of a cocycle over nontrivial cycles is classified; quantization = integrality of a cohomology class = gate 6's explicitly-quantized-with-quantum-reported outcome); the MECHANISM does not	the corpus quantization RATIONALE (single-valuedness of a quantum phase exp(iS)) imports a quantum premise UDT has not derived (postulate-A boundary); the UDT torsion part is already proved VACUOUS natively for closed forms (K4 scope note); the live UDT content is the J07 twisted-cocycle holonomy and non-torsion cycles	RED (the exp(iS) argument as a reason) / GREEN (cocycle-holonomy classification)	VERIFIED (DJT and Witten 1989 via nLab Chern-Simons entry and searches; checked 2026-07-29)	gate 6's own discipline already matches: quantization is a report, not a merit judgment
J07/J11 twisted-cocycle holonomy (gate 6 step 3)	group-cohomology classification of twisted 1-cocycles / crossed homomorphisms; monodromy/holonomy representations classified by H^1 with twisted coefficients	twisted cohomology; holonomy classification	YES in type: the banked law L(g2 o g1) = Q(g2)L(g1) + L(g2)rho(g1) is a two-sided twisted 1-cocycle and its loop holonomy is a classification problem of this family	the UDT coefficients are depth-dependent (Q = e^{phi K}, rho = e^{phi H}) so the base is a groupoid over depth, not a fixed group with constant coefficients - the corpus H^1 machinery needs re-derivation on that groupoid	GREEN	MODEL-KNOWLEDGE (standard algebra; no source individually checked - FLAGGED for TG3 use per F-G3)	TG3 shortlist item 4 leans on this row - carries the flag
F-RA1 forcing structure / F-G survey vein 5	Utiyama 1956 Invariant Theoretical Interpretation of Interaction (Phys. Rev. 101(5), 1597-1607): demanding invariance under the LOCALIZED (arbitrary-function) version of a global symmetry group forces introduction of a compensating connection field with determined coupling type	expand delta-L under localized parameter epsilon(x); the coefficient of d-epsilon must cancel, forcing the new field and its coupling	NO for the forcing step; YES for the method style (invariance conditions as functional equations on the Lagrangian family)	UDT has no arbitrary-function parameter to localize: the connected local-Lorentz part has trivial stabilizer on the registered chart (acts as transport) and the residual K4 is discrete - the d-epsilon term never arises so NOTHING is forced to compensate; F-RA1 shows the invariance demand instead lands as CHARACTER MATCHING on an equivariant family (no invariant member exists)	RED (introducing a connection/compensating field) / GREEN (functional-equation method)	VERIFIED (Phys. Rev. 101, 1597 (1956) via OSTI/typeset records; checked 2026-07-29)	TG4 D3: the corpus's gauge-boson-forcing seat is occupied on UDT by the K4 character rule
TB2 equivariant reduction (PROVISIONAL-pending-Stage-2-bank)	invariant-Lagrangian classification theorems (Utiyama-type reduction: invariant Lagrangians are functions of the group invariants of the field content)	orbit/invariant reduction of Lagrangian families	YES, TRANSFORMED: invariant -> relative-invariant with K4 characters - and Stage 2 already executed the transformed version natively (character modules with exhibited bases)	corpus classifies scalar INVARIANT Lagrangians under continuous groups; UDT classifies COMPONENT FAMILIES of a one-form with per-direction characters - richer bookkeeping under a weaker (discrete) group; and the classified object is a response, not a Lagrangian (L6 open)	GREEN	MODEL-KNOWLEDGE (theorem-family attribution unverified)	reference only; the native version is the banked artifact
finite-cell wall data (census rows 16-17; R6; J07 transitions)	Israel 1966 Singular Hypersurfaces and Thin Shells in General Relativity (Nuovo Cimento B 44, 1-14; corrections NCimB 48, 463): across a codim-1 singular hypersurface the induced metric is continuous and the extrinsic-curvature jump satisfies [K_ab] - h_ab[K] = -8*pi*S_ab, derived from the distributional Einstein equations	Gauss-Codazzi decomposition; distributional curvature; two-sided matching of first/second fundamental forms	the DATA-TYPING transforms: which jets are continuous vs may jump across a codim-1 stratum = the wall jet-slot census of gate 5	direction INVERTED: Israel DERIVES junction conditions FROM known field equations; UDT has no equations - the wall typing is a constraint ON the unknown response, an input-side gate; and the UDT wall is a MIRROR (phi -> -phi identification), not a two-sided interface with independent bulks - jump data are parity-locked; the mirror-vs-shift clash and its anchor-absorption resolution (Stage-1 V8) have no corpus counterpart	RED (the [K] = -8*pi*S formula) / GREEN (jet-continuity typing across strata)	VERIFIED (ADS records 1966NCimB..44....1I and 1967NCimB..48..463I; checked 2026-07-29)	nearest corpus cousin for the mirror: Z2-symmetric brane matching (MODEL-KNOWLEDGE, not load-bearing); TG4 D7
P3 boundary-extended pairing; R3 completion arguments; gate 5 data-independence	Calderon 1980 (On an inverse boundary value problem, Rio de Janeiro seminar) posed: does the Dirichlet-to-Neumann map of a conductivity determine the interior coefficient; Sylvester-Uhlmann 1987: uniqueness for smooth conductivities in n>=3 via complex geometric optics solutions	the DtN operator as a complete boundary encoding of interior response; CGO solutions; boundary determination of jets of the coefficient	the TYPING transforms: a finite region's interior response encoded in a boundary operator pairing complementary data-halves - maps onto which wall jets are free vs determined under the P3 stratified pairing	the corpus recovers COEFFICIENTS of a KNOWN linear elliptic law; UDT's unknown is the LAW itself (one level up), nonlinear, possibly nonvariational, with no ellipticity established for any member; mirror parity halves/constrains the admissible boundary data in a way the corpus never treats	GREEN (typing/technique) / RED (any uniqueness-statement/conclusion transfer - F-G1 forbidden answer class)	VERIFIED (Calderon 1980 seminar + Sylvester-Uhlmann 1987 via MSRI survey and searches; checked 2026-07-29)	TG3 shortlist item 5
banked staticity results (round=static; derive-natively scar context)	Jebsen 1921 / Birkhoff 1923: every spherically symmetric solution of the VACUUM Einstein equations is static (Schwarzschild) - symmetry enhancement / rigidity	reduce the metric by symmetry to two functions of (t,r); the reduced vacuum equations force the timelike Killing field	the QUESTION SHAPE transforms: does a given field-equation system force extra rigidity on symmetric solutions - a WS classification tool applicable to R members at Stage 3+	Birkhoff CONSUMES Einstein's vacuum equations; UDT's round-static results were derived natively, and 'vacuum' is the banked SCAR site (assuming the Einstein form forced vacuum = GR); no conclusion transfer is possible before R is found	RED (the conclusion) / GREEN (the symmetry-reduction rigidity test)	VERIFIED (Wikipedia Birkhoff's theorem (relativity); On the discovery of Birkhoff's theorem, Gen. Rel. Grav. 2006 - Jebsen 1921 priority; checked 2026-07-29)	
gate 1 compatibility/overdetermination (Stage-3 handoff note) (PROVISIONAL-pending-Stage-2-bank)	GR initial-data structure: contracted Bianchi identities split the system into constraints + evolution; Fischer-Marsden 1973 (Bull. AMS 79): linearization stability of the Einstein equations; Moncrief 1976 (JMP 17, 1893): linearization stable iff no Killing fields; rigidity detected by the kernel of the adjoint linearized constraint operator	3+1 split; adjoint-kernel analysis of the constraint map; elliptic splittings	the adjoint-kernel/integrability machinery transforms as gate-1 step 3: compute the compatibility complex of {R_i = 0} EXPLICITLY	GR's constraint split is BORN from continuous diffeo gauge (Noether II); on UDT (PROVISIONAL Stage-2 GENERIC vacuity) there is no continuous gauge on generic strata, so possibly NO forced constraint split exists there - the system may be fully determined GENERICALLY, a structural regime GR never occupies; the corpus step 'constraints exist automatically' fails generically and the Stage-3 handoff flags exactly this (no assumed Bianchi-type identities)	GREEN (adjoint-kernel/integrability technique) / RED (assuming a constraint split exists)	VERIFIED (Fischer-Marsden Bull. AMS 79 (1973) via AMS full text; Moncrief JMP 17, 1893 via AIP; Arms-Marsden 1979 via Caltech record; checked 2026-07-29)	TG3 shortlist item 3; TG4 D2; Stage-2 refinement (verifier, 2026-07-29): vacuity is GENERIC-STRATUM-ONLY - on resonance strata (k_mod=0; also C=0 with lambda-/+k_mod in {+-1}) the surviving exact identities reintroduce a constraint seat (stratum-local, discrete-character-graded, not a Bianchi-type tower); fully-determined holds at most on generic strata (PROVISIONAL-pending-Stage-2-bank)
Stage 3+ WS existence questions (R5; gate 1 solutions)	Corvino-Schoen-type gluing: localized deformations and gluing of constraint-equation solutions using underdetermined-elliptic surjectivity in weighted spaces	underdetermined ellipticity of the constraint operator; weighted function spaces; localized deformation	POSSIBLY LATER - only once a candidate system exists and its symbol is known	machinery leans on the SPECIFIC constraint operator's underdetermined ellipticity (unknown for any R member) and typically glues at asymptotic ends (absent: finite cells)	AMBER	MODEL-KNOWLEDGE (Corvino/Corvino-Schoen attribution unverified - flagged)	parked; not shortlisted
finite-cell canon (no spatial infinity) - NAMED CONTRAST	Fefferman-Graham 1985: conformally compact (asymptotically hyperbolic/Einstein) metrics admit an asymptotic expansion off conformal infinity; boundary conformal class + the order-n coefficient parametrize the bulk (complete proofs in the 2007 Ambient Metric book)	formal expansion at a conformal boundary; the ambient metric construction	NO - carried as a named CONTRAST	the machinery's SEAT (conformal infinity) does not exist on UDT (finite mirrored cells - CANON); the analog question - which wall data parametrize interior solutions - must be posed as a mirror/two-point boundary problem (DtN-flavored), never as an expansion at infinity	RED (any asymptotic-expansion import)	VERIFIED (1985 construction + 2007 completion via INSPIRE/arXiv records; checked 2026-07-29)	purpose: stop silent application of asymptotic machinery (this row guards rows 14 and 24-adjacent uses)
R15 topology-alone-is-not-matter	Wheeler 1955 Geons (Phys. Rev. 97, 511-536): electromagnetic wave configurations self-trapped by their own gravitational field - localized mass-energy from FIELD SUPPORT, quasi-stable, no material source	effective-potential confinement analysis of waves on self-consistent backgrounds	the LESSON SHAPE is consonant with R15's honesty condition: localized mass requires field support, not a topological label alone	geon analyses consume the Einstein equations plus asymptotic mass definitions (ADM-type); UDT mass enters only through R5's same-solution finite-cell relation; topological-geon extensions (labels without local charge) are precisely the configuration R15 polices against converting into a source	GREEN (as reference)	VERIFIED (Phys. Rev. 97, 511 (1955) via CoLab/Wikipedia records; checked 2026-07-29)	thin row - honest
E11 / R7(a) equivariance quotient	tetrad/first-order formulations of GR: local Lorentz SO(1,3) acts on frames as a 6-parameter gauge everywhere; invariance of the action demanded; second Noether identities follow	frame-bundle gauge fixing; Lorentz-covariant variational calculus	PARTIAL: the transport law T -> Lambda^{-T} T Lambda^{-1} is the shared vocabulary	in tetrad GR the continuous local Lorentz gauge acts nontrivially at every point with identities to match; on the UDT registered positive-triangular chart the continuous stabilizer is TRIVIAL (equivariance = transport/extension, no pointwise constraint) and the residual is the exact discrete K4 - the corpus's gauge-fixing problematic (Gribov-type, ghosts) has no seat	GREEN (vocabulary) / AMBER (any identity-count transfer)	MODEL-KNOWLEDGE (standard formulation; no source checked)	
