family_id	motif	gradient_incidence	configurations
M10_H_RG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M10_H_RG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M10_H_RG	TWO_PLUS_TWO_LINES	SPLIT_ACROSS_BOTH_PLANES	384
M11_R_H_RG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M11_R_H_RG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M11_R_H_RG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M11_R_H_RG	TWO_PLUS_TWO_LINES	SPLIT_ACROSS_BOTH_PLANES	384
M12_D_RG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M12_D_RG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M12_D_RG	LINE_PLUS_THREE	NO_UNIQUE_SPLIT	384
M12_D_RG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M13_R_D_RG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M13_R_D_RG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M13_R_D_RG	LINE_PLUS_THREE	NO_UNIQUE_SPLIT	384
M13_R_D_RG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M14_H_D_RG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	3072
M14_H_D_RG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M14_H_D_RG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M15_R_H_D_RG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	3072
M15_R_H_D_RG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M15_R_H_D_RG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M16_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M16_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M16_WG	SCALAR_4_AMBIGUITY	NO_UNIQUE_SPLIT	384
M16_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M17_R_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M17_R_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M17_R_WG	SCALAR_4_AMBIGUITY	NO_UNIQUE_SPLIT	384
M17_R_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M18_H_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M18_H_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M18_H_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M18_H_WG	TWO_PLUS_TWO_LINES	SPLIT_ACROSS_BOTH_PLANES	384
M19_R_H_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M19_R_H_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M19_R_H_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M19_R_H_WG	TWO_PLUS_TWO_LINES	SPLIT_ACROSS_BOTH_PLANES	384
M20_D_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M20_D_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M20_D_WG	LINE_PLUS_THREE	NO_UNIQUE_SPLIT	384
M20_D_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M21_R_D_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M21_R_D_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M21_R_D_WG	LINE_PLUS_THREE	NO_UNIQUE_SPLIT	384
M21_R_D_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M22_H_D_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	3072
M22_H_D_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M22_H_D_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M23_R_H_D_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	3072
M23_R_H_D_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M23_R_H_D_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M24_RG_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M24_RG_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M24_RG_WG	SCALAR_4_AMBIGUITY	NO_UNIQUE_SPLIT	384
M24_RG_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M25_R_RG_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M25_R_RG_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M25_R_RG_WG	SCALAR_4_AMBIGUITY	NO_UNIQUE_SPLIT	384
M25_R_RG_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M26_H_RG_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M26_H_RG_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M26_H_RG_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M26_H_RG_WG	TWO_PLUS_TWO_LINES	SPLIT_ACROSS_BOTH_PLANES	384
M27_R_H_RG_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M27_R_H_RG_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M27_R_H_RG_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M27_R_H_RG_WG	TWO_PLUS_TWO_LINES	SPLIT_ACROSS_BOTH_PLANES	384
M28_D_RG_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M28_D_RG_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M28_D_RG_WG	LINE_PLUS_THREE	NO_UNIQUE_SPLIT	384
M28_D_RG_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M29_R_D_RG_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M29_R_D_RG_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M29_R_D_RG_WG	LINE_PLUS_THREE	NO_UNIQUE_SPLIT	384
M29_R_D_RG_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M30_H_D_RG_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	3072
M30_H_D_RG_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M30_H_D_RG_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M31_R_H_D_RG_WG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	3072
M31_R_H_D_RG_WG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M31_R_H_D_RG_WG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
