configuration_id	family_id	original_numeric_status	original_discordant_fields	transformed_accounting_discordances	result
V007_M1_B2_P2	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
V007_M1_B2_P2	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
V007_M2_B2_P2	M01_R	NUMERIC_UNCERTAIN			PASS
V007_M2_B2_P2	M03_R_H	NUMERIC_UNCERTAIN			PASS
V007_M2_B2_P2	M05_R_D	NUMERIC_UNCERTAIN			PASS
V007_M2_B2_P2	M07_R_H_D	NUMERIC_UNCERTAIN			PASS
V007_M9_B2_P2	M08_RG	NUMERIC_CLASSIFIED			PASS
V007_M9_B2_P2	M09_R_RG	NUMERIC_CLASSIFIED			PASS
V007_M9_B2_P2	M10_H_RG	NUMERIC_CLASSIFIED			PASS
V007_M9_B2_P2	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
V007_M9_B2_P2	M12_D_RG	NUMERIC_CLASSIFIED			PASS
V007_M9_B2_P2	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
V007_M9_B2_P2	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
V007_M9_B2_P2	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
V007_MA_B2_P2	M01_R	NUMERIC_UNCERTAIN			PASS
V009_MB_B0_P4	M06_H_D	NUMERIC_UNCERTAIN			PASS
V010_M9_B0_P4	M06_H_D	NUMERIC_CLASSIFIED			PASS
V010_MF_B0_P4	M05_R_D	NUMERIC_CLASSIFIED			PASS
V011_MD_B3_P7	M06_H_D	NUMERIC_UNCERTAIN			PASS
V011_MF_B0_P0	M06_H_D	NUMERIC_CLASSIFIED			PASS
V013_M1_B2_P2	M08_RG	NUMERIC_CLASSIFIED			PASS
V013_M1_B2_P2	M09_R_RG	NUMERIC_CLASSIFIED			PASS
V013_M1_B2_P2	M10_H_RG	NUMERIC_CLASSIFIED			PASS
V013_M1_B2_P2	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
V013_M1_B2_P2	M12_D_RG	NUMERIC_CLASSIFIED			PASS
V013_M1_B2_P2	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
V013_M1_B2_P2	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
V013_M1_B2_P2	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
V013_M9_B2_P2	M08_RG	NUMERIC_CLASSIFIED			PASS
V013_M9_B2_P2	M09_R_RG	NUMERIC_CLASSIFIED			PASS
V013_M9_B2_P2	M10_H_RG	NUMERIC_CLASSIFIED			PASS
V013_M9_B2_P2	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
V013_M9_B2_P2	M12_D_RG	NUMERIC_CLASSIFIED			PASS
V013_M9_B2_P2	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
V013_M9_B2_P2	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
V013_M9_B2_P2	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
V014_MB_B1_P5	M06_H_D	NUMERIC_UNCERTAIN			PASS
