first_family_id	second_family_id	configurations
M13_R_D_RG	M17_R_WG	5760
M13_R_D_RG	M18_H_WG	5760
M13_R_D_RG	M19_R_H_WG	5760
M13_R_D_RG	M20_D_WG	6144
M13_R_D_RG	M21_R_D_WG	6144
M13_R_D_RG	M22_H_D_WG	5760
M13_R_D_RG	M23_R_H_D_WG	5760
M13_R_D_RG	M24_RG_WG	5760
M13_R_D_RG	M25_R_RG_WG	5760
M13_R_D_RG	M26_H_RG_WG	5760
M13_R_D_RG	M27_R_H_RG_WG	5760
M13_R_D_RG	M28_D_RG_WG	6144
M13_R_D_RG	M29_R_D_RG_WG	6144
M13_R_D_RG	M30_H_D_RG_WG	5760
M13_R_D_RG	M31_R_H_D_RG_WG	5760
M14_H_D_RG	M15_R_H_D_RG	6144
M14_H_D_RG	M16_WG	5760
M14_H_D_RG	M17_R_WG	5760
M14_H_D_RG	M18_H_WG	5760
M14_H_D_RG	M19_R_H_WG	5760
M14_H_D_RG	M20_D_WG	5760
M14_H_D_RG	M21_R_D_WG	5760
M14_H_D_RG	M22_H_D_WG	6144
M14_H_D_RG	M23_R_H_D_WG	6144
M14_H_D_RG	M24_RG_WG	5760
M14_H_D_RG	M25_R_RG_WG	5760
M14_H_D_RG	M26_H_RG_WG	5760
M14_H_D_RG	M27_R_H_RG_WG	5760
M14_H_D_RG	M28_D_RG_WG	5760
M14_H_D_RG	M29_R_D_RG_WG	5760
M14_H_D_RG	M30_H_D_RG_WG	6144
M14_H_D_RG	M31_R_H_D_RG_WG	6144
M15_R_H_D_RG	M16_WG	5760
M15_R_H_D_RG	M17_R_WG	5760
M15_R_H_D_RG	M18_H_WG	5760
M15_R_H_D_RG	M19_R_H_WG	5760
M15_R_H_D_RG	M20_D_WG	5760
M15_R_H_D_RG	M21_R_D_WG	5760
M15_R_H_D_RG	M22_H_D_WG	6144
M15_R_H_D_RG	M23_R_H_D_WG	6144
M15_R_H_D_RG	M24_RG_WG	5760
M15_R_H_D_RG	M25_R_RG_WG	5760
M15_R_H_D_RG	M26_H_RG_WG	5760
M15_R_H_D_RG	M27_R_H_RG_WG	5760
M15_R_H_D_RG	M28_D_RG_WG	5760
M15_R_H_D_RG	M29_R_D_RG_WG	5760
M15_R_H_D_RG	M30_H_D_RG_WG	6144
M15_R_H_D_RG	M31_R_H_D_RG_WG	6144
M16_WG	M17_R_WG	6144
M16_WG	M18_H_WG	5760
M16_WG	M19_R_H_WG	5760
M16_WG	M20_D_WG	5760
M16_WG	M21_R_D_WG	5760
M16_WG	M22_H_D_WG	5760
M16_WG	M23_R_H_D_WG	5760
M16_WG	M24_RG_WG	6144
M16_WG	M25_R_RG_WG	6144
M16_WG	M26_H_RG_WG	5760
M16_WG	M27_R_H_RG_WG	5760
M16_WG	M28_D_RG_WG	5760
M16_WG	M29_R_D_RG_WG	5760
M16_WG	M30_H_D_RG_WG	5760
M16_WG	M31_R_H_D_RG_WG	5760
M17_R_WG	M18_H_WG	5760
M17_R_WG	M19_R_H_WG	5760
M17_R_WG	M20_D_WG	5760
M17_R_WG	M21_R_D_WG	5760
M17_R_WG	M22_H_D_WG	5760
M17_R_WG	M23_R_H_D_WG	5760
M17_R_WG	M24_RG_WG	6144
M17_R_WG	M25_R_RG_WG	6144
M17_R_WG	M26_H_RG_WG	5760
M17_R_WG	M27_R_H_RG_WG	5760
M17_R_WG	M28_D_RG_WG	5760
M17_R_WG	M29_R_D_RG_WG	5760
M17_R_WG	M30_H_D_RG_WG	5760
M17_R_WG	M31_R_H_D_RG_WG	5760
M18_H_WG	M19_R_H_WG	6144
M18_H_WG	M20_D_WG	5760
M18_H_WG	M21_R_D_WG	5760
M18_H_WG	M22_H_D_WG	5760
M18_H_WG	M23_R_H_D_WG	5760
M18_H_WG	M24_RG_WG	5760
M18_H_WG	M25_R_RG_WG	5760
M18_H_WG	M26_H_RG_WG	6144
M18_H_WG	M27_R_H_RG_WG	6144
M18_H_WG	M28_D_RG_WG	5760
M18_H_WG	M29_R_D_RG_WG	5760
M18_H_WG	M30_H_D_RG_WG	5760
M18_H_WG	M31_R_H_D_RG_WG	5760
M19_R_H_WG	M20_D_WG	5760
M19_R_H_WG	M21_R_D_WG	5760
M19_R_H_WG	M22_H_D_WG	5760
M19_R_H_WG	M23_R_H_D_WG	5760
M19_R_H_WG	M24_RG_WG	5760
M19_R_H_WG	M25_R_RG_WG	5760
M19_R_H_WG	M26_H_RG_WG	6144
M19_R_H_WG	M27_R_H_RG_WG	6144
M19_R_H_WG	M28_D_RG_WG	5760
M19_R_H_WG	M29_R_D_RG_WG	5760
M19_R_H_WG	M30_H_D_RG_WG	5760
M19_R_H_WG	M31_R_H_D_RG_WG	5760
M20_D_WG	M21_R_D_WG	6144
M20_D_WG	M22_H_D_WG	5760
M20_D_WG	M23_R_H_D_WG	5760
M20_D_WG	M24_RG_WG	5760
M20_D_WG	M25_R_RG_WG	5760
M20_D_WG	M26_H_RG_WG	5760
M20_D_WG	M27_R_H_RG_WG	5760
M20_D_WG	M28_D_RG_WG	6144
M20_D_WG	M29_R_D_RG_WG	6144
M20_D_WG	M30_H_D_RG_WG	5760
M20_D_WG	M31_R_H_D_RG_WG	5760
M21_R_D_WG	M22_H_D_WG	5760
M21_R_D_WG	M23_R_H_D_WG	5760
M21_R_D_WG	M24_RG_WG	5760
M21_R_D_WG	M25_R_RG_WG	5760
M21_R_D_WG	M26_H_RG_WG	5760
M21_R_D_WG	M27_R_H_RG_WG	5760
M21_R_D_WG	M28_D_RG_WG	6144
M21_R_D_WG	M29_R_D_RG_WG	6144
M21_R_D_WG	M30_H_D_RG_WG	5760
M21_R_D_WG	M31_R_H_D_RG_WG	5760
M22_H_D_WG	M23_R_H_D_WG	6144
M22_H_D_WG	M24_RG_WG	5760
M22_H_D_WG	M25_R_RG_WG	5760
M22_H_D_WG	M26_H_RG_WG	5760
M22_H_D_WG	M27_R_H_RG_WG	5760
M22_H_D_WG	M28_D_RG_WG	5760
M22_H_D_WG	M29_R_D_RG_WG	5760
M22_H_D_WG	M30_H_D_RG_WG	6144
M22_H_D_WG	M31_R_H_D_RG_WG	6144
M23_R_H_D_WG	M24_RG_WG	5760
M23_R_H_D_WG	M25_R_RG_WG	5760
M23_R_H_D_WG	M26_H_RG_WG	5760
M23_R_H_D_WG	M27_R_H_RG_WG	5760
M23_R_H_D_WG	M28_D_RG_WG	5760
M23_R_H_D_WG	M29_R_D_RG_WG	5760
M23_R_H_D_WG	M30_H_D_RG_WG	6144
M23_R_H_D_WG	M31_R_H_D_RG_WG	6144
M24_RG_WG	M25_R_RG_WG	6144
M24_RG_WG	M26_H_RG_WG	5760
M24_RG_WG	M27_R_H_RG_WG	5760
M24_RG_WG	M28_D_RG_WG	5760
M24_RG_WG	M29_R_D_RG_WG	5760
M24_RG_WG	M30_H_D_RG_WG	5760
M24_RG_WG	M31_R_H_D_RG_WG	5760
M25_R_RG_WG	M26_H_RG_WG	5760
M25_R_RG_WG	M27_R_H_RG_WG	5760
M25_R_RG_WG	M28_D_RG_WG	5760
M25_R_RG_WG	M29_R_D_RG_WG	5760
M25_R_RG_WG	M30_H_D_RG_WG	5760
M25_R_RG_WG	M31_R_H_D_RG_WG	5760
M26_H_RG_WG	M27_R_H_RG_WG	6144
M26_H_RG_WG	M28_D_RG_WG	5760
M26_H_RG_WG	M29_R_D_RG_WG	5760
M26_H_RG_WG	M30_H_D_RG_WG	5760
M26_H_RG_WG	M31_R_H_D_RG_WG	5760
M27_R_H_RG_WG	M28_D_RG_WG	5760
M27_R_H_RG_WG	M29_R_D_RG_WG	5760
M27_R_H_RG_WG	M30_H_D_RG_WG	5760
M27_R_H_RG_WG	M31_R_H_D_RG_WG	5760
M28_D_RG_WG	M29_R_D_RG_WG	6144
M28_D_RG_WG	M30_H_D_RG_WG	5760
M28_D_RG_WG	M31_R_H_D_RG_WG	5760
M29_R_D_RG_WG	M30_H_D_RG_WG	5760
M29_R_D_RG_WG	M31_R_H_D_RG_WG	5760
M30_H_D_RG_WG	M31_R_H_D_RG_WG	6144
