configuration_id	probe	family_id	detail
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
R12_1_ME_B1_P1	ORIGINAL	M05_R_D	NUMERIC_UNCERTAIN
R12_1_ME_B1_P1	N01_IDENTITY_NONLINEAR	M05_R_D	motif;numeric_status
R12_1_ME_B1_P1	N02_CROSS_NONLINEAR	M05_R_D	motif;numeric_status
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
R10_3_ME_B1_P5	N02_CROSS_NONLINEAR	M06_H_D	motif;numeric_status
V014_MB_B1_P5	ORIGINAL	M06_H_D	NUMERIC_UNCERTAIN
V014_MB_B1_P5	N01_IDENTITY_NONLINEAR	M06_H_D	NUMERIC_MARGIN
V014_MB_B1_P5	N02_CROSS_NONLINEAR	M06_H_D	NUMERIC_MARGIN
R13_1_ME_B2_P2	ORIGINAL	M05_R_D	NUMERIC_UNCERTAIN
R13_1_ME_B2_P2	N01_IDENTITY_NONLINEAR	M05_R_D	NUMERIC_MARGIN
R13_1_ME_B2_P2	N02_CROSS_NONLINEAR	M05_R_D	NUMERIC_MARGIN
R00_3_MC_B2_P2	N01_IDENTITY_NONLINEAR	M05_R_D	motif;numeric_status
V007_M1_B2_P2	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
V007_M1_B2_P2	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
V007_M1_B2_P2	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
V007_M1_B2_P2	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
V007_M1_B2_P2	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
V007_M1_B2_P2	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
V007_M1_B2_P2	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
V007_M1_B2_P2	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
V007_M2_B2_P2	ORIGINAL	M01_R	NUMERIC_UNCERTAIN
V007_M2_B2_P2	ORIGINAL	M03_R_H	NUMERIC_UNCERTAIN
V007_M2_B2_P2	ORIGINAL	M05_R_D	NUMERIC_UNCERTAIN
V007_M2_B2_P2	ORIGINAL	M07_R_H_D	NUMERIC_UNCERTAIN
V007_M2_B2_P2	N01_IDENTITY_NONLINEAR	M01_R	NUMERIC_MARGIN
V007_M2_B2_P2	N01_IDENTITY_NONLINEAR	M03_R_H	NUMERIC_MARGIN
V007_M2_B2_P2	N01_IDENTITY_NONLINEAR	M05_R_D	NUMERIC_MARGIN
V007_M2_B2_P2	N01_IDENTITY_NONLINEAR	M07_R_H_D	NUMERIC_MARGIN
V007_M2_B2_P2	N02_CROSS_NONLINEAR	M01_R	NUMERIC_MARGIN
V007_M2_B2_P2	N02_CROSS_NONLINEAR	M03_R_H	NUMERIC_MARGIN
V007_M2_B2_P2	N02_CROSS_NONLINEAR	M05_R_D	NUMERIC_MARGIN
V007_M2_B2_P2	N02_CROSS_NONLINEAR	M07_R_H_D	NUMERIC_MARGIN
V007_M9_B2_P2	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
V007_M9_B2_P2	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
V007_M9_B2_P2	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
V007_M9_B2_P2	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
V007_M9_B2_P2	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
V007_M9_B2_P2	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
V007_M9_B2_P2	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
V007_M9_B2_P2	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
V007_MA_B2_P2	ORIGINAL	M01_R	NUMERIC_UNCERTAIN
V007_MA_B2_P2	N01_IDENTITY_NONLINEAR	M01_R	NUMERIC_MARGIN
V007_MA_B2_P2	N02_CROSS_NONLINEAR	M01_R	NUMERIC_MARGIN
V013_M1_B2_P2	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
V013_M1_B2_P2	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
V013_M1_B2_P2	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
V013_M1_B2_P2	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
V013_M1_B2_P2	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
V013_M1_B2_P2	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
V013_M1_B2_P2	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
V013_M1_B2_P2	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
V013_M9_B2_P2	N02_CROSS_NONLINEAR	M08_RG	motif;numeric_status
V013_M9_B2_P2	N02_CROSS_NONLINEAR	M09_R_RG	motif;numeric_status
V013_M9_B2_P2	N02_CROSS_NONLINEAR	M10_H_RG	motif;numeric_status
V013_M9_B2_P2	N02_CROSS_NONLINEAR	M11_R_H_RG	motif;numeric_status
V013_M9_B2_P2	N02_CROSS_NONLINEAR	M12_D_RG	motif;numeric_status
V013_M9_B2_P2	N02_CROSS_NONLINEAR	M13_R_D_RG	motif;numeric_status
V013_M9_B2_P2	N02_CROSS_NONLINEAR	M14_H_D_RG	motif;numeric_status
V013_M9_B2_P2	N02_CROSS_NONLINEAR	M15_R_H_D_RG	motif;numeric_status
R01_1_MB_B3_P7	ORIGINAL	M05_R_D	NUMERIC_UNCERTAIN
R01_1_MB_B3_P7	N01_IDENTITY_NONLINEAR	M05_R_D	motif;numeric_status
R01_1_MB_B3_P7	N02_CROSS_NONLINEAR	M05_R_D	motif;numeric_status
R04_1_MC_B3_P7	ORIGINAL	M06_H_D	NUMERIC_UNCERTAIN
R04_1_MC_B3_P7	N01_IDENTITY_NONLINEAR	M06_H_D	NUMERIC_MARGIN
R04_1_MC_B3_P7	N02_CROSS_NONLINEAR	M06_H_D	motif;numeric_status
R10_3_MF_B3_P7	ORIGINAL	M05_R_D	NUMERIC_UNCERTAIN
R10_3_MF_B3_P7	N01_IDENTITY_NONLINEAR	M05_R_D	NUMERIC_MARGIN
R10_3_MF_B3_P7	N02_CROSS_NONLINEAR	M05_R_D	NUMERIC_MARGIN
V011_MD_B3_P7	ORIGINAL	M06_H_D	NUMERIC_UNCERTAIN
V011_MD_B3_P7	N01_IDENTITY_NONLINEAR	M06_H_D	NUMERIC_MARGIN
V011_MD_B3_P7	N02_CROSS_NONLINEAR	M06_H_D	NUMERIC_MARGIN
