family_id	axis_id	axis	axis_status	finding	source_basis
F04	A10	EXACT_RELATIONS	SEPARATE_MODEL_STREAM	no derived injection or projection joins this model to the P4 field space	A06-A08;A14-A15
F05	A01	FIELD_CONFIGURATION_IDENTITY	CROSS_CUTTING_CLASS	completion and period classes over P4 configurations, not an independent field set	A04-A05;A13
F05	A02	GOVERNING_EQUATION_RESPONSE	STRUCTURAL_ONLY	period and holonomy constraints supply no response or stability functional	A04-A05;A13
F05	A03	DOMAIN_CHART_COMPLETION	COMPLETION_TAXONOMY	acyclic, cyclic, and quotient completions with real-period tests	A04-A05;A13
F05	A04	BOUNDARY_POSTURE	SEAM_DATA	closure/posture data classify completion but do not select a physical boundary	A04-A05;A13
F05	A05	TANGENT_VARIATION_DOMAIN	ABSENT	no family-owned perturbation domain exists because this is not a response family	A04-A05;A13
F05	A06	CARRIER_TOPOLOGY	NO_CARRIER	cycle and holonomy structure do not derive a matter carrier	A04-A05;A13
F05	A07	DYNAMICAL_CHARACTER	NON_DYNAMICAL	global completion classifier only	A04-A05;A13
F05	A08	PREMISE_STACK	CONDITIONAL_P4	inherits the conditional P4 construction and completion premises	A04-A05;A13
F05	A09	SOURCE_COMMIT_LINEAGE	LINEAGE_FIXED	introduced by the P4 period-gate package	A04-A05;A13
F05	A10	EXACT_RELATIONS	CONSTRAINT_ON_REGISTERED_BRANCHES	constrains F01/F02 completion branches and contributes scoped negatives collected in F06; no whole-label F03 map is derived	A04-A05;A13
F06	A01	FIELD_CONFIGURATION_IDENTITY	EMPTY_SCOPES	no configurations survive in the registered massive cyclic-N1 and double-crease scopes	A01-A05;A18
F06	A02	GOVERNING_EQUATION_RESPONSE	INHERITED_CONSTRAINTS	emptiness follows P4 closure and wall-trace equations, not a stability response	A01-A05;A18
F06	A03	DOMAIN_CHART_COMPLETION	SCOPED_COMPLETIONS	massive cyclic N1 and double-crease premise domains only	A01-A05;A18
F06	A04	BOUNDARY_POSTURE	ELIMINATING_TRACES	closure and wall traces eliminate the scoped candidate loci	A01-A05;A18
F06	A05	TANGENT_VARIATION_DOMAIN	NOT_APPLICABLE	an empty configuration set has no stability tangent space	A01-A05;A18
F06	A06	CARRIER_TOPOLOGY	NONE	no carrier or topology is selected	A01-A05;A18
F06	A07	DYNAMICAL_CHARACTER	NOT_APPLICABLE	no solution exists in scope to evolve	A01-A05;A18
F06	A08	PREMISE_STACK	PREMISE_SCOPED_NEGATIVE	exact only under the registered mass, closure, and crease premises	A01-A05;A18
F06	A09	SOURCE_COMMIT_LINEAGE	LINEAGE_FIXED	P4 stability and period-gate lineages	A01-A05;A18
F06	A10	EXACT_RELATIONS	EMPTY_SCOPE_UNION	separate exact negative scopes grouped operationally; no one-parent containment theorem	A01-A05;A18
F07	A01	FIELD_CONFIGURATION_IDENTITY	PARTIAL_FORMAL_MODULES	static, time, and angular modules are separately written but no common field is owned	A08-A11;A13
F07	A02	GOVERNING_EQUATION_RESPONSE	WHOLE_EQUATION_OPEN	restriction equations exist; a native complete equation does not	A08-A11;A13
F07	A03	DOMAIN_CHART_COMPLETION	FORMAL_RESTRICTIONS	module domains are formal and a complete finite-cell realization remains open	A08-A11;A13
F07	A04	BOUNDARY_POSTURE	OPEN	no compatible differentiable physical boundary has been derived	A08-A11;A13
F07	A05	TANGENT_VARIATION_DOMAIN	UNDEFINED_FOR_REALIZED_SET	no base realization exists on which to define the full tangent space	A08-A11;A13
F07	A06	CARRIER_TOPOLOGY	NO_COMPLETE_OWNERSHIP	formal angular structure does not select a carrier or topology	A08-A11;A13
F07	A07	DYNAMICAL_CHARACTER	FORMAL_TIME_LABELS_ONLY	time labels are not physical persistence or a time-live solution	A08-A11;A13
F07	A08	PREMISE_STACK	COMMON_STACK_PARTIAL	field equation, boundary, tangent domain, and common premise stack remain open	A08-A11;A13
F07	A09	SOURCE_COMMIT_LINEAGE	LINEAGE_FIXED	stability-foundations and joint-realization audit lineages	A08-A11;A13
F07	A10	EXACT_RELATIONS	FORMAL_EMBEDDINGS_ONLY	no constructive common nonzero on-shell object is established	A08-A11;A13
