id	v_minus	v_plus	cap_determinant	free_unoriented_line_1	free_unoriented_line_2	free_line_count
C0085	1,1	-2,-1	1	1,0	3,2	2
C0086	1,1	-1,-2	-1	0,1	2,3	2
C0087	1,1	-1,0	1	0,1	2,1	2
C0088	1,1	0,-1	-1	1,0	1,2	2
C0089	1,1	0,1	1	1,0	1,2	2
C0090	1,1	1,0	-1	0,1	2,1	2
C0091	1,1	1,2	1	0,1	2,3	2
C0092	1,1	2,1	-1	1,0	3,2	2
C0093	1,2	-1,-1	1	0,1	2,3	2
C0094	1,2	0,-1	-1	1,1	1,3	2
C0095	1,2	0,1	1	1,1	1,3	2
C0096	1,2	1,1	-1	0,1	2,3	2
C0097	2,-1	-1,0	-1	1,-1	3,-1	2
C0098	2,-1	-1,1	1	1,0	3,-2	2
C0099	2,-1	1,-1	-1	1,0	3,-2	2
C0100	2,-1	1,0	1	1,-1	3,-1	2
C0101	2,1	-1,-1	-1	1,0	3,2	2
C0102	2,1	-1,0	1	1,1	3,1	2
C0103	2,1	1,0	-1	1,1	3,1	2
C0104	2,1	1,1	1	1,0	3,2	2
