slot_id	facet	query_bundle_status	spacetime_descent	section_requirement	variation_or_ownership	primary_class
L03	ambient_metric_law	CAN_BE_PULLED_BACK_BASICALLY	POSSIBLE_COVARIANT_LAW_TYPE_ON_M	NONE	NATIVE_OPERATOR_STILL_OPEN	SPACETIME_BASIC_NO_SECTION
L03	query_bundle_law	POSSIBLE_EQUIVARIANT_OPERATOR_ON_P	NOT_A_SPACETIME_TENSOR_UNLESS_BASIC	NONE_FOR_QUERY_INTERPRETATION	PHYSICAL_MEANING_AND_CODOMAIN_OPEN	QUERY_LAW_NO_SECTION
L03	projected_response	WELL_TYPED_PER_PAIR	NO_GENERIC_BASIC_DESCENT	SECTION_OR_QUERY_INTERPRETATION	RESPONSE_OWNERSHIP_OPEN	QUERY_EQUIVARIANT_NOT_BASIC
L03	fiber_aggregation	NOT_REGISTERED	NO_DERIVED_DESCENT	NATIVE_MEASURE_RULE_COULD_REPLACE_SECTION_IF_DERIVED	FORBIDDEN_TO_INVENT	FIBER_AGGREGATION_OPEN
L04	ambient_causal_data	CAN_BE_DEFINED_FROM_g_AND_NATIVE_LAW_IF_FOUND	POSSIBLE_ON_M	NONE	CAUSAL_BRANCH_AND_CONSTRAINT_LAW_OPEN	SPACETIME_BASIC_NO_SECTION
L04	pair_projected_data	WELL_TYPED_PER_QUERY_PAIR	PAIR_DEPENDENT_GENERICALLY	SECTION_OR_QUERY_INTERPRETATION	NOT_INITIAL_DATA_UNTIL_LAW_TYPED	QUERY_EQUIVARIANT_NOT_BASIC
L04	realized_section_initial_data	CONDITIONAL_FIELD_ARCHITECTURE	SPACETIME_DATA_IF_SECTION_FIELD_SELECTED	REALIZED_SECTION	CONSTRAINT_AND_GAUGE_CONTENT_OPEN	REALIZED_SECTION_REQUIRED
L04	stratified_selector_data	RETAINED_AS_ATLAS_OR_SET	NO_UNIQUE_SMOOTH_EVOLUTION_VARIABLE	STRATIFIED_RULE	CROSSING_LAW_OPEN	STRATIFIED_RULE_REQUIRED
L05	base_boundary	QUERY_PULLBACK_AVAILABLE	BOUNDARY_M_DATA_IF_BOUNDARY_SUPPLIED	NONE	BOUNDARY_FUNCTIONAL_OPEN	SPACETIME_BOUNDARY_NO_SECTION
L05	query_bundle_boundary	pi_inverse_boundary_M_IS_TYPED	NOT_A_REALIZED_POLARIZATION	NONE	QUERY_BOUNDARY_DATA	QUERY_CONTAINER_NO_SECTION
L05	pair_polarization	WELL_TYPED_PER_PAIR	PAIR_DEPENDENT_GENERICALLY	SECTION_OR_QUERY_INTERPRETATION	BOUNDARY_VARIATION_OPEN	QUERY_EQUIVARIANT_NOT_BASIC
L05	section_boundary	CONDITIONAL_PULLBACK	SPACETIME_BOUNDARY_FIELD_IF_SECTION_SELECTED	REALIZED_OR_BRANCH_SECTION	SECTION_BOUNDARY_CONDITION_OPEN	REALIZED_SECTION_REQUIRED
L05	collision_boundary	STRATIFIED_QUERY_DATA_RETAINED	NO_UNIQUE_SMOOTH_POLARIZATION	STRATIFIED_RULE	CORNER_SEAM_VARIATION_OPEN	STRATIFIED_RULE_REQUIRED
L06	ambient_global_observable	PULLBACK_AVAILABLE	CAN_BE_PAIR_INDEPENDENT_ON_COMPLETE_SOLUTION	NONE	NATIVE_GLOBAL_OBSERVABLE_STILL_OPEN	SPACETIME_BASIC_NO_SECTION
L06	query_family_return	CAN_MAP_EACH_TYPED_QUERY	NOT_A_SINGLE_BASE_SCALAR_GENERICALLY	NONE_FOR_QUERY_FAMILY	PHYSICAL_RETURN_TYPE_OPEN	QUERY_LAW_NO_SECTION
L06	section_evaluated_return	CONDITIONAL_EVALUATION	SPACETIME_OR_GLOBAL_VALUE_DEPENDS_ON_SECTION	REALIZED_OR_BRANCH_SECTION	BOOTSTRAP_OWNERSHIP_OPEN	REALIZED_SECTION_REQUIRED
L06	fiber_aggregation	NOT_REGISTERED	NO_DERIVED_GLOBAL_SCALAR	NATIVE_MEASURE_RULE_IF_DERIVED	NO_DENSITY_OPTIMIZER_OR_WEIGHT	FIBER_AGGREGATION_OPEN
L07	typed_pair_path_law	NATURAL_REGISTERED_DOMAIN	PAIR_AND_PATH_LABELLED_NOT_BARE_ENDPOINT	NONE	PHYSICAL_DEPTH_AND_PATH_SEMANTICS_OPEN	QUERY_GROUPOID_LAW_NO_SECTION
L07	bare_endpoint_descent	ONLY_IF_PAIR_PATH_DEPENDENCE_REMOVED	NOT_DERIVED	SECTION_BASICNESS_OR_HOLONOMY_REDUCTION	ENDPOINT_OBJECT_SET_OPEN	BASICNESS_OR_REDUCTION_REQUIRED
L07	section_evaluated_distance	CONDITIONAL	SPACETIME_BILOCAL_GIVEN_SECTION_AND_PATH_RULE	REALIZED_OR_BRANCH_SECTION	DISTANCE_OPERATOR_OPEN	REALIZED_SECTION_REQUIRED
L07	cut_locus_path_family	MULTIPLE_TYPED_ARROWS_RETAINED	NO_UNIQUE_SINGLE_PATH_VALUE_WITHOUT_RULE	NONE_FOR_PATH_FAMILY	PATH_SELECTION_OR_SET_VALUED_READOUT_OPEN	QUERY_GROUPOID_LAW_NO_SECTION
L08	ambient_source	POSSIBLE_TENSOR_TYPE_ON_M	COULD_DESCEND_WITHOUT_N	NONE	SOURCE_LAW_ABSENT	DOWNSTREAM_OPEN_MAY_NOT_REQUIRE_SECTION
L08	pair_screen_source	WELL_TYPED_PER_QUERY_PAIR	PAIR_DEPENDENT_GENERICALLY	SECTION_OR_QUERY_INTERPRETATION	SOURCE_OWNERSHIP_ABSENT	QUERY_EQUIVARIANT_NOT_BASIC
L08	section_carrier	CONDITIONAL_ARCHITECTURE	SPACETIME_CARRIER_IF_SELECTED	REALIZED_SECTION	S2_REMAINS_POSIT	REALIZED_SECTION_REQUIRED
L08	branch_derived_carrier	POSSIBLE_ON_REGULAR_BRANCH	CHAIN_RULE_AND_BRANCH_DEPENDENT	BRANCH_DERIVED_SECTION	NO_NATIVE_CARRIER_DERIVATION	BRANCH_DERIVED_SECTION_REGULAR_ONLY
L08	stratified_defect_source	SET_OR_STRATIFIED_DATA_ONLY	NO_UNIQUE_SMOOTH_SOURCE_CURRENTLY	STRATIFIED_RULE	DEFECT_SOURCE_LAW_ABSENT	STRATIFIED_RULE_REQUIRED
