family_id	family_label	primary_classification	strongest_relevant_witness	global_Xmax_evaluable	primary_blocker
B11	Finite_cell_completion_atlas	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	PARAMETRIC_COMPLETION_TAXONOMY	NO	NO_COMPLETE_G_PHI_FIELD_WITNESS
B12	Complete_seal_fixed_set_selector	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B13	Complete_coframe_seal_involution	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B14	Complete_lift_mu_closure	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B15	Global_coframe_cocycle	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B16	Global_metric_assembly_atlas	TOPOLOGY_ONLY_NO_COMPLETE_G_PHI_WITNESS	PARAMETRIC_COMPLETION_TAXONOMY	NO	NO_COMPLETE_G_PHI_FIELD_WITNESS
B17	Complete_connector_assembly	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B18	Angular_toric_closure	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B19	Conditional_C2_Bach_route	CONDITIONAL_DEPTH_EVALUABLE_NOT_CLOCK_SOLDERED	ROUND_CAPPED_METRIC_CONDITIONAL_C2_ON_SHELL	NO	ANGULAR_PHI_NOT_SOLDERED_TO_CLOCK_DILATION_PHYSICAL_ACTION_SCALE_BOUNDARY_OPEN
B20	Conditional_EH_route	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B21	Macro_WRL_SNe_branch	LOCAL_CLOCK_DEPTH_ONLY_NO_GLOBAL_COMPLETION	SUPPLIED_LOCAL_WRL_CLOCK_PROFILE	NO	NO_COMPLETE_GLOBAL_FRAME_ANGULAR_COMPLETION_OR_PAIR_DIAMETER
B22	Conditional_particle_Hopfion	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B23	Bootstrap_selector_family	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B24	Reciprocal_pair_wall_module	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B25	Time_live_spherical_numerical_branches	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B26	Legacy_pre_July_branches	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B27	Intrinsic_object_Cartan_transport	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
B28	Global_reciprocal_and_Hopf_realization	INELIGIBLE_NO_COMMON_WITNESS	NO_SINGLE_COMPLETE_CLOCK_SOLDERED_FINITE_CELL_WITNESS	NO	FAMILY_SCOPE_DOES_NOT_COLOCATE_ALL_TRANSNORMAL_DATA_GATES
