source_id	path	source_ref	git_blob	sha256	size	role
S11	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_three_observer_overlap_calibration_carry_audit_2026-08-10/EXACT_DERIVATION.md	3867fe6bbe43bf3df5f1d5887a2719da6af889d1	c691c14076f179c8765f9261521a4f9e2c21ab1e1c3817dfb199085098d13d1c	10789	three-observer algebra
S12	udt_three_observer_overlap_calibration_carry_audit_2026-08-10/OVERLAP_OWNERSHIP_ATLAS.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_three_observer_overlap_calibration_carry_audit_2026-08-10/OVERLAP_OWNERSHIP_ATLAS.tsv	0d5891e8ed9ed052642fdaef0f2b851befdee127	ca43a2df7a953f71d9139296fda9344d2176796d1213885219111a5856025f08	23793	overlap and transition classifications
S13	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_founding_pair_relation_functor_ownership_audit_2026-08-09/AUDIT_REPORT.md	cf93a7bebe1a16f0bb51ad67f105e0acb62fa906	a1c6871ee6731f5b7ec51f55ec57b1cac73fca07782dd5507ca0a61ab62ae42f	2654	founding observer-query ownership
S14	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_founding_pair_relation_functor_ownership_audit_2026-08-09/EXACT_DERIVATION.md	a30b055233880ba48b6aa679d351079b87786d1a	b41d49db51888523b99c14a83c632fd5c45ea7592eb0e4fbc4ab1016be69e93f	12407	founded character and query type algebra
S15	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/SEMANTIC_OWNERSHIP_ATLAS.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_founding_pair_relation_functor_ownership_audit_2026-08-09/SEMANTIC_OWNERSHIP_ATLAS.tsv	61f9dcde44f15ecd177b247a8af571f49d4547ec	ec3bcf1b8590e14117a2ef1a0a5c2a41cacbcb861499d915609f6fa91727edc5	17385	semantic candidate ownership
S16	udt_calibrated_pair_map_owner_atlas_2026-08-09/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_calibrated_pair_map_owner_atlas_2026-08-09/AUDIT_REPORT.md	2b87410de68410a8041095b6514050f6c9ccc869	aca7063029271813941e0f04e8b60124ee6e5e8abe01412bcf8d98c3743b4e5a	2640	pair-map family ownership
S17	udt_calibrated_pair_map_owner_atlas_2026-08-09/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_calibrated_pair_map_owner_atlas_2026-08-09/EXACT_DERIVATION.md	b39ec05c7db7cc99dc492d469bc8aba9212eb77d	b965112f2e8250a4a11721102f7edae5b1636be2d836241e1c3e1f482f3e9422	10851	pair-map algebra and no-goes
S18	udt_calibrated_pair_map_owner_atlas_2026-08-09/PAIR_MAP_ATLAS.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_calibrated_pair_map_owner_atlas_2026-08-09/PAIR_MAP_ATLAS.tsv	a8e96b8810f12cd405f4bdc2fdc66016df7ba9b6	0832319f4f9462bd0f6ef9278e5ba42b90bd168e7a3c68e7b175d62ca8f6cdaa	15569	66-cell pair-map classification
S19	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	42213757bc6ea837d46d9d1d45f754bcda136627	a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	4804	terminal reciprocal evaluator status
S20	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/EXACT_DERIVATION.md	aa58f76fa4758e961e133f283894a4d6414b1495	fa0e31b16df98c3af3cf4aec878c4369642945ce35de20ab8e13b91eaf135e7a	15088	complete pair-metric decomposition
S21	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/derive_terminal_reciprocal_ce.py	215f648a25044cc07cc269d61791af0f33cb6606:udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/derive_terminal_reciprocal_ce.py	45d99b6c7e92536042cdbb63f8e08eeef1c443e7	40b85c373e028feafda715ffe3f63652d18cd1559d48b7b222c1d33fa03f40d8	14344	load-bearing terminal algebra
S22	udt_reciprocal_calibration_state_solder_audit_2026-08-09/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_reciprocal_calibration_state_solder_audit_2026-08-09/AUDIT_REPORT.md	bf8a09fc8c35e991adf6c8abf2fd1acc60f84d7f	62f4fe3ca80987a0642cc36973f87db2764dcf6eee176296c25448bb5f5c6241	5031	calibration-state ownership and local no-go
S23	udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_reciprocal_calibration_state_solder_audit_2026-08-09/EXACT_DERIVATION.md	29ea7c6f3db033c6f9e863c97833a4d2efe86391	8045a1a26727812289fff57e9a958df6fd4ff8e997db6fc3576cbc2b845cb598	11351	calibration line and solder algebra
S24	udt_reciprocal_calibration_state_solder_audit_2026-08-09/SOLDER_CANDIDATE_LEDGER.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_reciprocal_calibration_state_solder_audit_2026-08-09/SOLDER_CANDIDATE_LEDGER.tsv	6f6d611c705370c451fa629fdf572686e1bb2c3e	af205d3b7154444b805db0fb9b8975b16016266724d697d6639d933bc72d3248	2907	candidate transition owners
S25	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/AUDIT_REPORT.md	adc137d3a72d5772d0a468d9f9d214f7fe0f349d	85554fa11160860280c2ea7fc9415e53e59153b500cdb3ff73b637d9bc5d51c1	4773	flag and reciprocal-root ownership
S26	udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_reciprocal_flag_foundation_ownership_audit_2026-08-09/EXACT_DERIVATION.md	1b322f69194351add2da4a17ce9987c5bca4a8d1	eabfad044b0caf404a7bfab8dfa2462e3a68cf7a578e67451c86baf8b95aa71a	11710	flag cocycle algebra
S27	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	91f6f69cbe5267f6e12a0576c82153b53e223d84	1e007a15b7071ebe2be45ad2f81a19c4d39a3c0617fe5cf65064ab6e076a976d	5259	static and nonultrastatic branch evidence
S28	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	98d15cf3060d34d238b8528bfaa8a0cab81e7493	36e22610ec03dc4421e005f0a327be288cde000fb5fa63f4d8ea9cec3711875d	6108	Killing clock and branch algebra
S29	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/STATUS_LEDGER.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/STATUS_LEDGER.tsv	a88cf660e6b950399f32e118dd34266121cbd678	27cfba2fff04b761c041b2e9c2a6bc38b560c97262262ea81a4144365a0e8944	1990	branch status distinctions
S30	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_OUTCOMES.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/WITNESS_OUTCOMES.tsv	6c508e90fd634c49f2a8f89c97d9bb793503ae0b	f271a6041a871758443e6e01b352c3e4ed101fe59cdb5e3c0d3c57999a5b08e8	734	W01-W06 witness outcomes
S31	udt_branchwise_projector_holonomy_census_2026-08-01/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_branchwise_projector_holonomy_census_2026-08-01/AUDIT_REPORT.md	fd1ae85c26b1e9ef5990e6e16fb835d06615d2b3	4ce72343b7424654327e66b17cdc8f63347e3760ccaeca8320079b3a83f73c1b	8549	projector and holonomy ownership
S32	udt_branchwise_projector_holonomy_census_2026-08-01/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_branchwise_projector_holonomy_census_2026-08-01/EXACT_DERIVATION.md	32430764ecf795c53dfad632fcaa77f1343becc7	f8a289c76030511479bbf79795bb36fa90e703730a641239e577de44ed3eb271	4397	projector and curvature algebra
S33	udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_branchwise_projector_holonomy_census_2026-08-01/BRANCH_OBJECT_GATE_LEDGER.tsv	ce76b5ffbda3045d203de79a4907e2b6fa4465f1	9bcf866293cbb198938be1b3b71870df64b3612bf96583c82cdc37fa82b29e69	8569	branch object gates including toric strata
S34	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	3f508e2d21328aef5a8e51cc7ca069ba3889992f	21fc7594ff288bb8297f3a8be36e8cfac336e340b376802a649ae95b3c10f932	4171	general-screen complete family
S35	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	b4f9a0300cc3053f53b69ad28f1122e416273113	3d6cab420d4cb20dc0042c4ccce88a4d0b13d0c75572cc78a47daa04be87297f	7384	general-screen metric and connection algebra
S36	udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_general_screen_complete_cell_atlas_2026-07-28/COMPLETE_S3_WITNESS_ATLAS.tsv	6cf2733bdb47f8e2778c4faae1064a971f2954c6	970e5bac91fd4caca27ff2c997a0f8af93fe8e964956c4e70579b371f58cbcdc	1264	complete S3 witnesses
S37	udt_general_screen_complete_cell_atlas_2026-07-28/PAIR_SCREEN_MIXING_ATLAS.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_general_screen_complete_cell_atlas_2026-07-28/PAIR_SCREEN_MIXING_ATLAS.tsv	e328ba1b29c8f7c56b80e0fe02e31072c29afd76	ca45cda737d231575efa333b6617a57bc506a116fbd76395bacefd8bd08417ca	753	complete pair-screen mixing
S38	udt_complete_screen_response_branch_atlas_2026-07-28/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_complete_screen_response_branch_atlas_2026-07-28/AUDIT_REPORT.md	1e223d40abc8ffa97b8397b0f3632e1f94dd5fe2	c67c8d05ca12b17171987f43ba941ffb8cd93daab91c4ba7e4b284f78cde3bde	3407	concrete branch response scope
S39	udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_complete_screen_response_branch_atlas_2026-07-28/BRANCH_PATH_RESPONSE_ATLAS.tsv	094f00718d4b9152aeff8472c2f8e1b94f184051	ed9ae755512d542edd25c95f34446f465fc5e077426c31a6d466d6decef7e613	22836	W and Q branch response evidence
S40	udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv	215f648a25044cc07cc269d61791af0f33cb6606:udt_complete_screen_response_branch_atlas_2026-07-28/HOLONOMY_DESCENT_ATLAS.tsv	41e1fe4c31706efcf4cec9f26800365a881ea6e8	4a76456885181198b9cc635436ad9a6d1aaa6d794e10ea051d969deda693f300	1105	path holonomy and completion descent
S41	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	b30657329afec5d81037602836915be3533e15f3	ed8f3039a2946a3bcde6400d166d730df4d9c444554a4e0846fcc51d500e46f9	5205	complete pair angular/mixing ownership
S42	udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	12376325339939f34f2e9f7602e78a8d1b005b5e	ce96774a1dcdefb690f716a6c69aa6cdf5c155e6cff051137f8efe9b0eb1a77c	10161	complete pair strain and cocycle-home algebra
S43	udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md	7e7f92f7538a3a966a15b9cce7d9639a9592657b	65905b6b2718fd9c1057143a7148104bb14d7e65eeee3bdc7a7010af8cbe90eb	4319	founding reciprocal depth ownership
S44	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	215f648a25044cc07cc269d61791af0f33cb6606:udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	cc4e1da62c1cb1f5f4c53923b4e0b89f035f671f	0d83baaaa9f0586cb3f3b0cd7af16b201996a124dba6a050c71624a2e638a4fd	8763	founding metric-to-depth relation
