# P4 Route A Stage 3 (Slice 1) — GATE-CUT LEDGER: the composite partition of R_PW by (G3-cell x G1-type x G5-status x G6-type), per pairing branch and stratum. Contract: PREREGISTRATION.md. SCOPE STAMP (F-S3): all adjudications are at jet <= 2, BASE branch (BR-A same theorem; BR-M/BR-CE typed NOT-EXHAUSTED), registered stationary one-parameter presentation, enumerated pairing branches (P1 anchored-weight instances / P2 / P3-bulk) — none adopted (F-S2); nonemptiness is WITNESS-LEVEL; RES-CNEQ0 rows are CENSUS-REQUIRED per the resonance rule; NO member selected (F-S1); NO solution-dependent claim (F-S6); jet-3/4 typed via the order-4 anchor only. Slice-2 surface: SLICE2_SURFACE.md.
pairing_branch	stratum	G3_cell	status	G3_conditions	G1_type	G5_status	G6_type	witnesses	parametrization_and_stratum	open_forks	slice2_must_decide
P1-triad	RES-CNEQ0	LOCALLY-EXACT	CENSUS-REQUIRED	conditions: (i) symbol symmetry [pairing-independent across anchored family]; (ii) + shift -2 a_F p1 dR/du''; (iii) + a_F-terms; H4 mixed [lambda-slot forced iff d(WF R_a)/dlam != 0 for some a; anchored-log via a_F' p0 — A1]; H5 moduli antisym in im(Dx)	CENSUS-REQUIRED (resonance rule): banked shear example cited; no adjudication	DEFERRED (resonance rule)	DEFERRED (resonance rule)	not adjudicated (resonance rule); banked: omega violates the shear identity, corrected trace-free witness and field-sector members survive (Stage-2, cited)	anchored weights a_F = 1 + 2 lam (ruler+screen triad volume, T4-enumerated); moduli-slot a_M SUPPLIED; blindness locus lam = -1/2 | stratum: C != 0 sub-varieties of lam -+ k_mod in {+-1}; banked shear-identity example cited; deeper stratification TYPED-NOT-EXHAUSTED	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P1-triad	RES-CNEQ0	NONVARIATIONAL	CENSUS-REQUIRED	complement of the LE condition set (any nonzero Helmholtz defect); first-class classification, not a failure (gate-3 spec)	CENSUS-REQUIRED (resonance rule): banked shear example cited; no adjudication	DEFERRED (resonance rule)	DEFERRED (resonance rule)	not adjudicated (resonance rule); banked: omega violates the shear identity, corrected trace-free witness and field-sector members survive (Stage-2, cited)	anchored weights a_F = 1 + 2 lam (ruler+screen triad volume, T4-enumerated); moduli-slot a_M SUPPLIED; blindness locus lam = -1/2 | stratum: C != 0 sub-varieties of lam -+ k_mod in {+-1}; banked shear-identity example cited; deeper stratification TYPED-NOT-EXHAUSTED	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P2	GENERIC	LOCALLY-EXACT	ADJUDICATED-NONEMPTY (witness-level)	conditions: (i) symbol symmetry [pairing-independent across anchored family]; (ii) + shift -2 a_F p1 dR/du''; (iii) + a_F-terms; H4 mixed [lambda-slot forced iff d(WF R_a)/dlam != 0 for some a; anchored-log via a_F' p0 — A1]; H5 moduli antisym in im(Dx)	DETERMINED-TYPE: 3+7 equations vs 3+7 unknowns, no pointwise identity, no Bianchi-type identity assumed; LE cell has symmetric principal symbol (condition i); gate-1 on-shell leg = explicit integrability on ONE solution (R5) — Slice 2	N <= 2: SELF-PAIRABLE-TYPED — theta slots = parity-surviving 0-jet traces, momenta = 1-jet functions available at wall grade <= 2; N = 3/4: EXTENSION-REQUIRED (3rd-derivative momenta outside the jet <= 2 wall alphabet; typed NOT-EXHAUSTED); corners TYPED-ONLY; parity/sector split + anchored-phi rule constrain R_wall; BR-B fork sets paired-equation vs consistency ROLE	K4 cycles VANISHING-BY-TORSION (closed forms; banked note); completion cycles NEEDS-COMPLETION-DATA (L4 open); J07/J11 loops: mixing sub-families CLASSIFICATION-REQUIRED [F-S7 flag], non-mixing NO-TRANSITION-DATA-OBLIGATION	W1 = (p2,f2,h2); omega-shape (moduli sector)	duality-natural weight-free pairing (a_F = a_M = 0); the distributional-class/jet-grading dual choice is the open L7 datum (smooth-class computation here) | stratum: k_mod != 0, off the resonance locus; no pointwise identity (recomputed)	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P2	GENERIC	NONVARIATIONAL	ADJUDICATED-NONEMPTY (witness-level)	complement of the LE condition set (any nonzero Helmholtz defect); first-class classification, not a failure (gate-3 spec)	DETERMINED-TYPE: 3+7 equations vs 3+7 unknowns, no pointwise identity, no Bianchi-type identity assumed; LE cell has symmetric principal symbol (condition i); gate-1 on-shell leg = explicit integrability on ONE solution (R5) — Slice 2	NO-BULK-FORCED-SLOTS (source-form pairing, no by-parts); gate-5 live content = parity/sector-split + anchored-phi admissibility of own R_wall/R_corner + (varied fork) wall-equation closure — Slice 2	holonomy of closure data CLASSIFICATION-REQUIRED [F-S7 flag] + NEEDS-COMPLETION-DATA; torsion vacuity NOT auto-transferred (closed-form scope)	W3; W2 (off lam = 0); R_lam = k_mod (moduli sector)	duality-natural weight-free pairing (a_F = a_M = 0); the distributional-class/jet-grading dual choice is the open L7 datum (smooth-class computation here) | stratum: k_mod != 0, off the resonance locus; no pointwise identity (recomputed)	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P2	KMOD0	LOCALLY-EXACT	ADJUDICATED-NONEMPTY (witness-level)	conditions: (i) symbol symmetry [pairing-independent across anchored family]; (ii) + shift -2 a_F p1 dR/du''; (iii) + a_F-terms; H4 mixed [lambda-slot forced iff d(WF R_a)/dlam != 0 for some a; anchored-log via a_F' p0 — A1]; H5 moduli antisym in im(Dx)	CONSTRAINED-TYPE: one algebraic row dependency (-k10 R_kmod + c10 R_c00 + c11 R_c01 - c00 R_c10 - c01 R_c11 = 0) matched by one gauge direction (L23); NOT a differential identity; gate 1 must carry the L23-orbit quotient + explicit integrability — Slice 2	N <= 2: SELF-PAIRABLE-TYPED — theta slots = parity-surviving 0-jet traces, momenta = 1-jet functions available at wall grade <= 2; N = 3/4: EXTENSION-REQUIRED (3rd-derivative momenta outside the jet <= 2 wall alphabet; typed NOT-EXHAUSTED); corners TYPED-ONLY; parity/sector split + anchored-phi rule constrain R_wall; BR-B fork sets paired-equation vs consistency ROLE	K4 cycles VANISHING-BY-TORSION (closed forms; banked note); completion cycles NEEDS-COMPLETION-DATA (L4 open); J07/J11 loops: mixing sub-families CLASSIFICATION-REQUIRED [F-S7 flag], non-mixing NO-TRANSITION-DATA-OBLIGATION	W1 = (p2,f2,h2); omega-shape (moduli sector) | on-stratum identity cut ACTIVE (four-corner transversality witnessed)	duality-natural weight-free pairing (a_F = a_M = 0); the distributional-class/jet-grading dual choice is the open L7 datum (smooth-class computation here) | stratum: k_mod = 0 codim-1 stratum; banked identity cuts (R_kmod, R_C); K4-stable	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P2	KMOD0	NONVARIATIONAL	ADJUDICATED-NONEMPTY (witness-level)	complement of the LE condition set (any nonzero Helmholtz defect); first-class classification, not a failure (gate-3 spec)	CONSTRAINED-TYPE: one algebraic row dependency (-k10 R_kmod + c10 R_c00 + c11 R_c01 - c00 R_c10 - c01 R_c11 = 0) matched by one gauge direction (L23); NOT a differential identity; gate 1 must carry the L23-orbit quotient + explicit integrability — Slice 2	NO-BULK-FORCED-SLOTS (source-form pairing, no by-parts); gate-5 live content = parity/sector-split + anchored-phi admissibility of own R_wall/R_corner + (varied fork) wall-equation closure — Slice 2	holonomy of closure data CLASSIFICATION-REQUIRED [F-S7 flag] + NEEDS-COMPLETION-DATA; torsion vacuity NOT auto-transferred (closed-form scope)	W3; W2 (off lam = 0); R_lam = k_mod (moduli sector) | on-stratum identity cut ACTIVE (four-corner transversality witnessed)	duality-natural weight-free pairing (a_F = a_M = 0); the distributional-class/jet-grading dual choice is the open L7 datum (smooth-class computation here) | stratum: k_mod = 0 codim-1 stratum; banked identity cuts (R_kmod, R_C); K4-stable	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P2	RES-CNEQ0	LOCALLY-EXACT	CENSUS-REQUIRED	conditions: (i) symbol symmetry [pairing-independent across anchored family]; (ii) + shift -2 a_F p1 dR/du''; (iii) + a_F-terms; H4 mixed [lambda-slot forced iff d(WF R_a)/dlam != 0 for some a; anchored-log via a_F' p0 — A1]; H5 moduli antisym in im(Dx)	CENSUS-REQUIRED (resonance rule): banked shear example cited; no adjudication	DEFERRED (resonance rule)	DEFERRED (resonance rule)	not adjudicated (resonance rule); banked: omega violates the shear identity, corrected trace-free witness and field-sector members survive (Stage-2, cited)	duality-natural weight-free pairing (a_F = a_M = 0); the distributional-class/jet-grading dual choice is the open L7 datum (smooth-class computation here) | stratum: C != 0 sub-varieties of lam -+ k_mod in {+-1}; banked shear-identity example cited; deeper stratification TYPED-NOT-EXHAUSTED	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P2	RES-CNEQ0	NONVARIATIONAL	CENSUS-REQUIRED	complement of the LE condition set (any nonzero Helmholtz defect); first-class classification, not a failure (gate-3 spec)	CENSUS-REQUIRED (resonance rule): banked shear example cited; no adjudication	DEFERRED (resonance rule)	DEFERRED (resonance rule)	not adjudicated (resonance rule); banked: omega violates the shear identity, corrected trace-free witness and field-sector members survive (Stage-2, cited)	duality-natural weight-free pairing (a_F = a_M = 0); the distributional-class/jet-grading dual choice is the open L7 datum (smooth-class computation here) | stratum: C != 0 sub-varieties of lam -+ k_mod in {+-1}; banked shear-identity example cited; deeper stratification TYPED-NOT-EXHAUSTED	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P3-bulkP2	GENERIC	LOCALLY-EXACT	ADJUDICATED-NONEMPTY (witness-level)	conditions: (i) symbol symmetry [pairing-independent across anchored family]; (ii) + shift -2 a_F p1 dR/du''; (iii) + a_F-terms; H4 mixed [lambda-slot forced iff d(WF R_a)/dlam != 0 for some a; anchored-log via a_F' p0 — A1]; H5 moduli antisym in im(Dx)	DETERMINED-TYPE: 3+7 equations vs 3+7 unknowns, no pointwise identity, no Bianchi-type identity assumed; LE cell has symmetric principal symbol (condition i); gate-1 on-shell leg = explicit integrability on ONE solution (R5) — Slice 2	N <= 2: SELF-PAIRABLE-TYPED — theta slots = parity-surviving 0-jet traces, momenta = 1-jet functions available at wall grade <= 2; N = 3/4: EXTENSION-REQUIRED (3rd-derivative momenta outside the jet <= 2 wall alphabet; typed NOT-EXHAUSTED); corners TYPED-ONLY; parity/sector split + anchored-phi rule constrain R_wall; BR-B fork sets paired-equation vs consistency ROLE	K4 cycles VANISHING-BY-TORSION (closed forms; banked note); completion cycles NEEDS-COMPLETION-DATA (L4 open); J07/J11 loops: mixing sub-families CLASSIFICATION-REQUIRED [F-S7 flag], non-mixing NO-TRANSITION-DATA-OBLIGATION	W1 (bulk inherited)	boundary-extended relative pairing, declared bulk = P2-type; bulk conditions inherited (TC1_P3_interior_defect_wall_immune); wall/corner density blocks add wall-symmetry conditions (typed, per declared N) | stratum: k_mod != 0, off the resonance locus; no pointwise identity (recomputed)	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P3-bulkP2	GENERIC	NONVARIATIONAL	ADJUDICATED-NONEMPTY (witness-level)	complement of the LE condition set (any nonzero Helmholtz defect); first-class classification, not a failure (gate-3 spec)	DETERMINED-TYPE: 3+7 equations vs 3+7 unknowns, no pointwise identity, no Bianchi-type identity assumed; LE cell has symmetric principal symbol (condition i); gate-1 on-shell leg = explicit integrability on ONE solution (R5) — Slice 2	NO-BULK-FORCED-SLOTS (source-form pairing, no by-parts); gate-5 live content = parity/sector-split + anchored-phi admissibility of own R_wall/R_corner + (varied fork) wall-equation closure — Slice 2	holonomy of closure data CLASSIFICATION-REQUIRED [F-S7 flag] + NEEDS-COMPLETION-DATA; torsion vacuity NOT auto-transferred (closed-form scope)	W3 (interior defect wall-immune)	boundary-extended relative pairing, declared bulk = P2-type; bulk conditions inherited (TC1_P3_interior_defect_wall_immune); wall/corner density blocks add wall-symmetry conditions (typed, per declared N) | stratum: k_mod != 0, off the resonance locus; no pointwise identity (recomputed)	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P3-bulkP2	KMOD0	LOCALLY-EXACT	ADJUDICATED-NONEMPTY (witness-level)	conditions: (i) symbol symmetry [pairing-independent across anchored family]; (ii) + shift -2 a_F p1 dR/du''; (iii) + a_F-terms; H4 mixed [lambda-slot forced iff d(WF R_a)/dlam != 0 for some a; anchored-log via a_F' p0 — A1]; H5 moduli antisym in im(Dx)	CONSTRAINED-TYPE: one algebraic row dependency (-k10 R_kmod + c10 R_c00 + c11 R_c01 - c00 R_c10 - c01 R_c11 = 0) matched by one gauge direction (L23); NOT a differential identity; gate 1 must carry the L23-orbit quotient + explicit integrability — Slice 2	N <= 2: SELF-PAIRABLE-TYPED — theta slots = parity-surviving 0-jet traces, momenta = 1-jet functions available at wall grade <= 2; N = 3/4: EXTENSION-REQUIRED (3rd-derivative momenta outside the jet <= 2 wall alphabet; typed NOT-EXHAUSTED); corners TYPED-ONLY; parity/sector split + anchored-phi rule constrain R_wall; BR-B fork sets paired-equation vs consistency ROLE	K4 cycles VANISHING-BY-TORSION (closed forms; banked note); completion cycles NEEDS-COMPLETION-DATA (L4 open); J07/J11 loops: mixing sub-families CLASSIFICATION-REQUIRED [F-S7 flag], non-mixing NO-TRANSITION-DATA-OBLIGATION	W1 (bulk inherited) | on-stratum identity cut ACTIVE (four-corner transversality witnessed)	boundary-extended relative pairing, declared bulk = P2-type; bulk conditions inherited (TC1_P3_interior_defect_wall_immune); wall/corner density blocks add wall-symmetry conditions (typed, per declared N) | stratum: k_mod = 0 codim-1 stratum; banked identity cuts (R_kmod, R_C); K4-stable	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P3-bulkP2	KMOD0	NONVARIATIONAL	ADJUDICATED-NONEMPTY (witness-level)	complement of the LE condition set (any nonzero Helmholtz defect); first-class classification, not a failure (gate-3 spec)	CONSTRAINED-TYPE: one algebraic row dependency (-k10 R_kmod + c10 R_c00 + c11 R_c01 - c00 R_c10 - c01 R_c11 = 0) matched by one gauge direction (L23); NOT a differential identity; gate 1 must carry the L23-orbit quotient + explicit integrability — Slice 2	NO-BULK-FORCED-SLOTS (source-form pairing, no by-parts); gate-5 live content = parity/sector-split + anchored-phi admissibility of own R_wall/R_corner + (varied fork) wall-equation closure — Slice 2	holonomy of closure data CLASSIFICATION-REQUIRED [F-S7 flag] + NEEDS-COMPLETION-DATA; torsion vacuity NOT auto-transferred (closed-form scope)	W3 (interior defect wall-immune) | on-stratum identity cut ACTIVE (four-corner transversality witnessed)	boundary-extended relative pairing, declared bulk = P2-type; bulk conditions inherited (TC1_P3_interior_defect_wall_immune); wall/corner density blocks add wall-symmetry conditions (typed, per declared N) | stratum: k_mod = 0 codim-1 stratum; banked identity cuts (R_kmod, R_C); K4-stable	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P3-bulkP2	RES-CNEQ0	LOCALLY-EXACT	CENSUS-REQUIRED	conditions: (i) symbol symmetry [pairing-independent across anchored family]; (ii) + shift -2 a_F p1 dR/du''; (iii) + a_F-terms; H4 mixed [lambda-slot forced iff d(WF R_a)/dlam != 0 for some a; anchored-log via a_F' p0 — A1]; H5 moduli antisym in im(Dx)	CENSUS-REQUIRED (resonance rule): banked shear example cited; no adjudication	DEFERRED (resonance rule)	DEFERRED (resonance rule)	not adjudicated (resonance rule); banked: omega violates the shear identity, corrected trace-free witness and field-sector members survive (Stage-2, cited)	boundary-extended relative pairing, declared bulk = P2-type; bulk conditions inherited (TC1_P3_interior_defect_wall_immune); wall/corner density blocks add wall-symmetry conditions (typed, per declared N) | stratum: C != 0 sub-varieties of lam -+ k_mod in {+-1}; banked shear-identity example cited; deeper stratification TYPED-NOT-EXHAUSTED	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P3-bulkP2	RES-CNEQ0	NONVARIATIONAL	CENSUS-REQUIRED	complement of the LE condition set (any nonzero Helmholtz defect); first-class classification, not a failure (gate-3 spec)	CENSUS-REQUIRED (resonance rule): banked shear example cited; no adjudication	DEFERRED (resonance rule)	DEFERRED (resonance rule)	not adjudicated (resonance rule); banked: omega violates the shear identity, corrected trace-free witness and field-sector members survive (Stage-2, cited)	boundary-extended relative pairing, declared bulk = P2-type; bulk conditions inherited (TC1_P3_interior_defect_wall_immune); wall/corner density blocks add wall-symmetry conditions (typed, per declared N) | stratum: C != 0 sub-varieties of lam -+ k_mod in {+-1}; banked shear-identity example cited; deeper stratification TYPED-NOT-EXHAUSTED	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P3-bulkP1	GENERIC	LOCALLY-EXACT	ADJUDICATED-NONEMPTY (witness-level)	conditions: (i) symbol symmetry [pairing-independent across anchored family]; (ii) + shift -2 a_F p1 dR/du''; (iii) + a_F-terms; H4 mixed [lambda-slot forced iff d(WF R_a)/dlam != 0 for some a; anchored-log via a_F' p0 — A1]; H5 moduli antisym in im(Dx)	DETERMINED-TYPE: 3+7 equations vs 3+7 unknowns, no pointwise identity, no Bianchi-type identity assumed; LE cell has symmetric principal symbol (condition i); gate-1 on-shell leg = explicit integrability on ONE solution (R5) — Slice 2	N <= 2: SELF-PAIRABLE-TYPED — theta slots = parity-surviving 0-jet traces, momenta = 1-jet functions available at wall grade <= 2; N = 3/4: EXTENSION-REQUIRED (3rd-derivative momenta outside the jet <= 2 wall alphabet; typed NOT-EXHAUSTED); corners TYPED-ONLY; parity/sector split + anchored-phi rule constrain R_wall; BR-B fork sets paired-equation vs consistency ROLE	K4 cycles VANISHING-BY-TORSION (closed forms; banked note); completion cycles NEEDS-COMPLETION-DATA (L4 open); J07/J11 loops: mixing sub-families CLASSIFICATION-REQUIRED [F-S7 flag], non-mixing NO-TRANSITION-DATA-OBLIGATION	W2' full tuple (bulk inherited; wall block typed)	boundary-extended relative pairing, declared bulk = P1-type (a_F as declared); bulk conditions inherited; wall blocks typed | stratum: k_mod != 0, off the resonance locus; no pointwise identity (recomputed)	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P3-bulkP1	GENERIC	NONVARIATIONAL	ADJUDICATED-NONEMPTY (witness-level)	complement of the LE condition set (any nonzero Helmholtz defect); first-class classification, not a failure (gate-3 spec)	DETERMINED-TYPE: 3+7 equations vs 3+7 unknowns, no pointwise identity, no Bianchi-type identity assumed; LE cell has symmetric principal symbol (condition i); gate-1 on-shell leg = explicit integrability on ONE solution (R5) — Slice 2	NO-BULK-FORCED-SLOTS (source-form pairing, no by-parts); gate-5 live content = parity/sector-split + anchored-phi admissibility of own R_wall/R_corner + (varied fork) wall-equation closure — Slice 2	holonomy of closure data CLASSIFICATION-REQUIRED [F-S7 flag] + NEEDS-COMPLETION-DATA; torsion vacuity NOT auto-transferred (closed-form scope)	W3 (interior defect wall-immune)	boundary-extended relative pairing, declared bulk = P1-type (a_F as declared); bulk conditions inherited; wall blocks typed | stratum: k_mod != 0, off the resonance locus; no pointwise identity (recomputed)	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
P3-bulkP1	KMOD0	LOCALLY-EXACT	ADJUDICATED-NONEMPTY (witness-level)	conditions: (i) symbol symmetry [pairing-independent across anchored family]; (ii) + shift -2 a_F p1 dR/du''; (iii) + a_F-terms; H4 mixed [lambda-slot forced iff d(WF R_a)/dlam != 0 for some a; anchored-log via a_F' p0 — A1]; H5 moduli antisym in im(Dx)	CONSTRAINED-TYPE: one algebraic row dependency (-k10 R_kmod + c10 R_c00 + c11 R_c01 - c00 R_c10 - c01 R_c11 = 0) matched by one gauge direction (L23); NOT a differential identity; gate 1 must carry the L23-orbit quotient + explicit integrability — Slice 2	N <= 2: SELF-PAIRABLE-TYPED — theta slots = parity-surviving 0-jet traces, momenta = 1-jet functions available at wall grade <= 2; N = 3/4: EXTENSION-REQUIRED (3rd-derivative momenta outside the jet <= 2 wall alphabet; typed NOT-EXHAUSTED); corners TYPED-ONLY; parity/sector split + anchored-phi rule constrain R_wall; BR-B fork sets paired-equation vs consistency ROLE	K4 cycles VANISHING-BY-TORSION (closed forms; banked note); completion cycles NEEDS-COMPLETION-DATA (L4 open); J07/J11 loops: mixing sub-families CLASSIFICATION-REQUIRED [F-S7 flag], non-mixing NO-TRANSITION-DATA-OBLIGATION	W2' full tuple (bulk inherited; wall block typed) | on-stratum identity cut ACTIVE (four-corner transversality witnessed)	boundary-extended relative pairing, declared bulk = P1-type (a_F as declared); bulk conditions inherited; wall blocks typed | stratum: k_mod = 0 codim-1 stratum; banked identity cuts (R_kmod, R_C); K4-stable	L4/BR-C completion (open); BR-B boundary varied-vs-held (open; role only); L8/BR-A alpha (open; same theorem at jet <= 2); BR-M, BR-CE (typed NOT-EXHAUSTED); P1 per-slot weight supply; P2 distributional class (L7)	R5 same-solution closure; R14 bootstrap-admissibility; gate 2 sector selection (J06 branch recording); gate-1 on-shell integrability; gate-4 WS current leg; per-candidate wall depth (declared N); J07 transition data (mixing); L4/BR-B fork decisions
