family_id	cell_id	cell	status	source_basis
F02	C12	COMPUTATION_READINESS	BLOCKED_MISSING_FIXED_REALIZATION	A01-A11
F03	C01	CONFIGURATION_EXISTENCE	PRESENT_CONTROL	A01-A10
F03	C02	FIXED_OR_REALIZED_BACKGROUND	PRESENT_CONTROL_BACKGROUND	A01-A10
F03	C03	RESPONSE_OR_FUNCTIONAL	CONDITIONAL_CONTROL_HESSIAN_OWNED	A01-A10
F03	C04	BOUNDARY_OR_COMPLETION	PRESENT_CONTROL_DOMAIN	A01-A10
F03	C05	PERTURBATION_DOMAIN	PRESENT_CONTROL_DOMAIN	A01-A10
F03	C06	EXISTENCE_PRUNING	NONE	A01-A10
F03	C07	STATIC_OR_SECTOR_STABILITY	PSD_DEGENERATE_CONTROL	A01-A10
F03	C08	FULL_CERTIFICATE	NOT_ISOLATED	A01-A10
F03	C09	TIME_PERSISTENCE	OPEN_NOT_PROMOTED	A01-A10
F03	C10	PHYSICAL_FINITE_CELL_COMPLETION	NOT_EVALUATED_PHYSICALLY	A01-A10
F03	C11	BOOTSTRAP_MEMBERSHIP	ABSENT	A01-A10
F03	C12	COMPUTATION_READINESS	CONTROL_ONLY	A01-A10
F04	C01	CONFIGURATION_EXISTENCE	OBSERVED_CARRIER_CONDITIONAL	A01-A03;A10-A15
F04	C02	FIXED_OR_REALIZED_BACKGROUND	OBSERVED_STATIC_FINITE_BOX	A01-A03;A10-A15
F04	C03	RESPONSE_OR_FUNCTIONAL	CHOSEN_CONDITIONAL_L2_PLUS_L4	A01-A03;A10-A15
F04	C04	BOUNDARY_OR_COMPLETION	COMPUTATIONAL_BOUNDARY_OWNED_PHYSICAL_OPEN	A01-A03;A10-A15
F04	C05	PERTURBATION_DOMAIN	STATIC_FINITE_BOX_DOMAIN_OWNED_TIME_DOMAIN_MISSING	A01-A03;A10-A15
F04	C06	EXISTENCE_PRUNING	CONDITIONAL_TOPOLOGICAL_SECTOR_AVAILABLE	A01-A03;A10-A15
F04	C07	STATIC_OR_SECTOR_STABILITY	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	A01-A03;A10-A15
F04	C08	FULL_CERTIFICATE	STATIC_CERTIFICATE_ONLY	A01-A03;A10-A15
F04	C09	TIME_PERSISTENCE	OPEN_NO_NATIVE_TIME_EQUATION	A01-A03;A10-A15
F04	C10	PHYSICAL_FINITE_CELL_COMPLETION	OPEN_PHYSICAL_BOUNDARY	A01-A03;A10-A15
F04	C11	BOOTSTRAP_MEMBERSHIP	ABSENT	A01-A03;A10-A15
F04	C12	COMPUTATION_READINESS	BLOCKED_MISSING_TIME_EQUATION	A01-A03;A10-A15
F05	C01	CONFIGURATION_EXISTENCE	MASSLESS_RING_EXISTS_MIXED_MULTICELL_CONDITIONAL	A01-A03;A13-A15
F05	C02	FIXED_OR_REALIZED_BACKGROUND	CLOSURE_CONFIGURATION_ONLY	A01-A03;A13-A15
F05	C03	RESPONSE_OR_FUNCTIONAL	PERIOD_LAW_NOT_STABILITY_RESPONSE	A01-A03;A13-A15
F05	C04	BOUNDARY_OR_COMPLETION	SCOPED_CYCLIC_COMPLETION_OWNED	A01-A03;A13-A15
F05	C05	PERTURBATION_DOMAIN	NO_STABILITY_PERTURBATION_DOMAIN	A01-A03;A13-A15
F05	C06	EXISTENCE_PRUNING	ALL_DEFINITE_MASSIVE_RING_EXCLUDED	A01-A03;A13-A15
F05	C07	STATIC_OR_SECTOR_STABILITY	NOT_TESTED	A01-A03;A13-A15
F05	C08	FULL_CERTIFICATE	ABSENT	A01-A03;A13-A15
F05	C09	TIME_PERSISTENCE	OPEN_NOT_TESTABLE	A01-A03;A13-A15
F05	C10	PHYSICAL_FINITE_CELL_COMPLETION	CLASSIFICATION_SCOPE_ONLY	A01-A03;A13-A15
F05	C11	BOOTSTRAP_MEMBERSHIP	ABSENT	A01-A03;A13-A15
F05	C12	COMPUTATION_READINESS	BLOCKED_MISSING_NATIVE_RESPONSE	A01-A03;A13-A15
F06	C01	CONFIGURATION_EXISTENCE	EMPTY_MASSIVE_SCOPE	A01-A09
F06	C02	FIXED_OR_REALIZED_BACKGROUND	NONE_EMPTY	A01-A09
F06	C03	RESPONSE_OR_FUNCTIONAL	COMPLETION_LAW_NOT_STABILITY_RESPONSE	A01-A09
F06	C04	BOUNDARY_OR_COMPLETION	SCOPED_COMPLETION_OWNED	A01-A09
F06	C05	PERTURBATION_DOMAIN	NOT_APPLICABLE	A01-A09
F06	C06	EXISTENCE_PRUNING	EXACT_NONEXISTENCE	A01-A09
F06	C07	STATIC_OR_SECTOR_STABILITY	NOT_APPLICABLE	A01-A09
F06	C08	FULL_CERTIFICATE	NOT_APPLICABLE	A01-A09
F06	C09	TIME_PERSISTENCE	NOT_APPLICABLE	A01-A09
F06	C10	PHYSICAL_FINITE_CELL_COMPLETION	SCOPED_CLOSURE_ONLY	A01-A09
F06	C11	BOOTSTRAP_MEMBERSHIP	ABSENT	A01-A09
F06	C12	COMPUTATION_READINESS	NOT_APPLICABLE_EMPTY	A01-A09
F07	C01	CONFIGURATION_EXISTENCE	FORMAL_MODULES_ONLY	A01-A03;A08-A15
F07	C02	FIXED_OR_REALIZED_BACKGROUND	OPEN_COMMON_REALIZED_BACKGROUND	A01-A03;A08-A15
F07	C03	RESPONSE_OR_FUNCTIONAL	ABSENT_COMPLETE_NATIVE_RESPONSE	A01-A03;A08-A15
F07	C04	BOUNDARY_OR_COMPLETION	OPEN_DIFFERENTIABLE_FINITE_CELL_BOUNDARY	A01-A03;A08-A15
F07	C05	PERTURBATION_DOMAIN	ABSENT_TANGENT_SPACE_TO_REALIZED_SET	A01-A03;A08-A15
F07	C06	EXISTENCE_PRUNING	BLOCKED_BY_REALIZATION_JOIN	A01-A03;A08-A15
F07	C07	STATIC_OR_SECTOR_STABILITY	BLOCKED	A01-A03;A08-A15
F07	C08	FULL_CERTIFICATE	BLOCKED	A01-A03;A08-A15
F07	C09	TIME_PERSISTENCE	FORMAL_LABEL_ONLY_PHYSICAL_PERSISTENCE_OPEN	A01-A03;A08-A15
F07	C10	PHYSICAL_FINITE_CELL_COMPLETION	OPEN	A01-A03;A08-A15
F07	C11	BOOTSTRAP_MEMBERSHIP	ABSENT	A01-A03;A08-A15
F07	C12	COMPUTATION_READINESS	BLOCKED_MISSING_FIXED_REALIZATION	A01-A03;A08-A15
