consumer	package/file	premise_entry_loci	rides_what	fall_hardness_if_mirror_CHALLENGED	regrade_owed
Ladder/fold-pair soft mode (C-2026-07-03-2 mode label)	ladder_softmode_results.md	fold-pair labeling on mirrored structure	MIRROR-CLOSURE as labeling; spectrum finiteness-side	DEGRADES-TO-CONDITIONAL (label only)	relabel if mirror re-graded
Seal fixed-set selector audit	udt_complete_seal_fixed_set_selector_audit_2026-07-21	involution fixed-locus is the audited object	MIRROR-CLOSURE	DEGRADES-TO-CONDITIONAL	stamp
Global seal transversality audit	udt_free_global_seal_transversality_audit_2026-07-21	fold geometry	MIRROR-CLOSURE	DEGRADES-TO-CONDITIONAL	stamp
Involutive exchange branch availability	udt_involutive_exchange_branch_availability_audit_2026-07-24	involution/exchange premise	MIRROR-CLOSURE	DEGRADES-TO-CONDITIONAL	stamp
07-20 coframe seal-involution completion trio (MULTIPLE_COMPLETIONS)	clock_ruler_soldering_selector / mixed_readout_anchor_soldering / complete_lift_mu_closure (2026-07-20)	the seal-involution completion object Route P + angular cite	MIRROR-CLOSURE	DEGRADES-TO-CONDITIONAL	stamp; D2/D3 named-data slots inherit tag
Route A stage-3 gate cut (wall-parity slot survival) [A5 addition]	udt_p4_routeA_stage3_gate_cut_2026-07-29	EXACT_DERIVATION.md:59 (eps_phi=-1 THEORY-cite C-2026-06-10-2/C-2026-07-04-1; f/bh SUPPLIED); :227 (TC3_mirror_canon_parity_instance guard)	MIRROR-CLOSURE for the canon parity instance; f/bh supplied both ways	DEGRADES-TO-CONDITIONAL	stamp wall-parity slot-survival rows CONDITIONAL-ON-MIRROR; supplied-parity legs unchanged
Route A stage-2 pointwise reduction (Stage-3 handoff wall data) [A5 addition]	udt_p4_routeA_stage2_pointwise_reduction_2026-07-29	STAGE3_HANDOFF.md:68 (mirrored-parity wall data, CANON C-2026-06-10-2/C-2026-07-04-1)	MIRROR-CLOSURE as handed-off boundary component	DEGRADES-TO-CONDITIONAL	stamp the handoff's wall-data component CONDITIONAL-ON-MIRROR
Route A response inverse problem (R6 finite-cell boundary gate spec) [A5 addition]	udt_p4_routeA_response_inverse_problem_2026-07-29	POSED_INVERSE_PROBLEM.md:194 (R6 conditions on mirrored-cell parity + sector split); SIX_GATE_SPECS.md:143 (gate step 3: compatibility with the mirrored parity)	MIRROR-CLOSURE inside a POSED spec (forward decision-surface consumer; nothing banked on it yet)	DEGRADES-TO-CONDITIONAL (spec-conditioned)	re-issue R6 with the parity condition tagged CONDITIONAL-ON-MIRROR or removed
Seal boundary phase join (mirror-fold + temporal-seal clause rows) [A5 addition]	finite_cell_seal_boundary_phase_join_2026-07-20	PREREGISTRATION.md:43 (C-2026-06-10-2 + C-2026-07-04-1 source clauses); :64-66 (mirror-fold/temporal-seal rows CANONIZED inputs); AUDIT_REPORT.md:47-66 (own strongest challenge: K_ij=0 NOT derived from "mirror")	MIRROR-CLOSURE rows as CANONIZED inputs	DEGRADES-TO-CONDITIONAL	stamp mirror-fold clause rows CONDITIONAL-ON-MIRROR; the package's own K_ij challenge already flags the gap
Finiteness-only population (~100+ files: finite_cell_*, xmax_*, global_reciprocal_*, most reciprocal_*/coframe_* audits; WR-L arc; 07-18 adjudication)	various	cite finite cell / no spatial infinity only	FINITENESS only	UNAFFECTED	none
