id	candidate	object_type	frame_status	CSN_status	definition_domain	reciprocal_content	Hopf_content	foundation_selection	ruling
O12	null_dphi_ray	celestial_section_on_null_gradient_region	INTRINSIC_ON_DOMAIN	NULL_RAY_INVARIANT	DPHI_NONZERO_NULL_WITH_TIME_COMPONENT	PHI_RELATED	NO_GLOBAL_HOPF_CLASS_DERIVED	CAUSAL_TYPE_NOT_FORCED	CONDITIONAL_LOCAL_SECTION_NOT_UNIVERSAL_OR_HOPF_BEARING
O13	critical_or_zero_dphi_strata	scalar_only	INTRINSIC_BUT_DIRECTIONLESS	INVARIANT	ADMITTED_INCLUDING_SEAL	SCALAR_VALUE_ONLY	NONE	REGISTERED_ADMITTED	DIRECTION_AND_SECTION_UNDEFINED_OR_AMBIGUOUS
O14	finite_cell_seal_normal	boundary_rank1_line	INTRINSIC_IF_BOUNDARY_EMBEDDING_SUPPLIED	LINE_SURVIVES	SEAL_ONLY	NO_CLOCK_PARTNER	NONE	BOUNDARY_CONDITIONAL	NO_UNIVERSAL_RANK2_REDUCTION_AT_SEAL
O15	reflection_lift_screen_involution	screen_reduction_at_seal	INTRINSIC_AFTER_LIFT_AND_ORIENTATION	INVARIANT	REFLECTION_LIFT_BRANCH_AT_SEAL	COMPLEMENT_UP_TO_SIGN	NONE_WITHOUT_BULK_AND_GLOBAL_DATA	DERIVED_CONDITIONAL_AT_SEAL	LIFT_UNSELECTED_AND_NO_BULK_CONTINUATION
O16	named_coframe_reciprocal_plane	rank2_plane	FRAME_DEPENDENT	NOT_THE_DECISIVE_FAILURE	CHOSEN_COFRAME	EXACT_CHART_CHARACTER	CONDITIONAL_COMPONENT_CROSSWALK	NOT_DERIVED	FAILS_LOCAL_LORENTZ_DESCENT
O17	abstract_reciprocal_representation_Vrec	abstract_rank2_representation	ABSTRACT_NOT_A_TANGENT_OBJECT	SCALE_FREE_CHARACTER	C0_C1_REPRESENTATION	DERIVED	NONE_WITHOUT_SOLDERING	DERIVED_ABSTRACTLY	PHYSICAL_SOLDERING_TYPE_GAP
O18	metric_derived_projector_motif	local_projector_family	INTRINSIC_WHEN_TENSORIALLY_DEFINED	CANDIDATE_DEPENDENT	FIXED_RANK_STABLE_STRATA	NO_UNIVERSAL_OWNER	MOTIF_COMPATIBILITY_ONLY	OBSERVED_BOUNDED	NO_COMPLETE_ORCHESTRA_UNIVERSAL_PROPER_PROJECTOR
O19	projector_Kato_connection	connection_on_supplied_projector_bundles	INTRINSIC_GIVEN_PROJECTORS	METRIC_COMPATIBLE	SMOOTH_FIXED_RANK_PROJECTOR_PATH	TRANSPORT_ONLY	NO_TOPOLOGY_WITHOUT_CLOSED_GLUE	DERIVED_GEOMETRIC_IDENTITY	TRANSPORTS_BUT_DOES_NOT_CREATE_OR_SELECT_PROJECTOR
O20	Levi_Civita_holonomy_conjugacy_class	global_connection_invariant	INTRINSIC_PER_COMPLETED_METRIC_UP_TO_CONJUGACY	REPRESENTATIVE_DEPENDENT	SUPPLIED_COMPLETE_METRIC_AND_LOOPS	POSSIBLE_REDUCTION_ONLY_IF_PRESERVED	NO_AUTOMATIC_HOPF_CLASS	COMPLETE_METRIC_NOT_SELECTED	INTRINSIC_ON_SUPPLIED_COMPLETION_NOT_FOUNDATION_SELECTOR
O21	parallel_holonomy_preserved_subbundle	global_bundle_reduction	INTRINSIC_IF_HOLONOMY_REDUCES	REPRESENTATIVE_DEPENDENT	REDUCED_HOLONOMY_COMPLETIONS	ONLY_IF_SEPARATELY_IDENTIFIED	NONE_BY_REDUCTION_ALONE	OPEN_CONDITIONAL_BRANCH	NOT_UNIVERSAL_IN_REGISTERED_ACTIVE_OR_FLAT_DICHOTOMY
O22	tangent_bundle_characteristic_classes	primary_topological_invariants	INTRINSIC_TO_MANIFOLD_BUNDLE	INVARIANT	SUPPLIED_GLOBAL_MANIFOLD	NONE	NOT_A_SELECTED_S3_TO_S2_SECONDARY_INVARIANT	TOPOLOGY_NOT_SELECTED	GENUINE_GLOBAL_INVARIANTS_BUT_NOT_RECIPROCAL_HOPF_CARRIER
O23	celestial_S2_bundle_characteristic_data	associated_bundle_primary_invariants	INTRINSIC_IF_GLOBAL_BUNDLE_SUPPLIED	INVARIANT	GLOBAL_LORENTZIAN_COMPLETION	NONE_WITHOUT_REDUCTION	OBSTRUCTION_OR_BUNDLE_DATA_NOT_HOPF_MAP_CHARGE	GLOBAL_COMPLETION_NOT_SELECTED	BUNDLE_INVARIANT_SURVIVES_BUT_DOES_NOT_SELECT_SECTION
O24	reciprocal_toric_principal_circle_class	principal_U1_bundle_c1_and_Hopf_readout	INTRINSIC_AFTER_GLOBAL_TORIC_DATA	NORMALIZED_CONNECTION_INVARIANT	SUPPLIED_PERIODS_ACTION_CAPS_ORIENTATION_QUOTIENT	EXACT	ABS_C1_EQUALS_ONE_CONDITIONAL	GLOBAL_INPUTS_NOT_SELECTED	EXACT_CONDITIONAL_HOPF_BUNDLE_NOT_NATIVE_SELECTION
O25	bare_component_null_section_Hopf_charge	component_map	FRAME_DEPENDENT	INSUFFICIENT	CHOSEN_TRIVIALIZATION	CONDITIONAL_CROSSWALK	CAN_BE_CREATED_BY_WINDING_FRAME	REFUTED_IN_REGISTERED_SCOPE	NOT_A_PHYSICAL_BUNDLE_INVARIANT
O26	nonlocal_spectral_or_geodesic_selector	global_nonlocal_construction	POTENTIALLY_INTRINSIC_AFTER_FULL_DEFINITION	UNSPECIFIED	REQUIRES_OPERATOR_DOMAIN_BOUNDARY_AND_DEGENERACY_RULE	NO_REGISTERED_MAP	NO_REGISTERED_OUTPUT	ABSENT_FROM_CURRENT_FOUNDATION	TYPE_CLASS_OPEN_NOT_AN_EXISTING_SELECTOR
O27	global_boundary_or_stationarity_functional	realization_selector	POTENTIALLY_INTRINSIC_IF_DERIVED	UNSPECIFIED	REQUIRES_ACTION_BOUNDARY_VARIATION_DOMAIN	NO_CURRENT_OPERATION	NO_CURRENT_OUTPUT	OPEN	NOT_PRESENT_IN_REGISTERED_FOUNDATION
O28	registered_bootstrap	on_shell_admissibility_language	NOT_AN_OBJECT_CONSTRUCTION	QUALITATIVELY_COMPATIBLE	COMPLETED_SOLUTIONS_AS_YET_UNTYPED	NO_OPERATIONAL_REALIZATION_MAP	NO_SECTION_OR_CLASS_OUTPUT	INCOMPLETE	DOES_NOT_CURRENTLY_SELECT_INTRINSIC_OBJECT
O29	combined_registered_complete_metric_structure	whole_foundation	ALL_INTRINSIC_SCAFFOLDS_RETAINED	PRE_AND_POST_SCALE_LAYERS_SEPARATED	BOUNDED_REGISTERED_SCOPE	ABSTRACT_AND_CHART_LEVEL_EXACT	FIBER_AND_TORIC_CLASS_ONLY_CONDITIONAL	NO_NATIVE_JOIN_FOUND	FIELD_ASSISTED_REAL_RECIPROCAL_REDUCTION_EXISTS_ONLY_ON_NONNULL_DPHI_STRATA__NO_GLOBAL_HOPF_SECTION_OR_SELECTED_BUNDLE_INVARIANT
O30	nonnull_dphi_induced_real_two_form_pair	real_rank3_plus_rank3_Lambda2_reduction	INTRINSIC_TO_G_AND_PHI_ON_DOMAIN	INVARIANT_AS_SUBBUNDLE_SPLIT	DPHI_NONZERO_AND_NONNULL	EXACT_E_PLUS_MINUS_PHI_COMPATIBLE_REAL_ACTION	HODGE_DUAL_S2_LIKE_FIBERS_POSSIBLE_BUT_NO_SELECTED_SECTION_OR_CLASS	LOCAL_STRATUM_REDUCTION_DERIVED_RECIPROCAL_PHYSICAL_OWNERSHIP_OPEN	EXACT_FIELD_ASSISTED_REAL_RECIPROCAL_3PLUS3_REDUCTION_ON_NONNULL_STRATA__NOT_GLOBAL_OR_HOPF_BEARING
