target	source	line	column	categories	kinds	statuses	source_frozen	source_r0_classification	reference_role	rewrite_required	new_target	line_excerpt
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	13169	68	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	seal_matching_junction_results.md\t56\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	13169	85	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	seal_matching_junction_results.md\t56\tTEXT_REFERENCE\tTEXT_REFERENCE\tD1_FIX_DESIGN.md\tD1_FIX_DESIGN.md\tRESOLVED_TRACKED\t-
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	13	1	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	D1_FIX_DESIGN.md\t100644\t15004b41cbc2d51fde874d6234d57702d0f9e709\t57a4d86c84f5a042a9ff1ed739440e2648aafae6b5f962377e9c57481d78d964\t281\ta77d633023824250f8d97e865f774b5b49a2d7b5\t2026-07-06\tPre-native-era provenance census + organization (date-based, 2 adversarial passes).\t6\tD1_FIX_DESIGN.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md;galerkin_basis.py;p1_residual_general_einstein.py;seal_matching_junction_results.md\tTEXT_REFERENCE\tARCHI
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	13	273	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	D1_FIX_DESIGN.md\t100644\t15004b41cbc2d51fde874d6234d57702d0f9e709\t57a4d86c84f5a042a9ff1ed739440e2648aafae6b5f962377e9c57481d78d964\t281\ta77d633023824250f8d97e865f774b5b49a2d7b5\t2026-07-06\tPre-native-era provenance census + organization (date-based, 2 adversarial passes).\t6\tD1_FIX_DESIGN.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md;galerkin_basis.py;p1_residual_general_einstein.py;seal_matching_junction_results.md\tTEXT_REFERENCE\tARCHI
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	99	373	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	GR_NUMERICS_RESEARCH_2026-06-29.md\t100644\tec2049f68a3f369b6911d9c013d5f3fb10400303\t8c7b5b20fbe396d1531e9371dd6678bcca7ca6591bed7d4e527170c483f34ccc\t6725\ta0f381a658d5aa8fb97f0d1a411f35b9cabee30d\t2026-06-29\tGR-numerics research for the D1 fix (deep-research, 25 claims verified, primary sources)\t7\tarchive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/pre_native_coupled/D1_FIX_DESIGN.md;native_action_arm_c_2026-07-18/OUTER_TRANSCRIPT.txt;native_action_stage2_2026-07-18/arm_A/OUTER_TRANSCRIPT.txt;
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	119	5992	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	LIVE.md\t100644\t91708da8d00683f09d9995c890c011103001597b\tf0d2d89c29111d145e756a8c486d0c58f9b114e473920b3ba81ea7c6851d49e9\t42922\tbfa0b9a9371fab0266315bc2bb6845b8a7446a18\t2026-07-18\tAdd GR to UDT selector audit and external verifier\t132\t.claude/hooks/corral_trigger.py;AGENTS.md;CLAUDE.md;COGNITIVE_CORRAL_TRIGGERS_SETUP.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;H4_N5_whole_cell_criticality_MAP.md;HANDOFF.md;HANDOFF_ARCHIVE.md;INDEX.md;J_of_s_light_deflection_confrontation_MAP.md;LIVE.md;MEMORY.md;NEGATI
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	421	446	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	galerkin_basis.py\t100644\t0e750cb7500fbb40fa3245c3472beb179927b2a1\tbe48ec6be1a87cb674a678e18e1380334ee9986ffd80e2885a6370c1bfdf975e\t12067\t7877242d5ff8dc208e0a67085f275451d7de6524\t2026-06-30\tGalerkin BC-recombined basis: conditioning FIXED (38x), flooring blocked on seal-BC discretization mismatch\t9\tHANDOFF_ARCHIVE.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/pre_native_coupled/D1_FIX_DESIGN.md;codex_rehearsal_transcript.txt;embedde
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	531	394	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	"matter_amplitude_native_MAP_2026-06-29.md\t100644\te9f7d7513fce60e1d5d5bcfee3992f66a40d0168\tdcec8d8d10ab90f049b91e23bb74aa0d4f6a973be2184e6458b8dda1cdc7606c\t8631\t715c8e44f6f03a31e589a8f7153b56b0fdbdf6e2\t2026-06-29\t""Amplitude fork RESOLVED + blind-verified: the """"more complete"""" object is a gated import, not native""\t2\tarchive/LIVE_basin_D1_galerkin_arc_2026-06-30.md;archive/pre_native_coupled/D1_FIX_DESIGN.md\tTEXT_REFERENCE\tMOVE_CANDIDATE\tdocumentation suitable for later grouped relocation"
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	727	597	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	p1_residual_general_einstein.py\t100644\t9464385720d34c8d9354dc1ed8b928292e3adf78\t7ad1bb9cb96290272458ab19b3b04677946d7aa414e0a5ec96e57b35e2ab550e\t33844\t78939836326cb822e22b2a72bfd8097365185aa6\t2026-07-01\tBasin audit RAN (classify-only) + glm stronger step -> REDIRECT to derive e^{2phi} weight\t21\tHANDOFF_ARCHIVE.md;N5d_solver_build_plan.md;P1_PURITY_HARNESS_MAP.md;STATE.md;archive/EVERYTHING_ON_SOLVER_P2_MAP.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/LIVE_basin_D1_galerkin_arc_2
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	756	305	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	pre_native_era_census.md\t100644\td93cbf2c7802b0ab717eaffbc88070ef0f810569\tde9eaa2b4804c61465f837c771fd639357da8074891505d33d973033803ab2ec\t10132\tb108d492c324750b4e3fd7084ea543b4cd54a786\t2026-07-06\tLive macro-spine provenance pass (3 classifiers + adversarial): no quarantine, N5d unaffected.\t56\tCLAUDE.md;D1_FIX_DESIGN.md;EXTERNAL_AUDIT_2026-06-30.md;HANDOFF_ARCHIVE.md;INDEX.md;NEGATIVES_REGISTRY.md;PROVENANCE_AUDIT_2026-06-30.md;SOLVER_AUDIT_2026-06-29.md;UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	775	522	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	-	seal_junction_condition_results.md\t100644\t2303264c4fab3aef9c86ee97f9b27494b0032555\tda4d2d4c684dbcbf97650d975de371520e487260afac8cf31e23713337797e62\t18147\t2235ef450e040db86c10b83ae66164596314fcc9\t2026-06-21\tF4 CLOSES: the seal is not a classical quantizer -> must-quantize unconditional w.r.t. the seal (verified)\t19\tCANON.md;F5_critical_universe_closure_results.md;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md;HANDOFF_ARCHIVE.md;NEGATIVES_REGISTRY.md;P1P5_reaudit_vs_derived_operator_results.md;STATE.md;archiv
D1_FIX_DESIGN.md	seal_matching_junction_results.md	56	4	TEXT_REFERENCE	TEXT_REFERENCE	RESOLVED_TRACKED	YES	FROZEN_EVIDENCE	FROZEN_SOURCE	NO	-	`D1_FIX_DESIGN.md` odd/Dirichlet reading — a *different physical setup*, not a contradiction of Class A.)
EXTERNAL_AUDIT_2026-06-30.md	EXTERNAL_AUDIT_2026-06-30.md	1	52	TEXT_REFERENCE	TEXT_REFERENCE	RESOLVED_TRACKED	NO	ARCHIVE_CANDIDATE	SELF_PROVENANCE_REFERENCE	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	> **MOVED 2026-07-06 → `archive/pre_native_coupled/EXTERNAL_AUDIT_2026-06-30.md` (pre-native-era census).**
EXTERNAL_AUDIT_2026-06-30.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	28	97	TEXT_REFERENCE	TEXT_REFERENCE	RESOLVED_TRACKED	NO	NON_ROOT	NON_FROZEN_LIVE_POINTER	YES	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	first-class in the gate's import graph; hooks are reminders not guards. (Full external audit = `EXTERNAL_AUDIT_2026-06-30.md`.)
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	154	1	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	EXTERNAL_AUDIT_2026-06-30.md\t1\tTEXT_REFERENCE\tTEXT_REFERENCE\tEXTERNAL_AUDIT_2026-06-30.md\tEXTERNAL_AUDIT_2026-06-30.md\tRESOLVED_TRACKED\t-
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	154	62	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	EXTERNAL_AUDIT_2026-06-30.md\t1\tTEXT_REFERENCE\tTEXT_REFERENCE\tEXTERNAL_AUDIT_2026-06-30.md\tEXTERNAL_AUDIT_2026-06-30.md\tRESOLVED_TRACKED\t-
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	154	91	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	EXTERNAL_AUDIT_2026-06-30.md\t1\tTEXT_REFERENCE\tTEXT_REFERENCE\tEXTERNAL_AUDIT_2026-06-30.md\tEXTERNAL_AUDIT_2026-06-30.md\tRESOLVED_TRACKED\t-
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	155	1	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	EXTERNAL_AUDIT_2026-06-30.md\t3\tTEXT_REFERENCE\tTEXT_REFERENCE\tpre_native_era_census.md\tpre_native_era_census.md\tRESOLVED_TRACKED\t-
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1990	83	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md\t28\tTEXT_REFERENCE\tTEXT_REFERENCE\tEXTERNAL_AUDIT_2026-06-30.md\tEXTERNAL_AUDIT_2026-06-30.md\tRESOLVED_TRACKED\t-
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1990	112	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md\t28\tTEXT_REFERENCE\tTEXT_REFERENCE\tEXTERNAL_AUDIT_2026-06-30.md\tEXTERNAL_AUDIT_2026-06-30.md\tRESOLVED_TRACKED\t-
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2498	28	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	archive/pre_native_coupled/EXTERNAL_AUDIT_2026-06-30.md\t6\tTEXT_REFERENCE\tTEXT_REFERENCE\tLIVE.md\tLIVE.md\tRESOLVED_TRACKED\t-
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2499	28	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	archive/pre_native_coupled/EXTERNAL_AUDIT_2026-06-30.md\t11\tTEXT_REFERENCE\tTEXT_REFERENCE\tsolver_action.py\tsolver_action.py\tRESOLVED_TRACKED\t-
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	88	1	TEXT_SCAN	EXACT_TEXT	RESOLVED_EXACT	NO	NON_ROOT	R0_HISTORICAL_SNAPSHOT	NO	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	EXTERNAL_AUDIT_2026-06-30.md\t100644\t3a77b115b3893f755f71b3297a2ec6f2ce6a3bad\t8e629e00770bd5e0cf0a02ccc8b1fe65e188eaa69198d324396401e04dcc8d05\t293\ta77d633023824250f8d97e865f774b5b49a2d7b5\t2026-07-06\tPre-native-era provenance census + organization (date-based, 2 adversarial passes).\t2\tEXTERNAL_AUDIT_2026-06-30.md;archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md\tTEXT_REFERENCE\tARCHIVE_CANDIDATE\tdocument-level superseded/retracted/archive marker; audit required
