source	old_target	new_target	occurrences	lines	source_frozen	rewrite_mode
branch_operator_contamination_ledger.md	b1prime_round_gate_derived_operator_results.md	archive/pre_2026-07-01/b1prime_round_gate_derived_operator_results.md	1	74	NO	EXACT_PATH_TOKEN_ONLY
branch_operator_contamination_ledger.md	coupled_timelive_solve_results.md	archive/pre_2026-07-01/coupled_timelive_solve_results.md	1	73	NO	EXACT_PATH_TOKEN_ONLY
branch_operator_contamination_ledger.md	matter_object_identity_native_vs_import_results.md	archive/pre_2026-07-01/matter_object_identity_native_vs_import_results.md	1	79	NO	EXACT_PATH_TOKEN_ONLY
branch_operator_contamination_ledger.md	p1_offdiag_wiring_results.md	archive/pre_2026-07-01/p1_offdiag_wiring_results.md	1	78	NO	EXACT_PATH_TOKEN_ONLY
branch_operator_contamination_ledger.md	static_soliton_rerun_derived_operator_results.md	archive/pre_2026-07-01/static_soliton_rerun_derived_operator_results.md	1	70	NO	EXACT_PATH_TOKEN_ONLY
d2b_no_structure_in_G.md	timelive_nonround_native_solve_results.md	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	1	16	NO	EXACT_PATH_TOKEN_ONLY
legacy/root_oneoffs_2026-07-01/coupled_tl_gates.py	coupled_timelive_solve_CONTRACT.md	archive/pre_2026-07-01/coupled_timelive_solve_CONTRACT.md	1	7	NO	EXACT_PATH_TOKEN_ONLY
legacy/root_oneoffs_2026-07-01/coupled_tl_s2_derive.py	coupled_timelive_solve_CONTRACT.md	archive/pre_2026-07-01/coupled_timelive_solve_CONTRACT.md	1	5	NO	EXACT_PATH_TOKEN_ONLY
legacy/root_oneoffs_2026-07-01/coupled_tl_stage1a.py	coupled_timelive_solve_CONTRACT.md	archive/pre_2026-07-01/coupled_timelive_solve_CONTRACT.md	1	11	NO	EXACT_PATH_TOKEN_ONLY
legacy/root_oneoffs_2026-07-01/d1_determinacy_check.py	SOLVER_AUDIT_2026-06-29.md	archive/pre_2026-07-01/SOLVER_AUDIT_2026-06-29.md	1	2	NO	EXACT_PATH_TOKEN_ONLY
legacy/root_oneoffs_2026-07-01/native_tier_d_round2_test.py	lepton_ladder_test_results.md	archive/pre_2026-07-01/lepton_ladder_test_results.md	1	43	NO	EXACT_PATH_TOKEN_ONLY
legacy/root_oneoffs_2026-07-01/quantized_carrier_structure.py	timelive_nonround_native_solve_results.md	archive/pre_2026-07-01/timelive_nonround_native_solve_results.md	1	12	NO	EXACT_PATH_TOKEN_ONLY
lepton_ladder_falsification_contract.md	lepton_ladder_test_results.md	archive/pre_2026-07-01/lepton_ladder_test_results.md	1	7	NO	EXACT_PATH_TOKEN_ONLY
r1_route_fork_native_derivation.md	F1F3_closure_results.md	archive/pre_2026-07-01/F1F3_closure_results.md	2	49;150	NO	EXACT_PATH_TOKEN_ONLY
regrade_S2_defect_2026-07-04.md	coupled_timelive_solve_results.md	archive/pre_2026-07-01/coupled_timelive_solve_results.md	1	113	NO	EXACT_PATH_TOKEN_ONLY
regrade_S2_defect_2026-07-04.md	matter_object_identity_native_vs_import_results.md	archive/pre_2026-07-01/matter_object_identity_native_vs_import_results.md	1	14	NO	EXACT_PATH_TOKEN_ONLY
