sample	cap	shell_id	z_lo	z_hi	data_count	random_count	r1_status	W0_UNIT_sumw	W0_UNIT_sumw2	W1_SPECTRO_sumw	W1_SPECTRO_sumw2	W2_IMAGING_sumw	W2_IMAGING_sumw2	W3_OFFICIAL_OBS_sumw	W3_OFFICIAL_OBS_sumw2
CMASS	North	50	0.65	0.66	11100	574875	SAMPLED	11100	11100	11874.284211277962	13965.182229046453	11010.304565608501	10955.690560754792	11780.251904537025	13806.226825097025
CMASS	North	51	0.66	0.67	9724	505283	SAMPLED	9724	9724	10436.767150521278	12690.96628395371	9654.1399490833282	9617.2010124343724	10358.184045673093	12528.348032672131
CMASS	North	52	0.67	0.68	8257	423792	SAMPLED	8257	8257	8748.3555581569672	10072.182751081955	8193.1182718276978	8156.5426178108355	8683.7863564157778	9975.9694078215125
CMASS	North	53	0.68	0.69	6975	363419	SAMPLED	6975	6975	7493.4204189777374	9080.2765328673631	6921.5850538611412	6891.9997260384425	7440.057882473151	9011.2776302514449
CMASS	North	54	0.69	0.70	5969	304984	SAMPLED	5969	5969	6310.7665768861771	7321.7258437625851	5920.5164274573326	5890.996904936108	6260.1911655314489	7240.5497268630797
CMASS	South	28	0.43	0.44	3423	168479	SAMPLED	3423	3423	3596.3665544986725	3966.2109593701416	3443.7514445185661	3484.9625763442455	3621.2466718856458	4062.3870100697177
CMASS	South	29	0.44	0.45	5156	255651	SAMPLED	5156	5156	5458.734942317009	6163.8520921571762	5183.8409284353256	5241.0553237158292	5486.4050289149491	6254.8091707984058
CMASS	South	30	0.45	0.46	7314	361960	SAMPLED	7314	7314	7738.8432221412659	8695.1320057674311	7339.6290829181671	7408.6813679107036	7765.0564005756969	8798.0779982037529
CMASS	South	31	0.46	0.47	8689	434950	SAMPLED	8689	8689	9273.227081656456	10586.767351099094	8722.4838581085205	8802.652034079083	9311.7389701372158	10748.905783972126
CMASS	South	32	0.47	0.48	9688	486494	SAMPLED	9688	9688	10346.191811561584	11905.761574814613	9763.0396221876144	9900.4980213603703	10423.274204890244	12159.63373810437
CMASS	South	33	0.48	0.49	11128	557799	SAMPLED	11128	11128	11847.437276959419	13492.484907095375	11209.438286066055	11360.147831795024	11938.531985858901	13829.893592722354
CMASS	South	34	0.49	0.50	11608	583094	SAMPLED	11608	11608	12417.253275513649	14307.292028723794	11702.223768353462	11875.136735840711	12520.441316496113	14661.270025052048
CMASS	South	35	0.50	0.51	11551	581581	SAMPLED	11551	11551	12364.098903656006	14284.769067176914	11661.448291301727	11860.037042465256	12478.340594652445	14622.043360552467
CMASS	South	36	0.51	0.52	11156	562887	SAMPLED	11156	11156	11962.580803751945	13835.225513478919	11258.119934439659	11441.61234490441	12078.052361418177	14230.991764603355
CMASS	South	37	0.52	0.53	11426	574665	SAMPLED	11426	11426	12200.216889739037	13997.435947461108	11557.573921144009	11778.231389939358	12346.22337679259	14477.143998962751
CMASS	South	38	0.53	0.54	10760	542310	SAMPLED	10760	10760	11527.098525762558	13227.485794507287	10882.383958816528	11095.149153179002	11655.085200316165	13617.030761861952
CMASS	South	39	0.54	0.55	10720	541409	SAMPLED	10720	10720	11513.706409215927	13543.260361950841	10824.470571041107	11014.610171477885	11634.417122097904	14030.504425710666
CMASS	South	40	0.55	0.56	11254	565714	SAMPLED	11254	11254	12024.441119432449	14048.462764010335	11358.534524023533	11556.039972980472	12138.441537403356	14473.466346307137
CMASS	South	41	0.56	0.57	10312	525239	SAMPLED	10312	10312	11106.529067993164	13199.759689421866	10445.782472968102	10671.067726646459	11250.697944060199	13659.664248735598
CMASS	South	42	0.57	0.58	10116	509551	SAMPLED	10116	10116	10808.101505160332	12531.492431524866	10248.030918776989	10471.299312284171	10951.060617360756	13000.936126182905
CMASS	South	43	0.58	0.59	8851	447772	SAMPLED	8851	8851	9487.9757046699524	11383.593478288383	8964.6775053739548	9158.9078132206851	9611.259386784961	11764.641269411159
CMASS	South	44	0.59	0.60	8757	444879	SAMPLED	8757	8757	9430.1704692840576	11223.469278643541	8884.0798902511597	9102.1593993113693	9562.641113774298	11622.78087369919
CMASS	South	45	0.60	0.61	7645	388538	SAMPLED	7645	7645	8214.1825243234634	9895.8445996209375	7750.1353844404221	7933.4962278738649	8338.2115964956047	10429.601567362581
CMASS	South	46	0.61	0.62	7115	361702	SAMPLED	7115	7115	7636.2430666685104	9194.5811970696068	7217.4978804588318	7391.7074262482683	7754.9746387334735	9727.2918520612948
CMASS	South	47	0.62	0.63	6321	320926	SAMPLED	6321	6321	6773.7859864234924	8081.8267360478576	6422.714014351368	6590.3235818121793	6885.4645755951315	8460.3162705312279
CMASS	South	48	0.63	0.64	5299	268278	SAMPLED	5299	5299	5671.1108882427216	6758.0080683785109	5382.8991765975952	5526.4064253049373	5763.8671230278724	7097.7134913242717
CMASS	South	49	0.64	0.65	4601	233558	SAMPLED	4601	4601	4926.2768886089325	5890.0356889537634	4682.31110227108	4814.9363224738345	5014.1460521252884	6182.6474590978005
CMASS	South	50	0.65	0.66	4067	209015	SAMPLED	4067	4067	4404.3501607179642	5567.7574466883871	4141.1551250219345	4263.8903173463859	4485.4452510890169	5846.0180512964926
CMASS	South	51	0.66	0.67	3645	186238	SAMPLED	3645	3645	3907.6996765136719	4806.6468297739066	3706.9821652770042	3812.177170632835	3978.5321216690945	5089.8501938437084
CMASS	South	52	0.67	0.68	3044	153172	SAMPLED	3044	3044	3243.0998179912567	3940.5094212637869	3083.5112370252609	3156.1200026810679	3288.17621959592	4132.1124889942521
CMASS	South	53	0.68	0.69	2618	132181	SAMPLED	2618	2618	2789.5563981533051	3382.8044149693915	2656.6249033212662	2724.4869674169613	2831.4918678200406	3535.0055566630044
CMASS	South	54	0.69	0.70	2162	109903	SAMPLED	2162	2162	2316.3684533834457	2879.0065341582804	2199.9401507973671	2265.8949328038398	2355.8188379471294	2984.2722812547331
LOWZ	North	0	0.15	0.16	5232	255707	SAMPLED	5232	5232	5257	5309	5232	5232	5257	5309
LOWZ	North	1	0.16	0.17	5744	279198	SAMPLED	5744	5744	5774	5846	5744	5744	5774	5846
LOWZ	North	2	0.17	0.18	5891	287896	SAMPLED	5891	5891	5918	5972	5891	5891	5918	5972
LOWZ	North	3	0.18	0.19	6000	292768	SAMPLED	6000	6000	6034	6104	6000	6000	6034	6104
LOWZ	North	4	0.19	0.20	6281	306212	SAMPLED	6281	6281	6324	6412	6281	6281	6324	6412
LOWZ	North	5	0.20	0.21	6312	308493	SAMPLED	6312	6312	6371	6495	6312	6312	6371	6495
LOWZ	North	6	0.21	0.22	6362	312398	SAMPLED	6362	6362	6438	6602	6362	6362	6438	6602
LOWZ	North	7	0.22	0.23	7737	380666	SAMPLED	7737	7737	7843	8069	7737	7737	7843	8069
LOWZ	North	8	0.23	0.24	7646	375988	SAMPLED	7646	7646	7771	8033	7646	7646	7771	8033
LOWZ	North	9	0.24	0.25	7225	356509	SAMPLED	7225	7225	7354	7628	7225	7225	7354	7628
LOWZ	North	10	0.25	0.26	7300	360613	SAMPLED	7300	7300	7426	7696	7300	7300	7426	7696
LOWZ	North	11	0.26	0.27	7826	385794	SAMPLED	7826	7826	7967	8259	7826	7826	7967	8259
LOWZ	North	12	0.27	0.28	7932	393766	SAMPLED	7932	7932	8098	8444	7932	7932	8098	8444
LOWZ	North	13	0.28	0.29	8213	406186	SAMPLED	8213	8213	8378	8736	8213	8213	8378	8736
LOWZ	North	14	0.29	0.30	9221	457072	SAMPLED	9221	9221	9406	9800	9221	9221	9406	9800
LOWZ	North	15	0.30	0.31	9751	482558	SAMPLED	9751	9751	9957	10401	9751	9751	9957	10401
LOWZ	North	16	0.31	0.32	11023	545561	SAMPLED	11023	11023	11246	11708	11023	11023	11246	11708
LOWZ	North	17	0.32	0.33	11836	588521	SAMPLED	11836	11836	12116	12710	11836	11836	12116	12710
LOWZ	North	18	0.33	0.34	13202	655270	SAMPLED	13202	13202	13511	14169	13202	13202	13511	14169
LOWZ	North	19	0.34	0.35	13371	665151	SAMPLED	13371	13371	13715	14465	13371	13371	13715	14465
LOWZ	North	20	0.35	0.36	12731	633019	SAMPLED	12731	12731	13032	13668	12731	12731	13032	13668
LOWZ	North	21	0.36	0.37	11997	598058	SAMPLED	11997	11997	12286	12882	11997	11997	12286	12882
LOWZ	North	22	0.37	0.38	11771	585471	SAMPLED	11771	11771	12055	12663	11771	11771	12055	12663
LOWZ	North	23	0.38	0.39	10601	526080	SAMPLED	10601	10601	10843	11347	10601	10601	10843	11347
LOWZ	North	24	0.39	0.40	10271	509973	SAMPLED	10271	10271	10501	10997	10271	10271	10501	10997
LOWZ	North	25	0.40	0.41	9614	477754	SAMPLED	9614	9614	9840	10304	9614	9614	9840	10304
LOWZ	North	26	0.41	0.42	8946	443125	SAMPLED	8946	8946	9129	9511	8946	8946	9129	9511
LOWZ	North	27	0.42	0.43	8201	406216	SAMPLED	8201	8201	8376	8748	8201	8201	8376	8748
LOWZ	South	0	0.15	0.16	2634	127434	SAMPLED	2634	2634	2715	2897	2634	2634	2715	2897
LOWZ	South	1	0.16	0.17	2525	121972	SAMPLED	2525	2525	2585	2711	2525	2525	2585	2711
LOWZ	South	2	0.17	0.18	2892	139582	SAMPLED	2892	2892	2974	3154	2892	2892	2974	3154
LOWZ	South	3	0.18	0.19	3019	146900	SAMPLED	3019	3019	3111	3325	3019	3019	3111	3325
LOWZ	South	4	0.19	0.20	3066	149831	SAMPLED	3066	3066	3174	3412	3066	3066	3174	3412
LOWZ	South	5	0.20	0.21	2771	133374	SAMPLED	2771	2771	2850	3018	2771	2771	2850	3018
LOWZ	South	6	0.21	0.22	2961	143669	SAMPLED	2961	2961	3059	3263	2961	2961	3059	3263
LOWZ	South	7	0.22	0.23	3273	159325	SAMPLED	3273	3273	3380	3614	3273	3273	3380	3614
LOWZ	South	8	0.23	0.24	3665	180282	SAMPLED	3665	3665	3803	4099	3665	3665	3803	4099
LOWZ	South	9	0.24	0.25	3368	165080	SAMPLED	3368	3368	3491	3759	3368	3368	3491	3759
LOWZ	South	10	0.25	0.26	3725	181435	SAMPLED	3725	3725	3867	4177	3725	3725	3867	4177
LOWZ	South	11	0.26	0.27	3570	174584	SAMPLED	3570	3570	3689	3935	3570	3570	3689	3935
LOWZ	South	12	0.27	0.28	3694	179396	SAMPLED	3694	3694	3815	4099	3694	3694	3815	4099
LOWZ	South	13	0.28	0.29	3745	182090	SAMPLED	3745	3745	3872	4150	3745	3745	3872	4150
LOWZ	South	14	0.29	0.30	4526	220483	SAMPLED	4526	4526	4687	5029	4526	4526	4687	5029
LOWZ	South	15	0.30	0.31	4736	231945	SAMPLED	4736	4736	4919	5333	4736	4736	4919	5333
LOWZ	South	16	0.31	0.32	4621	227393	SAMPLED	4621	4621	4828	5296	4621	4621	4828	5296
LOWZ	South	17	0.32	0.33	5167	254456	SAMPLED	5167	5167	5409	5945	5167	5167	5409	5945
LOWZ	South	18	0.33	0.34	6014	296751	SAMPLED	6014	6014	6274	6850	6014	6014	6274	6850
LOWZ	South	19	0.34	0.35	5700	280694	SAMPLED	5700	5700	5950	6492	5700	5700	5950	6492
LOWZ	South	20	0.35	0.36	5296	259520	SAMPLED	5296	5296	5489	5927	5296	5296	5489	5927
LOWZ	South	21	0.36	0.37	5808	284005	SAMPLED	5808	5808	6027	6511	5808	5808	6027	6511
LOWZ	South	22	0.37	0.38	5327	261564	SAMPLED	5327	5327	5543	6031	5327	5327	5543	6031
LOWZ	South	23	0.38	0.39	5224	256499	SAMPLED	5224	5224	5451	5973	5224	5224	5451	5973
LOWZ	South	24	0.39	0.40	4548	222455	SAMPLED	4548	4548	4715	5085	4548	4548	4715	5085
LOWZ	South	25	0.40	0.41	4515	220854	SAMPLED	4515	4515	4671	5009	4515	4515	4671	5009
LOWZ	South	26	0.41	0.42	3816	186373	SAMPLED	3816	3816	3946	4220	3816	3816	3946	4220
LOWZ	South	27	0.42	0.43	3319	162048	SAMPLED	3319	3319	3431	3671	3319	3319	3431	3671
