phase	sample	cap	factor	group	wall_seconds	max_rss_gib	threads
components	LOWZ	North	1	8	11.769808	1.634430	8
components	LOWZ	North	1	9	10.417767	1.634430	8
components	LOWZ	North	1	10	10.547363	1.634430	8
components	LOWZ	North	1	11	12.078608	1.634430	8
components	LOWZ	North	1	12	12.506238	1.634430	8
components	LOWZ	North	1	13	13.338401	1.634430	8
components	LOWZ	North	1	14	16.805998	1.634430	8
components	LOWZ	North	1	15	18.738416	1.634430	8
components	LOWZ	North	1	16	24.160030	1.634430	8
components	LOWZ	North	1	17	27.508373	1.634430	8
components	LOWZ	North	1	18	34.484886	1.634430	8
components	LOWZ	North	1	19	34.907540	1.634430	8
components	LOWZ	North	1	20	31.376707	1.634430	8
components	LOWZ	North	1	21	28.087963	1.634430	8
components	LOWZ	North	1	22	26.865671	1.634430	8
components	LOWZ	North	1	23	22.299047	1.634430	8
components	LOWZ	North	1	24	20.783760	1.634430	8
components	LOWZ	North	1	25	18.568178	1.634430	8
components	LOWZ	North	1	26	16.092670	1.634430	8
components	LOWZ	North	1	27	13.466717	1.634430	8
components	LOWZ	North	2	0	23.441921	1.634430	8
components	LOWZ	North	2	1	27.753827	1.634430	8
components	LOWZ	North	2	2	30.858036	1.634430	8
components	LOWZ	North	2	3	38.724531	1.634430	8
components	LOWZ	North	2	4	43.789493	1.634430	8
components	LOWZ	North	2	5	44.452503	1.634430	8
components	LOWZ	North	2	6	51.435238	1.634430	8
components	LOWZ	North	2	7	70.517655	1.634430	8
components	LOWZ	North	2	8	102.006608	1.634430	8
components	LOWZ	North	2	9	137.104912	1.634430	8
components	LOWZ	North	2	10	117.938041	1.634430	8
components	LOWZ	North	2	11	97.217808	1.634430	8
components	LOWZ	North	2	12	77.195233	1.634430	8
components	LOWZ	North	2	13	57.634929	1.634430	8
components	LOWZ	North	4	0	100.695308	1.634430	8
components	LOWZ	North	4	1	137.362887	1.634430	8
components	LOWZ	North	4	2	175.207769	1.634430	8
components	LOWZ	North	4	3	241.312448	1.634430	8
components	LOWZ	North	4	4	474.008391	1.634430	8
components	LOWZ	North	4	5	425.833541	1.634430	8
components	LOWZ	North	4	6	267.401742	1.634430	8
components	LOWZ	South	1	0	3.040410	1.634430	8
components	LOWZ	South	1	1	2.696068	1.634430	8
components	LOWZ	South	1	2	3.503519	1.634430	8
components	LOWZ	South	1	3	3.738081	1.634430	8
components	LOWZ	South	1	4	4.022032	1.634430	8
components	LOWZ	South	1	5	3.254259	1.634430	8
components	LOWZ	South	1	6	3.668052	1.634430	8
components	LOWZ	South	1	7	4.574980	1.634430	8
components	LOWZ	South	1	8	5.533437	1.634430	8
components	LOWZ	South	1	9	4.734051	1.634430	8
components	LOWZ	South	1	10	5.870268	1.634430	8
components	LOWZ	South	1	11	5.423890	1.634430	8
components	LOWZ	South	1	12	5.787656	1.634430	8
components	LOWZ	South	1	13	6.088185	1.634430	8
components	LOWZ	South	1	14	8.597023	1.634430	8
components	LOWZ	South	1	15	9.377977	1.634430	8
components	LOWZ	South	1	16	8.943097	1.634430	8
components	LOWZ	South	1	17	11.021247	1.634430	8
components	LOWZ	South	1	18	14.860152	1.634430	8
components	LOWZ	South	1	19	13.518907	1.634430	8
components	LOWZ	South	1	20	11.523091	1.634430	8
components	LOWZ	South	1	21	13.896609	1.634430	8
components	LOWZ	South	1	22	11.737278	1.634430	8
components	LOWZ	South	1	23	11.523336	1.634430	8
components	LOWZ	South	1	24	8.675271	1.634430	8
components	LOWZ	South	1	25	8.713880	1.634430	8
components	LOWZ	South	1	26	5.995695	1.634430	8
components	LOWZ	South	1	27	4.688951	1.634430	8
components	LOWZ	South	2	0	11.166570	1.634430	8
components	LOWZ	South	2	1	14.075705	1.634430	8
components	LOWZ	South	2	2	13.815299	1.634430	8
components	LOWZ	South	2	3	15.929411	1.634430	8
components	LOWZ	South	2	4	20.077032	1.634430	8
components	LOWZ	South	2	5	21.835118	1.634430	8
components	LOWZ	South	2	6	23.416993	1.634430	8
components	LOWZ	South	2	7	35.577800	1.634430	8
components	LOWZ	South	2	8	39.509230	1.634430	8
components	LOWZ	South	2	9	55.744112	1.634430	8
components	LOWZ	South	2	10	49.897002	1.634430	8
components	LOWZ	South	2	11	45.656176	1.634430	8
components	LOWZ	South	2	12	33.858251	1.634430	8
components	LOWZ	South	2	13	20.920107	1.634430	8
components	LOWZ	South	4	0	49.928673	1.634430	8
components	LOWZ	South	4	1	58.690797	1.634430	8
components	LOWZ	South	4	2	83.383185	1.634430	8
components	LOWZ	South	4	3	114.909026	1.634430	8
components	LOWZ	South	4	4	188.651711	1.634430	8
components	LOWZ	South	4	5	190.222009	1.634430	8
components	LOWZ	South	4	6	107.485836	1.634430	8
assembly	ALL	ALL	ALL	ALL	6.523145	1.634430	8
