sample	cap	phase	wall_seconds	max_rss_gib
LOWZ	North	random_null_shell_06	13.633643	1.627399
LOWZ	North	random_null_shell_07	19.766099	1.627399
LOWZ	North	random_null_shell_08	19.418467	1.627399
LOWZ	North	random_null_shell_09	17.708078	1.627399
LOWZ	North	random_null_shell_10	17.901594	1.627399
LOWZ	North	random_null_shell_11	20.188978	1.627399
LOWZ	North	random_null_shell_12	20.773175	1.627399
LOWZ	North	random_null_shell_13	21.876525	1.627399
LOWZ	North	random_null_shell_14	26.728666	1.627399
LOWZ	North	random_null_shell_15	29.677319	1.627399
LOWZ	North	random_null_shell_16	36.690007	1.627399
LOWZ	North	random_null_shell_17	41.333498	1.627399
LOWZ	North	random_null_shell_18	50.727054	1.627399
LOWZ	North	random_null_shell_19	52.532932	1.627399
LOWZ	North	random_null_shell_20	47.062619	1.627399
LOWZ	North	random_null_shell_21	42.739675	1.627399
LOWZ	North	random_null_shell_22	41.229761	1.627399
LOWZ	North	random_null_shell_23	34.295266	1.627399
LOWZ	North	random_null_shell_24	32.472030	1.627399
LOWZ	North	random_null_shell_25	28.888745	1.627399
LOWZ	North	random_null_shell_26	25.625226	1.627399
LOWZ	North	random_null_shell_27	22.035939	1.627399
LOWZ	North	random_file_total	742.958688	1.627399
LOWZ	South	random_null_shell_00	3.669352	1.627399
LOWZ	South	random_null_shell_01	3.377912	1.627399
LOWZ	South	random_null_shell_02	4.273716	1.627399
LOWZ	South	random_null_shell_03	4.634713	1.627399
LOWZ	South	random_null_shell_04	4.790451	1.627399
LOWZ	South	random_null_shell_05	3.983665	1.627399
LOWZ	South	random_null_shell_06	4.501201	1.627399
LOWZ	South	random_null_shell_07	5.363691	1.627399
LOWZ	South	random_null_shell_08	6.658500	1.627399
LOWZ	South	random_null_shell_09	5.724226	1.627399
LOWZ	South	random_null_shell_10	6.823261	1.627399
LOWZ	South	random_null_shell_11	6.375285	1.627399
LOWZ	South	random_null_shell_12	6.723321	1.627399
LOWZ	South	random_null_shell_13	6.878577	1.627399
LOWZ	South	random_null_shell_14	9.626833	1.627399
LOWZ	South	random_null_shell_15	10.424063	1.627399
LOWZ	South	random_null_shell_16	9.922872	1.627399
LOWZ	South	random_null_shell_17	12.098331	1.627399
LOWZ	South	random_null_shell_18	15.868687	1.627399
LOWZ	South	random_null_shell_19	14.401457	1.627399
LOWZ	South	random_null_shell_20	12.658206	1.627399
LOWZ	South	random_null_shell_21	14.874210	1.627399
LOWZ	South	random_null_shell_22	12.780666	1.627399
LOWZ	South	random_null_shell_23	12.393557	1.627399
LOWZ	South	random_null_shell_24	9.675503	1.627399
LOWZ	South	random_null_shell_25	9.569658	1.627399
LOWZ	South	random_null_shell_26	7.132716	1.627399
LOWZ	South	random_null_shell_27	5.552071	1.627399
LOWZ	South	random_file_total	234.450114	1.627399
