id	path	role	authority	affirmative_use	prohibition	audit_ruling
R032	c2_finite_cell_boundary_variation_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	authorized seam	CURRENT_NAVIGATION	defines exact join question	not outcome evidence	QUESTION_ONLY
R033	c2_finite_cell_boundary_variation_2026-07-20/STATUS_LEDGER.tsv	parent status ledger	CURRENT_EVIDENCE	exact derived/open labels	no physical polarization promotion	STATUS_SCOPE
R034	c2_rigidity_three_route_zoomout_2026-07-20/AUDIT_REPORT.md	immediate parent zoom-out	CURRENT_EVIDENCE	ranks boundary variation before nonlinear solve	ranking is not outcome authority	PARENT_ROUTE_RANKING
R035	c2_rigidity_three_route_zoomout_2026-07-20/COMPLETENESS_SCOPE.tsv	zoom-out scope census	CURRENT_EVIDENCE	boundary/action/nonlinear omissions	omissions remain open	SCOPE_GATE
R036	c2_rigidity_three_route_zoomout_2026-07-20/DERIVATION_RESULT.json	zoom-out machine result	CURRENT_EVIDENCE	conditional scale and omission checks	inherits conditional C2 premises	PARENT_ALGEBRA
R037	c2_rigidity_three_route_zoomout_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	authorized seam	CURRENT_NAVIGATION	defines finite-cell boundary question	not evidence for outcome	QUESTION_ONLY
R038	c2_rigidity_three_route_zoomout_2026-07-20/ROUTE_COMPARISON.tsv	three-route comparison	CURRENT_EVIDENCE	omission and dependency comparison	no route chosen by physics	ROUTE_SCOPE
R039	c2_rigidity_three_route_zoomout_2026-07-20/STATUS_LEDGER.tsv	zoom-out status ledger	CURRENT_EVIDENCE	scoped rigidity/open labels	no boundary selector promotion	STATUS_SCOPE
R040	c2_time_fiber_shift_jacobi_2026-07-20/AUDIT_REPORT.md	immediate parent audit	CURRENT_EVIDENCE	shift Jacobi rigidity and mandatory zoom-out	linear compact branch only	RIGIDITY_INPUT
R041	c2_time_fiber_shift_jacobi_2026-07-20/COMPLETENESS_SCOPE.tsv	shift scope census	CURRENT_EVIDENCE	nonlinear/boundary/domain omissions	omissions remain open	SCOPE_GATE
R042	c2_time_fiber_shift_jacobi_2026-07-20/DERIVATION_RESULT.json	shift exact output	CURRENT_EVIDENCE	kernel and Bach projection	inherits compact round premises	CONDITIONAL_ALGEBRA
R043	c2_time_fiber_shift_jacobi_2026-07-20/EQUATION_LEDGER.tsv	shift equations	CURRENT_EVIDENCE	Weyl/Bach Jacobi operator	Jacobi order only	CONDITIONAL_ALGEBRA
R044	c2_time_fiber_shift_jacobi_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	authorized zoom-out seam	CURRENT_NAVIGATION	defines three-route comparison	not evidence for outcome	QUESTION_ONLY
R045	c2_time_fiber_shift_jacobi_2026-07-20/STATUS_LEDGER.tsv	shift status ledger	CURRENT_EVIDENCE	exact scoped labels	no nonlinear promotion	STATUS_SCOPE
R046	c2_variable_lapse_selector_2026-07-20/AUDIT_REPORT.md	variable-lapse audit	CURRENT_EVIDENCE	diagonal lapse rigidity and CSN copy	bounded compact branch only	RIGIDITY_INPUT
R047	c2_variable_lapse_selector_2026-07-20/COMPLETENESS_SCOPE.tsv	variable-lapse scope	CURRENT_EVIDENCE	omitted layers	omissions remain open	SCOPE_GATE
R048	c2_variable_lapse_selector_2026-07-20/DERIVATION_RESULT.json	variable-lapse output	CURRENT_EVIDENCE	exact curvature result	inherits premises	CONDITIONAL_ALGEBRA
R049	c2_variable_lapse_selector_2026-07-20/EQUATION_LEDGER.tsv	variable-lapse equations	CURRENT_EVIDENCE	conformal reduction	boundary/shift open	CONDITIONAL_ALGEBRA
R050	c2_variable_lapse_selector_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	parent navigation	CURRENT_NAVIGATION	time/fiber seam	not outcome authority	QUESTION_HISTORY
R051	c2_variable_lapse_selector_2026-07-20/STATUS_LEDGER.tsv	variable-lapse ledger	CURRENT_EVIDENCE	exact scoped labels	no UDT-wide promotion	STATUS_SCOPE
R052	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	immediate parent audit	CURRENT_EVIDENCE	multiple complete conditional coframe lifts and missing selector	no physical lift or boundary promotion	PARENT_COFRAME_FORK
R053	complete_coframe_seal_involution_2026-07-20/BLOCK_REALIZATION_LEDGER.tsv	block realization census	CURRENT_EVIDENCE	diagonal obstruction and conditional K family	K-as-physical metric remains chosen	BLOCK_FORK
R054	complete_coframe_seal_involution_2026-07-20/COMPLETE_EXTENSION_WITNESSES.tsv	complete witness census	CURRENT_EVIDENCE	inequivalent conditional lifts	witnesses are not realized universes	WITNESS_SCOPE
R055	complete_coframe_seal_involution_2026-07-20/DERIVATION_RESULT.json	parent exact output	CURRENT_EVIDENCE	matrix and angular involution classification	not a nonlinear solution theorem	PARENT_ALGEBRA
R056	complete_coframe_seal_involution_2026-07-20/EXTENSION_FAMILY_LEDGER.tsv	extension family census	CURRENT_EVIDENCE	angular normal time and global alternatives	none selected	EXTENSION_FORK
R057	complete_coframe_seal_involution_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	authorized solution-space seam	CURRENT_NAVIGATION	comparative nonlinear branch question	not evidence for outcome	QUESTION_ONLY
R058	complete_coframe_seal_involution_2026-07-20/REQUIREMENT_MATRIX.tsv	completion requirements	CURRENT_EVIDENCE	ten physical completion gates	open gates stay open	SCOPE_GATE
R059	complete_coframe_seal_involution_2026-07-20/STATUS_LEDGER.tsv	parent status ledger	CURRENT_EVIDENCE	exact founded conditional and open labels	no unique completion promotion	STATUS_SCOPE
R060	copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	co-presence audit	CURRENT_EVIDENCE	membership versus causal/response distinction	no action or boundary selector	COPRESENCE_SCOPE
R061	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	co-presence ledger	CURRENT_EVIDENCE	C03-C05 conformal causal statuses	no physical calibration	STATUS_SCOPE
R062	copresence_gr_constraint_regrade_2026-07-19/DERIVATION_REPORT.md	constraint regrade	CURRENT_EVIDENCE	global admissibility not off-shell equation	no native ADM/lapse/shift import	OFFSHELL_SCOPE
R063	copresence_gr_constraint_regrade_2026-07-19/RECLASSIFICATION_TABLE.tsv	constraint role table	CURRENT_EVIDENCE	R07 R18 R24-R26 roles	no parent-law promotion	STATUS_SCOPE
R064	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	immediate parent audit	CURRENT_EVIDENCE	partial seal data and raw-swap obstruction	no complete coframe or boundary promotion	PARENT_PARTIAL_JOIN
R065	finite_cell_seal_boundary_phase_join_2026-07-20/CLAUSE_TO_BOUNDARY_SLOT.tsv	foundation-to-slot map	CURRENT_EVIDENCE	maps supplied clauses to partial data	no missing slot invented	CLAUSE_SCOPE
R066	finite_cell_seal_boundary_phase_join_2026-07-20/DERIVATION_RESULT.json	parent exact output	CURRENT_EVIDENCE	tangent rank mirror and swap identities	not a complete physical symmetry	PARENT_ALGEBRA
R067	finite_cell_seal_boundary_phase_join_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	authorized seam	CURRENT_NAVIGATION	defines exact complete-coframe question	not outcome evidence	QUESTION_ONLY
R068	finite_cell_seal_boundary_phase_join_2026-07-20/OUTCOME_BRANCH_LEDGER.tsv	parent outcome branches	CURRENT_EVIDENCE	partial-seal branch classification	does not settle extension audit	QUESTION_PARENT
R069	finite_cell_seal_boundary_phase_join_2026-07-20/SLOT_COVERAGE.tsv	parent slot census	CURRENT_EVIDENCE	enumerates missing boundary slots	open slots remain open	SCOPE_GATE
R070	finite_cell_seal_boundary_phase_join_2026-07-20/STATUS_LEDGER.tsv	parent status ledger	CURRENT_EVIDENCE	exact derived/open labels	no physical involution promotion	STATUS_SCOPE
R071	finite_cell_seal_boundary_phase_join_2026-07-20/STRONGEST_JOIN_CHALLENGES.tsv	parent adversarial challenges	CURRENT_EVIDENCE	strongest seal-selector counterarguments	challenges are not completion	CHALLENGE_INPUT
R072	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	dimensional audit	CURRENT_EVIDENCE	coefficient ruler	no scale promotion	DIMENSIONAL_GATE
R073	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	dimensional ledger	CURRENT_EVIDENCE	scale statuses	no scale promotion	STATUS_SCOPE
R074	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	whole-metric Cartan audit	CURRENT_EVIDENCE	full coframe census	Cartan identities are not EOM	METRIC_COMPLETENESS_WARNING
R075	metric_cartan_holonomy_audit_2026-07-19/STATUS_LEDGER.tsv	Cartan status ledger	CURRENT_EVIDENCE	derived/open distinctions	no action promotion	STATUS_SCOPE
R076	native_action_final_adjudication_2026-07-18/COUNTERMODEL_COMPLETENESS_FINAL.tsv	completeness correction	HARD_FROZEN_POST_FIREWALL	countermodel limits	no complete-universe claim	FROZEN_SCOPE
R077	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	final action ruling	HARD_FROZEN_POST_FIREWALL	C2/EH/action distinctions	immutable; no strengthening	FROZEN_ACTION_STATUS
R078	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	final status ledger	HARD_FROZEN_POST_FIREWALL	UNIQUE-CONDITIONAL and OPEN labels	immutable	FROZEN_ACTION_STATUS
R079	native_action_final_adjudication_2026-07-18/MECHANICAL_AGREEMENT_DISAGREEMENT.tsv	frozen final adjudication	HARD_FROZEN_POST_FIREWALL	M06 parity and M19 boundary ruling	immutable; no strengthening	FROZEN_BOUNDARY_STATUS
R080	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	topology audit	CURRENT_EVIDENCE	Hopf capability caveat	topology does not set action	TOPOLOGY_SCOPE
R081	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	topology ledger	CURRENT_EVIDENCE	topology/carrier labels	no carrier promotion	STATUS_SCOPE
R082	null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	conditional Hopf audit	CURRENT_EVIDENCE	orbit/connection witness	no carrier/action derivation	CONDITIONAL_HOPF_ROUTE
R083	null_section_hopfion_metric_audit_2026-07-19/DERIVATION_RESULT.json	Hopf exact algebra	CURRENT_EVIDENCE	conditional identities	inherits premises	CONDITIONAL_ALGEBRA
R084	null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	Hopf status ledger	CURRENT_EVIDENCE	compatibility/open distinctions	no carrier promotion	STATUS_SCOPE
R085	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	scale census	CURRENT_EVIDENCE	homothety rank	no absolute equation	SCALE_SCOPE
R086	scale_breaking_closure_census_2026-07-20/STATUS_LEDGER.tsv	scale ledger	CURRENT_EVIDENCE	open scale objects	no Xmax value	STATUS_SCOPE
R087	transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	transverse realization audit	CURRENT_EVIDENCE	direct extension and conditional spin/Hopf witnesses	no physical transverse topology or carrier	TRANSVERSE_SCOPE
R088	transverse_reciprocal_realization_selector_2026-07-19/CANDIDATE_FAMILY.tsv	transverse candidate census	CURRENT_EVIDENCE	inequivalent realization families	none selected by current foundation	EXTENSION_FORK
R089	transverse_reciprocal_realization_selector_2026-07-19/DERIVATION_RESULT.json	transverse exact output	CURRENT_EVIDENCE	block extension and equivariance algebra	inherits conditional realization premises	CONDITIONAL_ALGEBRA
R090	transverse_reciprocal_realization_selector_2026-07-19/STATUS_LEDGER.tsv	transverse status ledger	CURRENT_EVIDENCE	exact conditional/open distinctions	no extension selector promotion	STATUS_SCOPE
R091	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	premise-reset control	CURRENT_EVIDENCE	correct c phi distance Xmax boundary meanings	no new boundary equation	SEMANTIC_CONTROL
R092	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	owner meanings	OWNER_LOCKED_FOR_AUDIT	O03 O06-O12 O15	boundary join and scale open	SEMANTIC_CONTROL
