premise_id	obligation_id	capability	basis	selection_closed
N14	O06	CONSTRAINS_ONLY	narrows or classifies the obligation without closing it	NO
N14	O07	DOES_NOT_ADDRESS	no registered typed operation from this premise to this obligation	NO
N14	O08	DOES_NOT_ADDRESS	no registered typed operation from this premise to this obligation	NO
N14	O09	CONSTRAINS_ONLY	narrows or classifies the obligation without closing it	NO
N14	O10	DOES_NOT_ADDRESS	no registered typed operation from this premise to this obligation	NO
N14	O11	DOES_NOT_ADDRESS	no registered typed operation from this premise to this obligation	NO
N14	O12	DOES_NOT_ADDRESS	no registered typed operation from this premise to this obligation	NO
N15	O01	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O02	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O03	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O04	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O05	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O06	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O07	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O08	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O09	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O10	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O11	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N15	O12	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O01	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O02	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O03	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O04	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O05	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O06	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O07	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O08	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O09	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O10	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O11	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N16	O12	DOES_NOT_ADDRESS	object is excluded from this audit	NO
N17	O01	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O02	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O03	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O04	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O05	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O06	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O07	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O08	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O09	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O10	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O11	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
N17	O12	DOES_NOT_ADDRESS	external/GR material is comparison-only	NO
