path	sha256	read_command_or_selection	role
udt_g348_generic_lorentzian_null_screen_area_theorem_2026-09-04/EXACT_DERIVATION.md	04917cd0336f5c06ee76129f5a8005f5e483e8a6fcdacbb87c96a6e0ad89544c	sed -n '1,300p'; repeated sed -n '1,360p'; sed -n '361,420p'	G348 argument/full after wrapper truncation
udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/AUDIT_REPORT.md	975fb68b053c2a11c373677544374e448f2ce84b265d860bb2c1e723d2595d6c	sed -n '1,220p'	G321 controlling report/full
udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/EXACT_DERIVATION.md	27ed748fd4d944746d88b6227eb0f4f186628770f4b1a6a9fc9d84563ccc84f4	sed -n '1,300p'	G321 argument/full
udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/AUDIT_REPORT.md	d97eb46e3275501537ab961535ad6c867190eab6be528decb72a43211de80514	sed -n '1,220p'	G322 controlling report/full
udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/EXACT_DERIVATION.md	7bf6a0c7b86a2c74cf63c0945640daed261c28e787254b323dcd51f1dafb6d98	sed -n '1,340p'	G322 argument/full
udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/DATA_INTERFACE.tsv	6d38af25c1b3f43e1c8b0d494158881e7e682092d14de5ce39172f01973cd4bf	sed -n '1,160p'	G322 8-row data interface/full
udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/THEOREM_INTERFACE.tsv	7d439ada36c686410912f169dc11ae259e4172a0e40d985ce29746fc6c0e5fac	sed -n '1,160p'	G322 theorem interface/full
udt_g353_g356_conditional_banking_2026-09-06/BANKING_RECORD.md	750fd4758e87c7c99f58786d5ed4e1ea4b2e1d1386032a7d1f9a106b1d3ad8ff	sed -n '1,280p'	G355/G356 controlling banking/full; G353/G354 summaries incidentally exposed
udt_g351_g352_content_bridge_campaign_2026-09-06/step_03/CANDIDATE_ARGUMENT.md	a007c5a4e34012698687e81a43a13692a2f3799df3db963370b33c3aa92bd3bb	sed -n '1,300p'	banked G355 full argument, 191 lines
udt_g351_g352_content_bridge_campaign_2026-09-06/step_04/CANDIDATE_ARGUMENT.md	1ba59226944652bc4cc444f20d26c4fc9b9c80e1beea8a842be8151d64395849	sed -n '1,330p'	banked G356 full argument, 199 lines
udt_g351_g352_content_bridge_campaign_2026-09-06/step_03/REVIEW_RECORD.md	d95f6b0cd0e1abbfd4734104cf13af4127a2b88382b3c2b1cb27663043d11866	sed -n '1,220p'	G355 inherited review scope/full
udt_g351_g352_content_bridge_campaign_2026-09-06/step_04/REVIEW_RECORD.md	e89cf5131c7abfc26a2a25aa4c84e4a0919ce50ceae8ba2d3005fdf6d85d7b88	sed -n '1,220p'	G356 inherited review scope/full
udt_g351_g352_content_bridge_campaign_2026-09-06/step_03/review/STAGE_B_ADVERSARIAL_REVIEW.md	28462569691deaea5467f4c76a22363861a4b6a72d057f2b9db0a1a1b8bc6843	sed -n '1,300p'	G355 controlling direct review/full
udt_g351_g352_content_bridge_campaign_2026-09-06/step_04/review/STAGE_B_ADVERSARIAL_REVIEW.md	0339451ddac6774fbf032af39a29c29e4397a853bbbc1619c51b98025e33b3f1	sed -n '1,310p'	G356 controlling direct review/full
