member_id	mapped_candidate_id	source_path	source_locator	declared_multiplicity	source_role	adjudication
P06_R2_n1.035411058190_qr+0.00	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.035411058190_qr+0.00	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.035411058190_qr+0.25	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.035411058190_qr+0.25	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.035411058190_qr+0.25	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.035411058190_qr+0.25	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.035411058190_qr+0.50	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.035411058190_qr+0.50	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.035411058190_qr+0.50	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.035411058190_qr+0.50	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.035411058190_qr+0.75	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.035411058190_qr+0.75	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.035411058190_qr+0.75	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.035411058190_qr+0.75	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.035411058190_qr+0.95	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.035411058190_qr+0.95	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.035411058190_qr+0.95	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.035411058190_qr+0.95	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P04_R0_n1.055966209081	P04_P1_ROUND_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R0_n1.055966209081	1	ROUND_P1_CONTROL_MEMBER	PAIR_ROLE_SURVIVES_LOCAL_LAPSE_PROMOTION_BLOCKED
P05_R1_n1.055966209081_qr-2.00	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.055966209081_qr-2.00	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.055966209081_qr-2.00	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.055966209081_qr-2.00	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.055966209081_qr-1.00	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.055966209081_qr-1.00	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.055966209081_qr-1.00	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.055966209081_qr-1.00	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.055966209081_qr+0.00	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.055966209081_qr+0.00	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.055966209081_qr+0.00	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.055966209081_qr+0.00	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.055966209081_qr+0.25	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.055966209081_qr+0.25	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.055966209081_qr+0.25	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.055966209081_qr+0.25	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.055966209081_qr+0.50	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.055966209081_qr+0.50	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.055966209081_qr+0.50	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.055966209081_qr+0.50	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.055966209081_qr+0.75	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.055966209081_qr+0.75	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.055966209081_qr+0.75	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.055966209081_qr+0.75	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.055966209081_qr+0.95	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.055966209081_qr+0.95	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.055966209081_qr+0.95	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.055966209081_qr+0.95	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P04_R0_n1.077121930202	P04_P1_ROUND_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R0_n1.077121930202	1	ROUND_P1_CONTROL_MEMBER	PAIR_ROLE_SURVIVES_LOCAL_LAPSE_PROMOTION_BLOCKED
P05_R1_n1.077121930202_qr-2.00	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.077121930202_qr-2.00	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.077121930202_qr-2.00	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.077121930202_qr-2.00	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.077121930202_qr-1.00	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.077121930202_qr-1.00	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.077121930202_qr-1.00	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.077121930202_qr-1.00	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.077121930202_qr+0.00	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.077121930202_qr+0.00	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.077121930202_qr+0.00	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.077121930202_qr+0.00	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.077121930202_qr+0.25	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.077121930202_qr+0.25	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.077121930202_qr+0.25	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.077121930202_qr+0.25	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.077121930202_qr+0.50	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.077121930202_qr+0.50	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.077121930202_qr+0.50	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.077121930202_qr+0.50	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.077121930202_qr+0.75	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.077121930202_qr+0.75	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.077121930202_qr+0.75	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.077121930202_qr+0.75	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.077121930202_qr+0.95	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.077121930202_qr+0.95	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.077121930202_qr+0.95	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.077121930202_qr+0.95	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P06_M22_RA1_SS3_COMPLETION_FORK	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_roadA_RA1_muon_modes_2026-08-08/DERIVATION_NOTES.md	| P-RA1-8 | center behavior of h	1	CONDITIONAL_SS3_CENTER_COMPLETION_FORK	NECESSARY_CENTER_BEHAVIOR_ONLY_NO_EXPLICIT_GLOBAL_PROFILE
P07_M01_C1_CHOSE_ENVELOPE	P07_C1_GENERAL_AXIAL_ENVELOPE	udt_cmb_N01_C1_harmonic_coupling_matrix_atlas_2026-08-09/EXACT_DERIVATION.md	C1 remains `CHOSE`	1	CONDITIONAL_GENERAL_AXIAL_ENVELOPE	LOCAL_JET_SPACE_ONLY_NO_PHYSICAL_PROFILE
P07_M02_C1_B_VARIABLE	P07_C1_GENERAL_AXIAL_ENVELOPE	udt_cmb_N01_C1_harmonic_coupling_matrix_atlas_2026-08-09/EXACT_DERIVATION.md	B=h^2/(A r^2)	1	COMPLETE_ANGULAR_DISTORTION_VARIABLE	FULL_N01_MATRIX_STRUCTURE_RETAINED
P07_M03_C1_COMPLETE_CENTER	P07_C1_GENERAL_AXIAL_ENVELOPE	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/EXACT_DERIVATION.md	For the conditional C1 metric	1	CENTER_REGULARITY_ENVELOPE	N03_STRENGTHENS_NECESSARY_JETS
P08_C01	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C02	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C03	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C04	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C05	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C06	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C07	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C08	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C09	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C10	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C11	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C12	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C13	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C14	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C15	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C16	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C17	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
P08_C18	P08_GENERAL_SCREEN_SHIFT_ENVELOPE	udt_cmb_complete_angular_family_atlas_map_2026-08-09/AUDIT_REPORT.md	C01-C18 registered universe	1	REGISTERED_SCREEN_MEMBER	ARCHITECTURE_MEMBER_NOT_SELECTED_PROFILE
