family	all_matching_sources	primary_claim_sources	adjudication_status
udt_free_global_seal_transversality_audit_2026-07-21	3	1	PENDING
udt_full_equation_variation_p05_2026-07-21	3	0	PENDING
udt_full_local_jet_strata_p02_2026-07-27	3	2	PENDING
udt_general_screen_complete_cell_atlas_2026-07-28	13	3	PENDING
udt_global_functional_dof_constraint_rank_audit_2026-07-26	1	1	PENDING
udt_global_local_relational_closure_audit_2026-07-25	7	2	PENDING
udt_global_metric_assembly_atlas_2026-07-22	3	0	PENDING
udt_global_reciprocal_bundle_assembly_audit_2026-07-26	9	3	PENDING
udt_global_reciprocal_closure_audit_2026-07-20	8	1	PENDING
udt_global_reciprocal_persistence_selector_audit_2026-07-23	1	0	PENDING
udt_gr_subtraction_reciprocal_connection_audit_2026-07-21	4	3	PENDING
udt_historical_angular_method_salvage_audit_2026-07-28	9	2	PENDING
udt_historical_phi_equation_salvage_audit_2026-07-24	6	3	PENDING
udt_hopf_realization_deformation_audit_2026-07-23	9	3	PENDING
udt_hopf_transport_bootstrap_dependency_audit_2026-07-23	7	2	PENDING
udt_independent_amplitude_metric_atlas_2026-07-21	4	1	PENDING
udt_instrument_motif_atlas_2026-07-21	1	0	PENDING
udt_intrinsic_clock_transverse_solder_audit_2026-07-24	9	4	PENDING
udt_intrinsic_optical_transport_atlas_2026-07-27	5	2	PENDING
udt_intrinsic_pair_deformation_neighborhood_audit_2026-07-27	2	0	PENDING
udt_intrinsic_pair_lambda_component_atlas_2026-07-27	6	3	PENDING
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27	4	1	PENDING
udt_invariant_xmax_asymptotic_boundary_audit_2026-07-23	7	2	PENDING
udt_joint_invariant_subspace_atlas_2026-07-21	4	0	PENDING
udt_joint_selector_provenance_audit_2026-07-28	16	3	PENDING
udt_local_jet_atlas_p02_2026-07-21	8	2	PENDING
udt_local_selector_holonomy_closure_2026-07-22	3	0	PENDING
udt_metric_native_nontriviality_connector_audit_2026-07-25	11	3	PENDING
udt_metric_native_observer_separation_asymptote_audit_2026-07-24	2	1	PENDING
udt_metric_native_selector_rank_closure_audit_2026-07-27	5	1	PENDING
udt_metric_native_signed_depth_availability_audit_2026-07-26	4	1	PENDING
udt_metric_native_two_pair_selector_audit_2026-07-21	13	3	PENDING
udt_metric_natural_complete_extension_selector_audit_2026-07-27	8	1	PENDING
udt_metric_natural_joint_selector_nogo_2026-07-28	16	3	PENDING
udt_metric_orchestra_rehearsal_2026-07-25	4	1	PENDING
udt_metric_pure_frame_rederivation_2026-07-23	8	3	PENDING
udt_metric_to_frontier_reference_2026-07-22	9	0	PENDING
udt_motif_hopf_correspondence_audit_2026-07-22	11	2	PENDING
udt_native_coframe_composition_law_audit_2026-07-23	3	1	PENDING
udt_native_global_coframe_definition_audit_2026-07-28	8	3	PENDING
udt_native_global_observable_closure_census_2026-07-26	4	1	PENDING
udt_native_reciprocal_comparison_bundle_audit_2026-07-27	5	3	PENDING
udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26	6	2	PENDING
udt_observer_centered_xmax_frame_correction_2026-07-23	1	1	PENDING
udt_observer_depth_angle_transition_audit_2026-07-24	2	1	PENDING
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24	3	1	PENDING
udt_observer_pair_clock_operator_audit_2026-07-24	1	0	PENDING
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26	4	2	PENDING
udt_observer_pair_triangle_consistency_audit_2026-07-26	6	2	PENDING
udt_observer_pair_xmax_bridge_audit_2026-07-27	1	0	PENDING
udt_phi_metric_ontology_audit_2026-07-22	2	0	PENDING
udt_post_july_offshell_response_availability_audit_2026-07-25	11	3	PENDING
udt_pre_density_substrate_response_atlas_2026-07-24	8	2	PENDING
udt_pre_p06_boundary_selector_audit_2026-07-21	2	0	PENDING
udt_premise_reset_audit_2026-07-19	2	0	PENDING
udt_reciprocal_angular_intertwiner_audit_2026-07-23	3	1	PENDING
udt_reciprocal_c_metric_meaning_audit_2026-07-22	6	2	PENDING
udt_reciprocal_pair_global_module_audit_2026-07-24	6	1	PENDING
udt_reciprocal_plane_projector_audit_2026-07-21	11	2	PENDING
udt_reciprocal_seam_descent_audit_2026-07-23	2	1	PENDING
udt_reciprocal_subbundle_ownership_audit_2026-07-22	4	1	PENDING
udt_reciprocal_transport_holonomy_atlas_2026-07-26	3	1	PENDING
udt_reciprocal_transport_naturality_selector_audit_2026-07-23	4	2	PENDING
udt_reciprocity_regime_angular_center_audit_2026-07-22	6	0	PENDING
udt_reduced_holonomy_condition_audit_2026-07-27	5	2	PENDING
udt_relational_metric_fixed_point_typing_audit_2026-07-26	13	3	PENDING
udt_relative_angular_area_shape_selector_audit_2026-07-23	5	1	PENDING
udt_scientific_consolidation_checkpoint_2026-07-23	3	0	PENDING
udt_structural_ensemble_metric_atlas_2026-07-21	4	1	PENDING
udt_three_reciprocity_delta_k_audit_2026-07-23	8	1	PENDING
udt_time_live_characteristic_flux_audit_2026-07-21	4	1	PENDING
udt_timelive_spherical_areal_polarization_audit_2026-07-22	1	0	PENDING
udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27	5	2	PENDING
udt_twisted_s3_intrinsic_screen_cocycle_audit_2026-07-27	6	3	PENDING
udt_twisted_s3_killing_algebra_audit_2026-07-27	5	2	PENDING
udt_two_frame_regime_metric_limit_audit_2026-07-22	7	2	PENDING
udt_two_observer_separation_selector_audit_2026-07-24	4	0	PENDING
udt_wrl_xmax_lightcone_frame_audit_2026-07-23	1	0	PENDING
udt_xmax_dilation_asymptote_correction_2026-07-23	3	1	PENDING
verifier_evidence_2026-07-14	1	0	PENDING
w_alg_verifier_scripts	1	0	PENDING
xmax_accelerating_finite_cell_cartan_2026-07-19	7	3	PENDING
xmax_full_frame_realization_2026-07-19	4	2	PENDING
