family	all_matching_sources	primary_claim_sources	adjudication_status	effective_owner	routing_basis
c2_finite_cell_boundary_variation_2026-07-20	6	2	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_intrinsic_angular_product_selector_2026-07-20	5	2	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_nonlinear_stationary_solution_space_2026-07-20	2	0	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_open_path_checkpoint_continuation_2026-07-20	6	2	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_reciprocal_transverse_twist_jacobi_2026-07-20	6	2	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_rigidity_three_route_zoomout_2026-07-20	6	1	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_time_fiber_shift_jacobi_2026-07-20	3	0	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_transverse_coframe_closure_2026-07-20	14	2	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_variable_lapse_selector_2026-07-20	4	0	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
complete_coframe_seal_involution_2026-07-20	4	0	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
copresence_causal_accessibility_selector_2026-07-19	3	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
copresence_gr_constraint_regrade_2026-07-19	2	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
finite_cell_seal_boundary_phase_join_2026-07-20	9	3	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
gr_constraint_paired_trial_2026-07-18	5	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
grok	3	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	LIVE.md;CURRENT_SCIENTIFIC_PREMISES.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
infinite_c_reciprocity_adjudication_2026-07-18	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
invariant_reciprocal_causal_flow_2026-07-18	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
matter_bootstrap_dimensional_inventory_2026-07-20	7	2	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
metric_cartan_holonomy_audit_2026-07-19	5	2	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv:S06-S08	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
native_action_sync_audit_2026-07-17	9	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
native_boundary_generator_scale_audit_2026-07-19	2	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
native_hopfion_topology_audit_2026-07-19	4	1	CURRENT_PREMISE_CONTROLLER	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	The effective current claim is explicitly represented in CURRENT_SCIENTIFIC_PREMISES.tsv and its controlling source is hash-frozen here.
null_section_hopfion_metric_audit_2026-07-19	5	3	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
projective_transport_section_selector_2026-07-19	4	2	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv:T02-T18	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
reciprocal_line_realization_selector_2026-07-18	2	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G01-G08;udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
reciprocal_metric_null_line_selector_2026-07-19	1	1	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv:N03-N06	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
reciprocity_offshell_constraint_selector_2026-07-18	7	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
rescued_workspaces	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	LIVE.md;CURRENT_SCIENTIFIC_PREMISES.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
rung2_weld_postjuly_regrade_2026-07-19	6	3	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
scale_breaking_closure_census_2026-07-20	4	2	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	scale_breaking_closure_census_2026-07-20/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
transverse_reciprocal_realization_selector_2026-07-19	6	3	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv:N02-N22	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_amplitude_volume_metric_atlas_2026-07-21	6	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_angular_bulk_jacobi_selector_audit_2026-07-23	3	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G09-G13-G15;null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv;angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_angular_generator_branch_census_2026-07-23	3	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_bootstrap_clock_angular_closure_audit_2026-07-24	10	4	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_bootstrap_clock_angular_closure_audit_2026-07-24/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_bootstrap_substrate_micro_closure_audit_2026-07-23	13	3	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv:S10-S19	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_bootstrap_to_local_response_map_audit_2026-07-25	14	3	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv:S12-S15	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_calibrated_reciprocal_readout_descent_audit_2026-07-26	3	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_canonical_geometry_evaluator_p01_2026-07-21	5	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_center_free_observer_optical_correspondence_audit_2026-07-24	6	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G06-G14;udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv;udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S22	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_chart_coframe_invariance_atlas_2026-07-21	8	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_cleanroom_metric_reduction_readiness_audit_2026-07-27	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_clock_anchor_scale_threading_audit_2026-07-22	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G06-G14;udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv;udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S22	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_clock_ruler_soldering_selector_audit_2026-07-20	2	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_cmb_polarization_observable_typing_audit_2026-07-27	2	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G06-G14;udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv;udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S22	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_coframe_hopf_bridge_audit_2026-07-23	8	2	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv:N17-N22	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_complete_branch_founded_pair_pullback_audit_2026-07-26	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_complete_coframe_metric_telescope_p01_2026-07-27	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_complete_coframe_native_selector_audit_2026-07-26	2	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_complete_coframe_physical_comparison_functor_audit_2026-07-27	3	1	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_complete_connector_assembly_audit_2026-07-22	3	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_complete_lift_mu_closure_audit_2026-07-20	1	0	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv;udt_metric_natural_joint_selector_nogo_2026-07-28/STATUS_LEDGER.tsv;udt_global_reciprocal_bundle_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_complete_metric_intrinsic_object_audit_2026-07-23	5	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_complete_metric_realization_zoomout_2026-07-23	7	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_complete_metric_solution_space_map_2026-07-21	12	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27	5	2	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_native_global_coframe_definition_audit_2026-07-28/STATUS_LEDGER.tsv:S04-S12	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_complete_physical_comparison_map_audit_2026-07-27	7	2	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_joint_selector_provenance_audit_2026-07-28/STATUS_LEDGER.tsv:stationary_hybrid_comparison-overall	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_complete_relational_configuration_variation_domain_audit_2026-07-26	15	3	HISTORICAL_FAMILY_WITH_NAMED_LATER_OWNER	udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv:S09-S15	Preserve the historical package; use the named later owner for current effective status and screen-scope regrade.
udt_complete_screen_response_branch_atlas_2026-07-28	10	3	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
udt_complete_seal_fixed_set_selector_audit_2026-07-21	5	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_completion_scoped_realized_observable_map_2026-07-26	1	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_configuration_space_adjacency_atlas_2026-07-22	4	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
udt_constructive_metric_family_atlas_2026-07-21	6	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv;udt_global_functional_dof_constraint_rank_audit_2026-07-26/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
