claim_id	source_path	claim	status_before_audit	semantic_capability
C18	udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	physical_endpoint_frames_and_event_pairing_remain_open	OPEN	NO_PHYSICAL_ENDPOINT_LAW
C19	udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	smallest_surviving_complete_round_type_is_observer_indexed_bilocal_given_F	VERIFIED_WITH_CAVEATS	PAIR_INDEXED_TYPE
C20	udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	cut_locus_scalar_distance_can_be_single_while_full_transport_is_a_path_family	VERIFIED_WITH_CAVEATS	SCALAR_PATH_DISTINCTION
C21	udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	F_orientation_and_chart_transition_remain_open	OPEN	NO_SELECTED_PAIR_LAW
C22	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	observer_frame_reciprocity_is_local_metric_covariance_without_preferred observer	DERIVED_LOCAL	COVARIANCE_ONLY
C23	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	noncollinear_frame_composition_has_angular_content	DERIVED_LOCAL	NONABELIAN_COMPLETE_FRAME
C24	udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	founded_pair_is_local_clock_ruler_pair_under_recorded_readout	DERIVED_CONDITIONAL	LOCAL_PAIR_ALIGNMENT
C25	udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	global_pair_field_path_assignment_and_transport_remain_open	OPEN	NO_GLOBAL_SEMANTICS
C26	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	typed_metric_path_transport_and_vertical_resets_form_groupoid_for_all_lambda_given inputs	DERIVED_GIVEN_INPUT	PATHWISE_CONSISTENCY
C27	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	physical_type_may_be_endpoint_path_observer_chart_or_nonadditive bilocal	OPEN	MULTIPLE_REALIZATIONS
C28	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	all_lambda_survive_path_groupoid_semantics	DERIVED_GIVEN_INPUT	PATHWISE_LAMBDA_NONSELECTION
C29	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	lambda_one_is_only_parallel_endpoint_stratum_on_two_S3_controls	DERIVED_CONDITIONAL	ENDPOINT_LAMBDA_ONE
C30	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	endpoint_only_requirement_is_not_founded	OPEN_CONDITIONAL	NO_ENDPOINT_SELECTOR
C31	udt_reciprocal_transport_naturality_selector_audit_2026-07-23/AUDIT_REPORT.md	abstract_composition_does_not_select_a_physical_connection	VERIFIED_WITH_CAVEATS	NO_TRANSPORT_SELECTOR
C32	udt_global_reciprocal_persistence_selector_audit_2026-07-23/AUDIT_REPORT.md	founding_reciprocity_is_value_level_not_a_global_derivative persistence law	VERIFIED_WITH_CAVEATS	NO_GLOBAL_PARALLELISM
C33	udt_founded_constraint_atlas_p03_2026-07-21/CONSTRAINT_EFFECT_LEDGER.tsv	difference_and_reversal_apply_on_ordered_comparisons_without_point_local metric equation	VERIFIED_WITH_CAVEATS	ORDERED_NOT_LOCAL_FIELD
C34	udt_three_reciprocity_delta_k_audit_2026-07-23/AUDIT_REPORT.md	observer_covariance_preserves_nonzero_central alternatives_and_does_not force zero	VERIFIED_WITH_CAVEATS	COVARIANCE_NOT_NECESSITY
C35	udt_two_frame_regime_metric_limit_audit_2026-07-22/PREREGISTRATION_SCOPE_CORRECTION.md	macro_frame_reciprocity_is_tensorial_compatibility_not_complete observer law	OWNER_FOUNDING_CLARIFICATION	NO_GLOBAL_PATH_OR_ENDPOINT_RULE
C36	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	physical_observer_pair_path_assignment_and_complete_extension_are_distinct open questions	VERIFIED_WITH_CAVEATS	NO_COMPLETE_REALIZATION

