id	path	role	authority	affirmative_use	prohibition	audit_ruling
R11	angular_toric_closure_selector_2026-07-19/DERIVATION_RESULT.json	toric exact output	CURRENT_POST_FIREWALL_EVIDENCE	machine-readable conditional toric algebra	premise status remains that of report	CONDITIONAL_ALGEBRA
R12	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	toric status ledger	CURRENT_POST_FIREWALL_EVIDENCE	exact derived/conditional/open distinctions	cannot turn compatibility into uniqueness	STATUS_SCOPE
R13	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	phi-angular selector audit	CURRENT_POST_FIREWALL_EVIDENCE	bounded failure of present selectors to force branch/direction	does not authorize an added phi-angular equation	NEGATIVE_SELECTOR_EVIDENCE
R14	bootstrap_csn_phi_angular_selector_2026-07-19/CANDIDATE_OPERATOR.tsv	candidate operator ledger	CURRENT_POST_FIREWALL_EVIDENCE	candidate inventory and premise failures	candidate rows are not UDT equations	CANDIDATE_ONLY
R15	bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv	phi-angular status ledger	CURRENT_POST_FIREWALL_EVIDENCE	current underdetermination labels	no native operator promotion	STATUS_SCOPE
R16	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	representative selector audit	CURRENT_POST_FIREWALL_EVIDENCE	endpoint-flat CSN counterfamily and bootstrap/Xmax limits	does not rule out a future complete scale-bearing closure	CURRENT_SELECTOR_NEGATIVE
R17	boundary_bootstrap_representative_selector_audit_2026-07-19/STATUS_LEDGER.tsv	representative status ledger	CURRENT_POST_FIREWALL_EVIDENCE	scoped selector statuses	no absolute representative or scale promotion	STATUS_SCOPE
R18	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	immediate parent audit	CURRENT_POST_FIREWALL_EVIDENCE	conditional coefficient ruler and next exact seam	cannot assume L2+L4 or its coefficients	PARENT_RESULT
R19	matter_bootstrap_dimensional_inventory_2026-07-20/DIMENSIONAL_OBJECT_LEDGER.tsv	dimensional inventory	CURRENT_POST_FIREWALL_EVIDENCE	dimension/provenance of existing matter objects	conditional objects cannot become native inputs	DIMENSIONAL_GATE
R20	matter_bootstrap_dimensional_inventory_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	authorized seam	CURRENT_POST_FIREWALL_NAVIGATION	defines this bounded selector question	not evidence for its answer	QUESTION_ONLY
R21	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	parent status ledger	CURRENT_POST_FIREWALL_EVIDENCE	coefficient and mass status distinctions	no coefficient-origin promotion	STATUS_SCOPE
R22	matter_carrier_provenance_audit_results.md	carrier provenance audit	PRE_FIREWALL_OR_MIXED_CONTEXT	may expose historical carrier assumptions and failures	cannot affirmatively derive current UDT carrier/action	COUNTEREXAMPLE_OR_PROVENANCE_ONLY
R23	native_action_final_adjudication_2026-07-18/COUNTERMODEL_COMPLETENESS_FINAL.tsv	countermodel completeness correction	HARD_FROZEN_POST_FIREWALL	limits of prior countermodels and open completeness	must remain byte-identical; no action promotion	FROZEN_SCOPE_EVIDENCE
R24	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	native-action final adjudication	HARD_FROZEN_POST_FIREWALL	C2/EH/action/source/boundary distinctions	cannot be edited or strengthened	FROZEN_ACTION_STATUS
R25	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	native-action status ledger	HARD_FROZEN_POST_FIREWALL	exact UNIQUE-CONDITIONAL/CONDITIONAL/OPEN labels	cannot be edited or strengthened	FROZEN_ACTION_STATUS
R26	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	native topology audit	CURRENT_POST_FIREWALL_EVIDENCE	implementation is Hopf-capable; carrier/section/action remain conditional	topology cannot supply dimensional coefficient or carrier emergence	TOPOLOGY_SCOPE
R27	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	topology status ledger	CURRENT_POST_FIREWALL_EVIDENCE	topological versus carrier statuses	no carrier/action promotion	STATUS_SCOPE
R28	noNull_energy.py	conditional continuum implementation	ACTIVE_CODE_PROVENANCE	locates historical L2/L4 coefficients for comparison after derivation	its S2 target and functional are excluded as premises	CONDITIONAL_COMPARISON_ONLY
R29	null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	null/Hopf metric audit	CURRENT_POST_FIREWALL_EVIDENCE	conditional reciprocal Hopf witness, connection, and missing soldering	does not derive toric completion, roundness, carrier, section, or action	CONDITIONAL_HOPF_ROUTE
R30	null_section_hopfion_metric_audit_2026-07-19/DERIVATION_RESULT.json	null/Hopf exact output	CURRENT_POST_FIREWALL_EVIDENCE	machine-readable conditional quotient algebra	premise status remains that of report	CONDITIONAL_ALGEBRA
R31	null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	null/Hopf status ledger	CURRENT_POST_FIREWALL_EVIDENCE	compatibility/open distinctions	no direct celestial-carrier identity	STATUS_SCOPE
R32	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	scale closure census	CURRENT_POST_FIREWALL_EVIDENCE	compactness rank and Xmax-reciprocity scale neutrality	does not supply absolute Xmax or local coefficient	GLOBAL_RATIO_SCOPE
R33	scale_breaking_closure_census_2026-07-20/STATUS_LEDGER.tsv	scale status ledger	CURRENT_POST_FIREWALL_EVIDENCE	no noncircular scale breaker and exact open objects	no scale-selection promotion	STATUS_SCOPE
