stage	cell	spatial_reading	lock_reading	time_branch	mode_layer	jet_bigrade	theta_status	seat	target	condition	verdict	parameter_effect	kill_scope_lineage	stamps
alpha	RING_CYCLIC	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	fiber_U1_connection_holonomy	owned compact-fiber U1	H_y=exp(2*pi*i/Pz*integral_y f dy); mode zero exp(2*pi*i*f0*Py/Pz)	CONTINUOUS U1 HOLONOMY; SHEAR-INVARIANT; NO INTEGER FOR A GLOBAL REAL LIFT	no mass/modulus cut; H_y not forced to 1	A1:O05/A1s_connection_moment;DOORWAY:C1_owned_fiber_U1;A3:A11-A13	connection holonomy, not native compact field target; nonzero winding requires separately owned transition monodromy
alpha	RING_CYCLIC	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	angular_mirror_characters	conditional Z2xZ2 character layer	only where both banked angular mirrors are granted at the metric/bridge floor	PRESENTATION/CHARACTER PAIRING OF +/- MODES; NO SOLUTION INTEGER	no mass/modulus cut	A1:A1e2/A1f/A3e;A2:P1i_granted_only_mirror_layer	grant NOT adopted; coframe SO+ obstruction travels; y/z mirror parities banked
alpha	RING_CYCLIC	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	stratum_m_involution	conditional Z2 flip-and-shear	lawful chi-branch strata; coordinate-reading cut, projected-reading slack pairing	NO INDEPENDENT POINTWISE CUT; PROJECTED READING CARRIES THE SAME CONTENT AS CHART-SLACK PAIRING	no mass/modulus cut	A1:A1i2;A2:P2d/P2e/P3g;A2_CORRECTION:A-1/A-2	general action flip-and-shear; simple odd/even labels only in eigenbasis or g_yz=0; discrete slices typed not exhausted
alpha	RING_CYCLIC	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	h_reparam_orientation_degree	Diff(S1_y) presentation components	h(y+Py)=h(y)+degree*Py with diffeomorphism degree in {+1,-1}	ORIENTATION/DEGREE PRESENTATION DATA; NO SOLUTION INTEGER	no mass/modulus cut	A1:A1p/A1p2;A1:J07_chain_rule_overlap;A3:A16	orientation-preserving component contains continuous Diff+; degree -1 is mirror component; h slack unspent
alpha	MIXED_CREASE_GLUE_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	native_real_fields	contractible real/positive target	period(dF)=0 on each angular cycle	NO FIELD WINDING; BANKED REAL CONDITIONS UNCHANGED	E0/ell/k_mod/k10/C uncut	A1:A2a_periodic_domain;A3:A02/A03;PERIOD_GATE:real_target;DOORWAY:C2_toric_kill	T2 stratum; time-line; theta absent; lock readings both carried
alpha	MIXED_CREASE_GLUE_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	T2_character_modes	dual lattice Z2	F(y+Py,z)=F(y,z), F(y,z+Pz)=F(y,z)	DISCRETE DECOMPOSITION LABELS ONLY	no response or mass parameter cut	A1:A3a/A3c/A3e;A2:P2j_mode_uniform;A3:A01/A03	all integer modes; real fields pair +/- modes
alpha	MIXED_CREASE_GLUE_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	large_zeta_chart_shear	GL(2,Z) presentation	z -> z+n(Pz/Py)y	PRESENTATION/MAPPING-CLASS INTEGER; NOT FIELD WINDING	no mass/modulus cut	A1:A1s/A1s4_zeta_slack;A3:A05/A06;B07_two_cap_kill	torus-stratum chart seat; cap extension deferred to beta
alpha	MIXED_CREASE_GLUE_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	fiber_U1_connection_holonomy	owned compact-fiber U1	H_y=exp(2*pi*i/Pz*integral_y f dy); mode zero exp(2*pi*i*f0*Py/Pz)	CONTINUOUS U1 HOLONOMY; SHEAR-INVARIANT; NO INTEGER FOR A GLOBAL REAL LIFT	no mass/modulus cut; H_y not forced to 1	A1:O05/A1s_connection_moment;DOORWAY:C1_owned_fiber_U1;A3:A11-A13	connection holonomy, not native compact field target; nonzero winding requires separately owned transition monodromy
alpha	MIXED_CREASE_GLUE_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	angular_mirror_characters	conditional Z2xZ2 character layer	only where both banked angular mirrors are granted at the metric/bridge floor	PRESENTATION/CHARACTER PAIRING OF +/- MODES; NO SOLUTION INTEGER	no mass/modulus cut	A1:A1e2/A1f/A3e;A2:P1i_granted_only_mirror_layer	grant NOT adopted; coframe SO+ obstruction travels; y/z mirror parities banked
alpha	MIXED_CREASE_GLUE_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	stratum_m_involution	conditional Z2 flip-and-shear	lawful chi-branch strata; coordinate-reading cut, projected-reading slack pairing	STRATUM-CONDITIONAL Z2 CHARACTER CUT; NO NOETHER OR SOLUTION INTEGER	no mass/modulus cut	A1:A1i2;A2:P2d/P2e/P3g;A2_CORRECTION:A-1/A-2	general action flip-and-shear; simple odd/even labels only in eigenbasis or g_yz=0; discrete slices typed not exhausted
alpha	MIXED_CREASE_GLUE_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	h_reparam_orientation_degree	Diff(S1_y) presentation components	h(y+Py)=h(y)+degree*Py with diffeomorphism degree in {+1,-1}	ORIENTATION/DEGREE PRESENTATION DATA; NO SOLUTION INTEGER	no mass/modulus cut	A1:A1p/A1p2;A1:J07_chain_rule_overlap;A3:A16	orientation-preserving component contains continuous Diff+; degree -1 is mirror component; h slack unspent
alpha	MIXED_CREASE_GLUE_CHAIN	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	native_real_fields	contractible real/positive target	period(dF)=0 on each angular cycle	NO FIELD WINDING; BANKED REAL CONDITIONS UNCHANGED	E0/ell/k_mod/k10/C uncut	A1:A2a_periodic_domain;A3:A02/A03;PERIOD_GATE:real_target;DOORWAY:C2_toric_kill	T2 stratum; time-line; theta absent; lock readings both carried
alpha	MIXED_CREASE_GLUE_CHAIN	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	T2_character_modes	dual lattice Z2	F(y+Py,z)=F(y,z), F(y,z+Pz)=F(y,z)	DISCRETE DECOMPOSITION LABELS ONLY	no response or mass parameter cut	A1:A3a/A3c/A3e;A2:P2j_mode_uniform;A3:A01/A03	all integer modes; real fields pair +/- modes
alpha	MIXED_CREASE_GLUE_CHAIN	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	large_zeta_chart_shear	GL(2,Z) presentation	z -> z+n(Pz/Py)y	PRESENTATION/MAPPING-CLASS INTEGER; NOT FIELD WINDING	no mass/modulus cut	A1:A1s/A1s4_zeta_slack;A3:A05/A06;B07_two_cap_kill	torus-stratum chart seat; cap extension deferred to beta
alpha	MIXED_CREASE_GLUE_CHAIN	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	fiber_U1_connection_holonomy	owned compact-fiber U1	H_y=exp(2*pi*i/Pz*integral_y f dy); mode zero exp(2*pi*i*f0*Py/Pz)	CONTINUOUS U1 HOLONOMY; SHEAR-INVARIANT; NO INTEGER FOR A GLOBAL REAL LIFT	no mass/modulus cut; H_y not forced to 1	A1:O05/A1s_connection_moment;DOORWAY:C1_owned_fiber_U1;A3:A11-A13	connection holonomy, not native compact field target; nonzero winding requires separately owned transition monodromy
alpha	MIXED_CREASE_GLUE_CHAIN	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	angular_mirror_characters	conditional Z2xZ2 character layer	only where both banked angular mirrors are granted at the metric/bridge floor	PRESENTATION/CHARACTER PAIRING OF +/- MODES; NO SOLUTION INTEGER	no mass/modulus cut	A1:A1e2/A1f/A3e;A2:P1i_granted_only_mirror_layer	grant NOT adopted; coframe SO+ obstruction travels; y/z mirror parities banked
alpha	MIXED_CREASE_GLUE_CHAIN	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	stratum_m_involution	conditional Z2 flip-and-shear	lawful chi-branch strata; coordinate-reading cut, projected-reading slack pairing	NO INDEPENDENT POINTWISE CUT; PROJECTED READING CARRIES THE SAME CONTENT AS CHART-SLACK PAIRING	no mass/modulus cut	A1:A1i2;A2:P2d/P2e/P3g;A2_CORRECTION:A-1/A-2	general action flip-and-shear; simple odd/even labels only in eigenbasis or g_yz=0; discrete slices typed not exhausted
alpha	MIXED_CREASE_GLUE_CHAIN	PROJECTED_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	h_reparam_orientation_degree	Diff(S1_y) presentation components	h(y+Py)=h(y)+degree*Py with diffeomorphism degree in {+1,-1}	ORIENTATION/DEGREE PRESENTATION DATA; NO SOLUTION INTEGER	no mass/modulus cut	A1:A1p/A1p2;A1:J07_chain_rule_overlap;A3:A16	orientation-preserving component contains continuous Diff+; degree -1 is mirror component; h slack unspent
alpha	OPEN_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	native_real_fields	contractible real/positive target	period(dF)=0 on each angular cycle	NO FIELD WINDING; BANKED REAL CONDITIONS UNCHANGED	E0/ell/k_mod/k10/C uncut	A1:A2a_periodic_domain;A3:A02/A03;PERIOD_GATE:real_target;DOORWAY:C2_toric_kill	T2 stratum; time-line; theta absent; lock readings both carried
alpha	OPEN_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	T2_character_modes	dual lattice Z2	F(y+Py,z)=F(y,z), F(y,z+Pz)=F(y,z)	DISCRETE DECOMPOSITION LABELS ONLY	no response or mass parameter cut	A1:A3a/A3c/A3e;A2:P2j_mode_uniform;A3:A01/A03	all integer modes; real fields pair +/- modes
alpha	OPEN_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	large_zeta_chart_shear	GL(2,Z) presentation	z -> z+n(Pz/Py)y	PRESENTATION/MAPPING-CLASS INTEGER; NOT FIELD WINDING	no mass/modulus cut	A1:A1s/A1s4_zeta_slack;A3:A05/A06;B07_two_cap_kill	torus-stratum chart seat; cap extension deferred to beta
alpha	OPEN_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	fiber_U1_connection_holonomy	owned compact-fiber U1	H_y=exp(2*pi*i/Pz*integral_y f dy); mode zero exp(2*pi*i*f0*Py/Pz)	CONTINUOUS U1 HOLONOMY; SHEAR-INVARIANT; NO INTEGER FOR A GLOBAL REAL LIFT	no mass/modulus cut; H_y not forced to 1	A1:O05/A1s_connection_moment;DOORWAY:C1_owned_fiber_U1;A3:A11-A13	connection holonomy, not native compact field target; nonzero winding requires separately owned transition monodromy
alpha	OPEN_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	angular_mirror_characters	conditional Z2xZ2 character layer	only where both banked angular mirrors are granted at the metric/bridge floor	PRESENTATION/CHARACTER PAIRING OF +/- MODES; NO SOLUTION INTEGER	no mass/modulus cut	A1:A1e2/A1f/A3e;A2:P1i_granted_only_mirror_layer	grant NOT adopted; coframe SO+ obstruction travels; y/z mirror parities banked
alpha	OPEN_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	stratum_m_involution	conditional Z2 flip-and-shear	lawful chi-branch strata; coordinate-reading cut, projected-reading slack pairing	STRATUM-CONDITIONAL Z2 CHARACTER CUT; NO NOETHER OR SOLUTION INTEGER	no mass/modulus cut	A1:A1i2;A2:P2d/P2e/P3g;A2_CORRECTION:A-1/A-2	general action flip-and-shear; simple odd/even labels only in eigenbasis or g_yz=0; discrete slices typed not exhausted
alpha	OPEN_CHAIN	COORDINATE_SPATIAL	BOTH_LOCK_READINGS:COORDINATE_LOCK|PROJECTED_LOCK;UNSELECTED	LINEAR_TIME_R;NO_TIME_CYCLE	T2_ALL_INTEGER_MODES;MODE_DECOMPOSITION_NOT_TARGET	TRIGRADED_JETS:i<=2,j<=2,k+l<=2;HIGHER_ANGULAR_TYPED_TO_GAMMA	THETA_ABSENT_NATIVE	h_reparam_orientation_degree	Diff(S1_y) presentation components	h(y+Py)=h(y)+degree*Py with diffeomorphism degree in {+1,-1}	ORIENTATION/DEGREE PRESENTATION DATA; NO SOLUTION INTEGER	no mass/modulus cut	A1:A1p/A1p2;A1:J07_chain_rule_overlap;A3:A16	orientation-preserving component contains continuous Diff+; degree -1 is mirror component; h slack unspent
