id	path	first_commit_date	authority_class	permitted_use	map_role
S15	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	2026-07-20	VERIFIED_WITH_CAVEATS	AFFIRMATIVE_LIMITED_BOUNDARY_DATA	Static phi seal fixes one scalar ratio tangent; normal derivative and complete boundary phase space remain open.
S16	c2_variable_lapse_selector_2026-07-20/AUDIT_REPORT.md	2026-07-20	CONDITIONAL_C2_BRANCH_VERIFIED_WITH_CAVEATS	CONDITIONAL_DYNAMICS_DIAGNOSTIC	Shows omitted lapse shift singular and time-live strata in one compact fixed-basis C2 slice.
S17	c2_transverse_coframe_closure_2026-07-20/AUDIT_REPORT.md	2026-07-20	CONDITIONAL_C2_BRANCH_PARTIAL	CONDITIONAL_DYNAMICS_AND_VARIATION_SCAR	Reduced radial shear equation can reject a full Bach solution; angular completion and variation domain are load-bearing.
S18	c2_coupled_reciprocal_twist_onshell_2026-07-20/AUDIT_REPORT.md	2026-07-20	CONDITIONAL_C2_BRANCH_VERIFIED_WITH_CAVEATS	CONDITIONAL_DYNAMICS_DIAGNOSTIC	Complete local full-Bach tile has multiple coefficient strata; no favorable branch may be selected by hand.
S19	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	2026-07-19	VERIFIED_WITH_CAVEATS	AFFIRMATIVE_NONSELECTION	Endpoint-flat CSN family prevents silent representative selection; comparisons require a frozen representative branch.
S20	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	2026-07-20	CURRENT_VERIFIED_WITH_CAVEATS	AFFIRMATIVE_STATUS_AND_DIMENSIONAL_BOUNDARY	Conditional carrier coefficients contain a hidden ruler and cannot organize the native metric atlas.
S21	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	2026-07-20	CURRENT_VERIFIED_WITH_CAVEATS	AFFIRMATIVE_STATUS_AND_DIMENSIONAL_BOUNDARY	Current c_E G_obs M_tot Xmax data fix compactness only and do not choose absolute scale or representative.
S22	null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	2026-07-19	VERIFIED_WITH_CAVEATS	DOWNSTREAM_DIAGNOSTIC_ONLY	Exact phi-angular Hopf compatibility and shear diagnostics; no target section topology or carrier selector.
S23	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	2026-07-19	VERIFIED_WITH_CAVEATS	DOWNSTREAM_DIAGNOSTIC_ONLY	Existing implementation is full 3D Hopf-capable but carrier action box and boundary are conditional.
S24	udt_reciprocal_plane_projector_audit_2026-07-21/AUDIT_REPORT.md	2026-07-21	VERIFIED_WITH_CAVEATS	DOWNSTREAM_DIAGNOSTIC_ONLY	Projector connection is unique iff a supplied split is integrable/umbilical; it cannot define the atlas split.
S25	archive/complete_metric_sweep_setup.md	2026-06-15	PRE_JULY_HISTORICAL	FAILURE_AND_ANTI_PATTERN_ONLY	Shows how imported EH source S2 L2+L4 areal gauge and expected catalog were mislabeled complete.
S26	archive/whole_metric_full_solve_results.md	2026-06-15	PRE_JULY_HISTORICAL	FAILURE_AND_TOOLING_ONLY	Documents gauge coordinate residual and frozen-core scars; no affirmative UDT physics or completeness claim may survive.
S27	relativistic_metric_rederivation_results.md	2026-06-18	PRE_JULY_HISTORICAL	CANDIDATE_AND_FAILURE_ONLY	May identify free angular off-diagonal time and chart sectors; cannot supply affirmative post-firewall metric authority.
S28	udt_complete_metric_solution_space_map_2026-07-21/PREREGISTRATION.md	2026-07-21	FROZEN_PREREGISTRATION	AUDIT_CONTROL	Freezes map source firewall deliverables catches and maximum conclusion.
